[00:00:00.050 --> 00:00:00.516]  I think so.
[00:00:04.838 --> 00:00:07.360]  Don't worry, this show is documented.
[00:00:07.841 --> 00:00:11.144]  Alex Jones on the GCN Radio Network.
[00:00:12.505 --> 00:00:17.109]  G. Edward Griffin is going to be in studio with us, coming up in about five minutes.
[00:00:17.469 --> 00:00:23.414]  Here's a little clip from Utterlyn Horowitz's video, In Lies We Trust.
[00:00:23.454 --> 00:00:31.822]  In the last 15 minutes of the show today, I'm going to play 15 minutes or so more of this, but here's a few minutes of it right now, just a taste of what's coming up.
[00:00:32.987 --> 00:00:37.329]  So, I went down to see Bill Mann at the zoo in Washington, D.C.
[00:00:37.489 --> 00:00:40.431]  and I told Bill Mann, I said, look, here's a, I got a problem.
[00:00:40.751 --> 00:00:41.891]  I don't know what the hell to do.
[00:00:42.832 --> 00:00:44.312]  Bill Mann is a very bright guy.
[00:00:45.333 --> 00:00:53.677]  I said, these lousy monkeys are picking it up while being stored in the airports in transit with these loading, offloading.
[00:00:54.777 --> 00:00:56.118]  He said, it's very simple.
[00:00:56.858 --> 00:01:02.081]  He said, you go ahead, get your monkeys out of West Africa and get the African green
[00:01:02.844 --> 00:01:03.966]  Bring them into Madrid.
[00:01:04.788 --> 00:01:05.569]  Unload them there.
[00:01:05.609 --> 00:01:07.833]  There are no other traffic through there for animals.
[00:01:08.174 --> 00:01:09.576]  Fly them into Philadelphia.
[00:01:09.596 --> 00:01:09.977]  Pick them up.
[00:01:11.620 --> 00:01:13.403]  Or fly them into New York and pick them up.
[00:01:14.024 --> 00:01:14.745]  Right off the airplane.
[00:01:16.115 --> 00:01:17.715]  So I brought African Greens in.
[00:01:17.735 --> 00:01:19.016]  I didn't know we were importing AIDS virus at the time.
[00:01:19.036 --> 00:01:19.976]  And you introduced AIDS virus in the country.
[00:01:19.996 --> 00:01:21.016]  And you introduced AIDS virus in the country.
[00:01:21.036 --> 00:01:22.416]  And you introduced AIDS virus in the country.
[00:01:22.436 --> 00:01:23.456]  And you introduced AIDS virus in the country.
[00:01:23.476 --> 00:01:24.476]  And you introduced AIDS virus in the country.
[00:01:24.536 --> 00:01:25.717]  And you introduced AIDS virus in the country.
[00:01:25.737 --> 00:01:26.717]  And you introduced AIDS virus in the country.
[00:01:26.737 --> 00:01:27.737]  And you introduced AIDS virus in the country.
[00:01:27.777 --> 00:01:28.837]  And you introduced AIDS virus in the country.
[00:01:28.877 --> 00:01:30.217]  And you introduced AIDS virus in the country.
[00:01:30.237 --> 00:01:31.218]  And you introduced AIDS virus in the country.
[00:01:31.238 --> 00:01:32.198]  And you introduced AIDS virus in the country.
[00:01:32.218 --> 00:01:33.258]  And you introduced AIDS virus in the country.
[00:01:33.278 --> 00:01:34.198]  And you introduced AIDS virus in the country.
[00:01:34.218 --> 00:01:35.478]  And you introduced AIDS virus in the country.
[00:01:35.558 --> 00:01:36.599]  And you introduced AIDS virus in the country.
[00:01:36.619 --> 00:01:37.859]  And you introduced AIDS virus in the country.
[00:01:37.879 --> 00:01:39.159]  And you introduced AIDS virus in the country.
[00:01:39.179 --> 00:01:40.179]  And you introduced AIDS virus in the country.
[00:01:40.199 --> 00:01:41.559]  And you introduced AIDS virus in the country.
[00:01:41.659 --> 00:01:42.800]  And you introduced AIDS virus in the country.
[00:01:42.900 --> 00:01:44.040]  And you introduced AIDS virus in the country.
[00:01:44.080 --> 00:01:45.000]  And you introduced AIDS virus in
[00:01:45.578 --> 00:01:46.219]  Now we had those.
[00:01:47.079 --> 00:01:48.120]  This was the solution.
[00:01:49.001 --> 00:01:51.283]  Because those monkeys didn't have the wild viruses.
[00:01:51.423 --> 00:01:55.126]  But, we had all these... Wait, why didn't the greens have the wild viruses since they came from Africa?
[00:01:55.146 --> 00:02:02.913]  Because they weren't, well, they weren't being infected in these group-holding things with all the other 40 different viruses.
[00:02:03.293 --> 00:02:04.834]  But they had the ones they brought from the jungle, though.
[00:02:04.874 --> 00:02:07.557]  Yeah, they had those, but there were relatively few.
[00:02:07.617 --> 00:02:11.260]  What you do is you have a gang housing, you're gonna have an epidemic
[00:02:11.923 --> 00:02:14.544]  Transmission of infection in a confined space.
[00:02:14.804 --> 00:02:16.304]  Oh, is that the problem?
[00:02:16.444 --> 00:02:17.805]  So, anyway, the greens came in.
[00:02:19.365 --> 00:02:27.747]  Now we had these, and then we're taking our seed stocks to clean them up, and God, now I'm discovering new viruses.
[00:02:29.668 --> 00:02:32.549]  So, I said, shoot us, priest.
[00:02:33.289 --> 00:02:40.071]  Well, I got an invitation from the Sister Kinney Foundation, you know, which was the opposing foundation, and that was the live virus.
[00:02:40.531 --> 00:02:40.771]  Oh, right.
[00:02:41.144 --> 00:02:43.445]  Yeah, they had jumped on Sabin's bandwagon.
[00:02:43.485 --> 00:02:49.826]  And they had asked me to come down and give a talk at the Sister Kenny Foundation meeting.
[00:02:50.927 --> 00:02:52.807]  And I said, it was an international meeting.
[00:02:52.827 --> 00:02:54.588]  I said, God, what am I going to talk about?
[00:02:54.608 --> 00:02:56.508]  I know what I'm going to do.
[00:02:56.528 --> 00:03:02.710]  I'm going to talk about the detection of non-detectable viruses as a topic.
[00:03:03.271 --> 00:03:06.752]  There were those who didn't want a live virus vaccine.
[00:03:07.093 --> 00:03:07.973]  They concentrated.
[00:03:07.993 --> 00:03:17.877]  The National Foundation for Infantile Paralysis concentrated all its efforts on getting more and more people to use the killed virus vaccine.
[00:03:18.878 --> 00:03:22.639]  While they were supporting me for research on a live virus vaccine.
[00:03:23.340 --> 00:03:26.581]  So now I gotta have something, you know, that's gonna attract attention.
[00:03:27.673 --> 00:03:29.975]  So I thought, gee, that damn SV-40.
[00:03:29.995 --> 00:03:32.917]  I mean, that damn evacuating agent that we have.
[00:03:32.977 --> 00:03:34.798]  I'm going to just pick that particular one.
[00:03:35.438 --> 00:03:38.500]  That virus has got to be in vaccines.
[00:03:38.881 --> 00:03:43.143]  And it's got to be in Sabin's vaccine, so I quickly tested it.
[00:03:44.544 --> 00:03:45.685]  Sure enough, it was in there.
[00:03:46.766 --> 00:03:47.386]  And we'll be damned.
[00:03:47.987 --> 00:03:49.968]  So now, so I go ahead and
[00:03:50.689 --> 00:03:53.631]  So you just took stocks of Sabin's vaccine off the shelf here at Merck?
[00:03:53.651 --> 00:03:55.372]  Yeah, well, it had not been made at Merck.
[00:03:55.412 --> 00:03:56.553]  It was made at Merck.
[00:03:56.593 --> 00:03:58.034]  You were making it for Sabin at this point?
[00:03:58.094 --> 00:03:59.715]  Yeah, it was made before I came.
[00:03:59.956 --> 00:04:03.478]  Yeah, but at this point Sabin is still just doing these massive field trials.
[00:04:03.538 --> 00:04:03.758]  Mm-hmm.
[00:04:03.938 --> 00:04:04.178]  Okay.
[00:04:04.799 --> 00:04:05.880]  In Russia and so forth.
[00:04:05.920 --> 00:04:11.904]  So I go down... I talked about the detection of non-technical virus.
[00:04:11.944 --> 00:04:15.987]  I told Albert... But at this point Sabin is still just doing these massive field trials.
[00:04:16.007 --> 00:04:16.267]  Mm-hmm.
[00:04:16.467 --> 00:04:16.687]  Okay.
[00:04:17.308 --> 00:04:18.388]  In Russia and so forth.
[00:04:18.448 --> 00:04:19.129]  So I go down...
[00:04:20.191 --> 00:04:24.414]  I talked about the detection of non-detectable viruses.
[00:04:24.454 --> 00:04:27.736]  I told Albert, I said, listen Albert, I said, you know, you and I are good friends.
[00:04:28.697 --> 00:04:32.439]  But I said, I'm going to go down there and you're going to get upset.
[00:04:32.499 --> 00:04:35.521]  But I'm going to talk about a virus that's in your vaccine now.
[00:04:36.582 --> 00:04:37.902]  You're going to get rid of the virus.
[00:04:37.922 --> 00:04:38.503]  Don't worry about it.
[00:04:38.543 --> 00:04:39.924]  You're going to get rid of it.
[00:04:43.006 --> 00:04:45.327]  So of course, Albert was very upset with me.
[00:04:46.788 --> 00:04:47.529]  And what did he say?
[00:04:48.089 --> 00:04:49.610]  Well, he said basically that
[00:04:49.983 --> 00:04:55.044]  This is just another obfuscation that is going to upset the vaccines.
[00:04:55.144 --> 00:04:56.865]  I said, well, you know, you're absolutely right.
[00:04:57.385 --> 00:04:59.226]  But I said, we have a new era here.
[00:04:59.246 --> 00:05:00.966]  We have a new era of detection.
[00:05:01.386 --> 00:05:03.567]  And the important thing is to get rid of these viruses.
[00:05:03.967 --> 00:05:07.888]  Why would he call it an obfuscation if it was a virus that was contaminating the vaccines?
[00:05:07.968 --> 00:05:13.070]  Because, well, there were 40 different viruses in these vaccines anyway that we were inactivating.
[00:05:15.100 --> 00:05:17.521]  But you weren't activating the... That's correct.
[00:05:17.601 --> 00:05:18.241]  No, that's right.
[00:05:18.261 --> 00:05:25.364]  But yellow fever vaccine had leukemia virus in it, and you know, this is in the days of very crude science.
[00:05:26.304 --> 00:05:30.505]  So anyway, I went down and talked to him, and I said, well, why are you concerned about it?
[00:05:31.566 --> 00:05:32.786]  I said, well, I'll tell you what.
[00:05:32.806 --> 00:05:37.128]  I said, I have a feeling in my bones that this virus is different.
[00:05:37.248 --> 00:05:40.629]  I don't know why to tell you this, but I've been around bones a long time.
[00:05:40.769 --> 00:05:43.230]  I just think this virus may have some long-term effects.
[00:05:45.456 --> 00:05:51.220]  What?
[00:05:52.221 --> 00:05:53.142]  We're on the march.
[00:05:53.622 --> 00:05:55.203]  The Empire's on the run.
