[00:00:00.049 --> 00:00:01.010]  It is November 18, 2008.
[00:00:01.130 --> 00:00:03.331]  We've got an hour and 52 minutes left in this transmission.
[00:00:03.451 --> 00:00:05.752]  Broadcasting on the AM and FM dial.
[00:00:24.386 --> 00:00:33.336]  Transmitting and streaming over the web at InfoWars.com and PrisonPlanet.com as well as over different satellite systems.
[00:00:34.177 --> 00:00:36.139]  This is the Alex Jones Radio Show.
[00:00:36.299 --> 00:00:37.621]  I am Alex Jones.
[00:00:39.159 --> 00:00:46.764]  And our guest is Alan Watt of CuttingThroughTheMatrix.com, again for the next hour and 51 minutes.
[00:00:46.924 --> 00:00:56.371]  Now, I know that we have Don in Costa Rica, Jimmy in Kentucky, Dustin and others holding over from the last hour, but Alan can speak to any subjects you want to call in about.
[00:00:56.391 --> 00:00:58.552]  If you want to talk to Alan Watt, it's 1-800-259-9231.
[00:00:58.792 --> 00:01:02.014]  I have a lot of questions I want to ask Alan.
[00:01:02.034 --> 00:01:08.579]  I want to have discussions with him and try to bring both of our knowledge of the New World Order and all of our knowledge together to a higher level.
[00:01:09.380 --> 00:01:12.745]  Because to defeat the enemy, you have to know who they are and what their agenda is.
[00:01:12.805 --> 00:01:18.675]  But we will start going to your calls in T-minus 20 minutes when we come out of the bottom of the hour break.
[00:01:18.695 --> 00:01:19.597]  So everybody be patient.
[00:01:20.018 --> 00:01:22.862]  We're going to get to everybody who is patiently holding.
[00:01:24.261 --> 00:01:32.965]  But Alan, last hour I had a caller call in, Mike from California, saying, well if they're saying they plan to kill 80% of us, how do they plan to do that?
[00:01:32.985 --> 00:01:35.266]  And I was explaining to him that it's incremental.
[00:01:35.306 --> 00:01:48.293]  First they've got to socialize us, get us under government control, being regulated, being tracked, being traced, in government schools, where they always have things more far advanced than they are for the adults.
[00:01:48.633 --> 00:01:52.095]  This is all part of, like programming, bringing in the new model.
[00:01:52.675 --> 00:01:55.378]  You know, flushing out the old info, putting in the new.
[00:01:55.718 --> 00:01:58.260]  Reducing the language, semantically reducing the language.
