[00:00:00.871 --> 00:00:01.972]  Government cover-ups.
[00:00:02.613 --> 00:00:03.433]  You want answers?
[00:00:04.194 --> 00:00:05.095]  Well, so does he.
[00:00:05.115 --> 00:00:09.418]  He's Alex Jones on the GCN Radio Network.
[00:00:09.959 --> 00:00:14.062]  And now, live from Austin, Texas, Alex Jones.
[00:00:19.967 --> 00:00:21.609]  Stand by, ladies and gentlemen.
[00:00:21.649 --> 00:00:25.752]  Global Transmission Against Tyranny now commencing.
[00:00:27.554 --> 00:00:28.975]  T-minus ten seconds.
[00:00:35.490 --> 00:00:37.530]  It is the 20th day of March 2008.
[00:00:37.611 --> 00:00:41.071]  We're going to be live here for the next three hours.
[00:00:41.952 --> 00:00:54.814]  The head financial writer for the London Guardian, the largest paper in England and Europe, will be joining us as he is now exposing the fact that this is an engineered collapse and fraud going on within the banking system.
[00:00:55.295 --> 00:01:01.416]  Then Aubrey de Grey, we only had him on about 30 minutes last week, he'll be on with us a full hour today to talk about
[00:01:02.219 --> 00:01:16.082]  The true development of life extension technologies and how far along it really is, and how that ties into the elite, and how they wish to suppress these technologies from the public getting access to them.
[00:01:16.922 --> 00:01:29.345]  So that is coming up with Andre de Grey in the second hour, and then we will go to Tibet again, or from the border of Tibet from India, where the exiled government is, and the chairman of the head
[00:01:31.346 --> 00:01:36.389]  of the major human rights organization for the Tibetan people.
[00:01:37.190 --> 00:01:39.591]  Ugin Tenzin, who joined us on Monday.
[00:01:39.972 --> 00:01:41.513]  Big developments in Tibet.
[00:01:42.813 --> 00:01:44.554]  Very important broadcast today.
[00:01:44.574 --> 00:01:50.678]  I mean, I have maybe a show every month or two that has this much news and info, and I've got to cover it.
[00:01:51.199 --> 00:01:52.620]  It's all too incredible.
[00:01:53.740 --> 00:01:56.162]  Drinkers face drug checks.
[00:01:58.277 --> 00:02:01.539]  So see, now when you go to have a drink, it's not just thumb scan, face scan.
[00:02:01.839 --> 00:02:03.800]  Some bars have to take a microchip to get in.
[00:02:04.260 --> 00:02:04.881]  I'm not kidding.
[00:02:04.921 --> 00:02:06.301]  If you didn't hear about that, check into it.
[00:02:06.822 --> 00:02:10.443]  Now, all over England, they want to make you do a drug check.
[00:02:10.483 --> 00:02:15.606]  So all part of being guilty until proven innocent, we'll be breaking that down.
[00:02:15.646 --> 00:02:20.189]  Of course, they're putting two-year-olds into probation in England.
[00:02:20.529 --> 00:02:22.830]  If their parents have criminal records saying it's genetic,
[00:02:23.402 --> 00:02:28.566]  In Texas, they say they put more than two-thirds of foster kids on drugs because they are quote genetically deficient.
[00:02:30.848 --> 00:02:32.409]  Just out of the blue, they just say it.
[00:02:32.509 --> 00:02:36.152]  Oh, we're killing you, poisoning you because you're genetically deficient.
[00:02:37.113 --> 00:02:38.934]  We'll be going over that today.
[00:02:38.954 --> 00:02:48.842]  I have now read the White House briefing, the brief to the Supreme Court saying you have no Second Amendment right and that all of your guns can be confiscated.
[00:02:51.724 --> 00:02:57.648]  I spent hours and hours last night reading Gunners of America's brief to the Supreme Court, the Justice Department brief from the White House.
[00:02:59.209 --> 00:03:06.813]  Of course, two nights ago I read the entire 90-plus pages of their oral arguments, what the Supreme Court justices had to say.
[00:03:07.334 --> 00:03:12.457]  It is bad, but I've studied even more last night, so I have even more information for you on that front.
[00:03:12.697 --> 00:03:14.398]  But here's the big news today.
[00:03:16.459 --> 00:03:18.981]  Comcast cameras to start watching you.
[00:03:19.969 --> 00:03:28.010]  And Comcast is announcing themselves that they are going to have cameras on the front of all cable boxes that will watch you.
[00:03:28.730 --> 00:03:30.031]  Now, this is hidden in plain view.
[00:03:30.551 --> 00:03:35.752]  They just come out and announce it happily, and it's so shocking and incredible, people just go, okay.
[00:03:36.712 --> 00:03:38.912]  It's a mind trick, like a Jedi mind trick.
[00:03:39.892 --> 00:03:47.194]  Then it goes into psychology, corporate manipulation, Delphi technique, but mainstream news.
[00:03:47.394 --> 00:03:49.194]  I mean, you will be watched in your home
[00:03:50.211 --> 00:03:52.613]  And if you're not for it, you're a weirdo.
