[00:00:00.129 --> 00:00:00.890]  Federal agents!
[00:00:00.930 --> 00:00:01.410]  We are armed!
[00:00:26.044 --> 00:00:32.773]  Well, our guest is Roger D. Masters, Department of Government, Dartmouth College, Hanover, New Hampshire.
[00:00:32.793 --> 00:00:43.486]  He's a research professor at Dartmouth College, a Nelson A. Rockefeller professor of government, emeritus at Dartmouth College, and president of the Foundation for Neuroscience and Society.
[00:00:44.671 --> 00:00:48.853]  And if I went over his bio, it would take a long time to cover it.
[00:00:49.473 --> 00:00:52.195]  After undergraduate study at Harvard, B.A.
[00:00:52.215 --> 00:01:03.080]  55, and service in the Army, Masher has completed graduate work in political philosophy at the University of Chicago, where he wrote his doctoral dissertation under the direction of Leo Strauss and Joseph Cropsey.
[00:01:03.760 --> 00:01:06.581]  And that's Leo Strauss, the big neocon kingpin.
[00:01:07.081 --> 00:01:13.983]  The central theme of Master's work is the philosophical and scientific exploration of the role of human nature in political and social behavior.
[00:01:14.564 --> 00:01:20.866]  Now, there's so much about this guy, his bio is about a hundred pages long, that for the next hour we have him.
[00:01:21.426 --> 00:01:22.906]  I just want to let him introduce himself.
[00:01:25.441 --> 00:01:27.842]  You know, tell you the stuff about him he thinks you should know.
[00:01:27.882 --> 00:01:37.225]  And then I want to get into one of his big areas of research and in documenting is the fact that when they started putting fluoride and different derivatives of it in the water supply.
[00:01:38.065 --> 00:01:38.985]  And why they do that.
[00:01:39.585 --> 00:01:41.346]  And what the facts are you can go check for yourselves.
[00:01:41.906 --> 00:01:50.209]  And of course his work ties into why is lawn fertilizer different than crop fertilizer?
[00:01:50.309 --> 00:01:54.190]  Well, why do they say with lawn fertilizer don't put it on crops or your garden?
[00:01:55.532 --> 00:01:56.874]  Because it's toxic waste.
[00:01:57.656 --> 00:01:59.118]  It's the same thing with depleted uranium.
[00:02:00.260 --> 00:02:05.048]  They've got all these thousands and tens of thousands, more than that, millions of tons of it.
[00:02:05.528 --> 00:02:06.530]  They've got to put it somewhere.
[00:02:06.590 --> 00:02:08.313]  It's very poisonous and radioactive.
[00:02:08.593 --> 00:02:09.635]  So they put it into weapons.
[00:02:10.569 --> 00:02:11.910]  It's hiding it in plain view.
[00:02:12.531 --> 00:02:23.820]  And so we will discuss this today, because you see, fluoride is only a catchphrase or an overall name that they were able to pass laws through Congress for.
[00:02:24.340 --> 00:02:31.486]  It's what goes along with what you know as fluoride in the water, and that's what he is an expert on, among other things.
[00:02:31.967 --> 00:02:37.111]  And so we're very honored to have Roger D. Masters on with us today.
[00:02:37.351 --> 00:02:38.452]  Thanks for coming on, Professor.
[00:02:39.215 --> 00:02:39.975]  It's my pleasure.
[00:02:40.275 --> 00:02:41.655]  Thank you very much for inviting me.
[00:02:41.695 --> 00:02:42.636]  I appreciate it a great deal.
[00:02:43.116 --> 00:02:43.496]  You bet.
