[00:00:00.981 --> 00:00:01.781]  I've been warned.
[00:00:15.026 --> 00:00:16.367]  Bob Chapman is our guest.
[00:00:16.387 --> 00:00:18.888]  We just went live at PrisonPlanet.tv.
[00:00:18.928 --> 00:00:22.449]  The websites are InfoWars.com and PrisonPlanet.com.
[00:00:24.370 --> 00:00:27.251]  Paul Watson has posted an extremely important article
[00:00:28.999 --> 00:00:30.640]  Up on PrisonPlanet.com.
[00:00:30.660 --> 00:00:32.041]  It needs to go out everywhere.
[00:00:32.681 --> 00:00:35.703]  Exposure of this may have some bearing on stopping it.
[00:00:35.723 --> 00:00:39.645]  It's all over European press, French, German.
[00:00:40.846 --> 00:00:42.387]  It's all over the Chinese press.
[00:00:44.027 --> 00:00:45.188]  Very, very important.
[00:00:45.228 --> 00:00:47.189]  It's going up on PrisonPlanet.com.
[00:00:47.790 --> 00:00:50.971]  Right now, Rand Corporation, highest level of Pentagon planning.
[00:00:51.712 --> 00:00:53.533]  Wanting to start a war with China or Russia.
[00:00:54.918 --> 00:00:57.539]  Rand Lomby's Pentagon start war to save U.S.
[00:00:57.580 --> 00:00:58.040]  economy.
[00:00:58.500 --> 00:00:59.120]  A huge war.
[00:00:59.481 --> 00:01:02.762]  Bob Chapman, recap why the elite are doing this for this segment.
[00:01:02.782 --> 00:01:03.923]  We'll come back and take calls.
[00:01:05.464 --> 00:01:06.845]  Well, there's a number of reasons.
[00:01:07.225 --> 00:01:10.807]  First of all, they've broken the world financial system.
[00:01:11.567 --> 00:01:13.148]  And this isn't the first time they've done it.
[00:01:13.188 --> 00:01:15.910]  They've done it through the centuries many times.
[00:01:15.930 --> 00:01:22.093]  But this is probably one of the three most serious breakdowns in history.
[00:01:23.133 --> 00:01:27.095]  And that leaves the Depression out, which was not that bad considering.
[00:01:28.416 --> 00:01:29.876]  Of course, if you lived through it, it was.
[00:01:31.677 --> 00:01:36.500]  And being in this position, they have to create the diversion.
[00:01:37.340 --> 00:01:44.804]  The diversion would bring them more power, more wealth, and more control over the people.
[00:01:45.384 --> 00:01:47.565]  And that diversion, again, is war.
[00:01:47.925 --> 00:01:51.487]  In fact, back in the early part of this century,
[00:01:53.356 --> 00:01:54.617]  And that's not so long ago.
[00:01:55.157 --> 00:02:02.378]  We predicted the war and invasion in Iraq and Afghanistan and the event that would trigger it.
[00:02:02.938 --> 00:02:05.799]  We didn't know what the event was, but we were pretty close in the timing.
[00:02:06.159 --> 00:02:07.559]  We were within 33 days.
[00:02:08.099 --> 00:02:14.281]  And so if you read history, you can see that they have done this over and over again.
[00:02:14.321 --> 00:02:21.262]  So it's not anything special to be able to predict what these people are going to do.
[00:02:21.764 --> 00:02:23.546]  All you have to do is find out what they did before.
[00:02:24.266 --> 00:02:35.535]  And so, with that said, they have done Iraq and Afghanistan, and now, because their system is falling apart, they have to have a bigger and better war.
[00:02:36.096 --> 00:02:38.097]  And that's what Paul Watson was talking about.
[00:02:38.778 --> 00:02:47.185]  And one of the things I'm curious about is, how did the word leak out as to what Rand Corporation and the Illuminati was up to?
[00:02:48.426 --> 00:02:51.188]  And I'd like to see if Paul has a comment on that.
[00:02:51.747 --> 00:02:52.888]  Or if anybody knows.
[00:02:53.328 --> 00:02:54.769]  But it had to have been leaked.
[00:02:55.270 --> 00:02:59.093]  Well, we let Paul go so he can expand the article that's up on PrisonPlanet.com.
