[00:00:00.535 --> 00:00:01.095]  Try Bundle.
[00:00:01.115 --> 00:00:02.396]  Some restrictions may apply.
[00:00:02.416 --> 00:00:03.217]  Call for details.
[00:00:16.927 --> 00:00:19.209]  He stands for justice.
[00:00:20.129 --> 00:00:22.551]  He stands for what's right.
[00:00:22.591 --> 00:00:24.953]  This is the Alex Jones Show.
[00:00:25.874 --> 00:00:27.014]  Call Alex now.
[00:00:27.114 --> 00:00:27.715]  Call free.
[00:00:28.693 --> 00:00:30.855]  Hello ladies and gentlemen.
[00:00:30.915 --> 00:00:35.558]  Thank you so much for joining us today.
[00:00:35.578 --> 00:00:36.058]  We're live.
[00:00:36.138 --> 00:00:45.564]  It is already the 11th day.
[00:01:00.288 --> 00:01:01.309]  Or is it the 10th today?
[00:01:01.329 --> 00:01:03.852]  I can't keep track anymore.
[00:01:04.953 --> 00:01:05.813]  I'll tell you what's happened.
[00:01:05.833 --> 00:01:07.515]  I'm incredibly frustrated right now.
[00:01:09.377 --> 00:01:13.481]  I had found about 10 different news clips from around the U.S.
[00:01:16.664 --> 00:01:22.249]  Just the last three or four hours today before I came up here, a local newscast showing police training
[00:01:23.385 --> 00:01:31.829]  To round up Americans and put us in camps and to ride us down with horses and to fire on us with the sound guns and microwave cannons.
[00:01:32.330 --> 00:01:45.857]  I found a bunch of clips that I'd never seen before doing deep searches on YouTube and Google and I had noticed that my printer wasn't printing the articles because I was going to bring them down here and have them put clips of it in the computer so we could play it on air.
[00:01:49.083 --> 00:01:52.765]  And then, right before I came down here, I noticed that the whole computer just crashed.
[00:01:52.785 --> 00:01:53.485]  It just died.
[00:01:54.066 --> 00:02:04.491]  I called the Apple Store and they said that, uh, that AppleCare, and they said, well, we have Macs and PCs at my house, and they said, uh, oh, that just means your computer's completely fried.
[00:02:04.511 --> 00:02:06.852]  It's not connected to the hard drive.
[00:02:07.293 --> 00:02:14.036]  And so, right up until about ten seconds before I came on air, I was trying to find these clips again, and guess what?
[00:02:14.096 --> 00:02:15.237]  I couldn't find them again.
[00:02:15.257 --> 00:02:17.258]  And it made me really mad.
[00:02:18.772 --> 00:02:27.815]  So I'm in a really bad mood right now, and just as I came on air, I thought, oh, and it might be nice if I can tell people what day it is.
[00:02:27.875 --> 00:02:28.735]  What day is it?
[00:02:30.375 --> 00:02:31.015]  Yeah, it's the 10th.
[00:02:31.055 --> 00:02:31.836]  Okay, I was right then.
[00:02:32.456 --> 00:02:42.259]  It's the 10th day of February 2008, and at a certain point, I mean, at a certain point, there's not even a reason to be here.
[00:02:45.151 --> 00:03:04.964]  They're spying on us, and the borders are wide open, and they're putting up face-scanning cameras everywhere, and reading our license plates, and... I've been in the urban warfare drills for a decade with the police and military trained together to take our children away from us and put us in concentration camps, and I've made films about it, and I was really thinking today, why am I even coming in here to play these clips to people?
[00:03:05.204 --> 00:03:06.985]  Why am I even trying to prove this to you?
[00:03:09.407 --> 00:03:12.229]  Creeping evil going on all around us.
[00:03:14.777 --> 00:03:17.079]  And I just personally am sick of it.
[00:03:17.939 --> 00:03:20.581]  I am sick and tired of everything that's happening in our society.
[00:03:24.703 --> 00:03:30.007]  Of course, the good news is that a lot of people are becoming aware of what's going on.
[00:03:30.887 --> 00:03:33.389]  I don't know if people are waking up fast enough to what's happening.
[00:03:34.810 --> 00:03:36.331]  I mean, these are the type of articles I have.
[00:03:36.851 --> 00:03:40.994]  At least randomly swabbing people for DNA databases.
[00:03:41.980 --> 00:03:49.210]  FBI deputizes private contractors with extraordinary powers including shoot-to-kill orders for martial law.
[00:03:50.551 --> 00:03:57.400]  Department of Homeland Security official says you'll need a national ID card to buy cold medicine, total federalization of our lives.
[00:04:00.922 --> 00:04:04.825]  The British government has now been caught spying on Members of Parliament.
[00:04:04.865 --> 00:04:06.446]  They just spy on the Members of Parliament.
[00:04:06.686 --> 00:04:08.587]  Of course, our government spies on Congress, too.
[00:04:08.827 --> 00:04:09.688]  It's not our government.
[00:04:09.708 --> 00:04:16.272]  It's just private intelligence agencies that are totally criminal that work for the big private central banks that own and run this country.
[00:04:18.754 --> 00:04:19.854]  It is really that simple.
[00:04:21.055 --> 00:04:23.437]  People say I freak out, I yell and scream, I get upset.
[00:04:24.056 --> 00:04:35.125]  You go to an urban warfare drill, and you watch Marines training to take your guns, and the role players they've hired, the actors they've hired, are saying they're Americans, and the Marines will admit, they're trained to do this right here in America!
[00:04:36.766 --> 00:04:43.151]  And then I've got mainstream news reports now, but the reports are saying it's good, and that it's a good thing.
[00:04:43.212 --> 00:04:45.193]  No, folks, it's not a good thing.
[00:04:47.655 --> 00:04:50.237]  And this whole thing is being shut up.
[00:04:53.180 --> 00:04:53.640]  This whole
[00:04:54.258 --> 00:05:01.281]  That system is being set up for the American people.
[00:05:01.381 --> 00:05:03.902]  I mean, you go to the drills, you go to the training, it's about us.
[00:05:04.522 --> 00:05:06.163]  It's about the citizens of this country.
[00:05:07.823 --> 00:05:13.386]  Newscast after newscast today I found, and I'm going to find them, you better believe, you're going to hear them here next week.
[00:05:15.326 --> 00:05:19.268]  Newscast after... I mean, I've actually found some, but these are old ones we play.
[00:05:19.528 --> 00:05:21.709]  I found a bunch of new ones and it really upset me.
[00:05:23.368 --> 00:05:31.051]  That all over the country, the military and the police, to just absolutely enslave the American people.
[00:05:36.232 --> 00:05:37.013]  It's upsetting to me.
[00:05:39.333 --> 00:05:42.134]  And at a certain point, frankly, I just get sick of talking about it.
[00:05:42.154 --> 00:05:45.035]  At a certain point, I'm just disgusted.
[00:05:45.596 --> 00:05:47.596]  And I wish there was some free country I could go to.
[00:05:47.976 --> 00:05:50.377]  But the whole world is falling under this New World Order.
[00:05:50.917 --> 00:05:52.838]  The whole world is being swallowed up by this.
[00:05:56.050 --> 00:05:57.911]  And it's a very upsetting situation.
[00:05:59.792 --> 00:06:09.796]  At the end of the day, just to realize that no matter whatever else is going good in my life, I've got these criminals running the government that are literally leering over me and my whole family and you, even if you don't know it.
[00:06:13.237 --> 00:06:16.018]  And then I see just the ignorance of people politically.
[00:06:17.819 --> 00:06:20.840]  John McCain has 800 and something delegates.
