[00:00:09.471 --> 00:00:11.312]  Vulnerable has no price.
[00:00:11.312 --> 00:00:16.575]  Visit heartlandemergency.com or call 830-431-1776.
[00:00:16.575 --> 00:00:18.235]  Food solutions for our time?
[00:00:18.235 --> 00:00:25.039]  You cannot afford a surprise in the next crisis.
[00:00:25.039 --> 00:00:29.441]  Listening to GCN, the world leader in independent talk radio.
[00:00:34.906 --> 00:00:37.748]  Here in USA Radio News, I'm Jason Walker.
[00:00:37.748 --> 00:00:43.633]  Three people killed, one wounded when a man opened fire at the Athens, Georgia Community Theater Saturday.
[00:00:43.633 --> 00:00:49.838]  Suspect identified as George Zinken, a marketing professor at the University of Georgia.
[00:00:49.838 --> 00:00:55.142]  Spokesman Pete Kohenkamp says Zinken was well thought of by students and faculty.
[00:00:55.142 --> 00:00:58.285]  He has an excellent reputation on campus, a terrific background.
[00:00:58.285 --> 00:01:01.788]  He has won awards for outstanding contribution to research.
[00:01:02.048 --> 00:01:10.653]  New York City health officials say eight students at a Queens private school testing positive for influenza A, possibly swine flu.
[00:01:10.653 --> 00:01:14.135]  Samples have been sent to the CDC for confirmation.
[00:01:14.135 --> 00:01:18.637]  Also officials in Kansas now confirming two cases of swine flu.
[00:01:18.637 --> 00:01:21.218]  Virus had also been verified earlier.
[00:01:21.218 --> 00:01:24.100]  In both Texas and California, no one in the U.S.
[00:01:24.100 --> 00:01:26.621]  has died from swine flu in this outbreak.
[00:01:26.621 --> 00:01:29.723]  This is IRN USA Radio News.
[00:01:31.334 --> 00:01:35.819]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[00:01:35.819 --> 00:01:45.129]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[00:01:45.129 --> 00:01:47.111]  Hi, how in the world are you anyway?
[00:01:47.111 --> 00:01:50.315]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[00:01:50.755 --> 00:01:55.537]  The three-step plan helps people feel better, look better, and make more money.
[00:01:55.537 --> 00:02:00.138]  History has shown that our product line actually grows during an economic slowdown.
[00:02:00.138 --> 00:02:07.960]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[00:02:07.960 --> 00:02:16.743]  With the three-step plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[00:02:17.227 --> 00:02:19.028]  Don't wait for things to get worse.
[00:02:19.028 --> 00:02:21.270]  Check out the 3-Step Plan today.
[00:02:21.270 --> 00:02:23.492]  Go to 3stepplan.com or call 800-480-2102.
[00:02:23.492 --> 00:02:23.532]  800-480-2102.
[00:02:31.736 --> 00:02:39.824]  Building the nuclear power industry, the focus of Republicans Saturday in their weekly radio address, Tennessee Senator Lamar Alexander.
[00:02:39.824 --> 00:02:43.267]  We say find more American energy and use less.
[00:02:43.267 --> 00:02:49.653]  Energy that's as clean as possible, as reliable as possible, and at as low a cost as possible.
[00:02:49.653 --> 00:02:54.257]  And one place to start is with 100 more nuclear power plants.
[00:02:54.677 --> 00:02:58.962]  In his weekly radio address, the President looked at several key areas.
[00:02:58.962 --> 00:03:02.366]  We do everything that we can to create jobs and get our economy moving.
[00:03:02.366 --> 00:03:05.550]  We're also building a new foundation for lasting prosperity.
[00:03:05.550 --> 00:03:13.460]  A foundation that invests in quality education, lowers health care costs, and develops new sources of energy powered by new jobs and industries.
[00:03:13.760 --> 00:03:21.906]  Saturday morning, Obama also says the American people are having to make very tough choices these days because of the economy.
[00:03:21.906 --> 00:03:25.889]  But he adds, Uncle Sam is doing much the same.
[00:03:25.889 --> 00:03:28.951]  For the latest news analysis, log on to irnnews.com.
[00:03:31.320 --> 00:03:35.063]  You could be financially independent and never have to worry about money again.
[00:03:35.063 --> 00:03:37.244]  Hi, how in the world are you anyway?
[00:03:37.244 --> 00:03:40.326]  This is Andy Willoughby speaking for The Three Step Plan.
[00:03:40.326 --> 00:03:45.349]  The Three Step Plan is a business system designed to help families start their own home-based business.
[00:03:45.349 --> 00:03:50.273]  If you like working with people with similar family values, you'll love The Three Step Plan.
[00:03:50.273 --> 00:03:52.694]  Go to 3stepplan.com or call 800-879-5819.
[00:03:52.694 --> 00:03:52.734]  800-879-5819.
[00:04:01.803 --> 00:04:08.988]  The actress who starred in Maud and later Golden Girls Has Died, Bea Arthur, was 86.
[00:04:08.988 --> 00:04:14.712]  South Carolina couple at the center of the probe into what sparked the wildfires in that state.
[00:04:14.712 --> 00:04:20.677]  Even so, Governor Mark Sanford says despite the finding, there are bigger things to be concerned about right now.
[00:04:20.677 --> 00:04:25.400]  He just misses the point to worry about placing blame on who started the fire versus who didn't.
[00:04:25.400 --> 00:04:26.901]  There'll be plenty of time for that.
[00:04:26.901 --> 00:04:29.003]  We don't think that that should be the area of focus right now.
[00:04:29.463 --> 00:04:35.788]  A woman says she called 911 after realizing a trash fire near her home was out of control.
[00:04:35.788 --> 00:04:44.494]  She claims the fire department arrived to handle it and douse the flames, but the blaze reignited this week behind her home and quickly tore through the area.
[00:04:44.494 --> 00:04:50.339]  Her husband has been cited for starting the fire without a permit and letting it get out of control.
[00:04:50.959 --> 00:05:01.788]  Well, before the New York Mets took on the Washington Nationals Saturday at Citi Field in Flushing, Mackenzie Brown was there to throw out the ceremonial first pitch.
[00:05:01.788 --> 00:05:07.273]  And trust us on this one, this young lady knows how to throw a baseball.
[00:05:07.273 --> 00:05:12.257]  The 12-year-old hurled a perfect game this week in Little League action.
[00:05:12.257 --> 00:05:16.921]  In that six-inning game, 18 batters, by the way, all of them boys,
[00:05:17.521 --> 00:05:18.802]  Came to the plate.
[00:05:18.802 --> 00:05:21.223]  Not one of those guys reached base.
[00:05:21.223 --> 00:05:24.545]  McKenzie even struck out 12.
[00:05:24.545 --> 00:05:25.846]  I'm Jason Walker.
[00:05:25.846 --> 00:05:31.710]  This is IRN USA Radio News.
[00:05:31.710 --> 00:05:32.410]  Dave?
[00:05:32.410 --> 00:05:35.772]  Hello, this is Tom with hempusa.org.
[00:05:35.772 --> 00:05:42.937]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[00:05:43.502 --> 00:05:51.326]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[00:05:51.326 --> 00:05:58.249]  At hempusa.org, we still believe that food will be your greatest asset in these trying times ahead.
[00:05:58.249 --> 00:06:05.033]  Please call 1-908-691-2608 and see what our powder, seeds, and oil can do for you.
[00:06:05.033 --> 00:06:07.294]  Beware, be smart, and be ready!
[00:06:07.814 --> 00:06:14.179]  Call 908-691-2608 or visit us at hempusa.org.
[00:06:14.179 --> 00:06:20.524]  Families need this high-quality natural food source for its low price and long storage shelf life.
[00:06:20.524 --> 00:06:24.467]  This incredible food source should be a staple part of your diet every day.
[00:06:24.467 --> 00:06:27.069]  Call 908-691-2608 or visit us at hempusa.org today!
[00:06:33.154 --> 00:06:42.041]  Prepare yourself for a talk radio experience like no other.
[00:06:42.041 --> 00:06:44.783]  He stands for truth.
[00:06:44.783 --> 00:06:48.005]  He stands for justice.
[00:06:48.005 --> 00:06:50.467]  He stands for what's right.
[00:06:50.467 --> 00:06:53.769]  This is the Alex Jones Show.
[00:06:53.769 --> 00:06:55.551]  Call Alex now, toll free.
[00:06:56.423 --> 00:06:56.583]  at 877-590-5525.
[00:06:56.583 --> 00:07:00.307]  Now live from Austin, Texas, here's Alex Jones.
[00:07:00.307 --> 00:07:06.112]  It is the 26th day of April 2009 on this Sunday.
[00:07:06.112 --> 00:07:11.858]  It is six minutes past the hour
[00:07:19.921 --> 00:07:22.803]  Central Standard Time, 4.06 Central Standard Time.
[00:07:22.803 --> 00:07:25.544]  We'll be live here for the next two hours.
[00:07:25.544 --> 00:07:28.846]  We're going to open the phones up.
