[00:00:00.655 --> 00:00:01.636]  Initiate launch.
[00:00:04.218 --> 00:00:06.140]  Waging war on corruption.
[00:00:06.601 --> 00:00:09.503]  Alex Jones on the GCN Radio Network.
[00:00:15.989 --> 00:00:16.650]  Big Brother.
[00:00:17.290 --> 00:00:18.351]  Mainstream media.
[00:00:19.072 --> 00:00:20.213]  Government cover-ups.
[00:00:20.233 --> 00:00:21.674]  You want answers?
[00:00:22.395 --> 00:00:23.196]  Well, so does he.
[00:00:23.920 --> 00:00:27.628]  He's Alex Jones on the GCN Radio Network.
[00:00:28.149 --> 00:00:32.178]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.066 --> 00:00:37.189]  It is February 3rd, 2009.
[00:00:37.369 --> 00:00:44.896]  Massive gun bills to completely ban any guns the Attorney General wishes by extrajudiciary fiat through tyranny.
[00:00:45.376 --> 00:00:48.539]  Bills to psychologically register and control all Americans.
[00:00:48.959 --> 00:00:54.104]  To ban anybody or they put on a no-fly list over a million people innocently being able to own guns, period.
[00:00:55.585 --> 00:00:57.487]  Just absolute tyranny coming down on us.
[00:00:57.527 --> 00:00:58.187]  And one of the bills
[00:00:58.948 --> 00:01:07.733]  This HR 45 interviewed by Congressman Hastings is the one to register everybody and put you through federal psychological testing and training.
[00:01:08.674 --> 00:01:10.215]  Just total control.
[00:01:10.655 --> 00:01:11.696]  They've got bills now.
[00:01:11.756 --> 00:01:14.437]  Defense Department announced a civilian expeditionary force.
[00:01:15.438 --> 00:01:19.500]  So the new thing, separate as big as the military, that's been announced openly.
[00:01:19.600 --> 00:01:20.741]  They've been saying they would do it.
[00:01:21.001 --> 00:01:21.702]  It's all happening.
[00:01:22.122 --> 00:01:23.583]  But we're about to go to Mike Rivera.
[00:01:23.603 --> 00:01:26.425]  We're live at PrisonPlanet.tv simulcasting with a radio show.
[00:01:27.245 --> 00:01:36.712]  But I wanted to go back to Joshua in Florida so that he could give out Mr. Hastings' phone number and also tell us about a 9-11 truth event he's got coming up.
[00:01:37.052 --> 00:01:44.638]  And he's also got a flyer there with him, so if you'd like to go over that flyer later, I'm going to go through the laundry list of bills again, but go ahead.
[00:01:46.179 --> 00:01:46.679]  Yeah, pretty much.
[00:01:46.739 --> 00:01:53.564]  I have to type up a flyer, but I'm just going to do like a brief synopsis of all this bogus legislation and try to get the word out on campus.
[00:01:53.604 --> 00:01:54.425]  But his number again,
[00:01:55.031 --> 00:01:56.531]  For the Washington, D.C.
[00:01:56.631 --> 00:01:59.512]  office is 202-225-1313.
[00:01:59.852 --> 00:02:07.794]  And his Fort Lauderdale office is 954-733-2800.
[00:02:07.814 --> 00:02:20.917]  And again, on the 21st of this month at 11 a.m., we're going to have a street action event out here on the busy intersection in front of the University of Central Florida.
[00:02:21.517 --> 00:02:24.558]  A lot of the 9-11 truth groups from around the state are going to be coming here.
[00:02:25.353 --> 00:02:29.377]  You have like a thousand copies of Fabled Enemies, Loose Change, Terror Storm.
[00:02:29.437 --> 00:02:30.338]  You're going to make history.
[00:02:30.658 --> 00:02:35.462]  Let me just ask you, is there a website, is there a contact point for folks to network?
[00:02:35.482 --> 00:02:36.483]  Absolutely, absolutely.
[00:02:36.523 --> 00:02:42.048]  If you go to, most people are probably familiar with www.meetup.com.
[00:02:42.709 --> 00:02:45.291]  You can go there and if you just search for Orlando 9-11 Truth,
[00:02:47.287 --> 00:02:47.848]  Pop right up.
[00:03:07.931 --> 00:03:11.474]  Today, a host of issues, but let's talk about the Second Amendment first.
[00:03:11.875 --> 00:03:13.176]  This is bold.
[00:03:14.317 --> 00:03:28.089]  The attack they're launching with a lot of sponsorship for bills, I know you've been holding, listening, psychological testing, outright bans, anybody on the no-fly list or the criminal watch list, it's over two million, no-fly list over a million, passed that number last year.
[00:03:28.850 --> 00:03:32.513]  This is huge, Mike, so your take on that as we go into break.
[00:03:33.527 --> 00:03:43.434]  Well, basically, this morning on WhatReallyHappened.com, we have the video by Rahm Emanuel basically coming out and saying that anybody on the no-fly list should not be allowed to purchase a handgun.
[00:03:44.114 --> 00:03:52.020]  And outside of being an absolute violation of the Second Amendment, the reality is that we know a lot of people on that no-fly list shouldn't be there.
[00:03:52.280 --> 00:03:58.124]  They're there because they share a name with the terrorists, they've been put on there by mistake, we've heard stories about even Senators
[00:03:58.844 --> 00:04:24.606]  and congressman being blocked from entering airplanes because their name somehow winds up on the list so with the credibility and accuracy of the list so much in doubt how does the government and how does Rahm Emanuel get off basically saying if you're on the list you're not an American and you don't deserve any of the rights anymore which he's on video saying this and it is an absolute outright gun grab and the government is afraid of the American people starting to protest the way we're seeing in Europe right now
[00:04:25.066 --> 00:04:31.254]  But if you go back and you read the founding documents of this country, the Second Amendment was not about hunting or sport shooting.
[00:04:31.494 --> 00:04:36.281]  It was about making sure the American people had the means to resist government gone wrong.
[00:04:37.811 --> 00:04:38.331]  Absolutely.
[00:04:38.351 --> 00:04:41.793]  We're going to come back to Mike Rivero after this quick break and get more into this.
[00:04:43.133 --> 00:04:44.634]  There's more than 10 bills introduced.
[00:04:44.654 --> 00:04:46.314]  They've got massive sponsorship.
[00:04:46.835 --> 00:04:49.135]  There's hardly any mainstream news reporting on this.
[00:04:49.596 --> 00:04:53.637]  Where the Attorney General, outside of any courts, can just ban any guns he wants.
[00:04:53.897 --> 00:04:56.198]  They say they're going to ban basically all semi-autos.
[00:04:56.498 --> 00:04:57.859]  That's the majority of firearms.
[00:04:59.140 --> 00:05:05.625]  Uh, and everybody, if you have any type of psychological issue, they make you give over your private records, even juvenile, hand-owned guns.
[00:05:05.905 --> 00:05:07.866]  The no-fly list is a political weapon.
[00:05:08.147 --> 00:05:08.927]  They're going to do this.
[00:05:09.007 --> 00:05:10.068]  No judge, no jury.
[00:05:10.348 --> 00:05:11.369]  This is total tyranny.
[00:05:11.769 --> 00:05:16.793]  HempUSA.org is now offering free shipping worldwide to better serve our customers.
[00:05:17.113 --> 00:05:23.318]  Our goal is to get these fine hemp products to you in the least amount of time so you can enjoy what the powder seeds and oil can do for you.
[00:05:23.558 --> 00:05:26.040]  HempUSA.org has a warning that the U.S.
