[00:00:00.433 --> 00:00:02.796]  Organicacede.com today!
[00:00:02.816 --> 00:00:10.383]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network!
[00:00:16.033 --> 00:00:20.874]  The military, I mean, they have some serious concerns about what's going to happen in the fall with this flu.
[00:00:20.894 --> 00:00:20.974]  Yep.
[00:00:20.994 --> 00:00:23.255]  Because we'll have two flus at once, obviously.
[00:00:23.315 --> 00:00:25.635]  Regular old every year flu and then this, you know, pig flu.
[00:00:25.935 --> 00:00:26.975]  It's that H1N1.
[00:00:27.055 --> 00:00:33.097]  In case the government asks FEMA for help, the government will be ready there with the military, we're told.
[00:00:33.437 --> 00:00:36.338]  As health officials race to get vaccines ready, the U.S.
[00:00:36.358 --> 00:00:42.279]  government has just gotten 20 million doses and we're told it could be getting ready to start giving those shots by October.
[00:00:42.899 --> 00:00:45.802]  Even though the trials for these drugs hasn't even begun yet.
[00:00:45.882 --> 00:00:56.812]  Just minutes from now, a panel from the Centers for Disease Control and Prevention in Atlanta is expected to hold a news conference in Atlanta and give its recommendation on how the new vaccine should be handed out.
[00:00:57.393 --> 00:01:01.496]  We're keeping an eye on that news conference and we'll let you know exactly what happens and all the developments from it.
[00:01:01.516 --> 00:01:03.018]  Our Brian Wilson is covering this.
[00:01:03.058 --> 00:01:07.142]  Brian, the military getting involved, that seems kind of, you know, drastic.
[00:01:07.898 --> 00:01:09.419]  Well, I think it is dramatic, Chef.
[00:01:09.479 --> 00:01:19.926]  Fox News has confirmed that NORTHCOM has a proposal sitting on the desk of Secretary of Defense Robert Gates that would authorize the military to back up FEMA should there be an H1N1 pandemic.
[00:01:20.206 --> 00:01:30.233]  The proposal comes from NORTHCOM Commander Victor Renoir, who wants permission to set up five regional military teams who will respond if FEMA says it needs help.
[00:01:30.613 --> 00:01:34.916]  One assumes this might be necessary, Chef, if there were, for example, mass quarantines.
[00:01:35.316 --> 00:01:36.517]  Mass quarantines.
[00:01:36.997 --> 00:01:37.858]  Mass quarantines.
[00:01:38.819 --> 00:01:42.862]  Well, there's a hearing today in the Senate on preparing for H1N1.
[00:01:43.142 --> 00:01:44.283]  Where are they with this thing?
[00:01:45.103 --> 00:01:48.045]  Well, the H1N1 vaccine is not completely ready.
[00:01:48.145 --> 00:01:50.707]  They do have some test doses they want to start testing.
[00:01:50.987 --> 00:01:54.430]  Won't be ready for a while, but they do begin to spin a campaign in the fall.
[00:01:55.336 --> 00:02:03.645]  And, Shep, those who should be at the front of the line, adults 19 to 24, we're beginning to hear, because it seems that the H1N1 hits young people the hardest.
[00:02:03.826 --> 00:02:09.312]  Yeah, I guess they saw that here in the United States, but were they seeing that in outbreaks in other parts of the world as well?
[00:02:09.352 --> 00:02:10.893]  I mean, we've learned a lot about this thing recently.
[00:02:11.594 --> 00:02:25.144]  Well, the problem is it keeps changing, and that is the real issue here, is that this one morphs and mutates and comes back in different ways, so they have to be very careful, but they think right now the people at greatest risk are young people 19 to 24.
[00:02:26.445 --> 00:02:30.688]  Alright, Brian Wilson on Capitol Hill, and of course, reminder, we are tracking H1N1.
[00:02:30.788 --> 00:02:32.990]  Can we play that animation again?
[00:02:33.010 --> 00:02:34.671]  There we go.
[00:02:37.313 --> 00:02:38.133]  Be very afraid.
[00:02:38.153 --> 00:02:39.234]  Be very afraid.
[00:02:39.254 --> 00:02:40.275]  Be very afraid.
[00:02:43.320 --> 00:02:46.664]  Alright ladies and gentlemen, we are live.
[00:02:46.684 --> 00:02:48.646]  That's a little YouTube video somebody put together.
[00:02:48.666 --> 00:03:00.077]  You know, we should edit a video together just of all the CNN, Fox, ABC saying there's going to be forced inoculations, the Army is going to make you take the injections.
[00:03:00.858 --> 00:03:02.940]  But it's all for your own good.
[00:03:03.849 --> 00:03:07.132]  And Northcom that was set up to fight Al-Qaeda.
[00:03:07.532 --> 00:03:10.495]  We promise it's not to fight the American people.
[00:03:11.015 --> 00:03:14.178]  We promise we're only going to use the army against Al-Qaeda.
[00:03:15.179 --> 00:03:17.321]  And then, oh, Northcom.
[00:03:17.361 --> 00:03:20.524]  You know, you have Southcom and you have CENTCOM.
[00:03:21.024 --> 00:03:21.785]  Well, now you have
[00:03:22.979 --> 00:03:44.435]  Northcom and AFRICOM and all the rest of it, over the United States, out of Colorado Springs, Colorado, and they've announced they're going to put troops on the streets of America, and they train with the police in these drills, and the DHS reports saying gun owners, conservatives, and veterans are the main force that they are prepared for.
[00:03:45.015 --> 00:03:51.440]  And the John Warner Defense Authorization Act states Northcom's main mission is suppressing governors and rogue states.
[00:03:52.691 --> 00:03:55.792]  You see, the federal government was seized by offshore private banks.
[00:03:56.272 --> 00:04:04.055]  According to Bloomberg and the Associated Press and others, congressional hearings the last week, $23.7 trillion.
[00:04:04.375 --> 00:04:05.635]  And that number's a month old.
[00:04:05.655 --> 00:04:07.056]  It always comes out a few months late.
[00:04:07.656 --> 00:04:13.198]  So in nine months from the bailout point, they had stolen $23.7 trillion.
[00:04:13.398 --> 00:04:16.179]  It's now probably more than $25 trillion.
[00:04:16.799 --> 00:04:19.940]  That is double the GDP of the country, roughly.
[00:04:21.420 --> 00:04:28.367]  And 9.4, 9.5 trillion would have paid off all mortgages in the United States.
[00:04:30.048 --> 00:04:34.813]  All mortgages, not bad mortgages, not mortgages subprime, not jumbo mortgages.
[00:04:35.534 --> 00:04:46.324]  Every condo, every mansion, every small bungalow, every cottage, every mortgage in America paid off for
[00:04:48.268 --> 00:04:49.029]  Over nine trillion.
[00:04:49.369 --> 00:04:49.889]  It's already 23.7.
[00:04:52.611 --> 00:04:54.912]  And that's not counting another month.
[00:04:55.672 --> 00:04:55.992]  Plus.
[00:04:56.133 --> 00:04:58.934]  So... And they won't say where the money is.
[00:05:00.175 --> 00:05:01.195]  And they brag.
[00:05:01.996 --> 00:05:05.178]  How do you think the IMF and World Bank, when they take over a third world country, run things?
[00:05:05.518 --> 00:05:07.159]  They go in and pay off the politicians.
[00:05:07.619 --> 00:05:09.520]  And the politicians set up a military system.
[00:05:10.421 --> 00:05:11.742]  And they suppress the people.
[00:05:13.262 --> 00:05:13.983]  And they...
[00:05:16.072 --> 00:05:36.010]  Come in and raise taxes and regulations and seize the roads, the ports, the infrastructure, and hand it over to foreign countries, and they turn the major regular highways, freeways, into toll roads, and they triple the water price, and they set up all these systems, and now they're going to have a global government, according to Time, Newsweek, everybody else, but they say it's good, that will tax everybody.
[00:05:38.052 --> 00:05:40.394]  And if you don't like it, NORTHCOM is standing by.
[00:05:43.294 --> 00:05:53.966]  And then they can also run around and fearmonger using the swine flu.
[00:05:55.533 --> 00:05:59.414]  And that is clearly just another drill, another exercise.
[00:05:59.474 --> 00:06:12.456]  We don't know how extreme it's going to be in federalization and the United States, not just being federalized, but under World Health Organization, mainstream UN announcements that they are directing the United States and the rest of the world.
[00:06:12.516 --> 00:06:22.758]  This is a perfect pretext for the state worldwide, controlled by big offshore banks, to crack down and control and enslave their population.
[00:06:22.798 --> 00:06:24.438]  That's what's happening, period.
[00:06:25.731 --> 00:06:30.894]  And they use the Patriot Act thousands of times per year, per state, and non-terror-related.
[00:06:30.934 --> 00:06:33.696]  They're getting rid of the whole Bill of Rights, whole Constitution.
