[00:00:00.979 --> 00:00:06.048]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:00:06.408 --> 00:00:08.692]  Because there's a war on for your mind.
[00:00:14.361 --> 00:00:32.197]  Years ago, I interviewed Mr. Black several times, law professor, corporate fraud investigator, one of the top investigators that went after the Keating crooks and others, the SNLs, and they got memos where they were talking about, we want him dead and things like that.
[00:00:33.286 --> 00:00:39.090]  Now the Ponzi schemes are even larger and more dangerous and he has a lot of courage to be doing what he's doing.
[00:00:39.310 --> 00:00:55.402]  But I wanted to play a little clip from Bill Moyers because to see this on national television, not just on our local TV show or on a syndicated radio, I mean that's big to have Mr. Black on with us now talking about this, but to have it on Bill Moyers caused a huge buzz and people really started realizing what we were facing.
[00:00:55.642 --> 00:00:56.403]  Here's a quick clip.
[00:00:57.364 --> 00:01:05.110]  ...than Bill Black, the former director of the Institute for Fraud Prevention, now teaches economics and law at the University of Missouri, Kansas City.
[00:01:05.691 --> 00:01:11.736]  During the savings and loan crisis, it was Black who accused then House Speaker Jim Wright and five U.S.
[00:01:11.776 --> 00:01:19.302]  Senators, including John Glenn and John McCain, of doing favors for the SNLs in exchange for contributions and other perks.
[00:01:20.003 --> 00:01:33.596]  The Senators got off with a slap on the wrist, but so enraged was one of those bankers, Charles Keating, after whom the Senate's so-called Keating Five were named, he sent a memo that read in part, get black, kill him dead.
[00:01:34.196 --> 00:01:35.277]  Metaphorically, of course.
[00:01:35.978 --> 00:01:36.338]  Of course.
[00:01:37.319 --> 00:01:44.820]  Now he's focused on an even greater scandal, and he spares no one, not even the president he worked hard to elect, Barack Obama.
[00:01:45.301 --> 00:01:59.763]  But his main target are the Wall Street barons who are heirs of an earlier generation whose scandalous rip-offs of wealth back in the 1930s earned them comparison to Al Capone and the mob, and the nickname, Banksters.
[00:02:00.243 --> 00:02:01.784]  Bill Black, welcome to the Journal.
[00:02:02.064 --> 00:02:02.344]  Thank you.
[00:02:03.004 --> 00:02:08.352]  I was taken with your candor at the conference here in New York to hear you say... Yes, we were taken with it as well.
[00:02:08.432 --> 00:02:15.202]  ...that this economic and financial meltdown... We were taken with it as well, and that's why we're going to go to Mr. Black right now.
[00:02:15.783 --> 00:02:17.145]  Mr. Black, good to have you on with us.
[00:02:17.726 --> 00:02:17.986]  Thank you.
[00:02:18.931 --> 00:02:27.719]  Okay, you've got the floor for the rest of the hour and I don't want to take much more time than that because I want you to be able to complete the interview that you've been gracious enough to do with us there in your offices.
[00:02:28.540 --> 00:02:33.164]  But my big issue that I'd like you to speak about first is
[00:02:34.145 --> 00:02:48.533]  The same crew, the same ideas have built Ponzi schemes many orders larger and instead of even getting in trouble, they're being seen as our saviors and offering even bigger Ponzi schemes as their solution.
[00:02:49.113 --> 00:02:52.095]  So, is this leading us to rack and ruin?
[00:02:53.816 --> 00:02:56.117]  It has already led us to there.
[00:02:56.737 --> 00:03:03.361]  But you're right, unless we remove this ideology and these folks from power,
[00:03:03.857 --> 00:03:08.498]  They will produce recurrent, intensifying crises.
[00:03:11.979 --> 00:03:14.399]  In layman's terms, what are we currently facing?
[00:03:14.459 --> 00:03:15.239]  Who's guilty?
[00:03:15.379 --> 00:03:16.419]  How do we stop it?
[00:03:18.220 --> 00:03:30.182]  Well, in layman's terms, the FBI began publicly warning in September 2004 that there was an epidemic, their word, of mortgage fraud.
[00:03:31.232 --> 00:03:39.518]  And they said, if this epidemic is not stopped, it will produce an economic crisis at least as large as the savings and loan debacle.
[00:03:40.799 --> 00:03:48.605]  And then they said, but of course, we've learned the lessons from the savings and loan debacle, and we'll be all over this one, so it won't cause those problems.
[00:03:48.785 --> 00:03:51.407]  Well, you know, they were right about the first two things.
[00:03:52.288 --> 00:03:55.430]  Obviously, they weren't even close to right about the third.
[00:03:56.270 --> 00:03:59.753]  The FBI has said something else immensely important.
[00:04:00.137 --> 00:04:05.602]  And that is that 80% of the mortgage fraud is induced by the lenders.
[00:04:07.583 --> 00:04:13.888]  So think about that in terms of, you know, taxpayer revolts and things like that.
[00:04:13.908 --> 00:04:27.900]  You shouldn't be focusing on the individual borrowers as much, at least, as you should be focusing on the big CEOs of these specialty places that, as you said, ran Ponzi schemes.
[00:04:28.742 --> 00:04:33.725]  In order to get extraordinarily rich through their bonus compensation systems.
[00:04:34.505 --> 00:04:44.250]  And then, you know, in many cases walk away, and in other cases remain there, still in control, and being subsidized by all of us as taxpayers right now.
[00:04:46.692 --> 00:04:54.936]  Now, you know, you talk about this being engineered fraud, or the term you use is this control fraud.
[00:04:57.734 --> 00:05:01.796]  Break that down, and then let's get specifically into the fraud we're witnessing right now.
[00:05:02.356 --> 00:05:03.457]  Sure.
[00:05:03.497 --> 00:05:09.960]  Control fraud is simply a term for what happens when you have a seemingly legitimate organization.
[00:05:09.980 --> 00:05:20.765]  In other words, as opposed to an obvious mob shop type of thing, where the person who controls it uses it as a weapon to defraud others.
[00:05:21.825 --> 00:05:25.227]  And if the CEO is the crook, he can
[00:05:26.502 --> 00:05:29.224]  Take care of all the internal controls.
[00:05:29.524 --> 00:05:31.746]  He can get rid of all the underwriting.
[00:05:32.707 --> 00:05:35.228]  And you don't defeat internal controls.
[00:05:35.809 --> 00:05:37.230]  You actually suborn them.
[00:05:37.270 --> 00:05:38.771]  You turn them into allies.
[00:05:39.491 --> 00:05:50.639]  And so these folks were able to get clean audit opinions from the most elite accounting institutions in the world, even though the places were massively insolvent.
[00:05:51.380 --> 00:05:55.323]  They were, of course, able to get grossly inflated appraisals.
