[00:00:00.623 --> 00:00:01.524]  Well, so does he.
[00:00:01.544 --> 00:00:05.766]  He's Alex Jones on the GCN Radio Network.
[00:00:06.386 --> 00:00:10.468]  And now, live from Austin, Texas, Alex Jones.
[00:00:18.672 --> 00:00:22.194]  A mother called in, talking about
[00:00:24.472 --> 00:00:32.657]  A Seward, Alaska lockdown of the town drill and a multi-day event at the school, kind of a death education brainwashing meeting.
[00:00:34.958 --> 00:00:43.383]  So, I just told my guys, I said, Google and print me all the articles you can find with just the keyword... What was the keyword?
[00:00:44.184 --> 00:00:45.064]  School drill.
[00:00:47.226 --> 00:00:49.907]  Children using trash cans as toilets.
[00:00:51.788 --> 00:00:52.709]  And they literally
[00:00:54.810 --> 00:00:57.692]  This is more than 20 articles they just printed in the last 30 minutes.
[00:00:59.213 --> 00:01:04.396]  Now, I want you guys to Google, Death Education Columbine 2020.
[00:01:05.516 --> 00:01:10.299]  This is in my film, Police Head to the Takeover.
[00:01:11.460 --> 00:01:16.102]  The mainstream news articles that they taught the kids how to get in coffins, how to hang themselves so they wouldn't do it.
[00:01:16.122 --> 00:01:18.704]  And of course, massive suicides exploded at the school.
[00:01:20.356 --> 00:01:22.816]  The whole thing was a federally run brainwashing camp.
[00:01:22.856 --> 00:01:23.417]  That's been proven.
[00:01:23.437 --> 00:01:24.257]  It was a test model.
[00:01:24.557 --> 00:01:25.917]  And they staged the shootings there, of course.
[00:01:25.957 --> 00:01:26.537]  That's on record.
[00:01:27.557 --> 00:01:28.178]  We've proven that.
[00:01:29.478 --> 00:01:30.658]  Oh, you didn't know about that?
[00:01:32.498 --> 00:01:37.099]  But regardless, I start mentioning how they don't feed the kids all day.
[00:01:37.159 --> 00:01:39.100]  They make them use the bathroom in trash cans.
[00:01:39.520 --> 00:01:41.640]  They tell them that real terrorists are coming to kill them.
[00:01:43.240 --> 00:01:45.361]  They tell the kids in many of these drills, some they
[00:01:46.380 --> 00:01:48.041]  Just ask for volunteers during the weekend.
[00:01:48.101 --> 00:01:50.641]  It's the drama department and that's reasonable.
[00:01:51.702 --> 00:01:56.063]  We want to be clear that I'm going to videotape some of the ones that are reasonable.
[00:01:56.763 --> 00:01:58.424]  They still are meant to create fear.
[00:01:59.744 --> 00:02:03.486]  They still are meant to train everybody to live in a police state and hate guns.
[00:02:04.686 --> 00:02:07.727]  And we're showing some of those right now, but those are at least with kids that volunteer.
[00:02:08.527 --> 00:02:13.849]  They have other ones all over the country where they go in unannounced showing the mindset of these people.
[00:02:15.404 --> 00:02:26.627]  So I said I would go over those, and I have some news here dealing with missing ampule, three missing ampules.
[00:02:28.027 --> 00:02:29.728]  Yeah, there's death education at Columbine High.
[00:02:30.388 --> 00:02:32.008]  Excellent, 1999, you found it.
[00:02:32.608 --> 00:02:33.269]  There's another one, 2002, 2000, no, 2000, 1991, 1992.
[00:02:40.109 --> 00:02:49.037]  With them in the coffins, even if they didn't want to be in the coffins, they would sit on top of them until they felt like they were suffocating, to quote, it's kind of like waterboarding, to show them what death is like.
