[00:00:07.332 --> 00:00:08.452]  9VoltLight.com.
[00:00:08.772 --> 00:00:11.853]  That address again is 9VoltLight.com.
[00:00:12.333 --> 00:00:13.873]  Or, call us today at 877-715-4448.
[00:00:13.894 --> 00:00:14.134]  That's 877-715-4448.
[00:00:14.154 --> 00:00:17.114]  And taxes are due tomorrow for Travis County.
[00:00:17.174 --> 00:00:19.735]  You are listening to GCN, the Genesis Communications Radio Network.
[00:00:19.755 --> 00:00:20.675]  On News Radio 590K.
[00:00:36.972 --> 00:00:39.533]  IRN USA Radio News, I'm Jody Jordan.
[00:00:39.933 --> 00:00:45.876]  The death toll stands at 113, but is expected to rise in one of Kenya's deadliest accidents.
[00:00:46.476 --> 00:00:52.118]  Officials say an overturned gasoline tanker exploded as hundreds of people were trying to scoop up free fuel.
[00:00:52.679 --> 00:00:56.000]  Victims include small children suffering horrific burns.
[00:00:56.684 --> 00:00:59.445]  British doctor Sarah Hughes is treating the injured.
[00:00:59.645 --> 00:01:05.706]  I think the most serious injured have already left, but there are still some here that will require surgery and further treatment.
[00:01:05.846 --> 00:01:09.327]  And Afghan President Hamid Karzai is renewing his demand to the U.S.
[00:01:09.387 --> 00:01:12.187]  that Afghan soldiers lead overnight raids in villages.
[00:01:12.708 --> 00:01:18.649]  Hundreds of Afghans demonstrated today against an American raid that one villager said killed several civilians.
[00:01:19.189 --> 00:01:23.690]  Meanwhile, a suicide bomber and a car attacked a convoy of foreign troops in Kabul today.
[00:01:24.271 --> 00:01:29.685]  Here's Fizneh Kabrachi, a spokesman for the Taliban insurgent, claiming responsibility for the blast.
[00:01:29.865 --> 00:01:32.111]  This is IRN USA Radio News.
[00:01:33.604 --> 00:01:34.384]  It was a dead end.
[00:01:34.745 --> 00:01:36.486]  You don't know what to do because you don't have the money.
[00:01:36.786 --> 00:01:38.447]  But you want to take care of the debt.
[00:01:38.647 --> 00:01:42.429]  How would you like to wipe out 30 to 60 percent of your credit card debt?
[00:01:42.649 --> 00:01:48.692]  There are secret programs most credit card companies won't tell you about that can allow a portion of your debt to be forgiven.
