[00:00:14.235 --> 00:00:15.537]  ReadyReserveFoods.com.
[00:00:15.837 --> 00:00:16.618]  Factory Direct.
[00:00:16.799 --> 00:00:18.781]  Wholesale pricing from Ready Reserve Foods.
[00:00:19.042 --> 00:00:19.823]  Call us at 1-800-453-2202.
[00:00:36.600 --> 00:00:39.141]  IRN USA Radio News, I'm Jody Jordan.
[00:00:39.601 --> 00:00:44.202]  Defense Secretary Robert Gates is warning North Korea not to do anything that threatens the U.S.
[00:00:44.302 --> 00:00:45.142]  or its allies.
[00:00:45.702 --> 00:00:50.684]  He says he doesn't consider the North's nuclear program to be a direct military threat to the U.S.
[00:00:50.704 --> 00:00:51.304]  so far.
[00:00:51.844 --> 00:00:56.805]  Ambassador Wendy Sherman was a former Clinton administration advisor on North Korean policy.
[00:00:56.825 --> 00:01:00.466]  This particular moment is fundamentally different.
[00:01:01.126 --> 00:01:02.747]  ...than other moments with North Korea.
[00:01:02.907 --> 00:01:04.948]  North Korea has always been belligerent.
[00:01:04.988 --> 00:01:07.128]  Their rhetoric is always bellicose.
[00:01:07.628 --> 00:01:13.971]  They really have only one reason for being in terms of the leadership, and that is the survival of the regime.
[00:01:13.991 --> 00:01:22.294]  And Pakistan's official news agency says one of the campaign offices of President Mahmoud Ahmadinejad was attacked by gunmen who wounded three people.
[00:01:22.774 --> 00:01:27.976]  The attack happened a day after a bombing in a Shiite mosque in the same city that killed 25 people.
[00:01:29.344 --> 00:01:31.665]  This is IRN USA Radio News.
[00:01:33.005 --> 00:01:37.127]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[00:01:37.487 --> 00:01:46.451]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[00:01:46.791 --> 00:01:48.512]  Hi, how in the world are you anyway?
[00:01:48.792 --> 00:01:51.973]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[00:01:52.413 --> 00:01:56.777]  The three-step plan helps people feel better, look better, and make more money.
[00:01:57.197 --> 00:02:01.480]  History has shown that our product line actually grows during an economic slowdown.
[00:02:01.820 --> 00:02:09.166]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[00:02:09.647 --> 00:02:18.453]  With the three-step plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[00:02:18.794 --> 00:02:20.335]  Don't wait for things to get worse.
[00:02:20.717 --> 00:02:22.599]  Check out the three-step plan today.
[00:02:22.939 --> 00:02:30.225]  Go to 3stepplan.com or call 800-480-2102.
[00:02:30.245 --> 00:02:30.805]  800-480-2102.
[00:02:30.825 --> 00:02:38.451]  A judge's decision that could have Chrysler out of bankruptcy within weeks is now expected Monday.
[00:02:38.892 --> 00:02:42.995]  The judge says that's when he'll rule whether Fiat can buy much of the company.
[00:02:43.515 --> 00:02:49.160]  Chrysler fears some state pension and construction funds would appeal the ruling, jeopardizing the deal.
[00:02:49.764 --> 00:02:56.410]  Chrysler dealer owner Colleen McDonald says her objection is not just about the carmaker's treatment of her dealerships.
[00:02:56.610 --> 00:03:01.233]  If this can happen to me, a profitable business owner for 30 years, it can happen to anyone.
[00:03:01.414 --> 00:03:06.858]  And a standing ovation for comedian Jay Leno as he began his final Tonight Show after 17 years.
[00:03:07.499 --> 00:03:10.321]  He says he wanted to thank all the people who made it possible.
[00:03:10.781 --> 00:03:13.503]  Michael Jackson, Monica Lewinsky, and Bill Clinton.
[00:03:14.204 --> 00:03:17.607]  Juliette Harger was lucky enough to get a ticket to the final taping.
[00:03:19.514 --> 00:03:22.336]  Conan O'Brien takes over the Tonight Show on Monday.
[00:03:22.877 --> 00:03:26.019]  Leno's moving to NBC's primetime schedule this fall.
[00:03:26.659 --> 00:03:31.563]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:32.995 --> 00:03:36.716]  You could be financially independent and never have to worry about money again.
[00:03:36.736 --> 00:03:38.837]  Hi, how in the world are you anyway?
[00:03:38.917 --> 00:03:41.858]  This is Andy Willoughby speaking for The Three Step Plan.
[00:03:42.018 --> 00:03:46.820]  The Three Step Plan is a business system designed to help families start their own home-based business.
[00:03:47.020 --> 00:03:51.802]  If you like working with people with similar family values, you'll love The Three Step Plan.
[00:03:51.942 --> 00:03:54.343]  Go to 3stepplan.com or call 800-879-5819.
[00:03:54.363 --> 00:03:54.403]  800-879-5819.
[00:04:03.413 --> 00:04:10.841]  Recording legend Phil Spector has been sentenced in Los Angeles to 19 years to life for the murder of actress Lena Clarkson.
[00:04:11.521 --> 00:04:13.123]  It happened more than six years ago.
[00:04:13.143 --> 00:04:19.529]  A prosecutor says the case shows that neither fame nor wealth will protect someone from prosecution.
[00:04:20.150 --> 00:04:21.091]  Here's Linda Deutsch.
[00:04:21.818 --> 00:04:23.820]  The inspector showed absolutely no reaction.
[00:04:23.860 --> 00:04:25.942]  He sat really stone still.
[00:04:26.142 --> 00:04:29.065]  He knew it was coming, so it was not a huge surprise.
[00:04:29.385 --> 00:04:32.508]  A corruption investigation is heating up on Capitol Hill.
[00:04:32.968 --> 00:04:33.869]  Here's Ed Donohue.
[00:04:34.190 --> 00:04:41.736]  Indiana Congressman Pete Visclosky says a grand jury wants documents from his office as well as from some employees and his campaign committees.
[00:04:42.137 --> 00:04:45.460]  The focus is on the now defunct lobbying group, PMA Group.
[00:04:45.880 --> 00:04:46.880]  And more on Jay Leno's farewell.
[00:05:09.745 --> 00:05:16.148]  Where Conan O'Brien says he's consistently being measured up against Jay Leno, and Leno tries to encourage him.
[00:05:16.408 --> 00:05:20.549]  All I keep hearing over and over again, which is a compliment to this man, big shoes to fill!
[00:05:20.569 --> 00:05:21.330]  You got big shoes to fill!
[00:05:21.350 --> 00:05:21.850]  Big shoes over and over!
[00:05:21.870 --> 00:05:26.592]  But you have big shoes, look!
[00:05:26.612 --> 00:05:27.272]  I have big shoes!
[00:05:27.312 --> 00:05:27.992]  Those are big shoes!
[00:05:28.493 --> 00:05:31.494]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.028 --> 00:05:40.136]  Due to recent events related to the H1N1 virus, the Center for Disease Control has issued a public health emergency across the United States.
[00:05:40.376 --> 00:05:43.099]  What can you do to prepare yourself for potential airborne threats?
[00:05:43.419 --> 00:05:49.145]  Using patented technology developed for NASA, ZeroFlu.com offers you the very best in air purifiers.
[00:05:49.326 --> 00:05:54.331]  These revolutionary air purifiers sanitize and protect up to 3,000 square feet of your home
[00:05:54.431 --> 00:05:56.473]  With no filters to replace ever, you save money!
[00:05:56.493 --> 00:05:57.514]  Prepare yourself today.
[00:05:57.534 --> 00:06:01.918]  Truthful answers to your questions and concerns can be found at ZeroFlu.com.
[00:06:01.958 --> 00:06:03.279]  To learn more, visit ZeroFlu.com.
[00:06:20.555 --> 00:06:22.656]  Prepare yourself for a talk radio experience.
[00:06:22.696 --> 00:06:23.457]  Strap yourselves in.
[00:06:23.497 --> 00:06:23.877]  Hold on.
[00:06:42.589 --> 00:06:43.950]  He stands for truth.
[00:06:45.370 --> 00:06:47.652]  He stands for justice.
[00:06:48.572 --> 00:06:50.973]  He stands for what's right.
[00:06:51.033 --> 00:06:53.775]  This is the Alex Jones Show.
[00:06:54.335 --> 00:06:57.156]  Call Alex now, toll free at 877-590-5525.
[00:07:02.699 --> 00:07:07.362]  Now live from Austin, Texas, here's Alex Jones.
[00:07:08.443 --> 00:07:10.484]  Alright folks, we are live.
[00:07:10.504 --> 00:07:12.965]  I'm not Alex Jones, I'm Jason Burmas sitting in.
[00:07:13.886 --> 00:07:20.050]  And folks, if you missed the news this week, there's so much to discuss over at InfoWars.com and PrisonPlanet.tv right now.
[00:07:20.150 --> 00:07:25.793]  We have made a big issue out of this EMT assault by a police officer.
[00:07:26.353 --> 00:07:28.495]  We're going to be playing that audio clip for you.
[00:07:28.515 --> 00:07:29.655]  Yes, that's right, an EMT
[00:07:31.176 --> 00:07:34.357]  Assaulted by a police officer with a patient in the back.
[00:07:35.057 --> 00:07:41.579]  Yeah, it's not good enough you're an ambulance and you're escorting a woman who has heat stroke with her family to the hospital.
[00:07:41.959 --> 00:07:44.540]  Now the police can pull you over like thugs.
[00:07:44.820 --> 00:07:46.500]  They do more than threaten to arrest him.
[00:07:46.540 --> 00:07:49.561]  They really clearly assault him because of a state law.
[00:07:50.265 --> 00:07:58.809]  The scuffle stops for a moment and of course no charges were brought against the EMT who was trying to diffuse the situation as best he could.
