[00:00:14.198 --> 00:00:15.479]  Today, that's 1-800-426-6186.
[00:00:15.479 --> 00:00:20.620]  This is a limited time offer, so call 1-800-426-6186 now.
[00:00:20.620 --> 00:00:29.204]  Funding is expected at Capital Metro for a... Thank you for listening to GCN.
[00:00:29.204 --> 00:00:32.185]  Visit GCNlive.com today.
[00:00:32.185 --> 00:00:34.666]  KLBJ Austin, it's 4 o'clock.
[00:00:36.804 --> 00:00:38.806]  Fox News Radio, I'm Karen Riegel.
[00:00:38.806 --> 00:00:46.653]  When President Obama addressed the graduates of Notre Dame, he also addressed the controversy that preceded and accompanied his visit.
[00:00:46.653 --> 00:00:49.275]  Let's go live now to Fox News Radio's Jennifer Kiper.
[00:00:49.275 --> 00:00:56.982]  Karen, President Barack Obama talked about abortion, telling graduates... So let us work together to reduce the number of women seeking abortions.
[00:00:57.720 --> 00:00:59.861]  Let's reduce unintended pregnancy.
[00:00:59.861 --> 00:01:02.702]  Some guests who stood up and yelled were escorted from the audience.
[00:01:02.702 --> 00:01:06.043]  The students in unison chanting back, we are ND.
[00:01:06.043 --> 00:01:11.245]  On some graduation caps in protest of the president's visit, the sign of the cross and baby's feet.
[00:01:11.245 --> 00:01:17.068]  Outside, at least 27 people arrested on trespassing charges before and during the event.
[00:01:17.068 --> 00:01:17.328]  Karen?
[00:01:17.808 --> 00:01:25.233]  Jennifer, this abortion controversy comes as President Obama is considering who will replace Justice David Souter on the nation's highest court.
[00:01:25.233 --> 00:01:28.015]  Senator Mitch McConnell is the Senate's top Republican.
[00:01:28.015 --> 00:01:30.877]  I think Chief Justice Roberts had it right during his confirmation hearing.
[00:01:30.877 --> 00:01:33.279]  He said the judge ought to be like an umpire.
[00:01:33.279 --> 00:01:35.700]  Call the balls and strikes, but don't make the rules.
[00:01:35.700 --> 00:01:37.301]  That's the kind of individual we're looking for.
[00:01:37.301 --> 00:01:40.664]  We know it will be someone of the political left, but a number of
[00:01:41.511 --> 00:01:46.976]  Leftist judges have been able to put aside their personal views and call it like they see it.
[00:01:46.976 --> 00:01:48.637]  He spoke on Fox News Sunday.
[00:01:48.637 --> 00:01:58.406]  House Speaker Nancy Pelosi got hammered on the Sunday talk shows after claiming last week the CIA lied to her about the use of enhanced interrogation techniques.
[00:01:59.106 --> 00:02:09.852]  I am less interested in investigating whether her memory was correct or she lied about it than I am in the policies that flow from the debate that we're having.
[00:02:09.852 --> 00:02:14.395]  I am not one who thinks we ought to have truth commissions and all the rest of it and keep looking backward.
[00:02:14.395 --> 00:02:15.315]  I agree with the president.
[00:02:15.315 --> 00:02:16.316]  We've got enough on our plate.
[00:02:16.316 --> 00:02:17.076]  We need to look forward.
[00:02:17.296 --> 00:02:19.859]  The senator was on ABC's This Week.
[00:02:19.859 --> 00:02:27.446]  CIA Chief Leon Panetta said last week the CIA misleads no one and was straightforward when it came to briefing lawmakers.
[00:02:27.446 --> 00:02:29.688]  You're listening to Fox News Radio.
[00:02:29.688 --> 00:02:30.489]  Fair and balanced.
[00:02:36.705 --> 00:02:40.047]  News Radio 590, KLBJ, good afternoon.
[00:02:40.047 --> 00:02:41.208]  It's 4.02.
[00:02:41.208 --> 00:02:42.769]  I'm Sarah Hudeberg.
[00:02:42.769 --> 00:02:50.513]  Topping Austin's news, the Austin City Council approves almost $800,000 in solar rebates for area businesses.
[00:02:50.513 --> 00:02:59.839]  Austin Energy's Ed Clark says that amount is the highest paid out so far to commercial property owners since the solar rebate program was launched.
[00:02:59.839 --> 00:03:00.800]  We do have a limit.
[00:03:00.800 --> 00:03:02.341]  We do have a budget limit.
[00:03:02.341 --> 00:03:05.723]  And that budget limit right now is about $4 million a year.
[00:03:06.383 --> 00:03:15.528]  Clark says Austin businesses can also benefit from federal tax credits that pay for up to 80% of solar panel installation.
[00:03:15.528 --> 00:03:24.732]  Well, the feds will likely help Austin's main transit agency start a new rapid bus program for two very long north to south routes.
[00:03:24.732 --> 00:03:32.016]  It is part of a program from the president that designates $17 million in funding for two of Capital Metro's Metro Rapid buses.
[00:03:32.574 --> 00:03:37.878]  Cabinetress Adam Chavitz tells KLBJ it means the agency will not have to front all of the money.
[00:03:37.878 --> 00:03:42.501]  The fact that we've already been recommended for about $17 million is really great news.
[00:03:42.501 --> 00:03:47.145]  Chavitz says ultimately they'll have to cover up to $37 million with federal funding.
[00:03:47.145 --> 00:03:48.446]  One route would link St.
[00:03:48.446 --> 00:03:52.769]  David's North with South Park Meadows to the south using Burn It and South Congress.
[00:03:53.169 --> 00:03:57.812]  The Texas House has adopted new guidelines over how corporate money can be used in elections.
[00:03:57.812 --> 00:04:00.034]  News Radio 590 KLVJ's Emily Trube has more.
[00:04:23.569 --> 00:04:25.630]  Now the KLBJ Radar Weather Watch with Richard Llewellyn.
[00:04:43.719 --> 00:04:48.442]  Right now, mostly cloudy skies, 76 degrees at Austin's airport.
[00:04:48.442 --> 00:04:49.943]  I'm Sarah Hudeberg.
[00:04:49.943 --> 00:04:53.566]  You can get instant news alerts at home or at the office.
[00:04:53.566 --> 00:04:55.367]  Register online at 590KLBJ.com.
[00:04:58.820 --> 00:05:03.444]  Listen up Central Texas, Alex Jones here with great news vital to the security of your family.
[00:05:03.444 --> 00:05:08.468]  The Hardware Store Incorporated in Austin is now a distributor for eFoodsDirect storable foods.
[00:05:08.468 --> 00:05:15.474]  Bob Dacey's True Value Hardware Store has partnered with eFoodsDirect to provide you with the best value in long-term storable food.
[00:05:15.474 --> 00:05:22.320]  At the Hardware Store, you can see it now, get it now, and save money on shipping costs, and buy in complete privacy if you prefer.
[00:05:23.126 --> 00:05:28.548]  Call the hardware store at 512-250-1591 today and have your food tonight.
[00:05:28.548 --> 00:05:29.528]  Don't have a truck?
[00:05:29.528 --> 00:05:30.389]  Borrow one.
[00:05:30.389 --> 00:05:33.510]  In these uncertain times, storable food is a great investment to make.
