[00:00:00.149 --> 00:00:00.229]  3-3.
[00:00:00.309 --> 00:00:08.652]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:00:25.416 --> 00:00:43.943]  Dr. Leonard Horowitz is with us for the rest of the hour with investigative journalist Sherry Cain, who helps him write up his lengthy affidavit he's given to the FBI implicating who he believes the evidence shows is behind the purposeful release of this genetically modified and laboratory produced H1N1.
[00:00:46.104 --> 00:00:53.546]  And we're going to talk about a host of issues with both of these researchers, Dr. Lerner Horowitz and Sherry Cain, here in this hour today.
[00:00:54.226 --> 00:00:58.348]  I want to get into what's in the vaccine, what the adjuvants do.
[00:00:58.948 --> 00:01:08.851]  I talked to Dr. Stan Monteith, who's coming up on the show later this week, medical doctor, and he said it's really bad stuff that's in there, but also that
[00:01:09.938 --> 00:01:18.145]  The CDC has issued a report saying that they believe it's going to peak sometime in the next few weeks as the flu vaccine begins.
[00:01:18.345 --> 00:01:20.286]  And it's not even killing a lot of people.
[00:01:20.346 --> 00:01:21.147]  It's not a big deal.
[00:01:21.187 --> 00:01:24.430]  So if it's engineered, why would they engineer something that isn't that deadly?
[00:01:25.331 --> 00:01:31.095]  But then the other issue is we know the adjuvants with the anthrax shots with the troops is what was killing them and maiming them.
[00:01:31.315 --> 00:01:35.779]  So we'll talk about that with Sherry Kane, Dr. Leonard Horowitz, right now today.
[00:01:36.219 --> 00:01:37.360]  Great to have you both here with us.
[00:01:37.961 --> 00:01:38.561]  Thanks, Alex.
[00:01:38.601 --> 00:01:39.242]  Great to be with you.
[00:01:40.097 --> 00:01:40.718]  Great to be with you, Alex.
[00:01:40.738 --> 00:01:42.881]  Well, I think that the facts of the
[00:01:55.632 --> 00:01:56.092]  I think so.
[00:02:17.788 --> 00:02:18.608]  We're good to go.
[00:02:45.237 --> 00:02:48.438]  Well here in Texas, and I know it's nationwide, the biggest chain
[00:03:02.333 --> 00:03:05.255]  Walgreens aggressively pushes it when you come in the door.
[00:03:05.295 --> 00:03:06.215]  They're like, take a shot.
[00:03:06.275 --> 00:03:06.675]  You need it.
[00:03:06.715 --> 00:03:07.536]  It's for your children.
[00:03:08.016 --> 00:03:13.759]  And they've got bureaucrats and doctors everywhere going to schools, confirming the news, saying you've got to take it.
[00:03:14.159 --> 00:03:16.000]  You've got to give it to your kids if you love your kids.
[00:03:16.080 --> 00:03:18.542]  CPS is saying it may be abusive.
[00:03:18.582 --> 00:03:19.002]  You don't.
[00:03:19.862 --> 00:03:20.603]  We've confirmed.
[00:03:20.643 --> 00:03:23.544]  We got the letters from nurses, medical workers.
[00:03:25.365 --> 00:03:34.749]  People working in daycares and public schools, and these are up on Infowars.com and PresentPlanet.com, confirming that Obama's a liar, saying you want to take the shot.
[00:03:35.029 --> 00:03:38.411]  Through color of law, they are pushing this aggressively everywhere.
[00:03:39.091 --> 00:03:42.573]  Sherry Kane and Dr. Leonard Horowitz, what can you tell us about that?
[00:03:42.893 --> 00:03:49.296]  I can tell you that my latest press release is going to be titled, Safeway's Killer Flu Shot Marketing Campaign.
[00:03:49.636 --> 00:03:51.417]  What doesn't kill you makes you sicker.
[00:03:51.988 --> 00:04:00.032]  Steve Byrd is the chairman and he's also the president and CEO of Safeway and the founder of the Coalition to Advance Healthcare Reform.
[00:04:00.052 --> 00:04:04.134]  The organization is called CAHR.
[00:04:04.595 --> 00:04:12.479]  Apparently they're working overtime to promote this vaccination campaign and they are catering to uninsured, low-income, public and blue-collar workers.
[00:04:13.206 --> 00:04:18.312]  Blue Collar workers for just under $30 you can walk into Safeway Bond to get vaccinated.
[00:04:18.672 --> 00:04:20.134]  They get you in the front door.
[00:04:20.214 --> 00:04:25.800]  Somebody hands you a flyer with a big smile, tells you that they get the flu shot in their in-house pharmacy.
[00:04:26.201 --> 00:04:31.167]  On your way out the door, if you don't go for the flu shot, they get you while you're swiping your credit card.
[00:04:31.767 --> 00:04:32.488]  I mean, folks, come on!
[00:04:32.508 --> 00:04:34.250]  A 10% off the average grocery bill of $150?
[00:04:46.846 --> 00:04:48.747]  We're talking about twelve, thirteen dollars.
[00:04:49.728 --> 00:04:51.669]  I mean, they are really pushing this.
[00:04:52.089 --> 00:05:01.735]  With a government with a history of genetic engineering, of eugenics, of poisoning vaccines, of radiating foster children of black men and giving them syphilis, Tuskegee.
[00:05:01.995 --> 00:05:03.897]  I mean, how would anyone trust these people?
[00:05:05.057 --> 00:05:07.299]  Well, that's the greatest point.
[00:05:07.359 --> 00:05:12.522]  I think you really have to look at how persuasive the mainstream media is and how
[00:05:13.484 --> 00:05:22.048]  Malfeasance the officials are to actually say that these vaccines are safe and effective when actually the science disproves all of that.
[00:05:24.309 --> 00:05:30.232]  And one of the big questions actually is who's actually giving out these vaccines in a safe way?
[00:05:30.912 --> 00:05:35.454]  According to the Infectious Disease Society of America, which is not on our team,
[00:05:36.121 --> 00:05:42.844]  They claim that these are travel medicine providers that have no experience or unqualified, untrained.
[00:05:43.324 --> 00:05:45.165]  They don't know anything about the side effects.
[00:05:45.545 --> 00:05:49.867]  If somebody is already not feeling well and they give them these vaccinations, they can be deadly.
[00:05:51.648 --> 00:05:52.168]  That's right.
[00:05:52.188 --> 00:06:01.932]  In fact, a medical doctor or a nurse will ask you if you've already been sick, if you've already had the flu, if you've got pre-existing conditions, do you have allergic responses to vaccines.
[00:06:02.652 --> 00:06:04.093]  And I was talking to one of my employees.
[00:06:04.433 --> 00:06:05.973]  His mother's not in the medical field.
[00:06:06.013 --> 00:06:09.995]  She was offered $45 an hour to go to events and give people shots.
[00:06:10.275 --> 00:06:14.596]  They're not trained in the multi-use vials to use the needles properly.
[00:06:14.937 --> 00:06:15.917]  I mean, this is hellish.
[00:06:17.072 --> 00:06:21.433]  It could be contamination, lots of contamination involved, and I would recommend it.
[00:06:21.593 --> 00:06:23.974]  No one rolls up their sleeve for any vaccination.
[00:06:25.575 --> 00:06:37.338]  One of the main ingredients is the MS-59, and you spoke about that, which has this sub-micron oil and water emulsion of squalene, which is an adjective, and it's unlicensed in the U.S.
[00:06:37.618 --> 00:06:43.760]  You know, the other thing, the additive that is implicated is IL-2, interleukin-2.
[00:06:45.218 --> 00:06:47.279]  There's also non-oxal 9.
[00:06:47.499 --> 00:07:06.128]  What we're going to be coming out with tomorrow are the links between the fact that Baxter's vaccinations are being produced not in the chicken embryo, but actually in the Vero green monkey kidney tissue cell cultures with sp40, simian virus 40 contaminants.
[00:07:06.567 --> 00:07:07.707]  And that's not your opinion.
[00:07:07.787 --> 00:07:11.308]  Build, the biggest newspaper in Germany, reported that three weeks ago.
