[00:00:00.734 --> 00:00:04.076]  It's already Thursday, the 16th day of July 2009.
[00:00:06.218 --> 00:00:13.482]  And for this hour and five minutes into the next hour, we have Wayne Hall, CPA and brother of Representative Dr. Ron Paul.
[00:00:15.259 --> 00:00:31.448]  And of course, Wayne appears in the Obama Deception, discusses the Social Security scam, the Federal Reserve, how the country is bankrupt and we are under emergency powers, and the security of the Treasury is really in control of the country, or how the Secretary of the Treasury is really in control of the country through the War Powers Act.
[00:00:31.468 --> 00:00:37.631]  In fact, let's play that scene of Wayne Paul in the Obama Deception, then we're going to go right to Wayne Paul.
[00:00:37.972 --> 00:00:38.332]  Here it is.
[00:00:39.421 --> 00:00:48.206]  In 1913, the Federal Reserve Act was passed for the House where three members of Congress were on the floor.
[00:00:48.226 --> 00:00:53.088]  At that time, they only needed a majority of votes to pass it.
[00:00:53.869 --> 00:00:57.250]  So in 1913, the Federal Reserve Act was passed.
[00:00:58.071 --> 00:01:05.775]  Twenty years later, 1933, under Roosevelt, the United States was declared bankrupt.
[00:01:07.125 --> 00:01:17.549]  And in 1933, the Federal Reserve Private Bank says, OK, USA, what are you going to pledge as collateral on the debt you owe me?
[00:01:18.690 --> 00:01:19.570]  What happened by 1936?
[00:01:19.610 --> 00:01:21.891]  Does anybody know?
[00:01:23.212 --> 00:01:35.337]  We instituted social security system, and you and I and our children and our children's children were pledged as collateral on the debt of our government to the Federal Reserve.
[00:01:36.596 --> 00:01:37.997]  And that's where we're at today.
[00:01:38.017 --> 00:01:49.883]  It took 20 years to make this country bankrupt and since then our government has operated under emergency powers of our government.
[00:01:51.164 --> 00:01:55.126]  It is not the president that makes the decision in this country.
[00:01:56.425 --> 00:02:06.290]  It's the Secretary of Treasury who turns around and is put in there by the Federal Reserve to manage the bankruptcy.
[00:02:07.330 --> 00:02:09.211]  We've been in bankruptcy ever since.
[00:02:09.911 --> 00:02:14.414]  So to print $700 billion and to give it away, how do they get away with it?
[00:02:14.914 --> 00:02:19.636]  The manager of the bankruptcy is told by the Federal Reserve this is the way to go.
[00:02:20.576 --> 00:02:21.577]  That's where we're at today.
[00:02:22.701 --> 00:02:33.766]  Yes, we should point out, Congressman Ron Paul now has a huge amount of sponsors for a bill in the House of Representatives to abolish the private Federal Reserve.
[00:02:33.786 --> 00:02:34.707]  Alright, here we go folks.
[00:02:34.727 --> 00:02:39.669]  We're going to go ahead and go back now to our guest, Wayne Paul.
[00:02:40.149 --> 00:02:41.850]  Wayne, it's great to have you here with us today.
[00:02:42.230 --> 00:02:43.471]  It's good to be on board.
[00:02:44.832 --> 00:02:46.732]  Where are you joining us from today?
[00:02:47.093 --> 00:02:49.754]  I'm in East Texas at my home today.
[00:02:50.865 --> 00:02:53.526]  Fantastic, great to have you on with us.
[00:02:54.826 --> 00:03:19.875]  Wayne, there's so much to talk about, but let's begin with the issue you were just discussing, how this country was taken into receivership through fraud, because these shysters, these rhinestone con artists, these flim-flam artists, they create all this out of nothing, and they basically buy up the world out of nothing, and so they want to create a debt black hole
[00:03:20.825 --> 00:03:28.889]  A system to bankrupt the planet to then bring in their new world order, their new bank of the world, which they admit we're going to be paying our carbon taxes to.
[00:03:29.249 --> 00:03:33.031]  And you so eloquently broke that down, but can you further comment on that?
[00:03:33.051 --> 00:03:34.692]  Then we're going to go back to the beginning.
[00:03:35.072 --> 00:03:47.479]  I want to talk about you growing up with your brother outside Pittsburgh on a dairy farm and just what formed a great family like yours and then looking forward into some of the current things that are happening today.
[00:03:48.336 --> 00:03:56.821]  Well, I think the most fascinating thing is the bill that's on the floor of the House now as it relates to Audit the Fed.
[00:03:57.802 --> 00:04:13.052]  If somebody would have said to me five years ago that there would have been over 240 congressmen putting their name on the line to have the Federal Reserve Bank audited, I'd have never believed it.
[00:04:14.332 --> 00:04:15.013]  That alone
