[00:00:04.696 --> 00:00:06.177]  Thank you, Mr. Chairman.
[00:00:29.426 --> 00:00:35.371]  Chairman Bernanke, I'm looking at the report that you handed out this morning, and I was wondering if you could take your copy and turn to page 26.
[00:00:35.371 --> 00:00:52.644]  There's a table on page 26 which consists of your balance sheet, and one of the entries on the balance sheet is, under assets, central bank liquidity swaps.
[00:00:53.547 --> 00:01:05.934]  Which shows an increase from the end of 2007 from $24 billion to $553 billion in change at the end of 2008.
[00:01:05.934 --> 00:01:07.495]  What's that?
[00:01:07.495 --> 00:01:10.877]  Those are swaps that were done with foreign central banks.
[00:01:10.877 --> 00:01:21.042]  Many, um, many foreign banks are short dollars and send them to our markets looking for dollars and drive up interest rates and create volatility in our markets.
[00:01:21.042 --> 00:01:21.743]  What we have done is
[00:01:22.833 --> 00:01:29.396]  With a number of major central banks, like the European Central Bank for example, we swap our currency, dollars for their currency, euros.
[00:01:29.396 --> 00:01:34.638]  They take the dollars, lend it out to the banks in their jurisdiction.
[00:01:34.638 --> 00:01:38.600]  That helps bring down interest rates in the global market for dollars.
[00:01:38.600 --> 00:01:41.741]  And meanwhile, we're not lending to those banks, we're lending to the central bank.
[00:01:41.741 --> 00:01:44.823]  The central bank is responsible for repaying us.
[00:01:44.823 --> 00:01:46.684]  So who got the money?
[00:01:46.684 --> 00:01:50.085]  To financial institutions in Europe and other countries.
[00:01:50.085 --> 00:01:51.846]  Which ones?
[00:01:51.846 --> 00:01:52.206]  I don't know.
[00:01:53.960 --> 00:01:57.202]  Half a trillion dollars and you don't know who got the money?
[00:01:57.202 --> 00:02:07.306]  The loans go to the central banks and they then put them out to their institutions to try to bring down short-term interest rates in dollar markets around the world.
[00:02:07.306 --> 00:02:10.028]  Well, let's start with which central banks got the money.
[00:02:10.028 --> 00:02:14.510]  There are 14 of them which are listed in our... I'm sure they're listed in here somewhere.
[00:02:16.224 --> 00:02:20.646]  All right, so who actually made that decision to hand out a trillion dollars that way?
[00:02:20.646 --> 00:02:21.647]  Half a trillion dollars.
[00:02:21.647 --> 00:02:23.068]  Who made that decision?
[00:02:23.068 --> 00:02:25.029]  The Federal Open Market Committee.
[00:02:25.029 --> 00:02:28.010]  Okay, and was it done at one time or in a series of meetings?
[00:02:28.010 --> 00:02:30.011]  A series of meetings.
[00:02:30.011 --> 00:02:32.433]  And under what legal authority?
[00:02:32.433 --> 00:02:36.835]  We have a long-standing legal authority to do swaps with other central banks.
[00:02:36.835 --> 00:02:39.516]  It's not an emergency authority of any kind.
[00:02:39.516 --> 00:02:40.817]  Anything specific about it?
[00:02:46.563 --> 00:02:50.245]  My counsel says Section 14 of the Federal Reserve Act.
[00:02:50.245 --> 00:02:56.009]  All right, we actually looked at one of the arrangements and one of the arrangements is $9 billion for New Zealand.
[00:02:56.009 --> 00:03:00.451]  That works out to $3,000 for every single person who lives in New Zealand.
