[00:00:07.333 --> 00:00:09.055]  BeNatural.com.
[00:00:09.135 --> 00:00:10.796]  To BeNatural.com.
[00:00:10.936 --> 00:00:12.978]  Use coupon code GCN and receive a 10% discount.
[00:00:12.998 --> 00:00:13.238]  Call 1-888-417-1375.
[00:00:13.298 --> 00:00:13.779]  That's 1-888-417-1375.
[00:00:13.799 --> 00:00:15.641]  To order or request your free catalog today.
[00:00:15.681 --> 00:00:17.102]  South Austin Lubies, where the ceiling collapses.
[00:00:17.242 --> 00:00:18.523]  This is the GCN Radio Network.
[00:00:18.543 --> 00:00:19.043]  LBJ, Austin, Texas.
[00:00:36.699 --> 00:00:39.841]  IRN USA Radio News, I'm Cody Jordan.
[00:00:39.861 --> 00:00:45.485]  Spring is only weeks away, but it doesn't look like it in Alabama, Georgia, and other parts of the South and East.
[00:00:46.085 --> 00:00:51.148]  The National Weather Service is predicting as much as 14 inches of snow for the Philadelphia area.
[00:00:51.689 --> 00:00:54.851]  As much as 15 inches could fall across southern New England.
[00:00:55.471 --> 00:00:58.832]  Brian Cordy is a meteorologist with the National Weather Service.
[00:00:59.212 --> 00:01:09.795]  This storm is expected to produce a wide swath of moderate to heavy snows all the way from the western portion of the Carolinas all the way up through New England.
[00:01:09.915 --> 00:01:19.277]  Bob Nations, who's the director of the Shelby County Office of Emergency Preparedness, says it's very unusual to see any accumulating snow in and around Memphis.
[00:01:19.577 --> 00:01:29.723]  We get some snow flurries usually each year, but when it gets to be, you know, three or four inches, that's not necessarily common for our area.
[00:01:29.843 --> 00:01:31.964]  This is IRN USA Radio News.
[00:02:03.695 --> 00:02:09.080]  The White House Budget Director says President Barack Obama will sign a big spending bill despite Republican calls for a veto.
[00:02:21.564 --> 00:02:27.710]  A $410 billion measure would keep the government operating through September 30th, the end of the current budget year.
[00:02:27.730 --> 00:02:34.337]  A watchdog group says the measure includes nearly $8 billion in earmarks, which Obama campaigned about.
[00:02:35.097 --> 00:02:43.065]  Israeli officials say Palestinian rocket attacks are still targeting Israel, six weeks after the end of a military offensive aimed at stopping them for good.
[00:02:43.795 --> 00:02:49.800]  Prime Minister Ehud Olmert is threatening painful retaliation against Gaza militants if the attacks continue.
[00:02:50.380 --> 00:03:00.148]  The comments come as Secretary of State Hillary Rodham Clinton arrives in the region to discuss a two-state solution that aims to establish a Palestinian state at peace with Israel.
[00:03:00.808 --> 00:03:07.274]  And about 2,000 Shiites in Iraq have been protesting the results of provincial elections in Tentz, Delilah Province.
[00:03:08.054 --> 00:03:12.778]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:14.668 --> 00:03:17.930]  Did you know the average household owes over $25,000 in credit card debt?
[00:03:17.990 --> 00:03:21.151]  And 65% of those households can only afford the minimum monthly payment.
[00:03:21.231 --> 00:03:22.932]  Are you in a debt trap you can't get out of?
[00:03:23.052 --> 00:03:23.993]  I can't keep this up.
[00:03:24.133 --> 00:03:24.853]  I need relief.
[00:03:25.013 --> 00:03:26.194]  Now you can rest easy.
[00:03:26.254 --> 00:03:29.095]  Debt Relief USA has helped thousands of people just like you.
[00:03:29.175 --> 00:03:33.857]  If you owe more than $10,000 in credit card debt, call the debt specialists at Debt Relief USA.
[00:03:33.877 --> 00:03:34.097]  866-452-5550.
[00:03:34.258 --> 00:03:34.978]  Get debt free now.
[00:03:35.018 --> 00:03:35.178]  Call 866-452-5550.
[00:03:35.218 --> 00:03:36.439]  That's 866-452-5550 for Debt Relief USA.
[00:03:44.597 --> 00:03:50.499]  The Chairman of the Joint Chiefs of Staff says he's confident about Iraq's future and the future of the U.S.
[00:03:50.539 --> 00:03:51.720]  withdrawal from the country.
[00:03:52.380 --> 00:04:01.203]  Admiral Mike Mullen says he's reluctant to talk about winning and losing in Iraq, but he tells Fox that Baghdad will be able to successfully take control of the country.
[00:04:01.384 --> 00:04:04.825]  The President listened to General Odierno, General Petraeus, all the chiefs.
[00:04:05.766 --> 00:04:10.592]  Throughout this process, which was very thorough and very deliberate.
[00:04:11.073 --> 00:04:13.636]  And I have a great deal of confidence in that process.
[00:04:13.736 --> 00:04:16.039]  Pakistani officials say suspected U.S.
[00:04:16.099 --> 00:04:20.024]  missiles have hit an alleged terrorist target near the Afghanistan border.
[00:04:20.525 --> 00:04:23.429]  The strikes struck a suspected Taliban compound.
[00:04:24.049 --> 00:04:33.512]  Our sources are telling us that Taliban militants immediately surrounded the compound and we're still trying to get more details.
[00:04:33.672 --> 00:04:35.953]  It's unclear exactly who was among the dead.
[00:04:36.293 --> 00:04:41.215]  A broadcast pioneer with one of the nation's most familiar radio voices has died.
[00:04:41.795 --> 00:04:44.996]  Paul Harvey was 90 and died yesterday in Arizona.
[00:04:45.715 --> 00:04:53.640]  ABC Radio Network's President Jim Robinson says Paul Harvey lost his wife of almost 70 years, Angel, less than a year ago.
[00:04:53.660 --> 00:05:00.084]  She was magnificent and they were quite in love every day and it was a pleasure to be around them as a couple.
[00:05:00.544 --> 00:05:01.805]  I will miss them both dearly.
[00:05:02.085 --> 00:05:07.748]  Former President George W. Bush says Harvey entertained, enlightened and informed.
[00:05:08.889 --> 00:05:12.651]  I'm Jody Jordan for IRN USA Radio News.
[00:05:14.833 --> 00:05:20.315]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:05:20.335 --> 00:05:20.856]  and the world.
[00:05:21.136 --> 00:05:24.597]  And for the first time in their lives, they are feeling the need for preparedness.
[00:05:24.997 --> 00:05:31.220]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:05:31.500 --> 00:05:33.281]  Ready Reserve is the manufacturer.
[00:05:33.521 --> 00:05:41.464]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:05:41.744 --> 00:05:46.166]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:05:46.446 --> 00:05:51.989]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:05:52.249 --> 00:05:54.270]  Many companies do not even offer a catalog.
[00:05:54.430 --> 00:05:56.671]  We will be more than happy to send a catalog to you.
[00:05:57.031 --> 00:05:59.693]  Prepare yourself for a talk radio experience like no other.
[00:05:59.753 --> 00:06:00.854]  He stands for truth.
[00:06:26.121 --> 00:06:28.022]  He stands for justice.
[00:06:29.342 --> 00:06:31.703]  He stands for what's right.
[00:06:31.783 --> 00:06:34.504]  This is the Alex Jones Show.
[00:06:35.065 --> 00:06:37.926]  Call Alex now, toll free at 877-590-5525.
[00:06:37.946 --> 00:06:41.647]  Now live from Austin, Texas, here's Alex Jones.
[00:06:54.551 --> 00:06:55.732]  We are live.
