[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[00:00:01.249 --> 00:00:04.590]  We're now eight minutes into this second hour today.
[00:00:26.738 --> 00:00:35.060]  We are simulcasting the remainder of this second, third, and fourth hour at PrisonPlanet.TV.
[00:00:35.080 --> 00:00:38.120]  I want to say hi to all the viewers out there tuning in.
[00:00:38.660 --> 00:00:49.283]  Charlie Sheen is going to respond to the media hit pieces and their cowardice coming up in about an hour and 20 minutes with us today with some other big announcements.
[00:00:49.823 --> 00:00:50.723]  Phase two
[00:00:52.193 --> 00:01:03.282]  In our operation to put 9-11 Truth back on the front burner and not just let the establishment put out new fake Bin Laden tapes and not just let the establishment have more fake terror raids.
[00:01:03.302 --> 00:01:12.270]  Remember it came out that Cheney had done fake terror raids in New York, wanted to use army against US citizens to set the precedent to use the army against the general public.
[00:01:12.290 --> 00:01:14.632]  It's all about precedent setting with these lawyers.
[00:01:20.876 --> 00:01:25.676]  And we've got a lot of other key news coming up today.
[00:01:26.735 --> 00:01:32.137]  But Paul Watson wrote a story Monday concerning this latest Bin Laden tape.
[00:01:32.157 --> 00:01:34.158]  Now, others in the past have been proven to be fake.
[00:01:34.919 --> 00:01:41.301]  The Intel Center is run by Rumsfeld's former deputy, an expert in psychological operations.
[00:01:41.721 --> 00:01:47.624]  It has some other top CIA personnel working there publicly who have been involved in psychological operations as well.
[00:01:47.644 --> 00:01:50.545]  I mean, this isn't just some normal CIA person.
[00:01:50.565 --> 00:01:51.546]  This is black ops.
[00:01:51.886 --> 00:01:54.167]  They've been caught uploading Intel Center video.
[00:01:55.478 --> 00:02:01.603]  With the audio before with the Intel Center logo in the same video layer as the Al Qaeda logo.
[00:02:02.964 --> 00:02:06.486]  Well supposedly Intel Center should load theirs in later unless they produced it.
[00:02:07.707 --> 00:02:10.169]  The graphics were produced at the same time.
[00:02:10.830 --> 00:02:12.211]  Laid on the video at the same time.
[00:02:14.201 --> 00:02:17.762]  Also, voice print's been done of all these different Bin Laden tapes.
[00:02:18.123 --> 00:02:21.064]  It's not Bin Laden when they check it with real Bin Laden tapes.
[00:02:21.424 --> 00:02:23.945]  They just make a voice key, a voice ID with it.
[00:02:24.445 --> 00:02:25.285]  It doesn't pass.
[00:02:25.725 --> 00:02:27.046]  Then they've had linguists listen.
[00:02:27.746 --> 00:02:29.127]  It's not Osama Bin Laden.
[00:02:30.667 --> 00:02:33.048]  So I wanted to get him on about that subject.
[00:02:33.368 --> 00:02:36.570]  Paul Watson joining us from PrisonPlanet.com.
[00:02:36.590 --> 00:02:38.190]  Good to have you on with us, Paul.
[00:02:38.851 --> 00:02:39.871]  Good to be back, Alex.
[00:02:41.078 --> 00:02:47.463]  Okay, break down some of the history of this, and some of the other fake tapes, and let's look at this newest tape.
[00:02:49.544 --> 00:03:10.039]  Well, there's so many aspects to this, Alex, but the key thing about it, historically, is that the emergence of Bin Laden tapes, or Al Qaeda tapes, or Adam Pillman tapes, or Al Zawahiri tapes, repeatedly, and I mean in every single case, basically,
[00:03:11.592 --> 00:03:29.659]  Their release coincides with watershed moments, either politically, in relation to Iraq, Afghanistan, or the US presidential election, or watershed moments in the progression of the 9-11 Truth Movement.
[00:03:30.860 --> 00:03:39.463]  Now, on the latter, in May 2006, there was a major Zogby poll that got released that
[00:03:40.533 --> 00:03:44.715]  Over half of Americans think that 9-11 is a cover-up.
[00:03:45.776 --> 00:04:07.747]  Days after that poll came out and 9-11 truth was pushed to the forefront of national media attention, a Bin Laden tape was released and in that tape he reinforced the myth that he had carried out 9-11, despite the fact that in the first four video and audio tapes after 9-11,
[00:04:09.291 --> 00:04:10.253]  I think so.
[00:04:31.963 --> 00:04:41.490]  Fat Bin Laden tape came out where he supposedly took the blame for 9-11 and then in the subsequent video and audio tapes after that he took the blame as well.
