[00:00:00.009 --> 00:00:01.870]  Waging war on corruption.
[00:00:02.350 --> 00:00:05.230]  Alex Jones on the GCN Radio Network.
[00:00:07.011 --> 00:00:07.611]  Engage.
[00:00:11.592 --> 00:00:12.232]  Big Brother.
[00:00:12.893 --> 00:00:13.953]  Mainstream media.
[00:00:14.673 --> 00:00:15.773]  Government cover-ups.
[00:00:16.414 --> 00:00:17.234]  You want answers?
[00:00:17.994 --> 00:00:18.974]  Well, so does he.
[00:00:19.575 --> 00:00:23.236]  He's Alex Jones on the GCN Radio Network.
[00:00:23.736 --> 00:00:27.817]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.090 --> 00:00:35.176]  It is Tuesday, the 17th day of February 2009.
[00:00:35.216 --> 00:00:38.961]  We've got two hours left in this worldwide transmission.
[00:00:39.301 --> 00:00:43.347]  In the last two hours of the show every day, we simulcast at PrisonPlanet.TV.
[00:00:45.930 --> 00:00:51.273]  Call theprisonplanet.tv viewers and we archive it as well each afternoon for folks.
[00:00:51.793 --> 00:00:53.994]  And of course the radio show is live from 11 a.m.
[00:00:54.074 --> 00:00:54.734]  to 3 p.m.
[00:00:54.874 --> 00:00:55.795]  Central Standard Time.
[00:00:55.815 --> 00:00:58.916]  If you don't have an AM or FM in your area, call local affiliates.
[00:00:59.216 --> 00:00:59.596]  Get us one.
[00:00:59.617 --> 00:01:00.817]  That's how we get most of our affiliates.
[00:01:01.177 --> 00:01:03.338]  You can always listen for free at InfoWars.com.
[00:01:03.378 --> 00:01:08.181]  The show is restreamed 24 hours a day, even when it's not live, and 125 plus thousand people a day.
[00:01:08.521 --> 00:01:14.704]  Download the free podcast in the Listen Live section of InfoWars.com and PrisonPlanet.com.
[00:01:15.464 --> 00:01:16.605]  We have a guest coming up, D.H.
[00:01:16.725 --> 00:01:26.812]  Williams, who writes for the Daily Newscaster about Inside Source Reveals FEMA and Department of Homeland Security preparing for mass graves and martial law.
[00:01:27.333 --> 00:01:30.415]  So that is coming up in the next segment.
[00:01:30.975 --> 00:01:33.177]  An amazing interview I did with him Sunday.
