[00:00:05.714 --> 00:00:07.334]  Watch me!
[00:00:07.334 --> 00:00:09.735]  Watch me steal everything you got!
[00:00:09.735 --> 00:00:11.415]  Yeah!
[00:00:11.415 --> 00:00:12.775]  Alright!
[00:00:12.775 --> 00:00:14.296]  Woo!
[00:00:14.296 --> 00:00:18.057]  Yeah!
[00:00:18.057 --> 00:00:18.777]  Ha ha!
[00:00:18.777 --> 00:00:24.518]  Gonna take everything you got, baby, yeah!
[00:00:24.518 --> 00:00:26.658]  Ha ha!
[00:00:26.658 --> 00:00:29.099]  Ha ha ha!
[00:00:29.099 --> 00:00:32.660]  I feel good!
[00:00:32.660 --> 00:00:34.720]  Coming to America!
[00:00:37.996 --> 00:00:38.957]  We're good to go.
[00:01:06.983 --> 00:01:29.817]  And I don't need no one else Sometimes I feel so nice When we have 50 million abortions And the stupid people don't even know it's a baby These suckers is ready So let's rape them good Feeling good baby
[00:01:43.545 --> 00:01:44.567]  I think so.
[00:02:01.733 --> 00:02:03.334]  You like abuse, baby?
[00:02:03.334 --> 00:02:06.375]  I'm gonna give it to ya!
[00:02:06.375 --> 00:02:08.296]  You want daddy to hurt you real good?
[00:02:08.296 --> 00:02:09.537]  Well, get ready!
[00:02:09.537 --> 00:02:13.459]  I'll break your nose and knock your teeth out, bitch!
[00:02:13.459 --> 00:02:19.262]  You like SWAT teams and cameras?
[00:02:19.262 --> 00:02:21.943]  You my ho now!
[00:02:24.626 --> 00:02:28.207]  That's how it is to be a nation of...
[00:02:54.642 --> 00:02:58.504]  Crack whore, drug addict, brain damaged prostitutes.
[00:02:58.504 --> 00:02:59.525]  That's basically what we are.
[00:02:59.525 --> 00:03:17.696]  We're just a totally drugged out, cigarette burns all over us, mindlessly gibbering, watching Saturday morning cartoons, laying in a flea bag hotel with stains all over the carpet, and just the lowest of the low Johns of the world lined up for five dollars to have their way with us.
[00:03:18.416 --> 00:03:22.720]  We're just covered with slime and we just watch the TV gibbering and drooling.
[00:03:22.720 --> 00:03:24.482]  We don't have any front teeth.
[00:03:24.482 --> 00:03:29.347]  And the Federal Reserve just comes in with a nightstick if we ever argue and just beats us in the head.
[00:03:29.347 --> 00:03:30.748]  That's who we are.
[00:03:30.748 --> 00:03:38.215]  We're a drugged out prostitute who weighs about 90 pounds with cigarette burns all over with clumps of hair falling out.
[00:03:39.236 --> 00:03:39.977]  A crack whore.
[00:03:39.977 --> 00:03:40.758]  Right on the end.
[00:03:40.758 --> 00:03:41.539]  Right on the edge.
[00:03:41.539 --> 00:03:42.720]  Be dead soon.
[00:03:42.720 --> 00:03:44.022]  Be taken out and thrown in a river.
[00:03:44.022 --> 00:03:45.684]  And nobody in the world will care.
[00:03:45.684 --> 00:03:47.606]  Because after all, we were that crack whore.
[00:03:47.606 --> 00:03:50.169]  We were that arrogant, evil country.
