[00:00:00.792 --> 00:00:02.733]  Hit it boys!
[00:00:05.315 --> 00:00:07.217]  Waging war on corruption!
[00:00:07.697 --> 00:00:10.079]  Alex Jones on the GCN Radio Network!
[00:00:16.980 --> 00:00:21.142]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:21.802 --> 00:00:22.623]  You want answers?
[00:00:23.383 --> 00:00:24.304]  Well, so does he.
[00:00:24.964 --> 00:00:28.586]  He's Alex Jones on the GCN Radio Network.
[00:00:29.126 --> 00:00:33.248]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.330 --> 00:00:44.113]  We're live, blasting out on the MNFM-dialed global shortwave satellite, the internet at infowares.com and prisonplanet.tv.
[00:00:47.941 --> 00:00:53.102]  And, of course, we're also a visual for all the PrisonPlanet.TV members and subscribers.
[00:00:53.642 --> 00:00:59.143]  We are simulcasting in the living color at PrisonPlanet.TV.
[00:00:59.823 --> 00:01:07.605]  It is Sunday, the 26th day of July, 2009, and we have two hours laying out before us.
[00:01:07.645 --> 00:01:11.766]  Of course, this is always the abbreviated Sunday transmission, 4 to 6 p.m.
[00:01:12.186 --> 00:01:13.086]  Central Standard Time.
[00:01:13.906 --> 00:01:16.969]  I am here live Monday through Friday from 11 a.m.
[00:01:16.989 --> 00:01:17.729]  to 3 p.m.
[00:01:18.150 --> 00:01:20.272]  Central Standard Time, 12 noon to 4 p.m.
[00:01:20.812 --> 00:01:21.172]  Eastern.
[00:01:23.835 --> 00:01:29.099]  More and more I realize that huge stories, things of great import, are hidden in plain view.
[00:01:33.803 --> 00:01:37.787]  And that goes without saying because it is hidden in plain view.
[00:01:38.247 --> 00:01:38.947]  It's obvious.
[00:01:39.861 --> 00:01:45.785]  The question is, do we do something about what is obvious two inches in front of our face?
[00:01:49.028 --> 00:02:07.202]  Back in April, we saw the incredible government fear-mongering worldwide over the swine flu that turned out to be a genetically engineered, according to top epidemiologists and virologists worldwide, Associated Press, Reuters, BBC, all reporting that, oh, it did come from a lab somewhere.
[00:02:08.103 --> 00:02:21.233]  Just like back in 2001, foot and mouth in England came from somewhere and it turned out the Porton Down Bioweapons Lab and it simultaneously popped up at scores of locations from Scotland to Wales.
[00:02:23.674 --> 00:02:24.395]  Why did that happen?
[00:02:25.496 --> 00:02:30.179]  Why did the government want to go in and kill millions and millions of sheep and cows that weren't even infected?
[00:02:31.420 --> 00:02:33.622]  Well it turned out they released it as some type of
[00:02:34.938 --> 00:02:36.399]  Live action drill.
[00:02:36.700 --> 00:02:53.494]  The best way to test their system is to actually release something into the environment and then pose as the saviors, further expanding not just federal control in England or the United States or continental Europe, but global control under the World Health Organization.
[00:02:56.977 --> 00:03:02.482]  And after the flu fear-mongering of April and May,
[00:03:06.223 --> 00:03:15.946]  The government just kind of eased back into the shadows and said, look out, coming up in the fall and winter, we believe it's going to come back and going to cause mega-death, potentially kill millions.
[00:03:16.487 --> 00:03:34.393]  Well, now we're getting into the middle of the summer, July, August, getting close to the fall, and they are just ratcheting up the propaganda, ratcheting up the federalization, ratcheting up discussions of forced inoculations and mass arrests and mass graves.
[00:03:36.203 --> 00:03:37.244]  There's a big problem though.
[00:03:37.284 --> 00:03:51.915]  We've seen them building this architecture for martial law and police state in and around biological attacks or naturally occurring biological pandemics for many years.
[00:03:52.916 --> 00:04:00.522]  And now we see them when this flu is clearly manufactured but also clearly not very strong and is only killed
[00:04:02.509 --> 00:04:06.953]  A few thousand people maximum worldwide, a few hundred maximum in the U.S.
[00:04:07.614 --> 00:04:10.697]  I've got the CDC's numbers here, and they vary.
[00:04:11.498 --> 00:04:14.280]  Why then are they so sure it's going to be deadly?
[00:04:14.600 --> 00:04:16.262]  Why are they gearing up in this way?
[00:04:16.722 --> 00:04:23.048]  We have some really disturbing information, and the more we look at this, it looks like they may be attempting to use the
[00:04:24.551 --> 00:04:35.699]  The flu pandemic, the level six that the UN declared months ago as a pretext to really bring in their world government and have domestic police state crackdowns worldwide.
[00:04:36.499 --> 00:04:43.244]  But even if the pandemic doesn't materialize into mass deaths as they're saying it will, it gives them the perfect cover.
[00:04:44.480 --> 00:04:49.108]  For this global federalization, this global government to come out of the shadows.
[00:04:49.950 --> 00:04:55.440]  And worldwide we see key legislation being moved to give banks unlimited power.
[00:04:56.741 --> 00:05:04.225]  Worldwide, the flu fear-mongering is being used as a cover to get that done and a bunch of other pieces of the New World Order agenda.
[00:05:04.565 --> 00:05:06.566]  So, key broadcast coming up live.
[00:05:06.846 --> 00:05:10.728]  Call everybody you know, tell them tune in right now at InfoWars.com.
[00:05:10.948 --> 00:05:14.950]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:05:15.190 --> 00:05:16.991]  Do you really know what's in your tap water?
[00:05:17.191 --> 00:05:25.435]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:05:25.695 --> 00:05:30.921]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:05:31.242 --> 00:05:32.864]  Now what are you going to do about it?
[00:05:33.124 --> 00:05:39.451]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:05:39.631 --> 00:05:44.137]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere.
[00:05:44.397 --> 00:05:44.757]  We're good to go.
[00:06:13.348 --> 00:06:19.370]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:19.970 --> 00:06:23.011]  It's Alex Jones and the GCN Radio Network.
[00:06:27.812 --> 00:06:32.333]  Thank you for joining us on this live Sunday edition, the 26th day of July 2009.
[00:06:33.793 --> 00:06:39.395]  If you're just joining us for the first time, this is a very important radio broadcast.
[00:06:40.475 --> 00:06:54.524]  You're about to hear in the next two hours, and I would encourage everybody to stop what you're doing, and to pay attention, and to take notes, and to not believe me, to check out the information we're about to cover for yourself.
[00:06:55.144 --> 00:07:02.389]  We're not only on the AM and FM dial, Global Shortwave Satellite, and the Internet, streaming right now at InfoWars.com,
[00:07:03.493 --> 00:07:10.784]  We're also streaming in live video living color from here in the studio at PrisonPlanet.TV.
[00:07:13.288 --> 00:07:24.993]  And that's good because my crew in here on this Sunday edition is going to be putting up mainstream news articles, government documents during the next two hours at PrisonPlanet.tv for the viewers.
[00:07:25.453 --> 00:07:39.500]  But if you're just listening on the radio, as most people are, you can go to InfoWars.com and PrisonPlanet.com and there are several big news articles that we've written, that Curt Nemo and Paul Watson have written, that are filled with all of the links
[00:07:40.140 --> 00:07:53.724]  That go to mainstream news stories, government documents, CDC press conferences, so that you can break down all the facts that we're laying out here for you today.
[00:07:54.364 --> 00:07:58.705]  We're also going to have open phones specifically today.
[00:08:00.018 --> 00:08:15.487]  On the fear-mongering dealing with the swine flu that cropped up in April and then Napolitano, the head of Homeland Security and others, said get ready for massive deaths in the fall and winter.
[00:08:15.567 --> 00:08:25.273]  It's a guarantee and we're going to forcibly inoculate you and we're going to federalize everything and the United Nations is in control of Europe, China,
[00:08:26.053 --> 00:08:33.640]  Japan, the United States, Canada, Mexico, everybody's following the UN's orders from the same sheet of music.
[00:08:34.520 --> 00:08:40.525]  So we're going to be breaking that down here today, and the toll-free number, but we're only taking calls, folks!
[00:08:41.608 --> 00:08:42.729]  on this subject.
[00:08:43.109 --> 00:08:44.229]  This is very, very important.
[00:08:44.249 --> 00:08:46.751]  888-201-2244.
[00:08:46.771 --> 00:08:51.493]  888-201-2244 is the toll-free number to call.
[00:08:51.573 --> 00:08:52.514]  We are live.
[00:08:53.134 --> 00:09:02.639]  Again, it is four o'clock and eight minutes, 45 seconds, 408, and 47 seconds, Central Standard Time, ladies and gentlemen.
[00:09:02.659 --> 00:09:03.639]  888-201-2244.
[00:09:03.759 --> 00:09:06.961]  We're gonna open the phones up right now.
[00:09:08.595 --> 00:09:10.516]  That is, open up the phone system so you can call in.
[00:09:11.257 --> 00:09:11.597]  Okay.
[00:09:12.417 --> 00:09:19.062]  Let me just read to you some headlines here and then I'm going to break down what we're really facing and why I'm so concerned.
[00:09:19.946 --> 00:09:22.307]  Because I've been looking at this, I've been studying it for months.
[00:09:22.927 --> 00:09:31.289]  We broke a lot of news and information during the staged fear-mongering by the government that we were attacked for, but later, as usual, vindicated on.
[00:09:31.869 --> 00:09:38.271]  We told you from State of Texas documents that I received from a city official here in Austin, directly into my hand.
[00:09:38.811 --> 00:09:41.351]  Of course, we can't give you that source or we'd lose those sources.
[00:09:41.951 --> 00:09:47.713]  But I posted the document, the secret document, with phone numbers, blacking out the name of who gave it to us.
[00:09:48.453 --> 00:10:16.604]  that the state of texas had a meeting with the feds this is when we were at level four and they said we're really at level five going to level six in ninety six hours under that we are officially under global martial law forced inoculation forced arrest quarantines mass graves all of this could be implemented and i went on air and i said this is real i even called the numbers on the document i didn't believe the city official that gave it to me i i i i mean i knew they were telling the truth but i didn't
[00:10:17.404 --> 00:10:19.806]  I trusted them, but I verified, as Ronald Reagan would say.
[00:10:20.267 --> 00:10:21.207]  I called the numbers.
[00:10:21.588 --> 00:10:25.871]  I talked to the state of Texas doctors on the state of Texas health board.
[00:10:26.172 --> 00:10:27.293]  And they said, where did you get this?
[00:10:27.313 --> 00:10:28.113]  You're not supposed to have it.
[00:10:28.474 --> 00:10:30.515]  So I went on air, and we broke that.
[00:10:30.656 --> 00:10:40.124]  And then months later, they said, yeah, we were really under level 6, and we're still under level 6, and we may forcibly inoculate, have mass graves in the fall.
[00:10:41.434 --> 00:10:41.874]  And winner.
[00:10:42.654 --> 00:10:44.615]  So, late 2009 to 2010.
[00:10:45.195 --> 00:10:47.416]  Now, that doesn't mean this is going to happen.
[00:10:47.956 --> 00:10:49.937]  But it means the feds are gearing up for it.
[00:10:50.297 --> 00:10:51.678]  Still, people were in denial.
[00:10:52.218 --> 00:10:54.219]  Now, the last few months, they've been fear-mongering.
[00:10:54.619 --> 00:10:58.940]  ABC News, Fox, CNN saying, yes, martial law to keep you safe.
[00:10:59.401 --> 00:11:01.001]  Yes, martial law is coming.
[00:11:01.461 --> 00:11:04.463]  We're going to forcibly inoculate all Americans.
[00:11:04.483 --> 00:11:08.044]  195 million dosages have already been bought, MSNBC.
[00:11:10.660 --> 00:11:12.080]  So let me just go over some facts here.
[00:11:12.701 --> 00:11:14.441]  This is a swine flu hoax.
[00:11:14.461 --> 00:11:14.521]  Why?
[00:11:15.822 --> 00:11:21.843]  Regular flu every year, according to the Centers for Disease Control, kills 37,000 Americans out of 300 million.
[00:11:22.964 --> 00:11:23.324]  Why?
[00:11:23.344 --> 00:11:26.365]  With, and I've got the latest CDC numbers,
[00:11:27.552 --> 00:11:29.353]  Why, with less than 200 deaths?
[00:11:30.633 --> 00:11:36.636]  Everybody on this list had had a heart attack, had pneumonia, had had surgeries, had AIDS.
[00:11:36.976 --> 00:11:38.016]  They were all very sick.
[00:11:38.136 --> 00:11:40.597]  Babies on ventilators that get it die.
[00:11:41.197 --> 00:11:42.318]  I mean, this is weak!
[00:11:43.298 --> 00:11:45.179]  Why are they hyping it?
