[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[00:00:21.772 --> 00:00:23.013]  Hello, ladies and gentlemen.
[00:00:23.113 --> 00:00:24.873]  Thank you so much for joining us.
[00:00:25.254 --> 00:00:34.398]  We are now simulcasting at PrisonPlanet.tv the last two hours of the Monday through Friday four-hour radio transmission, live from 11 a.m.
[00:00:34.658 --> 00:00:35.198]  to 3 p.m.
[00:00:35.238 --> 00:00:36.018]  Central Standard Time.
[00:00:36.439 --> 00:00:42.941]  I do want to encourage all of you to go to InfoWars.com and PrisonPlanet.com and download the free podcast.
[00:00:43.422 --> 00:00:44.042]  Now over 150,000 people
[00:00:46.463 --> 00:00:48.745]  Downloading the six day a week podcast.
[00:00:48.765 --> 00:00:52.387]  We're here Monday through Friday and then back Sunday 4 to 6 p.m.
[00:00:52.407 --> 00:01:01.313]  150,000 people subscribing to the free podcast and creating their own archives, creating their own archive pages, sharing them with friends.
[00:01:02.894 --> 00:01:06.877]  Please share the fact that people can listen how they want, when they want, where they want.
[00:01:07.679 --> 00:01:09.440]  With the InfoWars.com podcast.
[00:01:09.700 --> 00:01:17.585]  You just go to InfoWars.com, in fact, plug InfoWars.com in on screen for people, where it says Alex Jones Radio Show.
[00:01:19.086 --> 00:01:30.472]  And when you go to that page and click on it, it's the tab there, right up on top guys, right above Obama in that photo where it says Alex Jones Radio Show.
[00:01:30.992 --> 00:01:36.556]  Yeah, you click on that and it takes you to a sub-page, the listen page,
[00:01:37.503 --> 00:01:38.644]  First link right there.
[00:01:39.445 --> 00:01:41.627]  And you can subscribe to the free podcast there.
[00:01:41.647 --> 00:01:47.252]  You can get us on Twitter, get us on Flycast, everything right there at InfoWars.com.
[00:01:47.552 --> 00:01:51.936]  There's also links at PrisonPlanet.com to the listen page.
[00:01:51.956 --> 00:01:55.739]  And 150,000 people getting the free podcast every day sounds like a lot.
[00:01:56.440 --> 00:02:01.404]  That is only a fraction of our AM and FM audience listenership, which is in the millions every day now.
[00:02:02.385 --> 00:02:29.380]  uh... and uh... we're also number one on the audio streams at shoutcast number one radio talk show and uh... routinely number one total even over music and that is only a fraction of our streams that actually show up on that as well a lot of them we have flash streams and windows streams other things they don't show up at shoutcast dot com and by being number one in the ratings on flycast and on shoutcast and being very high up on twitter
[00:02:30.180 --> 00:02:34.141]  By doing all of this, new people that are perusing the front pages find us.
[00:02:34.381 --> 00:02:37.682]  See, I don't care about being number one on YouTube and Google.
[00:02:39.522 --> 00:02:45.844]  Just so I can say I'm number one, that all my films turn out to be number one for a week, a month, or off and on, year after year, they're number one.
[00:02:46.664 --> 00:02:53.766]  It's important to be number one because people go and do their viewing on Google Video and YouTube and other big video sites off the main page.
[00:02:53.806 --> 00:02:54.526]  What's number one?
[00:02:55.612 --> 00:03:02.316]  Now, the problem was Patriot videos, anti-New World Order videos, were basically always number one on YouTube and Google.
[00:03:02.377 --> 00:03:04.218]  So Google's gotten rid of Google Video.
[00:03:04.398 --> 00:03:06.679]  The old videos are there, but they said they're about to get rid of those, too.
[00:03:07.080 --> 00:03:08.501]  Just flush millions of them out.
[00:03:09.361 --> 00:03:14.885]  But they first wouldn't let you see the numbers and wouldn't let you know what the numbers were unless you'd uploaded it yourself.
[00:03:14.905 --> 00:03:16.766]  You know, I'd see our video and say, oh, look, fabled enemies.
[00:03:17.126 --> 00:03:17.967]  Five million views.
[00:03:18.047 --> 00:03:19.328]  But the public couldn't see that.
[00:03:19.628 --> 00:03:21.990]  We did screenshots, of course, in the control panel.
[00:03:22.410 --> 00:03:23.611]  Now they don't let us upload.
[00:03:24.051 --> 00:03:25.392]  Now they're just completely getting rid of it.
[00:03:26.012 --> 00:03:34.057]  YouTube, 15 million views on YouTube and other channels we can count up for the Obama deception and I haven't counted up in a month.
[00:03:35.258 --> 00:03:36.239]  Being number one.
[00:03:37.344 --> 00:03:39.446]  Means all those new people see that.
[00:03:39.486 --> 00:03:40.267]  So what's YouTube doing?
[00:03:40.647 --> 00:03:43.850]  They're taking the number one videos off the front page and saying popular.
[00:03:44.230 --> 00:03:44.931]  And what's popular?
[00:03:45.411 --> 00:03:48.334]  Atheism, CPS grabbing kids and saying it's good.
[00:03:48.634 --> 00:03:50.095]  And if you want to be an atheist, that's your issue.
[00:03:50.115 --> 00:03:53.738]  But you shouldn't cheat and have YouTube say you're most popular when you're not.
[00:03:53.959 --> 00:03:58.723]  They'll put the amazing atheist up when he's got 100 views and at the end of the day he has 300,000.
[00:03:59.323 --> 00:04:02.066]  We can have 5 million views on a video, they never put it on the front page.
[00:04:03.109 --> 00:04:08.529]  And we approached YouTube about the partner thing to put ads on it so we can maybe fund our operation.
[00:04:09.690 --> 00:04:11.471]  And they said, no, we don't want you as a partner.
[00:04:11.491 --> 00:04:12.972]  So see, there's all this discrimination.
[00:04:13.193 --> 00:04:15.294]  Like, I have to wear a big yellow star at YouTube.
[00:04:15.835 --> 00:04:16.375]  I'm evil.
[00:04:16.555 --> 00:04:17.015]  I'm bad.
[00:04:17.035 --> 00:04:26.863]  You know, it's like I'm in a Nazi Germany at YouTube, with them cheating us and shutting us down and revoking us, and I've got to go to federal court and file, which we did to get the YouTube channel back.
[00:04:27.223 --> 00:04:30.245]  Your calls and a ton of news straight ahead, ladies and gentlemen.
[00:04:30.786 --> 00:04:33.668]  I'm Alex Jones, and this is the GCN Radio Network.
[00:04:38.373 --> 00:04:43.935]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:04:44.236 --> 00:04:45.396]  Inner Health Botanicals.
[00:04:45.536 --> 00:04:49.518]  This company produces the highest quality superfood around, called InnerFood.
[00:04:49.818 --> 00:04:51.379]  My wife just loves the stuff.
[00:04:51.679 --> 00:04:57.962]  And now, the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[00:04:59.122 --> 00:05:01.664]  Inner food is loaded with 20 great organic ingredients.
[00:05:01.984 --> 00:05:03.465]  No fillers, no sweeteners.
[00:05:03.725 --> 00:05:06.507]  It would be impossible to blend this up for a better price.
[00:05:06.727 --> 00:05:08.168]  And their formula really works.
[00:05:08.448 --> 00:05:10.990]  This is the real thing for the great health you need.
[00:05:11.270 --> 00:05:12.511]  Try the NutriCafe.
