[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[00:00:20.182 --> 00:00:30.645]  We are simulcasting now for the next two hours and 27 minutes at PrisonPlanet.tv simulcasting this live syndicated radio show and
[00:00:31.533 --> 00:00:39.477]  This radio program is exploding in popularity just as Liberty and the love affair with it is exploding across the planet as well.
[00:00:39.877 --> 00:00:46.421]  In a moment we'll talk to Lew Rockwell, former congressional chief of staff to Ron Paul and founder and chairman of the Lubing von Mies Institute.
[00:00:47.061 --> 00:00:53.444]  It goes on and on, so we'll be talking to him right now about the Federal Reserve, auditing the Fed, Ron Paul, and so much more.
[00:00:53.564 --> 00:00:55.165]  And your phone call is coming up in about 20 minutes.
[00:00:55.505 --> 00:00:56.626]  He'll be with us for 45 minutes.
[00:00:56.926 --> 00:00:58.787]  But I want to be clear here.
[00:01:00.612 --> 00:01:01.733]  I want to thank everybody.
[00:01:02.654 --> 00:01:05.337]  I've already done an hour and a half of the show and really haven't gotten into the Money Bomb.
[00:01:05.877 --> 00:01:06.978]  This is our second annual.
[00:01:07.018 --> 00:01:09.201]  The first one was started by listeners.
[00:01:09.821 --> 00:01:11.903]  We embraced it and it raised $250,000.
[00:01:12.104 --> 00:01:20.192]  To be technical, it was like $249,000 and change last year at the same time.
[00:01:20.312 --> 00:01:24.196]  So we're having another Money Bomb today to expand the studio.
[00:01:25.373 --> 00:01:27.593]  To get more webmasters, more video editors.
[00:01:28.014 --> 00:01:30.474]  Instead of making two or three films a year, we want to make six films a year.
[00:01:31.114 --> 00:01:32.535]  And I put my films out for free.
[00:01:33.195 --> 00:01:34.535]  And they're all the number one videos.
[00:01:34.575 --> 00:01:39.776]  Every one of my films is always number one for a time and are among the number one viral videos in history.
[00:01:40.216 --> 00:01:42.257]  Conservatively, we've done the numbers.
[00:01:42.297 --> 00:01:47.138]  Over 200 million views of my films that we can document on YouTube and Google and the other big sites.
[00:01:47.158 --> 00:01:47.398]  200 million.
[00:01:49.945 --> 00:01:52.286]  The Obama Deception has been out for three months.
[00:01:52.606 --> 00:01:58.527]  I checked a month ago, two months in, 15 million views on YouTube, Google, and a few other video sites alone.
[00:01:59.007 --> 00:02:02.828]  There's some with over 3 million, 2 million, 1 million, you know, per video.
[00:02:03.008 --> 00:02:05.289]  But it gets duplicated everywhere, so you've got to go through and count them up.
[00:02:05.549 --> 00:02:06.349]  Go do it for yourself!
[00:02:06.369 --> 00:02:08.069]  In fact, one of my writers ought to do that.
[00:02:08.089 --> 00:02:10.190]  It took me 45 minutes to count up 15 million.
[00:02:11.470 --> 00:02:12.811]  I make a $100,000 film, release it for free,
[00:02:14.963 --> 00:02:16.524]  Because I want liberty, I want freedom.
[00:02:17.144 --> 00:02:20.446]  These are like self-replicating printing presses.
[00:02:20.486 --> 00:02:21.766]  People buy the DVDs.
[00:02:22.286 --> 00:02:28.769]  They gave out $15,000 a loan at Arizona State University in a two-week period ahead of Obama's visit.
[00:02:28.810 --> 00:02:31.231]  It made the newspapers, it made the radio, it made TV.
[00:02:31.471 --> 00:02:32.171]  They were giving them out.
[00:02:32.191 --> 00:02:33.972]  People were like, why are these DVDs everywhere?
[00:02:34.592 --> 00:02:36.073]  That's happening at colleges everywhere.
[00:02:36.113 --> 00:02:37.534]  See, we can't even count that.
[00:02:38.214 --> 00:02:39.875]  But it's definitely in the tens of millions.
[00:02:40.635 --> 00:02:40.995]  I don't know.
[00:02:58.121 --> 00:03:02.784]  He, that's how he came to power, was copies of cassette tapes passed on.
[00:03:03.684 --> 00:03:04.865]  Well, we're not trying to come to power.
[00:03:04.925 --> 00:03:07.206]  We want the Bill of Rights and Constitution to come back in.
[00:03:07.466 --> 00:03:08.406]  We're restorationists.
[00:03:08.446 --> 00:03:12.288]  We're fighting the revolutionary private offshore crime banking syndicates.
[00:03:12.309 --> 00:03:14.209]  And we'll get Lou Rockwell's take on that in a moment.
[00:03:15.070 --> 00:03:16.191]  Let me explain something here.
[00:03:16.911 --> 00:03:18.352]  People want us to make more films.
[00:03:18.372 --> 00:03:19.492]  They want us to write more stories.
[00:03:19.512 --> 00:03:20.413]  They want us to do more.
[00:03:21.073 --> 00:03:33.460]  I got 20 people here, and I spend most of my time trying to raise money, sell advertising, and sell DVDs for people that want to support us and Prison Planet dot TV memberships, instead of fighting the New World Order.
[00:03:33.720 --> 00:03:38.883]  So it does help us to guarantee we can expand for the year, and it's just essential.
[00:03:39.223 --> 00:03:40.984]  The last money bomb helped us so much.
[00:03:41.305 --> 00:03:42.185]  I hope this one's bigger.
[00:03:42.485 --> 00:03:42.846]  The goal is $250,000.
[00:03:45.487 --> 00:03:46.587]  They update it every hour.
[00:03:46.707 --> 00:03:49.168]  It's about $90,000 right now and growing.
[00:03:49.188 --> 00:03:51.129]  We'll update that in the next hour again.
[00:03:51.969 --> 00:03:55.291]  And by midnight tonight, I would like to have reached $250,000.
[00:03:56.251 --> 00:03:58.272]  And we'll go to expanding our studios.
[00:03:58.292 --> 00:04:04.394]  We'll go to buying more equipment, hiring two video editors, another webmaster or two, and just doing a lot more around here.
[00:04:05.194 --> 00:04:10.639]  I hate paying the tax man anyway, so we will spend all the money on the infrastructure right here that comes in from the Money Bomb.
[00:04:10.659 --> 00:04:17.985]  So please go to InfoWars.com or InfoWarsMoneyBomb.com, link through on the banners, and donate there by PayPal, by credit card.
[00:04:18.005 --> 00:04:23.831]  If you don't like those systems we've got, we've got Yahoo Pay on our Yahoo video and bookstore shopping card.
[00:04:24.271 --> 00:04:29.736]  You can also call toll-free until 1 o'clock tonight central, and we're going to go ahead and run the Money Bomb until 11 a.m.
[00:04:29.776 --> 00:04:30.116]  tomorrow.
[00:04:30.336 --> 00:04:31.497]  It really has started at 11 a.m.
[00:04:31.517 --> 00:04:31.758]  today.
[00:04:32.938 --> 00:04:33.338]  And it's up to $90,000.
[00:04:33.378 --> 00:04:35.119]  888-201-2244, 888-201-2244 is the toll-free number to call and donate.
[00:04:35.159 --> 00:04:35.659]  $5, $10, $1,000, whatever you want.
[00:04:35.719 --> 00:04:38.400]  100% of the Money Bomb money will go towards directly fighting the New World Order.
[00:04:38.460 --> 00:04:42.001]  So instead of having two or three films that get 30, 40 million views in a year,
[00:04:54.605 --> 00:04:55.505]  How about five or six?
[00:04:56.245 --> 00:05:00.146]  So, 888-201-2244, 888-201-2244.
[00:05:00.166 --> 00:05:01.747]  People say, oh, you shouldn't ask for money.
[00:05:02.007 --> 00:05:06.828]  That's the media trying to bully us into not having free association.
[00:05:07.188 --> 00:05:22.711]  You know, Thomas Jefferson and Benjamin Franklin and many others went to France and went to countries and would sell little American flags and trinkets and signatures to raise money and ship it back over to buy the most basic armaments in the Revolutionary War.
[00:05:23.744 --> 00:05:28.751]  Ron Paul, others have to go around and campaign and raise money for their campaigns.
[00:05:28.791 --> 00:05:29.893]  And it takes up all your time.
[00:05:30.153 --> 00:05:31.035]  It takes treasure.
[00:05:31.615 --> 00:05:37.624]  And it's an enemy psyop to say that we shouldn't ask for money and we shouldn't raise money.
[00:05:38.891 --> 00:05:53.004]  We're not the IRS for the private Federal Reserve coming and taking your money and then using it for fake news and buying reporters and propaganda and ad council ads to join Barack Obama's private youth brigade armies in red and black uniforms now knocking on doors nationwide.
[00:05:53.184 --> 00:05:55.226]  People marching on TV in red and black uniforms.
[00:05:55.286 --> 00:05:56.247]  It's happening.
[00:05:56.868 --> 00:05:58.730]  The unthinkable is manifesting.
[00:05:59.616 --> 00:06:00.416]  They're using our money.
[00:06:00.597 --> 00:06:08.001]  George Soros spends millions putting out carbon credit, carbon tax movies about how humans have got to be gotten rid of and we're evil, and they're setting up climate cops.
[00:06:08.621 --> 00:06:11.723]  His millions, though, can be countered by your hundreds of thousands.
[00:06:12.797 --> 00:06:18.239]  And, uh, I will continue to put my films out for free, and if you want to buy the DVD to support us, that's great, and it's the higher quality.
[00:06:18.519 --> 00:06:23.001]  But regardless, I know it's the biggest effect, so I'll continue to do it, but we'll put out more if you support us.
[00:06:23.041 --> 00:06:29.764]  So, InfoWars.com, to link through to InfoWarsMoneyBomb.com, or 888-201-2244, 888-201-2244, or 512-646-1776, 512-646-1776, if the numbers are busy, just please call back a few minutes later.
[00:06:29.784 --> 00:06:31.405]  We've got five people on the phones in there.
[00:06:42.369 --> 00:06:43.730]  $5, $100, whatever you can.
[00:06:44.250 --> 00:06:45.351]  This is the tip of the spear.
[00:06:45.771 --> 00:06:47.111]  We supported Ron Paul's money bombs.
[00:06:47.131 --> 00:06:48.512]  People say, oh well he didn't win, we failed.
[00:06:48.552 --> 00:06:48.752]  No, no.
[00:06:49.112 --> 00:06:52.734]  You see the delayed, we're about to go to Lou Rockwell, the delayed response.
[00:06:53.743 --> 00:06:54.104]  I don't
[00:07:14.713 --> 00:07:14.953]  I think?
[00:07:30.464 --> 00:07:34.046]  This is how we change society, and we're in a revolution, folks, against tyranny.
[00:07:34.467 --> 00:07:45.274]  Lew Rockwell, thanks for holding while I put that call out for the money bomb, but can you comment about the fact that we get to be hesitant and have been buffaloed into not asking for support, but we need to learn how to do that?
[00:07:46.214 --> 00:07:50.697]  Well, the bad guys, of course, are all supported by the tax system, by stolen money, in other words.
[00:07:50.737 --> 00:07:52.138]  That's what taxes are.
[00:07:52.178 --> 00:07:56.541]  It's a coercive mechanism whereby people in the government get to put a gun to your head and say,
[00:07:58.525 --> 00:07:58.966]  I think so.
[00:08:17.840 --> 00:08:24.451]  This, of course, is the voluntary and the humane and the prosperous and the free way to get money.
[00:08:24.511 --> 00:08:29.118]  So, of course, that's the way it ought to be done, not through the government mechanism.
[00:08:30.544 --> 00:08:32.345]  Absolutely, and the establishment knows that.
[00:08:32.365 --> 00:08:40.490]  They're scared to death that real organizations are going to get funded, that we make films and sell books, that Ron Paul does it or has newsletters.
[00:08:41.130 --> 00:08:47.454]  I mean, that is such a psyop to say no one who's against big government is allowed to fund their operations.
[00:08:47.754 --> 00:08:49.075]  What a mind game, Lou!
[00:08:49.656 --> 00:08:53.378]  You know, Alex, I was so glad to hear you mention Ron's forthcoming book and the Fed.
[00:08:54.051 --> 00:08:56.592]  Which is really an extraordinary work.
[00:08:56.652 --> 00:08:59.873]  I mean, I got a chance to see a proof.
