[00:00:00.009 --> 00:00:01.830]  Welcome, ladies and gentlemen.
[00:00:01.850 --> 00:00:02.130]  Welcome.
[00:00:02.150 --> 00:00:06.692]  We are at the third hour of this worldwide broadcast on the 15th of January, 2009.
[00:00:06.892 --> 00:00:08.232]  Already into 2009, Bob.
[00:00:08.252 --> 00:00:09.533]  It's pretty incredible.
[00:00:09.553 --> 00:00:09.933]  Time flies.
[00:00:29.520 --> 00:00:31.080]  Yeah, absolutely does.
[00:00:31.721 --> 00:00:33.961]  As you get older, it gets faster too, Jason.
[00:00:34.001 --> 00:00:34.941]  I got bad news for you.
[00:00:35.021 --> 00:00:36.202]  Well, good thing I'm keeping it young.
[00:00:37.502 --> 00:00:40.783]  We are live at PrisonPlanet.tv for all you subscribers.
[00:00:41.063 --> 00:00:42.263]  Get to check out the new office.
[00:00:42.603 --> 00:00:44.264]  One of my last days here, it's kind of sad.
[00:00:44.604 --> 00:00:46.864]  You know, this office is just almost too good to leave.
[00:00:47.785 --> 00:00:48.065]  Yeah.
[00:00:48.665 --> 00:00:51.926]  We are talking monetary policy, and Michael, you had a comment?
[00:00:53.086 --> 00:00:57.067]  I just kind of want to help people out in the way they look at these things.
[00:00:57.107 --> 00:00:57.787]  I think sometimes
[00:00:58.550 --> 00:01:03.073]  People look at it like, you know, this is how you defeat that.
[00:01:03.173 --> 00:01:03.653]  You know what I mean?
[00:01:03.673 --> 00:01:04.954]  I think we need to look at it differently.
[00:01:05.454 --> 00:01:08.776]  You've got a couple different ways to go about this thing.
[00:01:08.796 --> 00:01:11.357]  You've got hard currency, which is gold and silver.
[00:01:11.377 --> 00:01:16.700]  Or you've got paper fiat, which is issued, let's just say, issued by the Treasury with no interest.
[00:01:17.000 --> 00:01:22.443]  And then you've got kind of like the Federal Reserve System, which is basically they have their cake and eat it too.
[00:01:22.483 --> 00:01:25.205]  They get to use paper money with no backup.
[00:01:28.376 --> 00:01:28.797]  We're good to go.
[00:01:45.922 --> 00:01:48.584]  They have their corrupt government take all the gold away from the people.
[00:01:48.984 --> 00:01:50.605]  Well, they've had that happen before, man.
[00:01:50.645 --> 00:01:57.550]  I mean, even like in this country, what was it, during World War II, Roosevelt had all the gold rounded up, correct?
[00:01:57.630 --> 00:01:58.491]  Been there, done that, that was before.
[00:01:58.611 --> 00:01:59.551]  And that's in this country.
[00:01:59.571 --> 00:02:00.512]  That was before World War II.
[00:02:00.592 --> 00:02:01.673]  It was before World War II.
[00:02:01.693 --> 00:02:04.174]  So, listen, your hard assets aren't always safe either.
[00:02:04.214 --> 00:02:10.879]  In fact, I think there's a law that says unless the coin is minted before a certain date in the early 1900s, they can come and take it again, right?
[00:02:10.919 --> 00:02:11.739]  Nothing is safe.
[00:02:12.700 --> 00:02:17.241]  Oh, they've got a law that's going to prohibit them from stealing certain types of gold.
[00:02:17.621 --> 00:02:18.481]  Oh, there's a law?
[00:02:18.561 --> 00:02:18.921]  Really?
[00:02:18.961 --> 00:02:19.561]  I believe there is.
[00:02:19.601 --> 00:02:22.162]  They're going to, like, obey their own law, right?
[00:02:22.202 --> 00:02:37.864]  And the reason that I go into hard currency, and I don't know if that's the complete answer to the stock market collapse, the financial situation, I'm just saying that gold and silver have retained a value through the centuries, and have always been sought after by not only the wealthy, but the commoner as well.
[00:02:37.904 --> 00:02:40.445]  So it's a good, at least it's something for barter.
[00:02:40.905 --> 00:02:41.385]  You know what I'm saying?
[00:02:41.405 --> 00:02:44.406]  I don't think it's going to solve our monetary system.
[00:02:44.706 --> 00:02:52.689]  I would like to see more Ron Paul type policies take place in this country so we do have something to back our money up other than the industry that doesn't exist in this country anymore.
[00:02:52.729 --> 00:02:58.791]  The value of gold and silver is a convention that has worked for centuries and centuries.
[00:02:59.432 --> 00:03:05.954]  And it keeps the money powers from artificially inflating the money supply and hurting everybody's money.
[00:03:06.354 --> 00:03:07.694]  That's the problem we have nowadays.
[00:03:07.714 --> 00:03:08.975]  They just print it out of nothing.
[00:03:10.095 --> 00:03:11.216]  Hey, how are you doing, gentlemen?
