[00:00:09.810 --> 00:00:10.250]  Oh, Willie.
[00:00:10.290 --> 00:00:13.752]  Smooth voice for an old man, I tell ya.
[00:00:24.555 --> 00:00:30.919]  I actually saw a really good Willie Nelson joke, but something not appropriate for air last night.
[00:00:31.219 --> 00:00:38.282]  I think I was watching, yeah, I was watching Leno at like 3 in the morning, couldn't sleep, had a toothache, just something you gotta deal with these days.
[00:00:38.803 --> 00:00:44.726]  We're gonna play the video because we are live right now at PrisonPlanet.tv, so you're gonna make your own choice.
[00:00:45.046 --> 00:00:48.590]  This time it's not just Jason Bermas commentating on it.
[00:00:48.910 --> 00:00:53.034]  Now you can watch along if you're a PrisonPlanet.tv member and you decide.
[00:00:53.235 --> 00:00:58.880]  Like I said, they falsely tried to arrest this guy and they should have been pulling over an ambulance in the first place.
[00:00:59.381 --> 00:01:05.147]  And this is the guy that was trying to quell the situation and finally he lost it when they said, no, you're going to jail.
[00:01:05.427 --> 00:01:06.347]  You're going to jail!
[00:01:06.367 --> 00:01:08.308]  You're under arrest!
[00:01:08.848 --> 00:01:12.609]  So he's not supposed to throw the cop off when he grabs his arm?
[00:01:12.929 --> 00:01:14.649]  That guy didn't initiate the contact.
[00:01:15.010 --> 00:01:18.711]  The contact was initiated by the officer that said, you're under arrest.
[00:01:18.951 --> 00:01:23.432]  Now, if he had really done something and he was quote-unquote under arrest, he would end up going to jail.
[00:01:24.132 --> 00:01:26.193]  And even if he didn't, because, you know, jackboot cops.
[00:01:26.433 --> 00:01:31.334]  Luckily, cooler heads did prevail after they started choking the gentleman who was a true hulk.
[00:01:32.045 --> 00:01:35.967]  Now we're going to go there in just a moment, but I want to thank another one of our great sponsors.
[00:01:35.987 --> 00:01:39.748]  Again, without the sponsors, folks, we're just not possible.
[00:01:39.768 --> 00:01:43.069]  And that's why it's important for you to go to HomeGain.com.
[00:01:43.390 --> 00:01:44.630]  HomeGain.com.
[00:01:44.690 --> 00:01:45.711]  G-A-I-N.
[00:01:47.231 --> 00:01:49.032]  You want to go to HomeGain.com for all
[00:01:50.051 --> 00:01:50.451]  I don't know.
[00:02:13.166 --> 00:02:15.208]  Alright, we've got Alex Jones on the line.
[00:02:15.328 --> 00:02:18.250]  Alex, do you want to play this clip for PrisonPlanet.tv members?
[00:02:18.290 --> 00:02:22.834]  We just went live and we did just have a caller say, no, the police were in the right.
[00:02:22.894 --> 00:02:32.002]  The guy started the physical contact when in fact, you know, this guy was the guy who was telling the son to, you know, maybe cool out and not cell phone.
[00:02:32.202 --> 00:02:34.383]  And he's like, look, I'm just trying to get evidence for you guys.
[00:02:34.583 --> 00:02:35.263]  And he said, OK.
[00:02:35.523 --> 00:02:36.644]  He was inside with the woman.
[00:02:36.884 --> 00:02:39.145]  Then they come around and they say, you're under arrest.
[00:02:39.425 --> 00:02:40.365]  You're under arrest.
[00:02:40.726 --> 00:02:41.566]  Then they grab the guy.
[00:02:41.606 --> 00:02:42.586]  The guy pushes them away.
[00:02:42.606 --> 00:02:46.448]  And it was only through this physical altercation that he wasn't taken to jail, Alex.
[00:02:47.428 --> 00:02:53.731]  Well, you know, this is the problem with our society, is that the same thing happened in Hitler's Germany.
[00:02:53.771 --> 00:02:55.292]  The same thing happened in the Soviet Union.
[00:02:55.952 --> 00:02:57.773]  The people make excuses for it.
[00:02:57.813 --> 00:03:00.474]  So before I recap the story and give you new developments,
[00:03:01.411 --> 00:03:03.112]  I want to just go back here and explain something.
[00:03:04.434 --> 00:03:09.118]  Having cameras in public school bathrooms and in the classrooms isn't freedom.
[00:03:10.639 --> 00:03:15.243]  Having the police with paramilitary units in black uniforms and ski masks isn't freedom.
[00:03:15.723 --> 00:03:22.789]  Having warrantless wiretapping against the American people, which they lied about and now admit that they do do and do against everybody, isn't freedom.
[00:03:23.510 --> 00:03:29.615]  Having children raped and tortured in front of their parents, which is declassified Army's own documents,
[00:03:30.339 --> 00:03:37.241]  We've been reporting it for four years, it's now mainstream news, confirming what we said four years ago, raping children.
[00:03:38.021 --> 00:03:44.903]  The Army's own report admits this, and I get threatening emails going, you're a jihadist-loving al-Qaeda lover.
[00:03:45.543 --> 00:03:50.344]  Well, yeah, if al-Qaeda was raping children and wasn't CIA, I'd actually want to find them.
[00:03:50.364 --> 00:03:59.046]  You know, the point is, is that this sick mental attitude of, we're going to go ahead and rape children in front of their parents because this is how we beat al-Qaeda,
[00:03:59.514 --> 00:04:06.821]  Even if you believe Al-Qaeda exists outside of MI6, Mossad, and CIA, is the height of evil.
[00:04:06.841 --> 00:04:12.946]  I mean, they've already been totally compromised psychologically, and they've committed to the fact that this is okay.
[00:04:13.787 --> 00:04:25.778]  When the police shot that young man who was in handcuffs in the back a few months ago on the subway train platform in the Bay Area of California outside Oakland,
[00:04:26.300 --> 00:04:30.201]  People defended it and said, the witnesses are lying.
[00:04:30.621 --> 00:04:32.782]  He hit the police and attacked them.
[00:04:32.802 --> 00:04:35.902]  And then it turned out the witnesses weren't lying.
[00:04:35.942 --> 00:04:44.784]  The police had taken all their camera phones, had claimed that the cameras weren't working there, that the government ran on the platform.
[00:04:45.985 --> 00:04:54.127]  And, but thank God, a train had been driving by and had someone in it with a camera phone and videotaped the whole thing start to finish.
[00:04:54.167 --> 00:04:55.067]  He was in handcuffs.
[00:04:55.564 --> 00:04:56.064]  Submitting.
[00:04:56.144 --> 00:04:57.245]  It's the whole video.
[00:04:57.585 --> 00:04:58.406]  They grab him up.
[00:05:00.207 --> 00:05:01.047]  Start shaking him.
[00:05:01.087 --> 00:05:02.268]  Slam him down on the ground.
[00:05:02.448 --> 00:05:04.830]  He's totally submitting to them.
[00:05:05.510 --> 00:05:07.271]  But you got the next level of this religion.
[00:05:07.651 --> 00:05:08.992]  Then he's shot in the back.
[00:05:09.352 --> 00:05:10.453]  And then beat up.
[00:05:10.873 --> 00:05:14.095]  And so when that came out, people still defended the police.
[00:05:14.475 --> 00:05:16.056]  Just like they defended Adolf Hitler.
[00:05:16.577 --> 00:05:23.901]  And so, again, ladies and gentlemen, it has become a religion to worship government, worship the military, and worship police.
[00:05:24.508 --> 00:05:27.851]  And anytime that happens, what we now witness unfolds.
[00:05:27.911 --> 00:05:34.496]  But for those that don't know, as if you think it could be any worse, that this ambulance is carrying a sick woman.
[00:05:35.537 --> 00:05:37.219]  Her son is following in his car.
[00:05:37.619 --> 00:05:42.123]  He sees a state trooper in the state of Oklahoma.
[00:05:43.904 --> 00:05:46.006]  Pull the ambulance over.
[00:05:46.226 --> 00:05:46.907]  He gets out.
[00:05:47.968 --> 00:05:52.071]  He's at a distance videotaping the gods who are videotaping us constantly.
[00:05:53.507 --> 00:06:01.549]  We're going to get him back and while we're waiting for him to get back, we're going to play the clip right now for PrisonPlanet.TV viewers.
[00:06:01.589 --> 00:06:02.409]  Check it out, start to finish.
[00:06:02.429 --> 00:06:02.749]  Here we go.
[00:06:02.769 --> 00:06:03.249]  You got it, Jaren?
[00:06:03.269 --> 00:06:03.769]  Hit the clip.
[00:06:23.870 --> 00:06:26.152]  This is me, this foot, this.
[00:06:26.412 --> 00:06:31.215]  Highway Patrolman pulled my mom's ambulance over because he's mad we didn't pull over.
[00:06:31.295 --> 00:06:36.758]  And he's trying to arrest the police, the AEMT, for taking my mother to the hospital.
[00:06:36.778 --> 00:06:39.040]  This is me, this foot, this.
[00:06:39.440 --> 00:06:44.123]  Highway Patrolman pulled my mom's ambulance over because he's mad we didn't pull over.
[00:06:44.383 --> 00:06:47.225]  And he's trying to arrest the police, the AEMT,
[00:06:55.951 --> 00:07:04.036]  And for people watching, swinging around to get the license plate number of the original officer of the highway patrol that did pull them over.
[00:07:07.258 --> 00:07:09.920]  And right now the patrolman is over there talking to the driver.
[00:07:10.320 --> 00:07:11.421]  We're about to get a shot of that.
[00:07:28.068 --> 00:07:32.292]  Alright, so this is the guy saying not to get involved.
[00:07:32.332 --> 00:07:36.436]  This is the guy that gets attacked by the police officers saying not to get involved.
[00:07:41.343 --> 00:07:42.284]  Yes I do.
[00:07:42.324 --> 00:07:44.804]  Can you follow us to the graveyard sir?
[00:07:44.824 --> 00:07:48.125]  I'm getting the ammo.
[00:07:48.165 --> 00:07:48.345]  Yeah.
[00:07:48.365 --> 00:07:50.966]  Do it to mom and take it.
[00:08:04.093 --> 00:08:08.158]  Now here it looks like they think they're going to be on their way, but this is where the outrageousness happens.
[00:08:19.039 --> 00:08:19.159]  Hey!
[00:08:19.199 --> 00:08:19.259]  Hey!
[00:08:19.479 --> 00:08:19.659]  Hey!
[00:08:19.719 --> 00:08:19.799]  Hey!
[00:08:19.819 --> 00:08:19.879]  Hey!
[00:08:19.939 --> 00:08:20.099]  Hey!
[00:08:20.219 --> 00:08:20.419]  Hey!
[00:08:20.479 --> 00:08:20.639]  Hey!
[00:08:21.700 --> 00:08:21.840]  Hey!
[00:08:21.860 --> 00:08:21.940]  Hey!
[00:08:21.980 --> 00:08:22.080]  Hey!
[00:08:22.380 --> 00:08:22.620]  Hey!
[00:08:22.660 --> 00:08:23.020]  Hey!
[00:08:23.880 --> 00:08:24.340]  Hey!
[00:08:24.400 --> 00:08:24.520]  Hey!
[00:08:24.580 --> 00:08:24.660]  Hey!
[00:08:25.181 --> 00:08:25.281]  Hey!
[00:08:25.321 --> 00:08:25.421]  Hey!
[00:08:25.481 --> 00:08:25.581]  Hey!
[00:08:25.601 --> 00:08:25.681]  Hey!
[00:08:25.801 --> 00:08:25.921]  Hey!
[00:08:26.001 --> 00:08:26.161]  Hey!
[00:08:26.181 --> 00:08:26.241]  Hey!
[00:08:26.341 --> 00:08:26.521]  Hey!
[00:08:26.541 --> 00:08:26.601]  Hey!
[00:08:26.681 --> 00:08:26.861]  Hey!
[00:08:26.921 --> 00:08:27.041]  Hey!
[00:08:27.081 --> 00:08:27.141]  Hey!
[00:08:27.221 --> 00:08:27.341]  Hey!
[00:08:27.361 --> 00:08:27.421]  Hey!
[00:08:27.481 --> 00:08:27.601]  Hey!
[00:08:27.621 --> 00:08:27.781]  Hey!
[00:08:27.861 --> 00:08:27.981]  Hey!
[00:08:28.021 --> 00:08:28.141]  Hey!
[00:08:28.281 --> 00:08:28.461]  Hey!
[00:08:28.481 --> 00:08:28.541]  Hey!
[00:08:28.642 --> 00:08:28.822]  Hey!
[00:08:28.902 --> 00:08:29.022]  Hey!
[00:08:29.042 --> 00:08:29.102]  Hey!
[00:08:29.162 --> 00:08:29.302]  Hey!
[00:08:29.342 --> 00:08:29.462]  Hey!
[00:08:29.482 --> 00:08:29.542]  Hey!
[00:08:29.562 --> 00:08:29.622]  Hey!
[00:08:29.642 --> 00:08:29.742]  Hey!
[00:08:29.822 --> 00:08:29.962]  Hey!
[00:08:30.042 --> 00:08:30.162]  Hey!
[00:08:30.402 --> 00:08:30.582]  Hey!
[00:08:30.662 --> 00:08:30.782]  Hey!
[00:08:30.862 --> 00:08:30.962]  Hey!
[00:08:31.002 --> 00:08:31.102]  Hey!
[00:08:31.142 --> 00:08:31.282]  Hey!
[00:08:31.302 --> 00:08:31.362]  Hey!
[00:08:31.402 --> 00:08:31.522]  Hey!
[00:08:31.542 --> 00:08:31.642]  Hey!
[00:08:31.662 --> 00:08:31.742]  Hey!
[00:08:31.782 --> 00:08:31.902]  Hey!
[00:08:31.982 --> 00:08:32.102]  Hey!
[00:08:32.162 --> 00:08:32.242]  Hey!
[00:08:32.282 --> 00:08:32.382]  Hey!
[00:08:32.442 --> 00:08:32.583]  Hey!
[00:08:32.623 --> 00:08:32.763]  Hey!
[00:08:32.783 --> 00:08:32.883]  Hey!
[00:08:32.963 --> 00:08:33.103]  Hey!
[00:08:33.123 --> 00:08:33.183]  Hey!
[00:08:33.223 --> 00:08:33.303]  Hey!
[00:08:33.323 --> 00:08:33.463]  Hey!
[00:08:33.523 --> 00:08:33.583]  Hey!
[00:08:33.643 --> 00:08:33.743]  Hey!
[00:08:33.763 --> 00:08:33.823]  Hey!
[00:08:33.843 --> 00:08:33.923]  Hey!
[00:08:33.983 --> 00:08:34.123]  Hey!
[00:08:34.183 --> 00:08:34.383]  Hey!
[00:08:34.443 --> 00:08:34.563]  Hey!
[00:08:34.623 --> 00:08:34.763]  Hey!
[00:08:34.903 --> 00:08:35.043]  Hey!
[00:08:35.163 --> 00:08:35.343]  Hey!
[00:08:35.403 --> 00:08:35.543]  Hey!
[00:08:35.603 --> 00:08:35.703]  Hey!
[00:08:35.763 --> 00:08:35.883]  Hey!
[00:08:35.903 --> 00:08:35.983]  Hey!
[00:08:36.063 --> 00:08:36.203]  Hey!
[00:08:36.263 --> 00:08:36.384]  Hey!
[00:08:36.424 --> 00:08:36.504]  Hey!
[00:08:36.544 --> 00:08:36.624]  Hey!
[00:08:36.684 --> 00:08:36.744]  Hey!
[00:08:36.804 --> 00:08:36.884]  Hey!
[00:08:36.904 --> 00:08:36.964]  Hey!
[00:08:37.384 --> 00:08:37.504]  Hey!
[00:08:37.564 --> 00:08:37.884]  Hey!
[00:08:37.944 --> 00:08:38.064]  Hey!
[00:08:38.104 --> 00:08:38.204]  Hey!
[00:08:38.224 --> 00:08:38.324]  Hey!
[00:08:38.404 --> 00:08:38.524]  Hey!
[00:08:38.584 --> 00:08:38.704]  Hey!
[00:08:38.764 --> 00:08:38.844]  Hey!
[00:08:38.904 --> 00:08:39.024]  Hey!
[00:08:39.084 --> 00:08:39.144]  Hey!
[00:08:39.184 --> 00:08:39.284]  Hey!
[00:08:39.304 --> 00:08:39.364]  Hey!
[00:08:39.384 --> 00:08:39.464]  Hey!
[00:08:39.484 --> 00:08:39.624]  Hey!
[00:08:39.704 --> 00:08:39.804]  Hey!
[00:08:39.844 --> 00:08:39.924]  Hey!
[00:08:40.685 --> 00:08:40.785]  Hey!
[00:08:40.825 --> 00:08:40.885]  Hey!
[00:08:40.925 --> 00:08:41.005]  Hey!
[00:08:41.065 --> 00:08:41.225]  Hey!
[00:08:41.285 --> 00:08:41.385]  Hey!
[00:08:41.405 --> 00:08:41.465]  Hey!
[00:08:41.525 --> 00:08:41.665]  Hey!
[00:08:41.685 --> 00:08:41.765]  Hey!
[00:08:41.825 --> 00:08:41.905]  Hey!
[00:08:43.017 --> 00:08:44.678]  It ain't here in this temple right here.
[00:08:44.718 --> 00:08:45.098]  Listen to me.
[00:08:45.118 --> 00:08:46.318]  I suppose that you're under arrest.
[00:08:46.378 --> 00:08:47.939]  Get those papers in the hospital.
[00:08:48.119 --> 00:09:02.123]  Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey
[00:09:04.129 --> 00:09:04.790]  And there it goes.
[00:09:05.190 --> 00:09:06.271]  See, alright, let's pull the clip.
[00:09:06.572 --> 00:09:10.095]  See, if he didn't stand up for himself, again, you're under arrest!
[00:09:10.255 --> 00:09:11.236]  You're under arrest!
[00:09:11.596 --> 00:09:14.038]  He grabs his arm to put him under arrest.
[00:09:14.258 --> 00:09:17.662]  He's the guy that said, cool out, don't do anything, let this thing pass.
[00:09:18.102 --> 00:09:20.684]  And they're getting in his face and they choke him out.
[00:09:20.724 --> 00:09:24.548]  So he doesn't stand up to his masters and he goes to jail.
[00:09:24.808 --> 00:09:25.589]  This is insane.
[00:09:25.609 --> 00:09:26.650]  Do we have Alex back yet?
[00:09:27.891 --> 00:09:29.012]  Or did he drop off completely?
[00:09:30.765 --> 00:09:32.165]  All the entire phone system died?
[00:09:33.086 --> 00:09:34.306]  So wait, I don't have any callers either?
[00:09:35.847 --> 00:09:36.647]  Do I have callers, John?
[00:09:37.687 --> 00:09:39.668]  Okay, all the entire phone system died.
[00:09:40.128 --> 00:09:41.189]  Geez, GCN!
[00:09:41.689 --> 00:09:42.229]  What happened?
[00:09:42.269 --> 00:09:43.309]  Maybe we're getting a little attack.
[00:09:43.369 --> 00:09:45.010]  We do have some decent numbers right now.
[00:09:45.070 --> 00:09:50.372]  It's a pretty tough situation when you have this kind of mentality.
[00:09:50.652 --> 00:09:53.353]  And you know, that brings me to this article right here.
[00:09:54.613 --> 00:09:59.595]  Talk about just insulting people of any sort of intelligence.
[00:10:00.859 --> 00:10:01.099]  U.S.
[00:10:01.139 --> 00:10:05.264]  News and World Report has done the inner worlds of conspiracy believers.
[00:10:05.604 --> 00:10:16.355]  Now it's another Johnny Nonsense and technological term to say everybody who believes the 9-11 wasn't what the government and the media said is crazy.
[00:10:16.676 --> 00:10:17.737]  They're nut jobs.
[00:10:18.945 --> 00:10:23.910]  Shortly after the terrorist attacks destroyed the World Trade Center and mangled the Pentagon on September 11, 2001.
[00:10:24.411 --> 00:10:25.933]  Remember, terrorist attacks!
[00:10:26.353 --> 00:10:28.395]  It's always terrorist attacks!
[00:10:29.016 --> 00:10:32.700]  And really, these were terrorists, but they're government terrorists.
[00:10:32.760 --> 00:10:35.202]  They're not, you know, Muslims in a cave.
[00:10:35.263 --> 00:10:36.083]  I hate to tell you that.
[00:10:36.857 --> 00:10:42.862]  The Muslims in caves that were used in this quote-unquote attack were not in caves.
[00:10:43.323 --> 00:10:45.705]  They had links to military intelligence.
[00:10:46.045 --> 00:10:53.732]  Some of them had their IDs, their driver's licenses, saying that they were living at the Pensacola Navy Station in Florida.
[00:10:54.628 --> 00:10:54.968]  Okay?
[00:10:55.449 --> 00:10:57.610]  So, I mean, just off the bat, total lies.
[00:10:58.250 --> 00:11:03.354]  Conspiracy theories blossomed about secret and malevolent government plots behind the tragic events.
[00:11:03.654 --> 00:11:05.615]  And these are not so secret anymore.
[00:11:06.236 --> 00:11:10.298]  I mean, if you look at the drills that were going on that day, you know, they just released another drill.
[00:11:10.458 --> 00:11:11.759]  Operation Jackal Cave.
[00:11:12.119 --> 00:11:13.761]  The entire thing is almost blacked out.
[00:11:14.061 --> 00:11:17.303]  You look at Apollo Guardian, Northern Guardian, Northern Vigilance.
[00:11:17.703 --> 00:11:24.268]  The NRO drill, where they were ramming a plane into a building at 8.45 in the morning with John Fulton and his team from the CIA.
[00:11:24.548 --> 00:11:26.249]  All this came out in the mainstream media.
[00:11:27.049 --> 00:11:29.771]  There was mass Armageddon exercises going on that morning.
[00:11:29.851 --> 00:11:30.892]  Hijacking drills.
[00:11:32.293 --> 00:11:34.034]  I mean, those are the plots.
[00:11:34.594 --> 00:11:35.315]  Unfortunately.
[00:11:35.935 --> 00:11:39.918]  There was a, somehow, on the newswire in, what was it?
[00:11:39.938 --> 00:11:47.223]  It went out, I think, on a Reuters newswire, it was, that Building 7 had come down 20 plus minutes before it had.
[00:11:49.076 --> 00:11:51.057]  I mean, come on, this is all coincidence?
[00:11:51.898 --> 00:11:56.220]  Oh, yes, the Muslim terrorists were able to do all those things, Jason, and blow up Building 7.
[00:11:57.521 --> 00:12:06.947]  A report scheduled to appear in upcoming Applied Cognitive Psychology offers a preliminary psychological profile of people who believe in 9-11 conspiracies.
[00:12:08.148 --> 00:12:12.611]  A team led by psychologist Viren Swamy of the University of Westminster in London
[00:12:13.706 --> 00:12:19.710]  Identified several traits associated with subscribing to 9-11 conspiracies, at least among British citizens.
[00:12:20.050 --> 00:12:25.013]  These characteristics consist of backing one or more conspiracy theories unrelated to 9-11.
[00:12:25.513 --> 00:12:43.124]  See, the people that are hip to 9-11 are hip to the fact that Dye was murdered, are hip to the fact that 7-7 was an inside job, are hip to the fact that these guys are criminals, they're hip to the fact that the Bilderberg Group does exist, that MI5 is corrupt, that CIA is corrupt, that they've been caught,
[00:12:44.090 --> 00:12:50.197]  That there is an international intelligence organization that runs the drugs and pulls off a thing called Black Ops.
[00:12:50.618 --> 00:12:53.061]  See, Black Ops aren't fairy tales and unicorns, folks.
[00:12:53.401 --> 00:12:54.162]  They're reality.
[00:12:55.504 --> 00:12:57.887]  I'm sorry that you can't handle reality.
[00:12:58.167 --> 00:13:01.091]  I'm sorry you can't put on your big boy pants and own up.
[00:13:02.210 --> 00:13:03.512]  So we just watched that clip.
[00:13:03.572 --> 00:13:14.911]  There's no doubt that if the man had not said, no, you're not going to arrest me, after they grabbed him, the Lords would have taken him to the internment camps, even though he's an EMT trying to help a sick woman.
[00:13:16.894 --> 00:13:17.635]  Yes, Jason.
[00:13:17.675 --> 00:13:18.676]  It's the craziest thing.
[00:13:18.716 --> 00:13:22.319]  A little hotel I met on vacation with my family, their phones aren't working.
[00:13:22.780 --> 00:13:25.082]  The Genesis phones are completely dead.
[00:13:25.622 --> 00:13:28.165]  Luckily, we have a backup, but that's dead half the time.
[00:13:28.345 --> 00:13:32.569]  I definitely want to put the order in now for the five landlines at the office.
[00:13:33.330 --> 00:13:37.153]  I've really had enough of computer-based T1 stuff, so I want Mike and them.
[00:13:37.173 --> 00:13:38.955]  I'm just saying it on air and maybe it'll happen.
[00:13:39.503 --> 00:13:43.364]  I want five regular phone lines into the board, ordered today.
[00:13:43.644 --> 00:13:44.544]  Okay, side issue.
[00:13:45.185 --> 00:13:47.265]  It's unbelievable, the phone systems everywhere.
[00:13:47.285 --> 00:13:48.686]  It's just an endless problem.
[00:13:49.126 --> 00:13:54.347]  Alright, hopefully I can get back on at the point that I was in the talk.
[00:13:55.567 --> 00:13:57.588]  You were just saying he would have been taken to the FEMA camp.
[00:13:57.608 --> 00:13:59.749]  He is being taken to the FEMA camp.
[00:14:00.069 --> 00:14:01.069]  That's the whole issue.
[00:14:01.109 --> 00:14:05.830]  I'm on the website of the local Oklahoma station.
[00:14:05.990 --> 00:14:06.450]  K-T-U-L.
[00:14:06.570 --> 00:14:07.291]  K-T-U-L.
[00:14:09.221 --> 00:14:10.983]  You know what?
[00:14:27.475 --> 00:14:28.216]  The ambulance.
[00:14:28.756 --> 00:14:30.919]  That's just a little safety courtesy.
[00:14:30.939 --> 00:14:32.300]  That's totally normal.
[00:14:32.520 --> 00:14:35.443]  Just like when they boot kick someone who's not resisting and almost kill them.
[00:14:35.804 --> 00:14:36.965]  Or put the kid in a coma.
[00:14:37.225 --> 00:14:39.648]  The police chief went on the news and said this is good.
[00:14:39.668 --> 00:14:41.530]  He didn't play that clip out of Seattle.
[00:14:41.570 --> 00:14:42.451]  He said we'll do it again.
