[00:00:04.884 --> 00:00:09.728]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.728 --> 00:00:11.309]  You want answers?
[00:00:11.309 --> 00:00:12.871]  Well, so does he.
[00:00:12.871 --> 00:00:17.054]  He's Alex Jones on the GCN Radio Network.
[00:00:17.054 --> 00:00:21.118]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.143 --> 00:00:41.246]  Welcome, ladies and gentlemen, welcome!
[00:00:42.609 --> 00:00:47.792]  It is the 31st day of March 2009 on this Tuesday edition.
[00:00:47.792 --> 00:00:50.234]  We're going to be here live for the next four hours.
[00:00:50.234 --> 00:00:57.198]  We're going to get a report coming up from Paul Joseph Watson in the UK on the G20 meetings coming up in Europe.
[00:00:57.198 --> 00:01:03.502]  Obama is traveling to the UK tomorrow on April Fool's to kneel before the Queen of England.
[00:01:03.502 --> 00:01:05.403]  He's been practicing his etiquette.
[00:01:06.741 --> 00:01:13.486]  And then, of course, he then goes on to the continent of Europe to openly set up world government ruled by the banks.
[00:01:13.486 --> 00:01:17.649]  So I'll be breaking down everything ahead of the G20 meeting coming up.
[00:01:17.649 --> 00:01:25.135]  Nicolas Sarkozy's threat to walk out of Global Summit if a global regulatory agency is not set up.
[00:01:25.135 --> 00:01:27.156]  So he's pushing for the world government.
[00:01:27.156 --> 00:01:33.301]  He says the Anglo-Saxon group, the United States and England, have engineered all of this.
[00:01:33.641 --> 00:01:50.156]  Well, that's certainly true, but France is integral part of that, married into the entire power structure, so this is like Herman Goering saying that Hitler is bad, Joseph Goebbels saying that Heinrich Himmler is bad.
[00:01:50.156 --> 00:01:52.718]  This is just absolutely ridiculous.
[00:01:53.797 --> 00:02:03.382]  Also, there are reports in the mainstream news, London Independent and others, and Kurt Nimmo has done a great report on it, Anarchist Plot Mayhem for G20 in London.
[00:02:03.382 --> 00:02:06.384]  These are foundation-backed groups.
[00:02:06.384 --> 00:02:11.747]  Now, every time I mention that the anarchists are government-paid shills, I don't mean every anarchist group.
[00:02:11.747 --> 00:02:16.569]  There are hundreds of these groups, but the big ones, that they fly around the world, that they used in 99 in Seattle.
[00:02:19.597 --> 00:02:23.020]  Some of the groups they had in Denver, some of the groups they had in Canada.
[00:02:23.020 --> 00:02:38.291]  They've been caught over and over again in mainstream news being run by the police, being run by security services, and they attack other police, generally led by police, and then put it on the news to demonize all the peaceful protesters.
[00:02:38.291 --> 00:02:46.958]  So that becomes the news instead of what the G20 is doing, or what the North American Union SPP Summit is doing, or what's really going on at the Democratic National Convention.
[00:02:48.208 --> 00:02:56.354]  Or what's happening at the World Trade Organization in Genoa, Italy, or Seattle, Washington.
[00:02:56.354 --> 00:03:00.417]  And I saw on the Times of London, it says, protest the protest.
[00:03:00.417 --> 00:03:02.378]  Annoyed by the G20 riots?
[00:03:02.378 --> 00:03:03.539]  Have a rant about it.
