[00:00:00.149 --> 00:00:06.836]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:06.856 --> 00:00:08.517]  It's Alex Jones, and the GCN Radio Network.
[00:00:39.130 --> 00:00:42.972]  We are live at PrisonPlanet.tv for the next hour and 52 minutes.
[00:00:43.052 --> 00:00:46.754]  It's left in the show today, simulcasting the radio show.
[00:00:47.515 --> 00:00:54.218]  We have Webster Tarpley joining us about 50 minutes from now to give us the latest on Obama's criminal activities.
[00:00:55.199 --> 00:00:58.601]  Then we're going to have Keith Bryan on from Ireland.
[00:00:59.021 --> 00:01:01.903]  Mainstream news is reporting that they were doing drills
[00:01:02.603 --> 00:01:10.910]  When the military men in Northern Ireland got shot, the British troops, as we predicted they would, and it's coming out, that the guards stood down and didn't shoot at the people that were shooting.
[00:01:11.551 --> 00:01:23.021]  So, and with over 75% of the past attacks in Northern Ireland and Ireland and in England being connected and carried out by British Special Forces, SAS, as has been covered by mainstream British news,
[00:01:24.162 --> 00:01:28.346]  We are, and that's why they had to stop a lot of it four or five years ago, because it did become public.
[00:01:28.906 --> 00:01:30.347]  It looks like they're back to their old tricks.
[00:01:30.407 --> 00:01:34.030]  It's almost completely confirmed, the classic MO on that front.
[00:01:34.050 --> 00:01:38.454]  For the next 20 minutes, we are joined by Terry Bresci.
[00:01:39.515 --> 00:01:40.716]  And Terry Bresci,
[00:01:43.331 --> 00:01:59.086]  is an individual who lives somewhere near the border and they've now moved border checkpoints in some cases a hundred miles away from the border they call them constitution free zones and they're harassing citizens and i would add here that we support the border patrol their constitutional duty it's one of the few things the feds do that's constitutional and we support it
[00:01:59.887 --> 00:02:00.167]  I don't know.
[00:02:22.745 --> 00:02:28.529]  Illegal aliens are allowed to get the stimulus money, and they don't have to show that they're American citizens like citizens do.
[00:02:28.589 --> 00:02:31.752]  It's literally just a double standard.
[00:02:31.812 --> 00:02:34.173]  So, Terry Bresci, I want to thank you for joining us.
[00:02:35.314 --> 00:02:36.055]  Thank you for having me.
[00:02:36.195 --> 00:02:36.595]  Good to be here.
[00:02:37.175 --> 00:02:43.380]  Tell us a little bit about yourself, where you're located, and some of the plethora of YouTube videos that you've got.
[00:02:43.400 --> 00:02:51.326]  We're going to put a few of them up on screen without the audio, you know, showing what you go through and what happens at these checkpoints inside the United States.
[00:02:52.754 --> 00:02:53.074]  Sure.
[00:02:54.114 --> 00:03:07.018]  I live in Tucson, Arizona, which is about 40 miles north of the international border with Mexico, and I frequent State Route 86, which is an east-west highway that takes me out to one of my remote work sites.
[00:03:07.939 --> 00:03:18.842]  I work up at the Kitt Peak National Observatory, and we have a couple telescopes up there that I keep running and I observe on to look for asteroids and comets in the solar system.
[00:03:19.531 --> 00:03:28.441]  So my work takes me along remote sections of the desert on a fairly regular basis, and this is where I've encountered quite a few checkpoints over the years.
[00:03:30.304 --> 00:03:33.087]  Break down what you're dealing with and the type of things you go through.
[00:03:36.656 --> 00:03:43.919]  Well, you know, what first got me interested, or first got me involved with this issue of checkpoints, was an incident from 2002.
[00:03:44.399 --> 00:04:01.486]  I was traveling back to Tucson after working the day on a mountain, and I was stopped at a checkpoint that was being operated primarily by the tribal police, but there was also present the Department of Homeland Security in the form of U.S.
[00:04:01.526 --> 00:04:06.088]  Customs agents and Border Patrol agents who were working the front line with the tribal police.
