[00:00:01.553 --> 00:00:02.133]  Initiate!
[00:00:03.473 --> 00:00:05.394]  Waging war on corruption.
[00:00:05.854 --> 00:00:08.735]  Alex Jones on the GCN Radio Network.
[00:00:15.236 --> 00:00:15.877]  Big Brother.
[00:00:16.537 --> 00:00:17.597]  Mainstream media.
[00:00:18.317 --> 00:00:19.417]  Government cover-ups.
[00:00:20.078 --> 00:00:20.878]  You want answers?
[00:00:21.638 --> 00:00:22.538]  Well, so does he.
[00:00:22.558 --> 00:00:26.879]  He's Alex Jones on the GCN Radio Network.
[00:00:27.379 --> 00:00:29.740]  And now, live from Austin, Texas,
[00:00:30.629 --> 00:00:31.469]  Alex Jones.
[00:00:33.110 --> 00:00:38.110]  We are live now to the third hour of the fourth hour coming up as well.
[00:00:38.130 --> 00:00:40.071]  We're not just doing the radio show right now.
[00:00:40.091 --> 00:00:51.373]  In the last two hours every day we simulcast live at PrisonPlanet.tv in the full studio with the documents, the video clips, putting the articles up on screen for PrisonPlanet.tv members.
[00:00:52.193 --> 00:00:56.094]  Finishing up with Glenn Spencer of American Border Patrol.
[00:00:57.254 --> 00:01:14.559]  Who is one of the most prominent and tireless, focused people exposing the crisis with our third world nation that is bordering our south that is now falling apart in on itself with just carnage and murder and mayhem and now mass kidnappings
[00:01:15.179 --> 00:01:20.224]  There have been a lot of cases where drug smugglers will take 40-plus people, kidnap them out of Arizona or Texas.
[00:01:21.024 --> 00:01:22.586]  The police have to raid it and get killed.
[00:01:22.626 --> 00:01:24.107]  I mean, it's getting bad.
[00:01:24.808 --> 00:01:27.590]  And now the State Department's admitting there's kidnappings all over the U.S.
[00:01:27.630 --> 00:01:28.931]  of Americans down to Mexico.
[00:01:28.951 --> 00:01:31.374]  They're not just kidnapping Americans when they go to Mexico.
[00:01:31.414 --> 00:01:33.055]  The police are sucking money out of the family.
[00:01:33.816 --> 00:01:36.518]  In a minute or two, we're going to go to Sheriff Richard Mack for the next 30 minutes.
[00:01:36.898 --> 00:01:39.521]  Then we have a state representative joining us with all these states.
[00:01:39.541 --> 00:01:39.781]  It's now 10.
[00:01:40.942 --> 00:01:47.806]  And as you heard Jack McClam earlier, 20 more moving to declare sovereignty against the Feds and all their globalist orders.
[00:01:48.566 --> 00:01:51.248]  But finishing up with that and your website, Glenn Spencer.
[00:01:52.689 --> 00:02:03.555]  Well yeah, we were talking about the fact that we have major crimes in our cities that are being committed by these drug gangs.
[00:02:04.891 --> 00:02:06.632]  Here is the AP report.
[00:02:06.712 --> 00:02:06.932]  U.S.
[00:02:06.972 --> 00:02:15.935]  authorities are reporting a spike in killings, kidnappings, and home invasions connected to Mexico's murderous cartels right in our cities.
[00:02:16.415 --> 00:02:24.858]  Now, we've got 40% of the population of the prisons of California are in one way or another linked to illegal immigration.
[00:02:25.338 --> 00:02:30.319]  Now, they're going to let, I mean, now they're saying you've got to let go, 40% of the population.
[00:02:32.236 --> 00:02:42.599]  You have illegal aliens convicted of serious crimes during this unrest in California.
[00:02:42.799 --> 00:02:46.780]  They're going to release 60,000 of these people into the community?
[00:02:47.220 --> 00:02:55.442]  Which will then cause huge crime rates to even spike more, then the feds bring in more federalization of police and funding to control the general population.
[00:02:57.099 --> 00:02:58.780]  So they know exactly what they're doing.
[00:02:58.820 --> 00:03:01.962]  Len Spencer, I want to get you back on the next few weeks for part two of this interview.
[00:03:02.262 --> 00:03:03.823]  Thank you so much for spending time with us.
[00:03:03.843 --> 00:03:04.784]  Fire off the websites.
[00:03:05.484 --> 00:03:06.905]  AmericanPatrol.com.
[00:03:08.005 --> 00:03:08.145]  Alright.
[00:03:08.186 --> 00:03:09.406]  AmericanPatrol.com.
[00:03:09.606 --> 00:03:11.788]  I got 151 people online right now.
[00:03:13.709 --> 00:03:14.009]  Alright.
[00:03:14.049 --> 00:03:15.310]  Thank you so much for joining us.
[00:03:15.330 --> 00:03:16.070]  Take care, my friend.
[00:03:16.170 --> 00:03:16.610]  Thanks a lot.
[00:03:17.551 --> 00:03:18.311]  Alright, folks.
[00:03:20.259 --> 00:03:24.463]  The next 30 minutes were joined by Sheriff Richard Mack.
[00:03:25.224 --> 00:03:30.489]  For those that don't know who he is, former sheriff in Graham County, Arizona and long-time prosecutor for freedom and individual rights.
[00:03:30.830 --> 00:03:34.454]  Right now, it is vital that they restore the Constitution and the supreme law of the land.
[00:03:34.474 --> 00:03:36.436]  The greatest threat we face today is not terrorists.
[00:03:36.756 --> 00:03:39.959]  It is our own federal government of America is conquered or ruined.
[00:03:39.979 --> 00:03:41.661]  It will be from within, not a foreign enemy.
[00:03:41.701 --> 00:03:43.122]  That's his quote.
[00:03:43.983 --> 00:03:47.026]  And you can go to his website, SheriffMac.com.
[00:03:47.346 --> 00:03:52.690]  He, of course, brought a case to the Supreme Court for the Second Amendment on 10th Amendment grounds, states' rights, and won.
[00:03:53.270 --> 00:03:55.792]  And we are very, very thankful to have him on with his perspective.
[00:03:56.533 --> 00:03:59.455]  As everything we talked about now has come true, world government upon us.
[00:03:59.756 --> 00:04:02.338]  We're about to break, but I want to introduce you now, Sheriff Mac.
[00:04:02.378 --> 00:04:03.298]  Great to have you on with us.
[00:04:04.079 --> 00:04:05.980]  Well, Alex, it's so good to be back with you.
[00:04:06.040 --> 00:04:11.465]  It's been a while, and I've been following what you've been doing, and I really thank you for having me back on with you.
[00:04:11.485 --> 00:04:12.846]  It's a great pleasure.
[00:04:13.134 --> 00:04:14.535]  Well, I want to thank you for joining us.
[00:04:15.976 --> 00:04:19.678]  Every major newspaper is announcing world government's the answer to the economic crisis.
[00:04:20.058 --> 00:04:23.440]  World government run by the very same central banks that are now engineering the crisis.
[00:04:24.721 --> 00:04:25.481]  Well, it is.
[00:04:25.921 --> 00:04:36.728]  And just, I mean, just like you're talking about the immigration problem, the global governance problem, where can we go?
[00:04:37.068 --> 00:04:38.088]  Where can we go for help?
[00:04:38.569 --> 00:04:39.469]  Washington, D.C.?
[00:04:39.669 --> 00:04:40.310]  Your senator?
