[00:00:01.869 --> 00:00:02.489]  Engage!
[00:00:05.311 --> 00:00:05.951]  Big Brother.
[00:00:06.611 --> 00:00:07.652]  Mainstream media.
[00:00:08.392 --> 00:00:09.513]  Government cover-ups.
[00:00:10.153 --> 00:00:10.954]  You want answers?
[00:00:11.714 --> 00:00:12.634]  Well, so does he.
[00:00:13.275 --> 00:00:16.936]  He's Alex Jones on the GCN Radio Network.
[00:00:17.457 --> 00:00:21.579]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.241 --> 00:00:27.942]  There are many rules.
[00:00:29.588 --> 00:00:34.631]  To living in a dictatorship of the bankers, to living in a tyranny, to living under despotism.
[00:00:35.912 --> 00:00:58.745]  But one of the most important rules, probably the cardinal rule of tyranny, is to criminalize the non-criminal, to make everything criminal, to pass so many laws that no one even knows what the laws and regulations and bureaucracies are, and all the new little fake courts and bureaucracies, to where everyone at any time can be investigated and imprisoned or fined and feed to the tyranny.
[00:01:00.268 --> 00:01:05.551]  And thousands of laws are being passed criminalizing all behavior, basically.
[00:01:07.252 --> 00:01:11.995]  Or, there's not even a law that you have to be vaccinated, but if you don't vaccinate your kids, they'll CPS them in many cases.
[00:01:12.375 --> 00:01:19.639]  Or there's no law that you can't yell at your children or even spank them, but they imprison you and take your children when there is no law.
[00:01:20.340 --> 00:01:21.040]  That's on record.
[00:01:21.060 --> 00:01:23.202]  See, this is what a tyranny is.
[00:01:23.222 --> 00:01:28.445]  And they have their administrative law courts, they have these family law courts that are really the eugenics law courts set up.
[00:01:29.343 --> 00:01:31.624]  In the last hundred years in the Western world.
[00:01:32.245 --> 00:01:33.326]  That's all historical fact.
[00:01:36.467 --> 00:01:55.279]  And so, I covered this article in the last hour, Government Demands Inventory of All VFW Weapons, and it says we don't care if it's a Spanish-American war, civil war, we don't care if it's over a hundred years old, we will send the BATF and the FBI with SWAT teams for stolen military equipment.
[00:01:57.848 --> 00:02:00.751]  Swords, knives, tanks, missiles.
[00:02:00.791 --> 00:02:02.893]  The Fed said, we want to give you decommissioned.
[00:02:03.293 --> 00:02:05.815]  And you see a lot of them gifted by the U.S.
[00:02:05.955 --> 00:02:07.517]  Army, the VFW chapter.
[00:02:07.537 --> 00:02:12.461]  And you drive through small towns and see the VFW and there'll be a helicopter and a tank.
[00:02:14.203 --> 00:02:20.569]  Or there'll be a missile, or there'll be an old howitzer, or there'll be a World War I gun, or there'll be a Spanish-American war gun, or there'll be a
[00:02:21.906 --> 00:02:24.988]  Gun of the Confederacy next to a gun of the... You see them everywhere.
[00:02:25.028 --> 00:02:25.988]  You see them at the capitals.
[00:02:26.749 --> 00:02:31.392]  They'll even have Revolutionary War cannons at some of the state capitals.
[00:02:32.532 --> 00:02:35.354]  Some of the mortars, you know, little cannons pointing straight up.
[00:02:36.335 --> 00:02:38.436]  Old-fashioned mortar was just a cannon at an angle.
[00:02:42.398 --> 00:02:43.819]  And so nobody has these records.
[00:02:43.839 --> 00:02:49.482]  These guys are in there grilling steaks and hamburgers and drinking beer and playing poker and 42 dominoes.
[00:02:52.486 --> 00:02:54.708]  I mean, that's what's going on at the VFW, ladies and gentlemen.
[00:02:54.728 --> 00:03:01.793]  They're talking about deer hunting, they're talking about, you know, whose house they're renovating, and, you know, their construction job, and now their kid just got into A&M.
[00:03:02.374 --> 00:03:05.657]  They're not... and they're there worshiping the government and whatever it says.
[00:03:05.997 --> 00:03:06.737]  They're good people.
[00:03:07.538 --> 00:03:09.560]  They're just completely ignorant, on average.
[00:03:10.782 --> 00:03:15.746]  Well, now the Homeland Security document comes out and says veterans the number one threat, gun owners the number one threat.
[00:03:16.067 --> 00:03:16.567]  It's public.
