[00:00:06.149 --> 00:00:11.693]  ...set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:00:11.693 --> 00:00:14.254]  Visit BigBerkeyWaterFilters.com.
[00:00:14.254 --> 00:00:16.816]  That's BigBerkeyWaterFilters.com.
[00:00:16.816 --> 00:00:19.418]  Or call 1-877-99-BERKEY.
[00:00:19.418 --> 00:00:23.700]  That's 1-877-99-BERKEY today.
[00:00:23.700 --> 00:00:26.062]  ...is in time for embezzlement.
[00:00:26.062 --> 00:00:32.086]  Details on that... You're listening to GCN, the world leader in independent talk radio.
[00:00:32.086 --> 00:00:33.787]  LBJ, Austin, Texas.
[00:00:37.213 --> 00:00:40.195]  This is IRN USA Radio News.
[00:00:40.195 --> 00:00:41.536]  I'm Robert Friedman.
[00:00:41.536 --> 00:00:48.741]  An Iranian religious leader says people protesting the outcome of the recent presidential election should be executed.
[00:00:48.741 --> 00:00:58.248]  Ayatollah Ahmed Khatami said anyone who engaged in what he called destructive acts should be considered at war with God and therefore put to death.
[00:00:58.248 --> 00:01:02.391]  President Obama has condemned the crackdown against protesters as outrageous.
[00:01:02.791 --> 00:01:08.773]  North Korea is threatening to shoot down Japanese planes that intrude on North Korean airspace.
[00:01:08.773 --> 00:01:15.395]  The Pyongyang government claimed Japanese spy planes recently breached the communist nation's airspace.
[00:01:15.395 --> 00:01:20.817]  Meantime, a French news agency says North Korea may be preparing to fire more missiles.
[00:01:20.817 --> 00:01:21.297]  The U.S.
[00:01:21.297 --> 00:01:29.040]  has said it's prepared for the possibility that North Korea might fire a long-range missile toward Hawaii, possibly on the 4th of July.
[00:01:29.040 --> 00:01:30.500]  This is IRN USA Radio News.
[00:01:33.348 --> 00:01:35.449]  Are you losing your home to foreclosure?
[00:01:35.449 --> 00:01:37.791]  Are you behind on your mortgage and fear the worst?
[00:01:37.791 --> 00:01:49.499]  The Associates of Homeowners Legal Assistance would like to offer you a free, no-obligation consultation that will show you how to stop foreclosure, reduce your interest rates and possibly save you thousands on your mortgage.
[00:01:49.499 --> 00:01:52.881]  Don't let this economic slowdown take your home from you and your family.
[00:01:52.881 --> 00:01:54.182]  You've worked too hard.
[00:01:54.182 --> 00:02:03.268]  Homeowners Legal Assistance is an attorney-based loan modification firm that can negotiate the terms of your mortgage so you can afford to live in and enjoy the home you love.
[00:02:03.568 --> 00:02:06.530]  Call for a free, no-obligation consultation.
[00:02:06.530 --> 00:02:10.492]  There's no cost to find out how this program can help you save your home.
[00:02:10.492 --> 00:02:14.334]  It doesn't matter how far behind you are on payments or what your credit score is.
[00:02:14.334 --> 00:02:17.636]  Homeowner's Legal Assistance is here to listen and help.
[00:02:17.636 --> 00:02:20.538]  For your free, no-obligation consultation, call now 800-604-8525.
[00:02:20.538 --> 00:02:20.758]  That's 800-604-8525.
[00:02:20.758 --> 00:02:21.238]  Don't wait.
[00:02:21.238 --> 00:02:21.598]  Call 800-604-8525.
[00:02:21.598 --> 00:02:21.918]  That's 800-604-8525.
[00:02:34.218 --> 00:02:43.224]  An interagency team is being assembled by the White House to coordinate efforts with other countries to sanction North Korea for a recent nuclear test.
[00:02:43.224 --> 00:02:49.208]  The Washington Post reports former Ambassador to Bolivia, Philip Goldberg, will head the team.
[00:02:49.208 --> 00:02:57.053]  An official says the consensus is that a focused effort is needed to see that sanctions are implemented and that information is being shared.
