[00:00:01.283 --> 00:00:01.723]  Engage.
[00:00:02.844 --> 00:00:04.786]  Waging war on corruption.
[00:00:05.226 --> 00:00:08.148]  Alex Jones on the GCN Radio Network.
[00:00:14.473 --> 00:00:15.133]  Big Brother.
[00:00:15.794 --> 00:00:16.835]  Mainstream media.
[00:00:17.555 --> 00:00:18.716]  Government cover-ups.
[00:00:19.317 --> 00:00:20.137]  You want answers?
[00:00:20.878 --> 00:00:21.858]  Well, so does he.
[00:00:22.459 --> 00:00:26.222]  He's Alex Jones on the GCN Radio Network.
[00:00:26.642 --> 00:00:28.984]  And now, live from Austin, Texas,
[00:00:29.858 --> 00:00:30.718]  Alex Jones.
[00:00:35.240 --> 00:00:38.261]  I get chills when I read this legislation.
[00:00:38.341 --> 00:00:44.603]  I get chills when the AP and Los Angeles Times and Washington Post all announce like it's a good idea.
[00:00:44.623 --> 00:00:51.685]  Oh, private banks will now rule America and be able to take over your gas station, your hot dog stand, your factory.
[00:00:52.125 --> 00:00:53.466]  They will rule everything.
[00:00:54.386 --> 00:00:59.489]  And it's mainstream news that it's worse than I had always thought from their own documents.
[00:00:59.749 --> 00:01:11.957]  It's not just going to be a bank of the world that sets world currency rates and sets interest rates and sets tax rates worldwide, but it's going to shut down and take over and seize whatever businesses it wants.
[00:01:13.418 --> 00:01:18.240]  Obama regulatory reform plan officially establishes banking dictatorship in the United States.
[00:01:18.320 --> 00:01:20.522]  Key story at PrisonPlanet.com.
[00:01:22.981 --> 00:01:25.662]  And the way they work is they bankrupt the economy by design.
[00:01:25.702 --> 00:01:27.343]  They say, give us the banker takeover.
[00:01:27.383 --> 00:01:36.206]  They steal $14.8 trillion in seven months, $5 trillion more than the entire GDP in a year, online to double the GDP next October.
[00:01:36.466 --> 00:01:42.068]  So from October to October, double the GDP given to the banks that we then pay interest on.
[00:01:42.088 --> 00:01:45.489]  We give them the money, and then we have to pay interest on it to the offshore banks.
[00:01:46.738 --> 00:01:57.786]  And they got away with that, so why not go ahead and announce, okay, private banks will now rule the United States and the Federal Reserve governorship buildings with the Army guarding them.
[00:01:57.806 --> 00:01:58.587]  This is on the news.
[00:01:58.627 --> 00:01:59.728]  The Army now works for them.
[00:02:01.783 --> 00:02:02.503]  This is in the news.
[00:02:02.644 --> 00:02:04.485]  They're saying all protest is terrorism.
[00:02:04.545 --> 00:02:05.285]  Official news.
[00:02:05.826 --> 00:02:07.467]  All protest is terrorism, period.
[00:02:07.867 --> 00:02:09.028]  Just total tyranny.
[00:02:09.448 --> 00:02:19.094]  And it says the executive powers are now to be given to the Fed, and that Congress, the courts have no authority, no nothing, and Congress is going to vote away this authority.
[00:02:19.675 --> 00:02:27.080]  And with a treaty, is what it is, with the private Federal Reserve governors.
[00:02:28.248 --> 00:02:29.709]  I mean, this is incredible.
[00:02:30.650 --> 00:02:41.280]  I knew this was coming later, and that through the national security states they've set up, the offshore banks, the corporate takeover, would then administer the governments, but with some illusion still of a ceremonial Congress.
