[00:00:00.908 --> 00:00:11.013]  Prepare yourself for a talk radio experience like no other.
[00:00:11.013 --> 00:00:13.774]  He stands for truth.
[00:00:13.774 --> 00:00:16.976]  He stands for justice.
[00:00:16.976 --> 00:00:19.417]  He stands for what's right.
[00:00:19.417 --> 00:00:22.718]  This is the Alex Jones Show.
[00:00:22.718 --> 00:00:25.560]  Call Alex now, toll free at 877-590-5525.
[00:00:31.093 --> 00:00:43.344]  Now live from Austin, Texas, here's Alex Jones.
[00:00:43.344 --> 00:00:44.705]  Welcome, ladies and gentlemen.
[00:00:44.705 --> 00:00:45.186]  Welcome.
[00:00:45.186 --> 00:00:46.787]  Thank you for joining us.
[00:00:46.787 --> 00:00:53.353]  I guess this will be the last show in the first month of the year here on the Sunday edition.
[00:00:53.353 --> 00:00:56.456]  January is almost over.
[00:00:56.456 --> 00:00:57.217]  Hard to believe.
[00:00:59.088 --> 00:01:03.809]  And we're going to be live here for the next two hours.
[00:01:03.809 --> 00:01:08.270]  I want to open the phones up to everybody out there.
[00:01:08.270 --> 00:01:16.672]  The toll-free number to join us is 877-590-5525, 877-590-5525.
[00:01:16.672 --> 00:01:19.732]  And I'll be going to your phone calls coming up in the next segment.
[00:01:19.732 --> 00:01:26.894]  If you're listening across the country on the AM and FM dial, theinternetatinfowars.com, on the streams, or Global Shortwave,
[00:01:27.315 --> 00:01:29.137]  You want to call the toll-free number 877-590-5525.
[00:01:29.137 --> 00:01:38.265]  If you're listening locally in Texas to our affiliate 590 AM that I originate this transmission from, it's 836-0590.
[00:01:38.265 --> 00:01:43.150]  And we will get you up and on the air.
[00:01:43.150 --> 00:01:50.017]  I want to go through Barack Obama and his first five days in office.
[00:01:50.017 --> 00:01:50.597]  What is it?
[00:01:50.597 --> 00:01:51.498]  Five days to date.
[00:01:54.272 --> 00:02:05.774]  He has pulled a stunt claiming he's closing Guantanamo Bay sometime in the next year, but saying they'll still have indefinite secret detention of the individuals that are being held there.
[00:02:05.774 --> 00:02:19.957]  Now, he did in his executive order say that they were going to move in the next year to look at ways, that's what his order really says, you can go read it, to close ghost sites around the world, but most of those ghost sites are secret.
[00:02:19.957 --> 00:02:21.157]  Those are the real torture camps.
[00:02:23.945 --> 00:02:46.114]  So on the surface, it's a good thing, because at least the new president is being forced, because of his constituents' demands, to on the surface pay lip service to the fact that a parallel legal system was created under the Military Commissions Act and the Patriot Act, where U.S.
[00:02:46.114 --> 00:02:53.177]  citizens can be secretly designated as terrorists and be secretly arrested and secretly taken to camp, secretly tortured,
[00:02:53.729 --> 00:02:55.750]  Secretly executed.
[00:02:55.750 --> 00:03:13.699]  And also in there, it states that even if they have a kangaroo military commission trial, and the president or his designates don't like what the military court has to say, the president or his designates can override that.
[00:03:13.699 --> 00:03:20.782]  And that has been done lately in some of the military commission trials they've had where the commissions have said,
[00:03:21.485 --> 00:03:32.574]  This person isn't a terrorist and we have no evidence to hold them and the White House and the Defense Department say, well, we're going to even supersede our own kangaroo court that happened to do the right thing.
[00:03:32.574 --> 00:03:39.700]  So what Barack Obama has announced, ABC News had a headline about secret sites in the United States and all he's saying is in the next year,
[00:03:40.413 --> 00:03:52.682]  We're going to look at closing Guantanamo and then moving people to bases like the military brig, the navy brig they've got in Charlton, South Carolina, and many others around the country.
[00:03:52.682 --> 00:03:57.226]  So it's lip service, but at least it's not the continual arrogance we've seen from George Bush.
[00:03:57.226 --> 00:04:07.153]  On every other subject, Obama wants a larger than a trillion dollar defense budget, the biggest ever, passed for fiscal year 2009 last year, with his support, by the way, in the Senate.
[00:04:08.177 --> 00:04:11.319]  And Bush's support as the president.
[00:04:11.319 --> 00:04:25.147]  Now he's talking about an even bigger defense budget and this new domestic 1824 forced military service domestically with a new domestic corps just as big, just as strong in his words as our million-man army.
[00:04:25.147 --> 00:04:37.835]  And they have now moved 20,000 Marines as of yesterday, the Associated Press is reporting, out of Iraq and they're moving them in the next week to Afghanistan along with tens of thousands of army
[00:04:38.326 --> 00:04:39.727]  Soldiers.
[00:04:39.727 --> 00:04:41.668]  So definitely an escalation there.
[00:04:41.668 --> 00:05:01.098]  And Hillary Clinton just signed a new deal Friday with the leader of Israel, the Prime Minister of Israel, to in the next year either have Iran buckle to giving up their peaceful nuclear program or to be physically attacked.
[00:05:01.098 --> 00:05:05.320]  So on the war front, Obama is actually expanding things.
[00:05:05.320 --> 00:05:07.361]  That's why the neocons and Pat Robertson and others
[00:05:07.705 --> 00:05:11.566]  We're coming out and endorsing him now.
[00:05:11.566 --> 00:05:20.748]  But the bigger issue is, we're hearing that Obama wants a new banking bailout.
[00:05:20.748 --> 00:05:34.272]  But if you read the banking bailout passed October 3rd of last year that he cheerleaded the passing of, along with Bush, again it unified both parties to do this despite the fact that Congress reported 1,000 to 1 phone calls against it and polls registered
[00:05:35.371 --> 00:05:39.072]  98 to 99 percent against it in major publications.
[00:05:39.072 --> 00:05:41.813]  Major scientific polls conducted by major publications.
[00:05:41.813 --> 00:05:43.114]  They just went ahead with it.
[00:05:43.114 --> 00:05:58.698]  And in there, I read it on air over and over again, the subsection where it said no court, no branch of government, no agency can review what the private Federal Reserve does with the money, and that it's not $700 billion, that that is just a quote, really big number they arrived at.
[00:05:58.698 --> 00:06:02.580]  And it's now $8.5 trillion as of six weeks ago.
[00:06:02.580 --> 00:06:03.500]  Again, for six weeks,
[00:06:04.363 --> 00:06:09.746]  Previously, every week we'd hear a trillion three hundred billion on average was being stolen, and then they wouldn't say where it was going.
[00:06:09.746 --> 00:06:17.671]  Since then, since the AP and other publications ran that headline, 8.5 trillion, they just are saying it's all completely secret now.
[00:06:17.671 --> 00:06:27.416]  So, I can't wait till someday, maybe in my grandchildren's grandchildren's time, we find out what the private bank sucked out of the country.
[00:06:27.416 --> 00:06:32.119]  But I'm being facetious, I'm sure we'll find out soon enough because they've got to tell us as taxpayers.
[00:06:32.560 --> 00:06:37.322]  We have to pay this back to the very private banks that are being loaned the money.
[00:06:37.322 --> 00:06:46.985]  Because all this fiat currency, all this liquidity, all this credit, it's packed up by our name, our credit, our faith, our taxes.
[00:06:46.985 --> 00:06:50.927]  Meanwhile, on the economy, gold soars above $900 on safe haven demand.
[00:06:50.927 --> 00:06:52.687]  It's on a market watch.
[00:06:52.687 --> 00:06:56.469]  Also, Citigroup raises $12 billion in FDIC-backed bond sale.
[00:06:56.469 --> 00:06:59.450]  They're having to dip into the Federal Depositors Insurance Corporation
[00:07:00.754 --> 00:07:09.460]  And it goes on to say that they have a shortfall alone in payments on investments coming up to investors of $42.2 billion.
[00:07:09.460 --> 00:07:13.463]  That's only one of these big banking behemoths.
[00:07:13.463 --> 00:07:17.706]  Continuing, California's first Centennial Bank shut down by regulator.
[00:07:17.706 --> 00:07:23.910]  Bloomberg reports the first Centennial Bank of Redlands, California was seized by a state regulator, the third U.S.
[00:07:23.910 --> 00:07:29.874]  bank to fall this year as the recession deepens and the slump in the housing industry sends home foreclosures to record highs.
[00:07:32.000 --> 00:07:39.262]  So on the backdrop of this, Obama is saying we need an even bigger banking bailout.
[00:07:39.262 --> 00:07:45.243]  This is the only way to unfreeze credit markets and subprime mortgages and the credit card markets and all of it.
[00:07:45.243 --> 00:07:47.743]  And bank, interbank lending, institutional lending.
