[00:00:04.980 --> 00:00:09.821]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.821 --> 00:00:11.402]  You want answers?
[00:00:11.402 --> 00:00:12.962]  Well, so does he.
[00:00:12.962 --> 00:00:17.143]  He's Alex Jones on the GCN Radio Network.
[00:00:17.143 --> 00:00:21.204]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.772 --> 00:00:42.022]  We have one of the most prominent members of the Native American Indian Movement, Russell Means, joining us in T-minus 20 minutes to chime in on the parallels between what happened to Native Americans and what's happening in Gaza.
[00:00:42.022 --> 00:00:48.727]  I saw a clip of him earlier this week on YouTube which was very accurate because I too have read the official Nazi histories.
[00:00:48.727 --> 00:00:51.689]  Hitler gave speeches about it, wrote about it.
[00:00:51.689 --> 00:00:52.509]  He got his
[00:00:54.104 --> 00:01:10.132]  policies for death camps and rounding up populations, non-Aryan groups in Russia and all over Europe from the American Indian program here in the United States.
[00:01:10.132 --> 00:01:15.275]  And of course that adopted a lot from those that invented it, the British, the concentration camp.
[00:01:15.275 --> 00:01:16.876]  It was Andrew Jackson
[00:01:19.141 --> 00:01:27.126]  Who turned around and did some of the same stuff to Native Americans who lost his mother and brother through a British concentration camp.
[00:01:27.126 --> 00:01:34.331]  So Russell Means is joining us, then Bob Chapman for his once a week visit on the economy, and boy is that timely today.
[00:01:34.331 --> 00:01:40.796]  And then for two hours, ladies and gentlemen, we have Alan Watt joining us.
[00:01:40.796 --> 00:01:48.221]  Folks really love it when we have Alan Watt on, we appreciate him coming on the show, and we'll go over a host of issues with Alan Watt today.
[00:01:50.296 --> 00:01:58.799]  On this Friday, the ninth day of January, 2009 edition.
[00:01:58.799 --> 00:02:12.124]  By the way, the Alex Jones Tyranny Crusher 1 Bullhorn auctioned on eBay only a couple days into a seven-day bid is over $50,000 right now.
[00:02:15.333 --> 00:02:21.197]  Now somebody put in one for five million and then bragged that it was fake.
[00:02:21.197 --> 00:02:30.062]  We just googled their handle and found out that it was part of a government group, government affiliated group, laughing openly saying they wanted to screw it up.
[00:02:30.062 --> 00:02:36.666]  But we just cancelled their bid and it's a legitimate cancellation because we have their own handle, their own admission.
[00:02:37.854 --> 00:02:45.580]  Where they're admitting that they are, and even posting their bidding details on the web, posting the evidence of their felony.
[00:02:45.580 --> 00:02:46.881]  We went and looked it up.
[00:02:46.881 --> 00:02:50.343]  Memory told me it was a felony above $10,000 federal.
[00:02:50.343 --> 00:02:57.488]  In Texas, it's above $6,000 for a state felony, but I don't know what state this individual's in.
[00:02:57.488 --> 00:03:00.491]  You can always subpoena those, but it looks like we'll be able to handle those problems.
[00:03:00.491 --> 00:03:06.035]  We've talked to eBay now, and they did say that if these people did succeed, that there would be criminal charges.
[00:03:07.389 --> 00:03:13.393]  So, they're not going to be successful in their criminal activities.
[00:03:13.393 --> 00:03:22.539]  They're admitted criminal activities, but they're doing important work, of course, for CENTCOM, so it's okay.
[00:03:22.539 --> 00:03:23.159]  It's alright.
[00:03:23.159 --> 00:03:28.543]  Yeah, and if you didn't know that you've got some CENTCOM and FBI guys in there with you.
[00:03:28.543 --> 00:03:34.927]  I know some of you are just fellow traveler lobotomy type folks.
[00:03:36.720 --> 00:03:42.044]  Fluoride heads, your mother's didn't breastfeed you and then you drank fluoride, so your brain's tiny and got rotholes in it.
[00:03:42.044 --> 00:03:42.704]  Oh, you didn't know that?
[00:03:42.704 --> 00:03:43.585]  Of course, you'll just laugh.
[00:03:43.585 --> 00:03:45.566]  You'll go, well, my mom didn't breastfeed me.
[00:03:45.566 --> 00:03:47.928]  That's true.
[00:03:47.928 --> 00:03:55.153]  But you won't Google and read the BBC and Associated Press about your brain being 15 to 30 percent smaller, depending on the study, if you weren't breastfed.
[00:03:55.153 --> 00:03:57.294]  You'll just laugh and say that's not true.
[00:03:57.294 --> 00:04:02.598]  But I guarantee you, mama puts you in a crib in dirty diapers and didn't take care of you.
[00:04:02.598 --> 00:04:03.539]  And that's your problem.
[00:04:04.639 --> 00:04:10.184]  And I'm sorry they savaged your mind so that you couldn't connect your intellect with your soul.
[00:04:10.184 --> 00:04:15.369]  Alright, I'm already digressing here.
[00:04:15.369 --> 00:04:26.039]  Now you can escape with some of the fluoride and still have an intellect, but if mama doesn't give you that milk, and I'm not bashing women here that believe the system and gave their babies formula.
[00:04:26.039 --> 00:04:30.343]  I'm saying this so women will think about their children in the future and give them
