[00:00:00.169 --> 00:00:00.649]  I think so.
[00:00:19.335 --> 00:00:19.715]  We're good.
[00:00:35.723 --> 00:00:39.906]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:40.547 --> 00:00:41.367]  You want answers?
[00:00:42.128 --> 00:00:43.028]  Well, so does he.
[00:00:43.689 --> 00:00:47.331]  He's Alex Jones on the GCN Radio Network.
[00:00:47.892 --> 00:00:51.975]  And now, live from Austin, Texas, Alex Jones.
[00:00:53.476 --> 00:00:58.940]  We have a Chemtrail guest with Chemtrail Watch on the show tomorrow.
[00:01:00.239 --> 00:01:01.999]  Chemtrails are real.
[00:01:02.980 --> 00:01:16.402]  Until 1996, all condensation ice crystal trails only formed at 20,000 feet and higher, generally in the winter months, and they faded out in a few seconds to the maximum of one minute.
[00:01:16.862 --> 00:01:17.723]  Your whole life, remember?
[00:01:17.763 --> 00:01:20.143]  Watching a trail go by and watching it disappear.
[00:01:21.984 --> 00:01:22.744]  Then suddenly in 96,
[00:01:25.020 --> 00:01:28.888]  Before anybody was even talking about chemtrails, I would notice, man, why do those stay there?
[00:01:28.948 --> 00:01:31.053]  I'd be, you know, gardening.
[00:01:31.073 --> 00:01:33.518]  If my parents had a couple acres in the middle of town, I would go garden.
[00:01:34.918 --> 00:01:35.818]  I like planting stuff.
[00:01:36.199 --> 00:01:36.939]  Call me a weirdo.
[00:01:37.699 --> 00:01:42.341]  But I'd be out there growing watermelons and stuff and stomping around and the flowers and the bees.
[00:01:42.721 --> 00:01:46.563]  And I'd go, man, that trail's been up there for like an hour and it's getting bigger, turning into a cloud.
[00:01:46.583 --> 00:01:47.123]  What's going on?
[00:01:47.143 --> 00:01:48.103]  It's like cloud seeding.
[00:01:48.504 --> 00:01:50.424]  And then by 97, chemtrails, chemtrails.
[00:01:50.905 --> 00:01:53.105]  And they add it to the jet fuel so it's compartmentalized.
[00:01:53.125 --> 00:01:54.186]  The pilots don't even know.
[00:01:54.546 --> 00:01:59.128]  And they have some others where they do know and they're spraying off larger amounts.
[00:02:01.897 --> 00:02:10.120]  And then suddenly government textbooks started admitting three years ago that they really were spraying the atmosphere to save us from the sun's rays and to fix the ozone layer.
[00:02:11.120 --> 00:02:28.087]  And Paul Watson, I tried to Google it during the break, he wrote a big article six months ago or so, where the government admitted the chemtrails, and we had links to the government admitting, yes, we've got thousands of flights a year, we're spraying the atmosphere, testing, terraforming to save the Earth from global warming.
[00:02:29.324 --> 00:02:34.808]  And then NASA admitted a few years ago that the Earth is 20% darker now than it was before in the 1995.
[00:02:35.389 --> 00:02:43.394]  And then you show the satellite photos of the chemtrail sprays everywhere, how all the lines, like spiderwebs, cover up cities.
[00:02:44.995 --> 00:02:46.717]  I mean, they are manipulating the planet.
[00:02:47.958 --> 00:02:49.419]  Well, here's Associated Press.
[00:02:49.539 --> 00:02:50.479]  AP exists.
[00:02:51.280 --> 00:02:54.422]  You know, it looks like when AP announces they're setting up global government and global currency.
