[00:00:19.180 --> 00:00:20.163]  We are back live.
[00:00:20.183 --> 00:00:21.928]  Gonna go right back to the pasture in one moment.
[00:00:29.742 --> 00:00:35.383]  The chains of prison moons are shattered by the sun.
[00:00:36.584 --> 00:00:42.945]  I walk a road, horizons change, the tournament's begun.
[00:00:42.965 --> 00:00:50.047]  The purple piper plays his tune, the choir softly sing.
[00:00:50.067 --> 00:00:57.009]  Three lullabies in an ancient tongue for the court of the crimson.
[00:01:12.811 --> 00:01:16.935]  This is the real world, ladies and gentlemen.
[00:01:17.195 --> 00:01:22.020]  The private banking families that killed more than 200 million people last century.
[00:01:31.357 --> 00:01:32.818]  We are now under their control.
[00:01:33.698 --> 00:01:34.999]  Are we going to resist?
[00:01:35.440 --> 00:01:38.782]  Are we going to let them feed on us?
[00:01:38.842 --> 00:01:43.345]  Are we going to let them have a bloody harvest?
[00:01:53.971 --> 00:01:59.195]  Or will we stand up and defeat them?
[00:01:59.375 --> 00:02:02.978]  It is the light that they cannot stand.
[00:02:03.258 --> 00:02:08.201]  It is courage that defeats them.
[00:02:08.482 --> 00:02:12.284]  It is the spirit of courage.
[00:02:13.485 --> 00:02:15.226]  The spirit of goodness.
[00:02:15.286 --> 00:02:21.211]  For those of us that love innocence and beauty.
[00:02:21.331 --> 00:02:22.652]  And our willingness
[00:02:23.391 --> 00:02:27.955]  To stand up against the New World Order.
[00:02:28.095 --> 00:02:35.641]  Now, we just went live at PrisonPlanet.tv and Naomi Wolf has so many phone line problems, I just cancelled her again and we're done with her for now.
[00:02:39.332 --> 00:02:43.334]  Well, we just went live at PrisonPlanet.tv and we just had a caller earlier, but we had to go to break.
[00:02:43.814 --> 00:02:45.035]  He's a pastor in Ohio.
[00:02:45.095 --> 00:02:54.780]  He said, I just got a letter from the feds saying Romans 13, tell my home church of 50 people to go along basically with the things that are happening.
[00:02:54.820 --> 00:02:55.080]  Romans 13.
[00:02:56.738 --> 00:02:57.558]  And he's a new listener.
[00:02:57.598 --> 00:03:00.660]  He said he didn't know about the Clergy Response Teams.
[00:03:01.100 --> 00:03:04.062]  So, will you guys Google Clergy Response Teams on YouTube?
[00:03:04.402 --> 00:03:07.684]  I want to play this for the pastor, because he said he didn't know about it.
[00:03:08.484 --> 00:03:10.866]  In 2006, we got secret documents.
[00:03:11.206 --> 00:03:12.146]  Pastor Butch Paw did.
[00:03:12.186 --> 00:03:16.129]  I then talked to the two preachers, got the documents, published them at InfoWars.com.
[00:03:18.177 --> 00:03:24.601]  One of the pastors, they figured that he went to a local store, faxed the documents and said, should I erase these fax numbers?
[00:03:24.841 --> 00:03:27.523]  He said, oh no, it's just a store 20 miles from where I live.
[00:03:27.883 --> 00:03:29.004]  They'll never figure that out.
[00:03:29.284 --> 00:03:31.105]  And I said, okay, we won't take the fax number off.
[00:03:31.785 --> 00:03:45.934]  Within 24 hours of us posting it, FBI went in there with Homeland Security, federal marshals, threatened the place, looked at their surveillance cameras, looked at highway surveillance cameras, figured out who the pastor was, came to his office, we're waiting for him in his office,
[00:03:46.374 --> 00:03:47.775]  Threatening him when he got there.
[00:03:48.056 --> 00:03:51.779]  He also worked at the hospital as their chaplain, had his own office for free.
[00:03:52.199 --> 00:03:54.121]  They said, get out of here, you don't work here anymore.
[00:03:54.682 --> 00:03:56.263]  Now he had a pretty good sized church.
[00:03:58.545 --> 00:03:59.686]  People still didn't believe it.
[00:04:01.668 --> 00:04:02.929]  People still didn't believe it.
[00:04:04.150 --> 00:04:07.213]  Then it came out on mainstream news, they have doubled it to 26,000 pastors.
