[00:00:00.369 --> 00:00:06.454]  We are changed.
[00:00:09.116 --> 00:00:10.898]  San Antonio called in.
[00:00:10.918 --> 00:00:15.242]  By the way, we just started simulcasting at PrisonPlanet.TV.
[00:00:15.862 --> 00:00:19.045]  Put that San Antonio Tea Party website back up.
[00:00:19.465 --> 00:00:20.586]  They've been going to these meetings.
[00:00:20.606 --> 00:00:23.568]  You know, it's Ron Paul that started the tea parties.
[00:00:23.648 --> 00:00:27.472]  It's Gary Franchi and others that started the In the Fed protest.
[00:00:30.026 --> 00:00:34.947]  You know, it's our movement against the private bankers that are looting and raping us, which is very popular right now.
[00:00:35.287 --> 00:00:36.467]  The people know it's the truth.
[00:00:36.867 --> 00:00:37.788]  We're the good guys.
[00:00:38.588 --> 00:00:41.889]  Well, they say, hey, you don't bring signs.
[00:00:41.909 --> 00:00:46.249]  You know, they have the acceptable ones there on the top for PrisonPlanet.tv viewers, but scroll down.
[00:00:46.670 --> 00:00:51.111]  Under there, oh, it's borderline to have an image of the Founding Fathers dumping tea in the harbor.
[00:00:51.391 --> 00:00:53.731]  Founding Fathers, we don't know if that's allowed.
[00:00:54.831 --> 00:00:57.352]  The sign of hope change with the image of
[00:00:58.471 --> 00:01:00.032]  Uh, the Statue of Liberty in trouble?
[00:01:00.212 --> 00:01:01.132]  No, can't have that.
[00:01:01.492 --> 00:01:06.274]  Can't say, uh, Obamanism with a hammer and sickle around his rising sun.
[00:01:08.974 --> 00:01:11.595]  And, uh, you can't have one that says Obama lied.
[00:01:12.295 --> 00:01:13.956]  You can't have one that says impeach Obama.
[00:01:13.976 --> 00:01:14.976]  I mean, no free speech!
[00:01:15.036 --> 00:01:18.077]  So, I guess the Tea Party is an anti-free speech meeting.
[00:01:20.338 --> 00:01:22.979]  I mean, I guess it's like when you take your dog to have him neutered.
[00:01:25.926 --> 00:01:27.408]  It's legal and lawful for men.
[00:01:27.929 --> 00:01:32.096]  If you want to go be cash-traded, you can just go to the doctor and pay to have it done instead of having Glenn Beck do it for you.
[00:01:33.075 --> 00:01:40.938]  I mean, that's what Glenn Beck does, is he poses, and he's radical, and he's going to expose the FEMA camps, and he's going to expose this, and, oh, they don't exist, it's kooks.
[00:01:41.618 --> 00:01:45.420]  He uses the straw man argument, and goes after what I predicted he would, the few fake stories that are out there.
[00:01:46.000 --> 00:01:53.043]  And, oh, Ron Paul supporters are terrorists, and the Army needs to be used against them, and they're with McVeigh, right out of these government reports.
[00:01:53.383 --> 00:01:56.964]  I mean, that's all I do, is read these federal reports that get leaked to us and others.
[00:01:58.044 --> 00:02:01.686]  And I saw Glenn Beck, years ago, going off talking points out of federal documents.
[00:02:03.015 --> 00:02:05.399]  You know, I know the guy's an operative.
[00:02:06.461 --> 00:02:07.543]  And that's what they're doing.
[00:02:07.963 --> 00:02:10.528]  And again, I don't make this show about attacking another talk show host.
[00:02:11.570 --> 00:02:12.551]  Even people I can't stand.
[00:02:12.571 --> 00:02:14.174]  You know, Dianne Feinstein.
