[00:00:00.049 --> 00:00:01.361]  Moron for your mind.
[00:00:06.041 --> 00:00:09.424]  We are live, ladies and gentlemen, locked and loaded.
[00:00:09.925 --> 00:00:17.451]  We are now simulcasting for the last hour and 52 minutes at PrisonPlanet.tv for all of the viewers there.
[00:00:17.471 --> 00:00:20.374]  I want to thank them for their ongoing support.
[00:00:20.954 --> 00:00:30.063]  Don't forget, we then post the archive of the TV segment of the radio show every day at InfoWars.com and PrisonPlanet.tv for the members
[00:00:31.551 --> 00:00:38.232]  And then, folks, we want you to burn it to disk, give it out to people in your area, and spread the word.
[00:00:38.672 --> 00:00:42.533]  It is your support of PrisonPlanet.tv that makes so much of what we do here possible.
[00:00:42.953 --> 00:00:53.695]  That's why we're building a big web 2.0, PrisonPlanet.tv, with a whole bunch of great features, and easier to find the 3,000 plus pieces of media, all of my films, and so much more that are there.
[00:00:53.715 --> 00:00:54.915]  So that's all ongoing.
[00:00:55.435 --> 00:01:00.056]  Right now I've got meetings about that today, and web designers, and web consultants, and back-end IT people.
[00:01:00.636 --> 00:01:02.057]  Got flying in from Chicago.
[00:01:02.077 --> 00:01:04.118]  Got to get a lot done here.
[00:01:04.958 --> 00:01:07.059]  So we are definitely expanding PrisonPlanet.TV.
[00:01:07.099 --> 00:01:15.782]  And we've extended that year-end special, because I forgot about it, that we still are offering it five plus months free, and that goes until Tuesday morning.
[00:01:16.162 --> 00:01:21.304]  Five plus months free right now at PrisonPlanet.TV, so check it out.
[00:01:23.336 --> 00:01:26.118]  We're going to spend about 20-30 minutes of this interview with Steve.
[00:01:26.138 --> 00:01:27.639]  We're going to get into some other issues with him.
[00:01:28.020 --> 00:01:32.063]  Joining us from London, England, he runs with his brother Paul Watson.
[00:01:33.344 --> 00:01:40.909]  These are contractors out there running PrisonPlanet.com and PrisonPlanet.tv, Infowars.net.
[00:01:42.230 --> 00:01:47.214]  And he has been writing this series about Blackjack.
[00:01:47.394 --> 00:01:52.658]  It is the name of a cartoon, you could call it, but it's only posterized photos.
[00:01:53.881 --> 00:01:55.442]  And we'll start putting those on screen.
[00:01:56.442 --> 00:02:12.510]  Where somebody nukes major cities in England and the United States, and then martial law is brought in, people are put in FEMA camps, the Union of North America, UNE is set up, basically everything the globalists are actually planning and what they say in their own policy reports.
[00:02:14.798 --> 00:02:17.520]  In the first part of the series, though, it doesn't let you know it's the government.
[00:02:17.620 --> 00:02:19.922]  It's an MI6 intelligence report you see.
[00:02:19.962 --> 00:02:22.044]  We'll put that first part up on screen.
[00:02:23.085 --> 00:02:25.887]  And they're talking about MI6 things terrorists are about to strike.
[00:02:26.307 --> 00:02:32.072]  But then later you learn that it's really basically a bunch of guys in a CENTCOM-type command center.
[00:02:32.592 --> 00:02:34.353]  Is this a warning from the London Telegraph?
[00:02:35.274 --> 00:02:37.655]  Are they trying to warn the world what's happening?
[00:02:37.675 --> 00:02:38.836]  But they're establishment owned.
[00:02:39.616 --> 00:02:42.317]  Why did Fox TV News Corp put out The Lone Gunman?
[00:02:42.657 --> 00:02:49.141]  Where the government hijacks a jumbo jet by remote control to fly it in the World Trade Center to blame it on Afghanistan six months before the real attacks.
[00:02:49.521 --> 00:02:58.125]  They even use a drill of hijacked jets flying into buildings to basically make everybody stand down.
[00:02:58.976 --> 00:03:00.297]  That's exactly what happened in real life.
[00:03:00.617 --> 00:03:02.078]  And they do this over and over again.
[00:03:02.799 --> 00:03:10.524]  They came out with a Tom Clancy video game eight years ago, where the United States, through the Georgians, sneak attacks South Ossetia.
[00:03:11.205 --> 00:03:12.206]  I mean, what is this?
[00:03:12.766 --> 00:03:13.266]  Is it good?
[00:03:13.306 --> 00:03:14.007]  Is it a warning?
[00:03:14.487 --> 00:03:18.810]  Why won't the paper, after tons of inquiries, tell people what is going on?
[00:03:19.111 --> 00:03:20.592]  And can we put that on screen, guys?
[00:03:21.889 --> 00:03:22.890]  We're working on that?
[00:03:23.550 --> 00:03:26.492]  Good, because I want to put some of the comic images.
[00:03:26.532 --> 00:03:26.872]  There it is.
[00:03:27.032 --> 00:03:29.834]  MI5 report warns government of imminent terrorist attack.
[00:03:30.915 --> 00:03:32.175]  June 20th, 2 p.m.
[00:03:33.036 --> 00:03:37.559]  A coalition of homegrown extremists, Islamist and Christian doomsday cultists.
[00:03:38.019 --> 00:03:39.660]  See, they're going to train everybody.
[00:03:41.141 --> 00:03:47.430]  See, the London Telegraph couldn't come out and say, Christians, Doomsday, Cultists is what the anti-terrorist system is for.
[00:03:47.751 --> 00:03:55.742]  We're going to swing this giant anti-terrorist system and the drug war system onto the American people, onto the British people, and say that everybody's a white Al Qaeda.
[00:03:56.103 --> 00:03:57.184]  Though some media is doing that.
[00:03:57.705 --> 00:04:00.227]  This is a way to just get this into the nomenclature and the idea.
[00:04:00.607 --> 00:04:05.611]  Such a strike may take place from a biological, chemical, or even a nuclear attack in one of our main population centers.
[00:04:05.731 --> 00:04:06.332]  And it goes on.
[00:04:06.792 --> 00:04:09.374]  Let's go ahead and bring up Steve Watson.
[00:04:09.714 --> 00:04:12.877]  Human intelligence indicates this group is ready to strike at any time.
[00:04:14.178 --> 00:04:17.260]  In the event of such an attack, the likelihood of many thousands of casualties is high.
[00:04:17.841 --> 00:04:21.243]  So it teaches you that Prime Minister takes statement on threat.
[00:04:21.403 --> 00:04:24.466]  Breaking news, Prime Minister addresses House of Threat.
[00:04:24.566 --> 00:04:27.328]  And they show Gordon Brown, the current
[00:04:29.636 --> 00:04:30.176]  Prime Minister.
[00:04:30.196 --> 00:04:32.117]  They have this obsession with scripting.
[00:04:33.077 --> 00:04:46.662]  They had a FX show, Oil Storm, with the mayor of New Orleans himself, in the film, where the hurricane goes in, blows over, floods Lake Pontchartrain, breaks things, and exactly what happened, that happens.
[00:04:47.062 --> 00:04:48.182]  That aired a year before Katrina.
[00:04:48.823 --> 00:04:50.163]  Again, there's hundreds of examples.
[00:04:51.123 --> 00:04:52.824]  Steve Watson, what do you make of all this?
[00:04:52.844 --> 00:04:58.406]  Then we'll start going step-by-step through the three-part series in the international publication.
[00:05:00.339 --> 00:05:00.959]  Oh, hello Alex.
