[00:00:00.209 --> 00:00:01.990]  Mainstream media.
[00:00:01.990 --> 00:00:03.751]  Government cover-ups.
[00:00:03.751 --> 00:00:05.352]  You want answers?
[00:00:05.352 --> 00:00:06.913]  Well, so does he.
[00:00:06.913 --> 00:00:11.136]  He's Alex Jones on the GCN Radio Network.
[00:00:11.136 --> 00:00:19.241]  And now, live from Austin, Texas, Alex Jones.
[00:00:19.241 --> 00:00:24.605]  You know, it seems like yesterday was Monday, but now it's already Friday.
[00:00:26.142 --> 00:00:29.304]  I guess as you get older, time just accelerates.
[00:00:29.304 --> 00:00:33.126]  The busier you are, the faster time goes by.
[00:00:33.126 --> 00:00:37.629]  I mean, the years feel like heartbeats.
[00:00:37.629 --> 00:00:44.273]  And, uh, seems like just yesterday I started my fight against the New World Order.
[00:00:44.273 --> 00:00:45.894]  At least it feels like that today.
[00:00:45.894 --> 00:00:48.555]  Sometimes it feels like a thousand years ago.
[00:00:48.555 --> 00:00:49.736]  Welcome, my friends.
[00:00:49.736 --> 00:00:51.757]  It is Friday, the 11th day of June, 2004.
[00:00:55.646 --> 00:01:03.269]  And they're getting ready to lay Ronald Reagan to rest, our 40th president.
[00:01:03.269 --> 00:01:10.411]  And I don't think I've ever seen such media coverage of an event of this nature.
[00:01:10.411 --> 00:01:13.372]  So I guess we can talk a little bit about it today if you'd like to.
[00:01:13.372 --> 00:01:15.973]  It's Wide Open Phones, Open Line Friday.
[00:01:15.973 --> 00:01:17.793]  And yes, I do have a couple guests coming on.
[00:01:17.793 --> 00:01:18.734]  Joel Skousen.
[00:01:20.630 --> 00:01:28.672]  The nephew of Leon Skelson, the expert on the New World Order.
[00:01:28.672 --> 00:01:31.053]  I really respect his opinions.
[00:01:31.053 --> 00:01:42.015]  We'll be talking about the supposed upcoming terror attacks that the globalists are sure to launch, unless we expose who stands to gain from terror and who's carried out the past terror attacks, who's joining us in the second hour.
[00:01:42.015 --> 00:01:47.497]  In the third hour, one of the folks from the Sunshine Project that researches government documents,
[00:01:48.357 --> 00:01:52.218]  And does a lot of Freedom of Information Act requests.
[00:01:52.218 --> 00:01:57.560]  We're going to be covering race-specific bio-weapons and biological weapons generally.
[00:01:57.560 --> 00:02:04.943]  Because the government claims this big program, BioShield, is what do they get, 5.8 billion?
[00:02:04.943 --> 00:02:09.044]  Bush wanted 6.4 billion, he got 5.8 billion.
[00:02:09.044 --> 00:02:13.786]  To build three dozen level four bio-weapons labs, many of them in your town or city.
[00:02:14.730 --> 00:02:26.882]  And the Baltimore News a few years ago called it, you know, facilities that would produce thousands of gallons of liquid death, I believe was the quote.
[00:02:28.524 --> 00:02:28.584]  I'm
[00:02:58.644 --> 00:03:06.647]  PNAC.info that we need to legitimize the use of race-specific bioweapons.
[00:03:06.647 --> 00:03:18.232]  And of course, the group I really respect that told us about the B-2 bomber five years before it was announced in the late 80s, Jane's Weapons Encyclopedia.
[00:03:19.572 --> 00:03:31.658]  out of England has put out alerts and warnings, which you never really see them do, that the U.S., England, and Israel, as well as Russia, have been developing these for decades.
[00:03:31.658 --> 00:03:42.184]  And we're talking about bioweapons that will kill every black person on Earth, every white person on Earth, every Asian on Earth.
[00:03:42.184 --> 00:03:44.985]  It will kill everyone.
[00:03:44.985 --> 00:03:47.607]  Or, and they say they have weapons that will kill every human on Earth.
[00:03:48.584 --> 00:04:15.180]  uh... and they're just reading this and then they every few years we see a report of oh the weaponized foot and mouth got released uh... from the big uh... weapons lab in Wilshire, England porting down by the way Dr. David Kelly was the head scientist there another one of those microbiologists dying uh... but uh... I mean this is
[00:04:16.587 --> 00:04:18.989]  This is the biggest story, really.
[00:04:18.989 --> 00:04:33.679]  That, you know, they just claim, oh, it's a level 4 bioweapons lab, but somebody snuck in and got it, and that's what, you know, got into the cows and the sheep, and they killed, what, 8 million sheep, 4 million cows?
[00:04:33.679 --> 00:04:39.362]  The weaponized foot and mouth didn't, but the government killing them so it wouldn't spread did.
[00:04:39.362 --> 00:04:41.524]  And it was the government that did that.
