[00:00:00.782 --> 00:00:03.355]  The Alex Jones Show!
[00:00:05.538 --> 00:00:06.178]  Big Brother.
[00:00:06.838 --> 00:00:07.899]  Mainstream media.
[00:00:08.619 --> 00:00:09.719]  Government cover-ups.
[00:00:10.379 --> 00:00:11.180]  You want answers?
[00:00:11.940 --> 00:00:12.860]  Well, so does he.
[00:00:13.520 --> 00:00:17.161]  He's Alex Jones on the GCN Radio Network.
[00:00:17.682 --> 00:00:21.803]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.804 --> 00:00:26.924]  All right, my friends.
[00:00:27.084 --> 00:00:31.185]  It's already Thursday, the fifth day of February 2004.
[00:00:33.974 --> 00:00:35.455]  I'm Alex Jones, your host.
[00:00:36.515 --> 00:00:51.160]  Bev Harris from blackboxvoting.com, a corporate corruption investigator who's proven that the CIA is systematically controlling the electronic voting machine companies, stealing elections coast to coast.
[00:00:52.102 --> 00:00:55.785]  Turns out they were manipulating things in the New Hampshire primary.
[00:00:55.825 --> 00:01:00.169]  We have documented evidence of that and much more.
[00:01:00.429 --> 00:01:05.854]  So that's coming up in our Election 04 coverage here in about 30 minutes.
[00:01:05.874 --> 00:01:07.155]  We'll be joined by Bev Harris.
[00:01:07.595 --> 00:01:08.696]  Again, I'm Alex Jones.
[00:01:08.736 --> 00:01:15.942]  The websites are infowars.com, infowars.net, and, of course, prisonplanet.com.
[00:01:18.467 --> 00:01:20.948]  And there's a ton of news we're going to race through in the meantime.
[00:01:20.968 --> 00:01:24.269]  We've got more guests coming up later in the show as well.
[00:01:24.849 --> 00:01:28.131]  And as always, we're going to have wide open phones.
[00:01:29.971 --> 00:01:44.257]  Remember on Monday, I went over the fact that TiVo, your cable system piece of equipment, is watching you and tracking everything you do by name?
[00:01:46.094 --> 00:01:51.519]  So are most of the digital cable boxes, your satellite systems, if you have pay-per-view with a phone line hooked up to it.
[00:01:52.420 --> 00:01:56.263]  Well, the Chicago Tribune has that headline today.
[00:01:56.283 --> 00:01:59.646]  I tell you, they've got to be listening to this show.
[00:02:00.127 --> 00:02:03.329]  TiVo users beware, Big Brother is watching.
[00:02:03.350 --> 00:02:08.194]  TiVo users beware, Big Brother is watching.
[00:02:08.654 --> 00:02:11.337]  Also, Dangerous Thinking, it's official, BBC.
[00:02:12.344 --> 00:02:13.985]  They are going to start arresting people.
[00:02:14.005 --> 00:02:18.067]  They're going to have complex computer systems off the data of what you buy and what you do.
[00:02:18.788 --> 00:02:22.409]  And they will decide if you're a terrorist and go ahead and secretly arrest you.
[00:02:22.469 --> 00:02:23.710]  We'll be going over that.
[00:02:23.770 --> 00:02:25.631]  It's an actual thought crime, ladies and gentlemen.
[00:02:25.651 --> 00:02:27.952]  I've been warning you about that for a while.
[00:02:28.253 --> 00:02:32.795]  Look, stuff is so bad that I don't have words to explain it, okay?
[00:02:33.355 --> 00:02:34.596]  Stuff is so bad.
[00:02:35.737 --> 00:02:39.719]  By the way, there's an Associated Press article about the concentration camps for you.
