[00:00:05.805 --> 00:00:07.366]  Hello, my friends!
[00:00:34.406 --> 00:00:37.707]  It's already Tuesday, the ninth day of November 2004.
[00:00:38.347 --> 00:00:40.548]  I'm Alex Jones, your host.
[00:00:41.028 --> 00:00:43.749]  We'll be live for the next three hours.
[00:00:45.230 --> 00:00:57.874]  Remember a few weeks ago, a woman who owned a 2,000 square foot toy store that was selling knockoffs of the Rubik's Cube that they admit was legal, got a visit from Homeland Security?
[00:01:00.115 --> 00:01:02.576]  Well, now I have an article here out of Iowa
[00:01:04.466 --> 00:01:10.890]  Where a veteran, a doctor, with no criminal record, complained to the VA too much.
[00:01:11.230 --> 00:01:14.212]  They say he did not threaten them, but he complained.
[00:01:15.632 --> 00:01:18.254]  And so Homeland Security went and arrested him.
[00:01:18.294 --> 00:01:32.482]  And they say that we take all of the secret activities of the government very, very seriously, and we have to protect the VA, and it has to be a secret operation.
[00:01:33.782 --> 00:01:43.769]  Because, well, terrorists might want to attack us, and so anybody complaining to us too much, that distracts us from keeping everybody safe, and so you're a terrorist.
[00:01:44.650 --> 00:01:46.391]  That sounds insane, it is insane.
[00:01:46.411 --> 00:01:59.360]  I have another article out of Ohio, where they made the voting secret, wouldn't let anybody inside, when they had all the provisional ballots, and they declared on that national security that that had to be secret.
[00:02:01.051 --> 00:02:05.274]  Or the terrorists were going to kill everybody, basically.
[00:02:07.255 --> 00:02:10.377]  So now it's not just hate crimes or hate speech.
[00:02:10.477 --> 00:02:13.199]  Now it's just complaint speech.
[00:02:14.079 --> 00:02:17.442]  And it isn't just the local police that come and put you in jail.
[00:02:19.663 --> 00:02:22.125]  It is now Homeland Security.
[00:02:25.747 --> 00:02:28.989]  But if you're a convicted, aggravated felon,
[00:02:29.665 --> 00:02:38.030]  Who is an illegal alien, according to the Washington Times, they try to energetically hire you to work for the U.S.
[00:02:38.130 --> 00:02:38.670]  military.
[00:02:39.790 --> 00:02:45.273]  So if you're a real live criminal, it's like Stalin opened all the jail cells and had the criminals.
[00:02:45.954 --> 00:02:47.054]  Our government's gone further.
[00:02:47.455 --> 00:02:49.336]  They want foreigners who are criminals.
