[00:00:09.721 --> 00:00:10.402]  We're good to go.
[00:00:39.122 --> 00:00:39.263]  Yeah.
[00:01:12.393 --> 00:01:13.374]  And welcome back.
[00:01:13.374 --> 00:01:26.706]  And if you've been watching the news lately, and I mean the real news, such as Rents.com or AlexJonesPrisonPlanet.com website, you'll know that there is a huge smoking gun laying around.
[00:01:26.706 --> 00:01:30.110]  And the smoke is so thick you can hardly walk through it anymore.
[00:01:30.110 --> 00:01:32.572]  It's getting to be pretty intense.
[00:01:32.572 --> 00:01:38.017]  This is a very big story we're going to explore tonight with you and Alex Jones and Paul Watson as well.
[00:01:38.703 --> 00:01:42.706]  So let me give you a little background in case you haven't been online or have missed the story.
[00:01:42.706 --> 00:01:52.214]  This relates right to a PBS documentary regarding WTC 7, Building 7.
[00:01:52.214 --> 00:01:58.239]  Let me just read a little bit to you and you'll get the story and then we'll bring our guests right on.
[00:01:58.239 --> 00:01:59.701]  This is by Jeremy Baker.
[00:01:59.701 --> 00:02:01.402]  I'm going to quote from his article.
[00:02:01.402 --> 00:02:05.826]  In a stunning and belated development concerning the attacks on September 11th,
[00:02:06.593 --> 00:02:28.784]  Larry Silverstein, the controller of the destroyed WTC complex, stated plainly in a PBS documentary that he and the Fire Department of New York decided jointly to demolish the Solomon Brothers Building, or WTC 7, late in the afternoon of Tuesday, September 11, 2001.
[00:02:28.784 --> 00:02:36.148]  This admission appeared in a PBS documentary originally aired in September of 2002, entitled America Rebuilds.
[00:02:36.840 --> 00:02:49.869]  Mr. Silverstein's comments came after FEMA and the Society of Civil Engineers conducted an extensive and costly investigation into the curious collapse of WTC 7.
[00:02:49.869 --> 00:03:02.438]  The study specifically concluded that the building had collapsed as a result of the inferno within, sparked apparently by debris falling from the crumbling North Tower.
[00:03:02.438 --> 00:03:06.041]  In that documentary, Silverstein makes the following statement.
[00:03:06.510 --> 00:03:08.391]  I'm going to quote now.
[00:03:08.391 --> 00:03:19.618]  I remember getting a call from the, er, fire department commander, telling me that they were not sure they were gonna be able to contain the fire.
[00:03:19.618 --> 00:03:29.184]  And I said, we've had such a terrible loss of life, maybe the smartest thing to do is pull it.
[00:03:29.184 --> 00:03:35.528]  And, says the author, they made that decision to pull, and we watched the building collapse.
[00:03:36.223 --> 00:03:38.524]  We're going to explore this in great detail tonight.
[00:03:38.524 --> 00:03:42.425]  First, let me bring on from England Live, where it's three in the morning.
[00:03:42.425 --> 00:03:45.406]  I'm very happy to have him on the program now.
[00:03:45.406 --> 00:03:53.228]  He is Paul Watson, and if you've seen my site at all, you've seen a number of stories that Paul has contributed to all of us.
[00:03:53.228 --> 00:03:54.829]  He has an excellent reputation.
[00:03:54.829 --> 00:03:59.510]  He is a primary contributor to PrisonPlanet.com.
[00:03:59.510 --> 00:04:01.191]  In fact, he is also the webmaster.
[00:04:01.983 --> 00:04:07.405]  So Alex Jones has himself a fine fellow to work with, and we're very proud to have Paul Watson on.
[00:04:07.405 --> 00:04:08.645]  Hello, Paul.
[00:04:08.645 --> 00:04:09.285]  Hello, Jeff.
[00:04:09.285 --> 00:04:11.226]  Great pleasure to be on the air with you tonight.
[00:04:11.226 --> 00:04:12.106]  Thank you, my friend.
[00:04:12.106 --> 00:04:13.127]  And how are you feeling?
[00:04:13.127 --> 00:04:14.327]  All right?
[00:04:14.327 --> 00:04:18.188]  Yeah, I actually stayed up, because I'm basically operating on U.S.
[00:04:18.188 --> 00:04:22.310]  time, so I'm a night owl anyway, so it's OK that I stayed up.
[00:04:22.310 --> 00:04:22.870]  Our U.K.
[00:04:22.870 --> 00:04:24.550]  guests, we go over there often.
[00:04:24.550 --> 00:04:29.132]  Some of them stay up, some of them get up, but I can see your schedule keeps you up, so you're there.
[00:04:29.818 --> 00:04:39.320]  And let's go down now and say hello and welcome back to the program one of the truly great and heroic warriors of our time, and I'm not exaggerating when I say that.
[00:04:39.320 --> 00:04:43.260]  Many of you know him and listen to his program and certainly visit his website.
[00:04:43.260 --> 00:04:44.281]  He is Alex Jones.
[00:04:44.281 --> 00:04:45.901]  Welcome back, Alex.
[00:04:45.901 --> 00:04:55.603]  Jeff, I really do appreciate your courage and the frontiers of knowledge that you've opened up to millions of people in this WTC7.
[00:04:55.603 --> 00:04:56.663]  We already knew they blew it.
[00:04:57.190 --> 00:05:04.815]  We've been saying that for over two years, four months, but now we've caught them red-handed in one of their big, fat, tortian slips.
[00:05:04.815 --> 00:05:06.896]  These criminals can't keep their story straight.
[00:05:06.896 --> 00:05:07.377]  It's true.
[00:05:07.377 --> 00:05:08.618]  It's amazing.
[00:05:08.618 --> 00:05:10.679]  But there are so many holes in this story.
[00:05:10.679 --> 00:05:11.600]  Thousands of them.
[00:05:11.600 --> 00:05:16.002]  And it was just a matter of time, I guess, before things started to fall through those holes.
[00:05:16.002 --> 00:05:18.624]  And this appears to be one of the biggest yet.
[00:05:18.624 --> 00:05:22.827]  And I don't think we're at the end of the road on this whole thing of disclosure.
[00:05:23.334 --> 00:05:26.255]  And it's not voluntary disclosure either.
[00:05:26.255 --> 00:05:29.776]  We're watching, folks, all of you people who are hiding this issue.
[00:05:29.776 --> 00:05:33.036]  We are watching, and we apparently have a big one now.
[00:05:33.036 --> 00:05:35.717]  So, Alex, why don't you go ahead and start spelling it out.
[00:05:35.717 --> 00:05:43.719]  We're going to be listening, by the way, folks, tonight to some sound clips of Mr. Silverstein, among others, which will, I think, make the point very clear.
[00:05:44.332 --> 00:05:51.955]  That this was a command decision, which not only brought a building down, but apparently resulted in the deaths of perhaps several people.
[00:05:51.955 --> 00:05:54.196]  We don't know how many people died.
[00:05:54.196 --> 00:05:55.237]  And what does that make it?
[00:05:55.237 --> 00:05:57.278]  At the very least, manslaughter?
[00:05:57.278 --> 00:05:58.518]  I kind of think it does.
[00:05:58.518 --> 00:06:06.242]  When you look at the video and the stills of that building on that day, September 11th, you'll see that fire was hardly engulfing it.
[00:06:06.242 --> 00:06:12.364]  In point of fact, fire was only visible on two of the floors, and that in a very contained area on each of the floors.
[00:06:12.364 --> 00:06:13.905]  Alex, go ahead and set this up for us.
[00:06:14.901 --> 00:06:26.029]  Well, number one, I could not express the magnitude of the story that we first learned of this Saturday when I was on Rents.com doing my three or four hours of research a day.
[00:06:26.029 --> 00:06:32.973]  I spent about an hour a day on Rents.com and I saw the article and I had video clips of this.
[00:06:32.973 --> 00:06:35.335]  I had discussed the controlled demolition.
[00:06:36.284 --> 00:06:39.006]  Uh, of WTC7 in two of my films.
[00:06:39.006 --> 00:06:40.607]  I've shown the video clips.
[00:06:40.607 --> 00:06:43.249]  I had known that a plane hadn't hit the building.
[00:06:43.249 --> 00:06:48.072]  It's a 47-story structure across the street, the furthest away from Tower 1 and 2.
[00:06:48.072 --> 00:06:51.114]  Uh, it caught fire later that day.
[00:06:51.114 --> 00:06:54.136]  Uh, two small fires in the 7th and 12th floors.
[00:06:55.697 --> 00:07:05.665]  Uh, and, uh, then, uh, I remember driving in the car listening to ABC News that day, and they said there's discussions of demolishing it so the fire doesn't spread to other buildings.
[00:07:05.665 --> 00:07:07.086]  And I thought, well that's dumb.
[00:07:07.086 --> 00:07:10.288]  I've watched firefighter shows on Discovery Channel and History Channel.
[00:07:10.288 --> 00:07:12.230]  I mean, there's no point in demolishing a building to do that.
[00:07:12.230 --> 00:07:13.571]  Plus, it's hard to do that.
[00:07:13.571 --> 00:07:15.312]  It takes days or weeks to set the explosives up.
[00:07:15.772 --> 00:07:30.336]  And then I never heard it again, and then at about 435 Eastern, the building collapses in, what, 3.2 seconds faster than a bowling ball can fall 45 stories.
[00:07:30.336 --> 00:07:41.899]  So that can only happen if you are turning lower floors and supports into dust that is shortening the actual height of the structure.
[00:07:42.579 --> 00:07:45.921]  And we have read the quotes of firefighters saying bombs are going off.
[00:07:45.921 --> 00:07:49.882]  We have the size of the grab reports on Tower 1 and 2 and on 7.
[00:07:49.882 --> 00:07:52.383]  So again, there's so much evidence here.
[00:07:52.383 --> 00:07:58.226]  And we have Dan Rather, we'll play that clip later, saying it looks like controlled demolition.
[00:07:58.226 --> 00:08:01.367]  Buildings we've seen that had well-placed dynamite in them.
[00:08:01.367 --> 00:08:04.969]  Peter Jennings had said the same thing that day.
[00:08:04.969 --> 00:08:09.111]  And we have a clip, of course, of Rather saying that.
[00:08:10.580 --> 00:08:12.261]  We already had all this evidence.
[00:08:12.261 --> 00:08:19.984]  I mean, I said in Road to Tyranny, a film I made two years ago, that they controlled demolitions of WTC7.
[00:08:19.984 --> 00:08:36.710]  But who would have ever thought that we'd have something hiding in plain view like Mr. Silverstein going public, the owner and the controller of the center who bought it months before and got these huge insurance policies on it, and a lot of bizarre behavior there.
[00:08:36.710 --> 00:08:37.931]  We'll get into that later in the show.
[00:08:39.020 --> 00:08:53.526]  To have him go on PBS, and to have them on PBS show WTC7 falling, the police, the firemen, and then to have Silverstein, to cut to Silverstein talking about how they made the decision to pull the building that day.
[00:08:53.526 --> 00:08:56.467]  Well, I heard them discussing it on ABC News.
[00:08:56.467 --> 00:09:01.469]  My listeners in New York, and I know your listeners, you had it on the side, talked about how they heard it on the news.
[00:09:01.469 --> 00:09:02.730]  There were discussions of pulling it.
[00:09:03.530 --> 00:09:04.172]  I'm good to go.
[00:09:14.449 --> 00:09:21.355]  It takes days or weeks to have a controlled demolition on a big complex building, a modern one.
[00:09:21.355 --> 00:09:23.036]  They may have been three weeks setting them up now.
[00:09:23.036 --> 00:09:23.477]  That's right.
[00:09:23.477 --> 00:09:24.838]  That's right.
[00:09:24.838 --> 00:09:32.804]  And so even if some are saying, well, Silverstein meant they were going to blow it up, but then it fell on its own, and that's delusional to make that leap.
[00:09:32.804 --> 00:09:38.069]  It's a mental twister to try to come up with any way to rationalize and deny here.
[00:09:38.069 --> 00:09:42.312]  Even if that happened, how were they going to plant bombs, demolition charges in a building that's on fire?
[00:09:42.312 --> 00:09:43.293]  No, he's clearly
[00:09:44.213 --> 00:09:44.593]  Right.
[00:09:44.593 --> 00:09:45.454]  Paul, come on in here.
[00:10:09.215 --> 00:10:18.682]  Yeah, I mean, first of all, we have to take note of what kind of financial motive Silverstein himself would have in destroying this building.
[00:10:18.682 --> 00:10:25.326]  Now, we know that Larry Silverstein was the leaseholder, the controller of the World Trade Center complex.
[00:10:27.418 --> 00:10:47.294]  Although we're focusing on Building 7 alone here, we can see that in February of 2002, as I wrote on the article that's on rents.com, Silverstein Properties won $861 million from industrial risk insurers to rebuild on the site of WT7.
[00:10:48.721 --> 00:10:55.227]  And Silverstein Properties estimated that investment in WT7 was $386 million.
[00:10:55.227 --> 00:11:04.815]  So the bottom line is that the collapse itself, Building 7, the Solomon Building, resulted in a profit of $500 million to Silverstein.
[00:11:04.815 --> 00:11:07.657]  And that's just Building 7 alone, as I mentioned.
[00:11:07.657 --> 00:11:08.398]  Incredible.
[00:11:08.398 --> 00:11:09.759]  Unbelievable.
[00:11:09.759 --> 00:11:10.800]  I'm sorry for interrupting.
[00:11:10.800 --> 00:11:12.081]  I just want to point out for listeners,
[00:11:12.665 --> 00:11:14.005]  That whole insurance thing was interesting to me.
[00:11:14.005 --> 00:11:17.126]  The insurance company was fighting Silverstein, saying we're only going to pay for one of the towers.
[00:11:17.126 --> 00:11:20.067]  In fact, I think it was that they were going to pay off on both towers' loss as one event.
[00:11:20.067 --> 00:11:21.988]  How did that ever shake out, Paul?
[00:11:43.260 --> 00:11:50.207]  Well yeah, the final number, the rough estimate that we got was the six billion figure that Alex mentioned.
[00:11:50.207 --> 00:11:54.791]  And I mean, even on top of this, and I think, I mean this has been mentioned on rent.com before,
[00:11:55.385 --> 00:12:11.013]  We had Marvin Bush, George W. Bush's brother, who was on the board of Stratasec, which was formerly known as Securicom, and this company had a contract which handled electronic security at the World Trade Center complex.
[00:12:11.013 --> 00:12:17.076]  Just by pure coincidence, the contract expired on the day of September 11, 2001.
[00:12:17.076 --> 00:12:19.397]  On the very day.
[00:12:19.397 --> 00:12:21.958]  Well, alright, stand by Paul, we'll be right back.
[00:12:21.958 --> 00:12:24.940]  Alex Jones and I, and Paul Watson with you this evening.
[00:12:25.345 --> 00:12:26.106]  Glad you're along.
[00:12:26.106 --> 00:12:26.966]  Much to talk about.
[00:12:26.966 --> 00:12:27.627]  Don't go away.
[00:12:27.627 --> 00:12:30.048]  This gets more and more interesting all the time.
[00:12:55.922 --> 00:12:59.384]  Okay, right back with you, talking with Paul Watson and Alex Jones.
[00:12:59.384 --> 00:13:08.410]  Alex, the idea of a high-rise building, a fire in a building, causing it to fall down, of course, is ludicrous to most engineers, especially the way they build them nowadays.
[00:13:08.410 --> 00:13:14.875]  This building shows no signs in any of the video of being overwhelmed, engulfed, or otherwise seriously compromised by flames.
[00:13:14.875 --> 00:13:19.098]  I see flames on two floors, and that's it, and I don't see very many at that.
[00:13:19.098 --> 00:13:19.778]  How do you see it?
