[00:00:08.271 --> 00:00:09.011]  You there?
[00:00:09.011 --> 00:00:10.272]  Yeah.
[00:00:10.272 --> 00:00:11.073]  Did you hear the news?
[00:00:11.073 --> 00:00:12.734]  Uh-uh.
[00:00:12.734 --> 00:00:17.977]  Um, uh, Gary Webb supposedly killed himself.
[00:00:17.977 --> 00:00:19.378]  Nah.
[00:00:19.378 --> 00:00:22.460]  But, uh, of course nobody thinks that it was suicide.
[00:00:22.460 --> 00:00:24.861]  You lyin'.
[00:00:24.861 --> 00:00:27.243]  No.
[00:00:27.243 --> 00:00:28.123]  When?
[00:00:28.123 --> 00:00:31.485]  Saturday.
[00:00:31.485 --> 00:00:31.986]  Aw, man.
[00:00:35.544 --> 00:00:41.828]  The headline says, Reporter of CIA Cocaine Contra Story Kills Himself.
[00:00:41.828 --> 00:00:52.255]  The California reporter whose controversial series linked the Central Intelligence Agency with the Nicaraguan Contras and drug trafficking in Los Angeles killed himself over the weekend.
[00:00:52.255 --> 00:00:56.158]  I talked to Bocelli and Chico about it.
[00:00:56.158 --> 00:01:01.222]  They basically said that it was like a shotgun
[00:01:01.907 --> 00:01:04.829]  Oh man, I hate to hear that.
[00:01:04.829 --> 00:01:06.231]  I'm just blown away right now.
[00:01:25.993 --> 00:01:28.894]  I mean, not even how it happened, but just, you know, that it happened.
[00:01:28.894 --> 00:01:31.995]  Yeah, I mean, I didn't know him, but yeah.
[00:01:31.995 --> 00:01:35.017]  You know, I just found out today, so I figured you didn't know.
[00:01:35.017 --> 00:01:35.997]  No, I didn't know.
[00:01:35.997 --> 00:01:37.177]  Yeah.
[00:01:37.177 --> 00:01:39.578]  It's not like mainstream news or anything, you know?
[00:01:39.578 --> 00:01:39.959]  Yeah.
[00:01:39.959 --> 00:01:44.300]  It's kind of, you know, kind of West Coast news.
[00:01:44.300 --> 00:01:46.121]  Man, I hate to hear that.
[00:01:46.121 --> 00:01:49.182]  Yeah, I guess he had three kids, a wife.
[00:01:49.182 --> 00:01:51.183]  I guess he was going through a divorce or something, but...
[00:01:52.065 --> 00:02:12.156]  You know, Alex Jones, the talk show host who you talked to, he was talking about how so many of the biographers that have uncovered stuff about the Bush family, now they all end up mysteriously committing suicide.
[00:02:12.156 --> 00:02:19.820]  Yeah, I mean, the last time I talked to Gary, he was excited and happy about life.
[00:02:19.820 --> 00:02:20.560]  He was thriving.
[00:02:21.027 --> 00:02:24.268]  You know, and was looking toward the future.
[00:02:24.268 --> 00:02:25.428]  Just, man.
[00:02:25.428 --> 00:02:26.849]  Seems pretty weird, huh?
[00:02:26.849 --> 00:02:29.630]  Yeah, and he was such a good guy, you know?
[00:02:29.630 --> 00:02:34.231]  I mean, um... And he did so much, you know, for our case, and... and whatnot.
[00:02:34.231 --> 00:02:37.052]  It just... I don't know.
[00:02:37.052 --> 00:02:38.612]  It's like losing a good friend.
[00:02:38.612 --> 00:02:40.013]  Yeah.
[00:02:40.013 --> 00:02:44.194]  Um... I mean, uh, I mean... What do you think?
[00:02:44.194 --> 00:02:46.155]  I mean, I find it hard to believe.
[00:02:46.155 --> 00:02:49.136]  I mean, the... the chances of, like, a 49-year-old man
[00:02:51.128 --> 00:02:59.334]  Uh, just suddenly killing himself like that, or supposedly like one in a million, or one in a billion even, or something.
[00:02:59.334 --> 00:03:09.641]  It's like some ridiculous odd, and you know, Alex was calculating the odds of it, and uh, it's just, I don't know, it's pretty obvious.
[00:03:09.641 --> 00:03:20.169]  Yeah, and Gary, I mean he had so much, but you know he had told me before that people were following him around, and tapping his phones, and you know, doing all kinds of weird stuff to him, and
[00:03:21.226 --> 00:03:23.387]  You know, there was a lot of weird stuff he was saying was happening.
[00:03:23.387 --> 00:03:25.787]  You know, people on his telephone poles.
[00:03:25.787 --> 00:03:28.408]  Well, tell me about that real quick.
[00:03:28.408 --> 00:03:30.029]  Tell me what Gary said to you.
[00:03:30.029 --> 00:03:38.812]  Well, he used to tell me that he would come home at night and there'd be guys, you know, climbing up the pole late at night, twelve or one o'clock, you know, at night time.
[00:03:38.812 --> 00:03:40.572]  People following him around everywhere he goes.
[00:03:40.572 --> 00:03:43.473]  He has cars telling him.
[00:03:43.473 --> 00:03:45.834]  His phone was tapped.
[00:03:45.834 --> 00:03:48.695]  You know, he said a lot of things were going on that moved him out from
[00:03:49.482 --> 00:03:57.766]  You know, Mercury News had moved him from where he was working in Sacramento to some four-hour country town.
[00:03:57.766 --> 00:04:02.008]  He was just saying that they were kind of like giving him the blues.
[00:04:02.008 --> 00:04:07.070]  You know, a lot of things were going on that he didn't really like.
[00:04:07.070 --> 00:04:09.351]  And he said it was the government, too.
[00:04:09.351 --> 00:04:09.711]  Wow.
[00:04:09.711 --> 00:04:15.294]  I mean, but I guess the question would be, though, that if
[00:04:16.906 --> 00:04:25.289]  If he'd already, like, done all this reporting, you know, what was the use in getting rid of him at this point?
[00:04:25.289 --> 00:04:30.971]  You know, unless there was still something that he was still going to do, or maybe this was like a revenge thing.
[00:04:30.971 --> 00:04:37.893]  Well, you know, Gary was never satisfied with the way everything had turned out, you know.
[00:04:37.893 --> 00:04:40.154]  From my understanding, he wasn't working on the case.
[00:04:40.154 --> 00:04:45.376]  He was still digging and searching, trying to find the documents that would put everything together.
[00:04:45.376 --> 00:04:46.336]  Now, I know that for a fact.
[00:04:47.879 --> 00:04:49.840]  He hadn't stopped working on the case.
[00:04:49.840 --> 00:04:51.521]  He was still investigating.
[00:04:51.521 --> 00:04:56.143]  Where do you think it may have led if he would have kept going?
[00:04:56.143 --> 00:04:59.365]  Who knows?
[00:04:59.365 --> 00:05:08.449]  You know, with so much stuff and so many people being implicated that we don't know where it would have ended.
[00:05:08.449 --> 00:05:11.710]  Only God knows.
[00:05:11.710 --> 00:05:13.651]  Surely not me, I'm not that intelligent.
[00:05:15.066 --> 00:05:18.007]  Yeah, I mean, well, I mean, it's anybody's guess at this point, huh?
[00:05:18.007 --> 00:05:18.527]  Yeah.
[00:05:18.527 --> 00:05:20.107]  I mean, that's exactly what they wanted.
[00:05:20.107 --> 00:05:27.108]  And then maybe, uh, maybe he had some papers that he hadn't uncovered that may, uh, even show more evidence.
[00:05:27.108 --> 00:05:30.089]  Because Gary was pretty thorough, you know, with his investigation.
[00:05:30.089 --> 00:05:32.049]  Yeah.
[00:05:32.049 --> 00:05:33.449]  Man, that's incredible.
[00:05:33.449 --> 00:05:38.370]  So, uh... I mean, he was kind of like an answer, uh, a prayer.
[00:05:38.370 --> 00:05:43.011]  You know, when I was going to court, we couldn't afford an investigator, and then all of a sudden, you know, he's like,
[00:05:43.703 --> 00:05:50.230]  Boom, here this investigative reporter pop up and he knows more about our informant than the government's telling us about.
[00:05:50.230 --> 00:05:54.574]  So it was kind of like, you know, he was almost like God sent to me.
[00:05:54.574 --> 00:05:57.096]  That's how I felt at one time.
[00:05:57.096 --> 00:06:01.761]  You know, that he was sent down to... This call is from a federal prison.
[00:06:01.761 --> 00:06:03.923]  To help save my life, basically.
[00:06:03.923 --> 00:06:06.646]  Wow, that is sad for you, that loss, huh?
[00:06:07.406 --> 00:06:09.267]  Yeah, he really meant a lot to me.
[00:06:09.267 --> 00:06:11.769]  Did you ever know any of his other family members or anybody?
[00:06:11.769 --> 00:06:14.290]  Yeah, I know his wife and I spoke to his kids.
[00:06:14.290 --> 00:06:16.191]  Wow.
[00:06:16.191 --> 00:06:20.414]  I'm going to try to see if I can get a number where I can call him.
[00:06:20.414 --> 00:06:22.996]  Okay, yeah, and I'll try to get that too for you.
[00:06:22.996 --> 00:06:26.998]  And I also told Todd McCormick, I gave Todd McCormick your address.
[00:06:26.998 --> 00:06:32.301]  Tell me what the Ricky Ross Task Force was and when did you find out that they called it that?
[00:06:32.301 --> 00:06:34.823]  It was a bunch of cops that had assembled
[00:06:35.382 --> 00:06:45.509]  I think the best narcotic agents from like three or four different precincts to stop me from my drug dealing.
[00:06:45.509 --> 00:06:50.633]  The first time I found out was from an investigator.
