[00:00:00.000 --> 00:00:14.000]  [Pause]
[00:00:14.000 --> 00:00:40.000]  [Music]
[00:00:39.701 --> 00:00:40.821]  I don't think so.
[00:00:40.841 --> 00:00:41.562]  I don't think so.
[00:00:41.582 --> 00:00:42.302]  I don't think so.
[00:00:42.322 --> 00:00:43.102]  I don't think so.
[00:00:43.122 --> 00:00:43.623]  I don't think so.
[00:00:43.663 --> 00:00:44.323]  I don't think so.
[00:00:44.343 --> 00:00:45.083]  I don't think so.
[00:00:45.203 --> 00:00:46.123]  I don't think so.
[00:00:46.184 --> 00:00:47.224]  I don't think so.
[00:00:47.244 --> 00:00:47.824]  I don't think so.
[00:00:47.884 --> 00:00:48.604]  I don't think so.
[00:00:48.624 --> 00:00:49.385]  I don't think so.
[00:00:49.405 --> 00:00:50.405]  I don't think so.
[00:00:50.525 --> 00:00:51.406]  I don't think so.
[00:00:51.506 --> 00:00:52.446]  I don't think so.
[00:00:52.486 --> 00:00:53.346]  I don't think so.
[00:00:53.366 --> 00:00:53.887]  I don't think so.
[00:00:54.007 --> 00:00:54.747]  I don't think so.
[00:00:54.807 --> 00:00:55.507]  I don't think so.
[00:00:55.547 --> 00:00:56.227]  I don't think so.
[00:00:56.287 --> 00:00:57.188]  I don't think so.
[00:00:57.408 --> 00:00:57.868]  I don't think so.
[00:00:57.887 --> 00:01:07.888]  [MUSIC]
[00:01:07.888 --> 00:01:17.888]  [MUSIC]
[00:01:17.888 --> 00:01:27.888]  [MUSIC]
[00:01:27.888 --> 00:01:37.888]  [MUSIC]
[00:01:37.888 --> 00:01:47.888]  [MUSIC]
[00:01:47.888 --> 00:01:57.888]  [MUSIC]
[00:01:57.888 --> 00:02:07.888]  [MUSIC]
[00:02:07.888 --> 00:02:17.888]  [MUSIC]
[00:02:18.819 --> 00:02:22.819]  We've been gone pretty long, darling
[00:02:22.819 --> 00:02:25.819]  Take this night
[00:02:25.819 --> 00:02:29.819]  And the night
[00:02:29.819 --> 00:02:33.819]  Take my hand
[00:02:33.819 --> 00:02:36.819]  'Cause the devil's in the name
[00:02:36.819 --> 00:02:38.819]  Yeah
[00:02:38.819 --> 00:02:45.819]  Ow, ow, ow, ow, ow, ow, ow, ow, ow, ow, ow
[00:02:46.428 --> 00:02:47.889]  I don't think so.
[00:02:47.949 --> 00:03:14.949]  [Music]
[00:03:14.984 --> 00:03:15.905]  No.
[00:03:16.366 --> 00:03:16.786]  No.
[00:03:16.906 --> 00:03:20.906]  I don't really care how hard I work
[00:03:20.906 --> 00:03:23.906]  'Cause I really wanna be with you now
[00:03:23.906 --> 00:03:25.906]  (Now I really wanna be with you now)
[00:03:25.906 --> 00:03:27.906]  Now I really wanna be with you now
[00:03:27.906 --> 00:03:29.906]  (Now I really wanna be with you now)
[00:03:29.906 --> 00:03:31.906]  (Now I really wanna be with you now)
[00:03:31.906 --> 00:03:33.906]  (Now I really wanna be with you now)
