[00:00:00.000 --> 00:00:18.239]  [ Silence ]
[00:00:18.948 --> 00:00:21.489]  Jeff Davis is doing a great job.
[00:00:21.529 --> 00:00:22.850]  Wes Curtis is doing a great job.
[00:00:22.890 --> 00:00:24.270]  Steve Wayne is doing a great job.
[00:00:24.931 --> 00:00:26.451]  Rick Hallbecker is doing a great job.
[00:00:29.153 --> 00:00:30.373]  There's just tons of people.
[00:00:30.493 --> 00:00:31.234]  Greg Erickson.
[00:00:32.514 --> 00:00:34.235]  I hope I'm not leaving anybody out here.
[00:00:34.655 --> 00:00:35.636]  Jeff Contreras.
[00:00:37.556 --> 00:00:40.878]  They're doing what it takes to get this info out to you and we've documented it.
[00:00:41.038 --> 00:00:43.279]  Now I'm going to go to just a few news stories first.
[00:00:43.999 --> 00:00:44.780]  Then we're going to go to
[00:00:46.874 --> 00:00:47.915]  The New World Odor.
[00:00:48.415 --> 00:00:51.658]  And he would have done the New World Order, but that is already a copyrighted name.
[00:00:51.938 --> 00:00:54.200]  And it is a stench, an odor, of death.
[00:00:55.441 --> 00:00:56.521]  It has the stench of death.
[00:01:00.024 --> 00:01:02.326]  I have this Saturday's Office of American Statement.
[00:01:02.746 --> 00:01:07.830]  And it says, CIA officer tried to extort hush money.
[00:01:08.130 --> 00:01:14.435]  Then it talks about how he sold information which resulted in the deaths of people by selling the names of agents to Russians.
[00:01:15.336 --> 00:01:15.756]  And others.
[00:01:17.475 --> 00:01:21.578]  They talked about how the Justice Department is going to seek the death penalty for him giving this knowledge.
[00:01:23.179 --> 00:01:40.771]  Why is President Clinton allowed to let John Wong and Charlie Tree and Jorge Cabrera and a Cuban gangster, but nothing happens to President Clinton.
[00:01:41.311 --> 00:01:47.155]  Even Newsweek reported, and I had it here for you a thousand times, that Clinton let
[00:01:50.218 --> 00:01:53.718]  John Wong in about five hundred times.
[00:01:53.718 --> 00:01:57.618]  That is five hundred times our national security computers.
[00:01:57.618 --> 00:02:02.858]  You or I would be shocked if we even approach these computers.
[00:02:02.858 --> 00:02:05.458]  These computers look into the deepest levels of our...
[00:02:05.458 --> 00:02:15.459]  [BLANK_AUDIO]
[00:02:07.338 --> 00:02:07.818]  Databases.
[00:02:08.098 --> 00:02:09.479]  He just didn't let them in.
[00:02:09.739 --> 00:02:21.223]  Anthony Lake, National Security Advisor, gave them national security agents and CIA agents to help them navigate through and fax machines and computer links went to Indonesia and China.
[00:02:22.844 --> 00:02:24.565]  This is disgusting behavior.
[00:02:25.305 --> 00:02:29.166]  Our country has been seized upon by agents of tyranny.
[00:02:30.107 --> 00:02:31.707]  And this is what corruption brings.
[00:02:32.608 --> 00:02:32.868]  You know,
[00:02:34.244 --> 00:02:45.831]  There's one reason we should try to keep ourselves pure, and I don't mean perfectly pure, but we should abstain from partying, we should abstain from staying out late, we should abstain from getting in trouble.
[00:02:46.351 --> 00:02:47.672]  I'm sticking to myself right now.
[00:02:48.772 --> 00:02:53.375]  And the reason that we should do that is very, very, very simple.
[00:02:55.996 --> 00:02:59.458]  It's so that we're focused, and we have the most serious mind.
[00:03:00.159 --> 00:03:01.960]  And again, I'm saying this to myself right now.
[00:03:02.680 --> 00:03:03.881]  Things have become so dark,
[00:03:05.071 --> 00:03:10.633]  The manipulation of the condition has become so thick that we've all got to focus.
[00:03:11.654 --> 00:03:15.536]  We can't allow ourselves to let the enemy get any kind of dirt on us.
[00:03:17.637 --> 00:03:19.637]  Or we have to be honest about the way we are.
[00:03:22.559 --> 00:03:31.363]  Also, from the same Staceman article on Saturday, they have a full page on A15
[00:03:33.464 --> 00:03:40.106]  From the World and National News section, it says, King's 1968 assassination still scars Memphis' face.
[00:03:41.166 --> 00:03:51.388]  And it shows Jesse Jackson and others standing on the balcony, the photograph taken seconds before Reverend Martin Luther King was shot in the face by a .30-06 rifle.
[00:03:54.509 --> 00:04:02.351]  This entire article doesn't tell you what Mrs. King and others have uncovered, that the FBI was intrinsically involved, that James Earl Ray
[00:04:03.908 --> 00:04:08.331]  Was hired by other people to do this and then was used like a patsy.
[00:04:08.571 --> 00:04:12.033]  That is classic CIA and corrupt FBI tactics.
[00:04:12.293 --> 00:04:13.894]  I don't think all the FBI is corrupt.
[00:04:14.474 --> 00:04:24.100]  I don't think all the CIA is corrupt, but definitely from the top down, there are certain sectors of it and compartmentalize need to know areas that are involved in shipping in drugs, money laundering,
[00:04:24.900 --> 00:04:26.202]  And yes, white slavery.
[00:04:26.522 --> 00:04:34.350]  And I've run four hour documentaries of Ted Gunderson, ex-head of the FBI in California, retired, top of his grade, retired with 700 men under him.
[00:04:36.151 --> 00:04:38.594]  He retired to follow after this and expose this.
[00:04:38.974 --> 00:04:42.778]  See, a lot of you can't consciously imagine how evil people are that are at the top.
[00:04:43.739 --> 00:04:46.782]  You think of corruption as stealing from a payroll or
[00:04:48.735 --> 00:04:56.037]  Somebody stealing a car, someone stealing from taxpayers, an IRS official lying and manipulating and abusing citizenry.
[00:04:58.657 --> 00:05:02.398]  That's just the symptom, the manifestation of what's going on.
[00:05:05.679 --> 00:05:10.640]  Now, I want to tell you something.
[00:05:12.360 --> 00:05:14.540]  Psychotic geniuses run the world.
[00:05:15.161 --> 00:05:17.261]  Criminally insane psychotics
[00:05:18.413 --> 00:05:21.754]  Total sociopaths.
[00:05:21.774 --> 00:05:24.655]  It is probably sexual in nature if you want to get into psychology.
[00:05:24.675 --> 00:05:26.395]  If you want to analyze these people.
[00:05:27.735 --> 00:05:28.736]  I say it this way.
[00:05:29.436 --> 00:05:31.997]  Twisted nerds run the world.
[00:05:34.777 --> 00:05:41.939]  They are so insecure that they must dumb down whole populations and subjugate and create unbelievable subterfuge and the Hegelian dialect.
[00:05:42.399 --> 00:05:44.780]  That is, Hegel, the German philosopher,
[00:05:46.977 --> 00:05:47.578]  Crisis?
[00:05:48.338 --> 00:05:51.241]  You create the crisis, you create fear, you offer the solution.
[00:05:53.043 --> 00:05:58.508]  I'm sure you all know that President Clinton has issued a new executive order to ban more guns and ban importation of guns.
[00:05:59.229 --> 00:06:02.292]  I thought it was all over and all our problems would be solved with the Brady Bill.
[00:06:03.013 --> 00:06:10.200]  You see my friends, they're not going to stop like any other thug in history until everyone has been disarmed.
[00:06:11.587 --> 00:06:15.249]  Until only the state has the weapons, and only the criminals have the weapons.
[00:06:15.569 --> 00:06:18.651]  Because law-abiding citizens generally will follow the law.
[00:06:20.332 --> 00:06:27.817]  The only thing you do by massive gun control is make sure that you take the guns out of law-abiding citizen's hands.
[00:06:27.857 --> 00:06:29.178]  Will you have the occasional accident?
[00:06:29.258 --> 00:06:30.038]  Absolutely yes.
[00:06:30.519 --> 00:06:33.901]  Will you have the occasional car accident and die by driving an automobile?
[00:06:33.941 --> 00:06:34.181]  Yes.
[00:06:34.441 --> 00:06:38.784]  Three to four times, depending on the year, deaths resulting in automobiles, not to mention
[00:06:40.174 --> 00:06:41.755]  Many more injuries.
[00:06:42.715 --> 00:06:44.876]  But I understand a lot of you have been emotionally conditioned.
[00:06:45.696 --> 00:06:52.599]  You're not worried about the individual that deals the gun, the mind, the arm, the finger that pulls the trigger, the bullet, the fire from the weapon.
[00:06:53.899 --> 00:06:55.540]  You're concerned with the gun.
[00:06:57.901 --> 00:06:59.441]  We're following the pattern of history.
[00:06:59.461 --> 00:07:09.305]  I am probably, good chance, 50% chance, that I will be killed within the next five years.
[00:07:10.751 --> 00:07:17.373]  I don't say this for theatrics, and I don't say this to scare you, but we need to go ahead and be honest about where we're at in this group psychology realm.
[00:07:21.634 --> 00:07:27.556]  Many others before me, if they spoke about the Federal Reserve printing the money going back 50 years ago, would be instantly killed.
[00:07:28.376 --> 00:07:31.317]  Would be instantly found dead, hanging themselves, or falling off bridges.
[00:07:33.037 --> 00:07:34.538]  So many people have stood up
[00:07:35.891 --> 00:07:37.192]  So many congressmen.
[00:07:37.592 --> 00:07:38.833]  So many congresswomen.
[00:07:39.293 --> 00:07:40.394]  So many congressmen.
[00:07:40.694 --> 00:07:43.536]  So many people through the past, like Congressman Ron Paul.
[00:07:45.578 --> 00:07:50.681]  Like... Gary Allen, who wrote, None Dare Call a Conspiracy.
[00:07:51.281 --> 00:07:53.463]  I can go on and on, I'm sure my producers can list some names.
[00:07:55.304 --> 00:07:55.924]  Democrats.
[00:07:56.345 --> 00:07:56.845]  Republicans.
[00:07:56.865 --> 00:07:57.405]  It doesn't matter.
[00:07:57.446 --> 00:07:58.346]  People with a heart.
[00:07:58.386 --> 00:07:59.327]  People that understood.
[00:08:00.219 --> 00:08:01.539]  But you do need a safety net.
[00:08:01.579 --> 00:08:08.280]  But if a safety net comes with slavery and all that's attached then you must reform that government and reinstitute that safety net.
[00:08:10.281 --> 00:08:15.462]  I have gone through a metamorphosis and I'm still changing and I'm still developing and you can do the same.
[00:08:16.462 --> 00:08:29.604]  I want to challenge you to stand up as human beings despite the fear, despite the intimidation and despite the ridicule of those that have been mentally destroyed by this conditioning propaganda state.
