[00:00:00.000 --> 00:00:10.000]  [MUSIC]
[00:00:10.000 --> 00:00:17.000]   What we've tried to do over the years is to use the expertise,
[00:00:17.000 --> 00:00:25.000]   the resources to allow us to respond better to a deliberate affront or attack on us
[00:00:25.000 --> 00:00:28.000]  with a microbe of any type, engineered or what have you.
[00:00:28.748 --> 00:00:33.412]  To use that knowledge to better prepare us for what we know will happen.
[00:00:33.772 --> 00:00:47.899]  Instead of looking at it in two separate silos of biodefense for biological threats that are deliberate and countermeasures for naturally occurring, you should essentially pool the science so that you could do both.
[00:00:47.999 --> 00:00:56.623]  At least 15 federal agencies knew that gain-of-function research was being done in the Wuhan lab since, what, 2018?
[00:00:58.004 --> 00:01:03.769]  We've gotten all of our information from Whistleblower, but we now know it wasn't just one agency that China was approaching.
[00:01:04.149 --> 00:01:13.076]  China made a presentation, or an American representative, Peter Daszak, made a representation to 15 agencies about creating a virus that, guess what?
[00:01:13.456 --> 00:01:19.397]  Looks suspiciously like COVID-19 and looks like no other virus in nature from that family.
[00:01:19.837 --> 00:01:22.858]  They were working on this and presented it to 15 agencies.
[00:01:23.318 --> 00:01:30.940]  And in 2020, when they saw COVID-19, they should have all been calling and raising the alarm and saying, my goodness, we saw this two years ago.
[00:01:31.020 --> 00:01:32.420]  We knew the Chinese were doing this.
[00:01:32.740 --> 00:01:34.061]  Lo and behold, they did it.
[00:01:34.441 --> 00:01:38.401]  A brave Marine, a lieutenant colonel, came forward and gave us that information.
[00:01:38.481 --> 00:01:40.622]  Or today, we would still not know any of this.
[00:01:40.922 --> 00:01:47.927]  The great COVID cover-up, shocking truth about Wuhan and 16 federal agencies.
[00:01:48.328 --> 00:01:51.050]  Yeah, Senator, they were lying.
[00:01:51.530 --> 00:02:01.057]  And the lying had real consequences for children, their mental health, their education, for business, for our faith, not being able to go to houses of worship.
[00:02:01.577 --> 00:02:03.599]  I mean, that's fundamental American freedoms.
[00:02:04.219 --> 00:02:08.763]  And I'll ask you again, what should the consequences be for Anthony Fauci?
[00:02:09.878 --> 00:02:10.259]  Jail.
[00:02:10.699 --> 00:02:13.222]  You know, I've sent two referrals to the Department of Justice.
[00:02:13.302 --> 00:02:15.525]  I think he lied to Congress, which is a felony.
[00:02:15.866 --> 00:02:17.988]  Anthony Fauci did lie to Congress.
[00:02:18.409 --> 00:02:19.831]  We know that from his own words.
