[00:00:00.792 --> 00:00:01.395]  Sunday Night!
[00:00:02.225 --> 00:00:03.126]  June 23rd.
[00:00:03.146 --> 00:00:04.307]  We're live.
[00:00:04.327 --> 00:00:05.348]  I'm Alex Jones.
[00:00:05.888 --> 00:00:09.351]  Dr. David Martin founded MCAM in 1998.
[00:00:10.552 --> 00:00:12.073]  MCAM was hired by the U.S.
[00:00:12.113 --> 00:00:30.829]  government to civilianize military technologies so that they can be exported in accordance to the international traffic and arms regulations and to provide a mechanism where banks could get credit for intangible assets such as patents, copyrights, and trade secrets.
[00:00:31.489 --> 00:00:37.333]  This contract allowed David Martin the ability to witness criminal preparations years before 2020.
[00:00:38.714 --> 00:00:43.938]  So my company was about civilianizing technology so that it could be exported.
[00:00:44.599 --> 00:00:49.362]  That got us into a bunch of places where we got to see biological and chemical weapons labs around the world.
[00:00:49.562 --> 00:00:58.205]  We are watching in real time as people file patents, as people get grants, as people do collaborations, as corporations get involved in illicit activities.
[00:00:59.005 --> 00:01:04.207]  In 1990, Pfizer filed the first patent on a vaccine for coronavirus.
[00:01:04.347 --> 00:01:19.052]   Going into 2000, 2001, a very interesting problem happened and that was that Ralph Baric figured out how to modify a component of the protein associated with coronavirus And he actually made it into something that would target heart tissue.
[00:01:19.252 --> 00:01:28.516]  The whole reason for SARS 1.0 and the whole reason for the anthrax attack was to get commercial liability protections at the cost of civil liberties.
[00:01:29.356 --> 00:01:38.460]  Now if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[00:01:38.860 --> 00:01:47.746]   The October 21, 2014 letter Directed from NIAID, that's Anthony Fauci's program, to Sherry Settle.
[00:01:48.206 --> 00:02:00.423]   Sherry Settle, at the University of North Carolina Chapel Hill, Ralph Baric's program administrator, was told that the gain-of-function studies that he was doing We're actually subject to the gain-of-function moratorium.
[00:02:01.023 --> 00:02:05.629]  As your grant is currently funded, this pause is voluntary.
[00:02:06.029 --> 00:02:07.631]  This was published February 12, 2016.
[00:02:09.293 --> 00:02:12.857]  A key driver is the media, and the economics will follow the hype.
[00:02:14.048 --> 00:02:16.849]  We need to use that hype to our advantage to get to the real issues.
[00:02:17.229 --> 00:02:20.931]  Investors will respond if they see profit at the end of the process.
[00:02:21.491 --> 00:02:27.213]  There is a very, very, very clear statement that says, WIV-1 is poised for human emergence.
[00:02:27.593 --> 00:02:29.894]  Alex, you want to guess what WIV-1 is in 2016?
[00:02:30.534 --> 00:02:34.075]  It's the Wuhan Institute of Virology Virus-1.
[00:02:34.256 --> 00:02:37.617]  That paper was published at the University of North Carolina Chapel Hill.
[00:02:38.582 --> 00:02:41.223]  Not in Wuhan, China.
[00:02:41.243 --> 00:02:44.445]  And in 2018 and 2019, a very bizarre thing happened.
