[00:00:00.000 --> 00:00:09.759]   *silence* *sad music*
[00:00:09.759 --> 00:00:14.170]   *smack* (upbeat music)
[00:00:14.170 --> 00:00:16.750]  (upbeat music)
[00:00:16.750 --> 00:00:19.330]  (upbeat music)
[00:00:19.330 --> 00:00:21.911]  (upbeat music)
[00:00:21.911 --> 00:00:34.490]  (upbeat music)
[00:00:34.490 --> 00:00:44.030]  (upbeat music)
[00:00:44.030 --> 00:00:46.611]  (upbeat music)
[00:00:46.611 --> 00:00:55.191]  (upbeat music)
[00:00:55.191 --> 00:01:05.230]  (upbeat music)
[00:01:12.489 --> 00:01:15.070]  (upbeat music)
[00:01:15.070 --> 00:01:25.609]  (upbeat music)
[00:01:25.609 --> 00:01:36.109]  (upbeat music)
[00:01:36.109 --> 00:01:38.690]  (upbeat music)
[00:01:38.690 --> 00:01:48.230]  (upbeat music)
[00:01:48.230 --> 00:01:57.771]  (upbeat music)
[00:02:04.650 --> 00:02:07.230]  (upbeat music)
[00:02:07.230 --> 00:02:20.771]  (upbeat music)
[00:02:20.771 --> 00:02:28.230]  (upbeat music)
[00:02:28.230 --> 00:02:30.810]  (upbeat music)
[00:02:30.810 --> 00:02:43.810]  (upbeat music)
[00:02:43.810 --> 00:02:56.310]  (upbeat music)
[00:02:57.310 --> 00:02:59.891]  (upbeat music)
[00:02:59.891 --> 00:03:08.891]  (upbeat music)
[00:03:08.891 --> 00:03:18.891]  (upbeat music)
[00:03:18.891 --> 00:03:21.469]  (upbeat music)
[00:03:21.469 --> 00:03:34.469]  (upbeat music)
[00:03:34.469 --> 00:03:45.469]  (upbeat music)
[00:03:45.469 --> 00:03:48.051]  (upbeat music)
[00:03:48.051 --> 00:04:03.051]  (upbeat music)
[00:04:03.051 --> 00:04:05.629]  (upbeat music)
[00:04:05.629 --> 00:04:23.629]  (upbeat music)
[00:04:23.629 --> 00:04:26.211]  (upbeat music)
[00:04:26.211 --> 00:04:44.211]  (upbeat music)
[00:04:44.211 --> 00:04:46.790]  (upbeat music)
[00:04:46.790 --> 00:05:04.790]  (upbeat music)
[00:05:05.790 --> 00:05:08.370]  (upbeat music)
[00:05:08.370 --> 00:05:17.370]  (upbeat music)
[00:05:17.370 --> 00:05:28.370]  (upbeat music)
[00:05:29.370 --> 00:05:31.951]  (upbeat music)
[00:05:31.951 --> 00:05:45.951]  (upbeat music)
[00:05:45.951 --> 00:05:48.530]  (upbeat music)
[00:05:48.530 --> 00:06:10.530]  (upbeat music)
[00:06:10.530 --> 00:06:13.110]  (upbeat music)
[00:06:13.110 --> 00:06:33.110]  (upbeat music)
[00:06:33.110 --> 00:06:35.691]  (upbeat music)
[00:06:35.691 --> 00:06:43.691]  And we are live.
[00:06:44.342 --> 00:06:46.624]  Guys, appreciate you guys joining in.
[00:06:47.104 --> 00:06:48.625]  Appreciate you guys listening.
[00:06:49.005 --> 00:06:53.248]  We've got none other than Alex Jones on the space.
[00:06:53.708 --> 00:06:59.012]  We're going to be speaking about all of the things that have been happening to him in the last few weeks.
[00:06:59.711 --> 00:07:03.792]  Including the possible closure of Infowars.
[00:07:04.332 --> 00:07:06.212]  And you know how our space is.
[00:07:06.272 --> 00:07:07.453]  We're going to speak to Alex.
[00:07:07.493 --> 00:07:08.473]  He's going to answer.
[00:07:08.513 --> 00:07:09.513]  He's going to explain things.
[00:07:09.553 --> 00:07:10.853]  He's going to tell us what's happening.
[00:07:11.374 --> 00:07:14.334]  But more than that, you may have some questions yourself.
[00:07:14.374 --> 00:07:15.615]  You may disagree with him.
[00:07:16.015 --> 00:07:18.875]  And so we are going to be going down that road for sure.
[00:07:19.035 --> 00:07:21.995]  Alex, thank you so much for taking your time out to join us.
[00:07:21.995 --> 00:07:28.554]  Alex, did you need to unmute your mic?
[00:07:28.554 --> 00:07:30.554]  Right, button up inside.
[00:07:30.147 --> 00:07:31.188]  Sorry, I apologize.
[00:07:31.268 --> 00:07:32.448]  Thank you for having me.
[00:07:32.548 --> 00:07:33.729]  I gave you an amazing intro.
[00:07:33.989 --> 00:07:34.349]  You did.
[00:07:34.389 --> 00:07:35.129]  Thank you for having me.
[00:07:35.149 --> 00:07:36.330]  I apologize for messing it up.
[00:07:37.670 --> 00:07:38.411]  All good, all good.
[00:07:38.531 --> 00:07:39.011]  Sorry, Alex.
[00:07:39.551 --> 00:07:42.032]  So, I mean, thank you so much for joining us.
[00:07:43.013 --> 00:07:46.374]  I mean, look, we've been hearing about what's happening to InfoWars.
[00:07:46.474 --> 00:07:48.235]  I know you did a couple of spaces yourself.
[00:07:48.255 --> 00:07:49.535]  You did a number of shows yourself.
[00:07:50.116 --> 00:08:00.257]   But just let people know, from your perspective, First of all, an overview of what's happening and then we'll ask specific questions about who do you think's behind this.
[00:08:00.397 --> 00:08:01.138]  Anyway, go ahead, Alex.
[00:08:01.859 --> 00:08:03.300]  Well, that's a huge subject.
[00:08:03.320 --> 00:08:04.601]  I mean, I want to be honest with you.
[00:08:05.281 --> 00:08:12.647]  Last night after my daughter went to bed, my youngest daughter, me and my wife sat around the kitchen table and I said, I cannot believe what just happened.
[00:08:13.368 --> 00:08:15.830]  And I can't imagine what President Trump is going through.
[00:08:15.870 --> 00:08:28.656]   So there's so many little pieces to this, but bottom line, Judge Chris Lopez is a very respected federal judge in Houston, and that's where our bankruptcy was assigned two years ago.
[00:08:29.757 --> 00:08:31.577]  And so it's not the judge's fault.
[00:08:31.597 --> 00:08:44.483]  The way the court system works is there's trustees and chief restructuring officers that are in the pool that basically rotate through, they get picked for the case.
[00:08:45.103 --> 00:08:48.502]   And if you don't object to them, They get assigned.
[00:08:48.662 --> 00:08:54.805]  Well, the plaintiffs that we now know are total, you know, the controllers, the plaintiffs, the law firms are deep state.
[00:08:55.725 --> 00:08:56.565]  Let's come out in court.
[00:08:57.246 --> 00:08:59.266]  They approved of these U.S.
[00:08:59.306 --> 00:09:07.970]  trustee that works for the Justice Department and for the chief restructuring officer, who I later learned were like flaming leftist, you know, anti-Trump, anti-Alex Jones.
[00:09:08.590 --> 00:09:14.032]  So they come in the last two years and they try to, the CRO tries to set me up.
[00:09:14.924 --> 00:09:16.084]  Secret court filings.
[00:09:16.144 --> 00:09:17.105]  I'm stealing money.
[00:09:18.165 --> 00:09:27.208]  The judge sends in high-level third-party investigators and accounting firms at my expense.
[00:09:27.768 --> 00:09:29.969]  We're talking a million plus bucks, three groups.
[00:09:30.549 --> 00:09:35.130]  They tear everything apart, do forensic accounting, and come back and say, no, there's no money hidden.
[00:09:35.591 --> 00:09:36.551]  Jones didn't do this.
[00:09:36.751 --> 00:09:41.933]  So then I go through all this because the media is like, oh, Jones is hiding money.
[00:09:41.953 --> 00:09:42.613]  He's a criminal.
[00:09:42.653 --> 00:09:43.333]  He's Al Capone.
[00:09:44.045 --> 00:09:59.209]  And I only filed for bankruptcy because I was out of money with a whole billion and a half dollar judgment that was rigged, where both judges in Texas and Connecticut found me guilty for supposedly not giving over, you know, evidence and discovery, but I gave them everything, so they found nothing.
[00:09:59.629 --> 00:10:00.849]  So instead they default me.
[00:10:01.009 --> 00:10:05.730]  HBO runs a huge production in both trials with makeup and scripts.
[00:10:05.810 --> 00:10:06.571]  It's a movie set.
[00:10:07.051 --> 00:10:07.931]  I mean, this is next level.
[00:10:09.119 --> 00:10:09.919]  Weaponization.
[00:10:10.539 --> 00:10:12.080]  And the CIA, we now know, was involved.
[00:10:12.100 --> 00:10:14.860]  They were beta testing this whole thing of weaponization.
[00:10:14.960 --> 00:10:28.303]  So, two Fridays ago, now about 16 days ago, 17 days ago, it's 5 o'clock, I'm about to leave the office, I've done my show, most of the crew's leaving, and I notice there's more security guards there.
[00:10:28.323 --> 00:10:29.823]  I have a private security company I've used for years.
[00:10:30.564 --> 00:10:31.304]  I said, what's going on?
[00:10:31.324 --> 00:10:32.024]  They're like, we don't know.
[00:10:32.895 --> 00:10:34.676]  We're told something's coming up tonight at 9 o'clock.
[00:10:34.736 --> 00:10:35.697]  So I call my lawyers.
[00:10:35.717 --> 00:10:36.857]  They go, hey, we just got word.
[00:10:37.337 --> 00:10:39.058]  They're locking the doors at 9 o'clock tonight.
[00:10:39.819 --> 00:10:40.759]  We don't know how they're going to do it.
[00:10:40.779 --> 00:10:41.620]  There's no court order.
[00:10:42.320 --> 00:10:44.181]  Judge Lopez is not called for this.
[00:10:44.901 --> 00:10:46.562]  The CRO does not have this power.
[00:10:47.623 --> 00:10:48.483]  We don't understand this.
[00:10:48.984 --> 00:10:50.645]  The CRO is just an advisor to the court.
[00:10:51.525 --> 00:10:56.107]  And so I literally explained to them, showed them the law, stopped them closing it.
[00:10:56.588 --> 00:11:01.650]  He then, with the next security crew, same company the next day, tries to shut it down again.
[00:11:01.670 --> 00:11:02.471]  His name's Pat McGill.
[00:11:03.283 --> 00:11:08.266]  So I have to sleep up there for three days, and then the media's like, oh, it's not happening.
