[00:00:08.158 --> 00:00:08.658]  That's right.
[00:00:08.718 --> 00:00:09.198]  That's right.
[00:00:09.238 --> 00:00:09.818]  Here comes Gant!
[00:00:09.898 --> 00:00:10.679]  Here comes Gant!
[00:00:31.827 --> 00:00:55.005]  Nick Sandman, that now famous Covington, Kentucky teen that stood his ground and remained calm in the face of leftist lunacy, has a legal team filing hundreds of lawsuits against the media mob and celebrities that denigrated his family, his school, his fellow classmates, and himself for merely being a supporter of the sitting president and being at the wrong place at the wrong time.
[00:00:55.205 --> 00:01:07.090]  The Washington Post faces a 250 million dollar judgment and more are to quickly follow for defamation on a scale that can only be attributed to mental illness or Trump derangement syndrome.
[00:01:07.150 --> 00:01:16.675]  You would expect that the mainstream media would be responsible enough to pause, recognize they're dealing with a student,
[00:01:17.822 --> 00:01:41.239]  Investigate and make sure that they have the facts Accurate that the story that they tell is accurate, but they didn't pause when it came to Nicholas Because they wanted to rush out and they wanted to jump into the mob give the mob a megaphone So that they could attack this boy Because he was white.
[00:01:41.479 --> 00:01:42.420]  He's Catholic and
[00:01:43.140 --> 00:01:45.321]  And he was wearing a Make America Great Again cap.
[00:01:45.381 --> 00:01:54.066]  If Nicholas had not purchased that souvenir cap that day at the mall, if he was not wearing it, none of us would know who Nicholas Sandman is.
[00:01:54.266 --> 00:02:03.310]  The millennial Twitter hordes, who recently targeted an Austin, Texas kid for selling hot chocolate to support President Trump's border wall.
[00:02:03.470 --> 00:02:07.973]  I was against helping Donald Trump and then I saw the State of the Union address and I wanted to help him.
[00:02:08.213 --> 00:02:10.354]  He just said, Dad, I want to do a stand.
[00:02:12.815 --> 00:02:17.936]  Some people are mad and calling me a little Hitler and stuff and then some people are really happy.
[00:02:17.956 --> 00:02:23.858]  Somehow it's gotten skewed to think that we're teaching our son to hate and I don't understand where
[00:02:32.256 --> 00:02:34.538]  That comes from... I like all people.
[00:02:34.678 --> 00:02:39.862]  I think it's important that they know what's going on in the world, where we stand, what we believe in.
[00:02:40.062 --> 00:02:52.971]  After the local CBS affiliate posted the report to their Twitter feed, the mob piled on, posting a child being thrown off a cliff, another being thrown into a fire, and another posted a wrestler destroying a kid in his living room.
[00:02:53.191 --> 00:02:55.532]  A public celebration of child abuse.
[00:02:55.712 --> 00:03:02.015]  The moronic millennial horde called for the kid and his parents to be fined for not having a permit, which he didn't need.
[00:03:02.275 --> 00:03:04.536]  Also, for his parents to be arrested.
[00:03:04.836 --> 00:03:08.057]  All of this on the local CBS Affiliate's Twitter page.
[00:03:08.277 --> 00:03:14.963]  Twitter allows threats of violence of children from leftist mobs, regardless of their supposed rules.
[00:03:15.263 --> 00:03:16.164]  The sad truth?
[00:03:16.444 --> 00:03:18.666]  Millennials aren't really to blame.
[00:03:18.906 --> 00:03:34.200]  They've been indoctrinated by a scourge of Marxist anti-American re-education that has total control of the American school system from the bottom up, suckered into trading their individual freedoms for temporary triggers harboring
[00:03:40.845 --> 00:03:43.887]  When was the last time you checked your tyranny watch?
[00:03:44.167 --> 00:03:46.088]  Because we are way past midnight.
[00:03:47.009 --> 00:03:47.990]  What's wrong with you?
[00:03:48.030 --> 00:03:49.351]  Get off of me!
[00:03:49.391 --> 00:03:52.433]  You're not arresting me for nothing!
[00:03:52.453 --> 00:03:53.574]  I'm doing nothing wrong!
[00:03:53.594 --> 00:03:55.135]  Tase somebody over a mask.
[00:04:06.508 --> 00:04:20.155]  Most of us assume that our rights harboring this supposed ethical American society is like a rock that can't be moved, when in reality that boulder is being pushed over a cliff inch by inch, bit by bit every day.
[00:04:20.235 --> 00:04:26.519]  Obama put an internet kill switch in, where only selective sites will be allowed to be heard, selective groups, where the internet is only...
[00:04:27.299 --> 00:04:27.880]  A few channels.
[00:04:28.340 --> 00:04:29.961]  Wherever you go, you're basically fed the same thing.
[00:04:30.301 --> 00:04:47.914]  And this is Internet Kill Switch, where now Google, Facebook, Twitter, Apple, all of them are announcing, we will not let Trump, Republicans, or any of his supporters, where they already have keywords blocked, say he won, or debate it, or show numbers that he really won.
[00:04:54.013 --> 00:05:02.158]  Ladies and gentlemen, it is the Alex Jones Show.
[00:05:02.218 --> 00:05:04.219]  I'm your host this evening, Chase Geyser.
[00:05:04.239 --> 00:05:07.560]  I will be on the air for the next three hours and 54 minutes.
[00:05:07.600 --> 00:05:12.743]  In the final hour of the show today, we will be taking your calls because there is so much news for us to talk about.
[00:05:14.244 --> 00:05:15.305]  Breaking news this week.
[00:05:15.365 --> 00:05:19.208]  Prosecutors say Hunter Biden was bribed by a Romanian oligarch.
[00:05:19.288 --> 00:05:28.435]  And this is exciting because finally, prosecutors are admitting what has happened, what has been going on, and admitting how it is connected directly to the Biden regime and administration.
[00:05:28.475 --> 00:05:37.481]  It's not just the president's son who is responsible for this corruption, but it is a conspiracy that the president himself was involved in when he was the vice president of the United States.
[00:05:38.582 --> 00:05:43.929]  It is exceedingly frustrating because this is information that our government has had for years.
[00:05:44.350 --> 00:05:51.038]  Since even before the last election cycle was complete, this information was information that the government had.
[00:05:51.058 --> 00:05:55.824]  And frankly, before I was anybody online, I just simply had a podcast, a small podcast.
[00:05:56.425 --> 00:05:58.767]  I had the great Jack Maxey on the podcast.
[00:05:58.787 --> 00:06:10.355]  He was one of the first people, when he worked for Steve Bannon, to have access to the laptop from hell, to have scoured the contents of the laptop from hell, and to have told me about this relationship with this Romanian oligarch.
[00:06:10.375 --> 00:06:11.396]  So we're going to run some clips here.
[00:06:11.416 --> 00:06:12.757]  I want to go to clip 46 first.
[00:06:13.238 --> 00:06:19.542]  This is prosecutors explaining this bribery corruption between Hunter Biden and the Romanian oligarch.
[00:06:19.602 --> 00:06:19.923]  Clip number 46.
[00:06:22.635 --> 00:06:33.729]  It's not a new charge, but it is a new claim that the special counsel is making in a new court filing tied to Hunter Biden's tax case that's scheduled to go to trial next month in California.
[00:06:34.330 --> 00:06:39.616]  And the claim is that Hunter Biden was doing not illegal
[00:06:41.823 --> 00:06:45.265]  The special counsel does not allege that Hunter Biden did anything wrong.
[00:07:02.612 --> 00:07:15.113]  They say it's evidence that his mind was clear at the time he failed to pay his taxes, where of course Hunter Biden said his mind was not clear because he was deep in the throes of drug addiction.
[00:07:15.666 --> 00:07:19.288]  So, Hunter Biden was given money by a Romanian oligarch to influence U.S.
[00:07:19.328 --> 00:07:29.193]  policy when his father was vice president, according to a new filing in the tax case against the president's son, as written by RawEggNationalist on InfoWars.com.
