[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[00:00:07.299 --> 00:00:12.640]  And we're hearing almost nothing from WHO and Tedros.
[00:00:12.839 --> 00:00:17.140]  And I would expect that we would, except there was an election.
[00:00:17.890 --> 00:00:28.149]  And that election has brought into power a group that is not aligned with this kind of psychological manipulation in every way, the censorship, etc.
[00:00:28.510 --> 00:00:47.530]  So I think what we're seeing right now, and if you listen to the Lena Wynn quote clip that's been circulating from Face the Nation, she's advocating that this current administration needs to rush to deploy this product before the new administration comes in in three weeks.
[00:00:48.280 --> 00:01:02.320]  And to rush out diagnostic tests because it's unlikely they're going to be able to jam this through the population once President-elect Trump is confirmed, is sworn in.
[00:01:03.599 --> 00:01:20.859]  I think there's a good chance that we're going to see a lot more of this over the next couple of weeks, and then it's going to suddenly get quenched once President Trump gets sworn in, and hopefully RFK Jr. gets confirmed in the Senate.
[00:01:33.600 --> 00:01:43.319]  Alexander Kozmanov, who is a former Soviet KGB agent that specialized in biowarfare and the associated psychology.
[00:01:43.579 --> 00:01:50.799]  And he lays out a basically straightforward set of spycraft techniques.
[00:01:51.519 --> 00:01:58.760]  That are used to generate this, what he calls information bioterrorism, I call psychological bioterrorism.
[00:01:59.019 --> 00:02:15.960]  And if you go through what he describes as the standard spycraft for disrupting economies, fragmenting populations, causing economic disruption,
[00:02:16.139 --> 00:02:25.639]  etc., Using fear of infectious disease, this promoted fear, which is what we're absolutely seeing right now with bird flu.
[00:02:25.800 --> 00:02:27.939]  And we saw before with monkeypox.
[00:02:28.139 --> 00:02:32.060]  It was what was played out in COVID. We see it again and again.
[00:02:33.650 --> 00:02:49.169]  If you go through those steps, you'll observe, and we talk about it in the book, I've talked about it in the substack, laid out what this spycraft is, you'll see that it's exactly parallel to what we're seeing deployed currently and what we've seen in these other cases.
[00:02:49.370 --> 00:02:52.289]  So is this a PSYOP? It absolutely is.
[00:02:52.409 --> 00:03:00.530]  The thing is that this kind of PSYOP or psychological warfare or fifth-generation warfare is a kissing cousin to marketing.
[00:03:01.219 --> 00:03:19.789]  And my sense is that not only is this being deployed by the US government, particularly the intelligence community, together with the defense community, because we now know that NATO has played a big role in what happened with COVID. But it's also now been adopted by the pharmaceutical industry as part of their marketing technology.
[00:03:20.189 --> 00:03:28.310]  And so that's what's getting laid down on us by the likes of Lena One and all of her associates.
[00:03:28.729 --> 00:03:40.729]  And if you listen to what they're saying, it's exactly the messaging that they laid down early on with COVID, except they've switched out for a different infectious disease.
[00:03:41.849 --> 00:03:47.789]  While other networks lie to you about what's happening now, Infowars tells you the truth about what's happening next.
[00:03:48.590 --> 00:03:53.530]  Visit Infowars.com forward slash show and support the Infowars.
[00:04:10.789 --> 00:04:13.550]  InfoWars, tomorrow's news today.
[00:04:14.030 --> 00:04:44.240]  It's Tuesday, December 31st, 2024. The final day of this incredible revolutionary year against tyranny worldwide, where forces of Humans that want prosperity and want justice and want transparency and want free market competitive capitalist systems and who believe in a
[00:04:44.240 --> 00:05:01.360]  pro-human destiny came together not just in the United States but all over the world and began overthrowing The globalist systems and not just removing the political operatives of the WEF and the UN and Bill Gates, but actually a global awakening to the death cult.
[00:05:01.459 --> 00:05:05.939]  They really are a anti-human post-industrial eugenics organization.
[00:05:07.409 --> 00:05:17.350]  Now, they're trying to counter us as they planned decades ago to do in their own documents by using the fear of viruses to bring in their tyrannical one world government.
[00:05:17.649 --> 00:05:19.589]  But it's backfiring very, very quickly.
[00:05:19.750 --> 00:05:25.189]  There have been massive developments concerning the attempted launch of their new Plandemic Hysteria.
[00:05:25.839 --> 00:05:35.680]  Dr. Robert Malone, the inventor of mRNA technologies coming up later on the broadcast today to lay out the facts of how this is a fake psychological warfare operation.
[00:05:36.079 --> 00:05:41.300]  Dr. Peter McCullough has come out with the documents and it's spreading everywhere right now.
[00:05:41.439 --> 00:05:49.920]  One of the top stories on X. And even hitting mainstream news that the new H5N1 was cooked up in US laboratories.
[00:05:49.920 --> 00:05:52.279]  They didn't even cover up the origin of it.
[00:05:52.480 --> 00:05:53.980]  How incredible is that?
[00:05:54.199 --> 00:05:58.639]  So right as they're launching it, it's already blowing up in the globalist's face.
[00:05:58.860 --> 00:06:01.819]  That and so much more is coming up today.
[00:06:02.100 --> 00:06:03.920]  They tried to pass two weeks ago.
[00:06:04.720 --> 00:06:12.720]  The funding for the current hysteria they're launching and that totally failed because you're awake, you're engaged, you're involved.
[00:06:12.959 --> 00:06:13.759]  We've turned the tide.
[00:06:13.920 --> 00:06:15.639]  I'm about to break it all down right now.
[00:06:15.990 --> 00:06:24.370]  You know, bird flu or H5N1 influenza has been around for over 100 years, well documented in the scientific literature in the United States.
[00:06:24.569 --> 00:06:49.300]  The most recent outbreak, which is now four years old, we've published, McCullough Foundation has published with first author Nick Holscher, an epidemiologist in the journal Poultry, Fisheries, and Wildlife Sciences, peer-reviewed journal, that the current strain of bird flu It is a product of gain-of-function research done in the USDA Poultry Research Laboratory in Athens,
[00:06:49.699 --> 00:06:49.899]  Georgia.
[00:06:49.899 --> 00:06:55.759]  So it is a man-made problem that our farms are experiencing right now.
[00:06:55.920 --> 00:07:08.660]  It's in the peer-reviewed literature and it's really, you know, the next steps in this outbreak is for people to understand, you know, the ramifications of it personally and how to be prepared.
[00:07:09.149 --> 00:07:09.889]  It is.
[00:07:10.370 --> 00:07:25.350]  The circulating clade, which is kind of the original source strain, is clade 2344B. And again, that is a product of what's called serial passage gain-of-function research done at the USDA Poultry Research Laboratory.
[00:07:25.350 --> 00:07:32.189]  It was assisted by University of Wisconsin School of Veterinary Medicine and Rotterdam University.
[00:07:33.009 --> 00:07:40.589]  The gain of function was to get it to spread from chickens into migratory waterfowl or mallard ducks.
[00:07:40.790 --> 00:07:43.470]  And so that's how it's spreading across the world now.
[00:07:43.610 --> 00:07:44.810]  It's been spreading for four years.
[00:07:45.009 --> 00:07:55.730]  It continually reinfects the farms because the mallard ducks fly around and they land in ponds on farms and they easily infect the other animals on the farm.
[00:07:55.730 --> 00:08:01.540]  So it was able to In a sense, expand the host range, even into cattle and to sea mammals.
[00:08:01.800 --> 00:08:08.000]  Now, the good news is it's much milder than bird flu of decades ago.
[00:08:08.160 --> 00:08:11.259]  And there's the peer-reviewed paper by Nick Kolsher on this.
[00:08:11.879 --> 00:08:17.339]  And this has not been denied by the USDA Poultry Research Center.
[00:08:17.730 --> 00:08:25.709]  McCullough Foundation attended the bird flu summits in both University of Arkansas as well as in Washington, DC. So there's no denial of this.
[00:08:25.829 --> 00:08:33.870]  Just like COVID-19, the bird flu problem is a man-made problem by the U.S. government.
[00:08:35.409 --> 00:08:37.529]  Out of the gates, they're trying to launch this new pandemic.
[00:08:37.990 --> 00:08:44.870]  And we already know that it was manmade and even where it was made in US bio labs in the name of bio defense.
[00:08:45.309 --> 00:08:51.950]  It's all part of a larger psyop, but if you're aware of the psyop, it doesn't work on the population and backfires on those that launched it.
[00:08:52.070 --> 00:09:07.440]  So on this historic December 31st, 2024 transmission, the last day of this incredible year of the populist uprising against the globalists worldwide, Let me just restate some key facts here, all right?
[00:09:07.500 --> 00:09:12.320]  I know almost all of you already understand this, but I want people to see this in its totality, then we're gonna walk through it.
[00:09:13.299 --> 00:09:24.519]  They tried to pass a spending bill two weeks ago that would give them all this unconstitutional martial law, medical tyranny, powers, and the funding, that failed.
[00:09:24.700 --> 00:09:32.419]  But they already had the PSYOP rolling out that Tedros, the WHO, and Dr. Hotez and others a month ago were bragging about.
[00:09:32.879 --> 00:09:35.799]  Don't worry, we're gonna maintain our control over the world.
[00:09:36.019 --> 00:09:42.460]  There's gonna be a new pandemic or pandemics and there's a secret disease in the Congo killing everybody with blood coming out of their eyes.
[00:09:43.080 --> 00:09:44.120]  Turned out that was all a lie.
[00:09:44.240 --> 00:09:44.919]  It was malaria.
[00:09:45.320 --> 00:09:47.399]  They tried mpox and monkeypox.
[00:09:47.460 --> 00:09:49.059]  It was just changing the name the last few years.
[00:09:49.519 --> 00:09:52.940]  Nothing is working because the vast majority of people see through it.
[00:09:53.080 --> 00:09:56.960]  They're only getting a two to 4% uptake on their new COVID shots.
[00:09:57.279 --> 00:10:00.879]  So they tried to use their disease X for total control and it backfired.
[00:10:01.039 --> 00:10:03.440]  So their big funding operation just failed.
[00:10:04.039 --> 00:10:08.220]  Now it's coming out that the bird flu current strain is man-made by the US government.
