[00:00:03.001 --> 00:00:03.862]  Well, here we are.
[00:00:04.422 --> 00:00:05.143]  Tuesday, May 7th, 2024.
[00:00:05.203 --> 00:00:15.093]  Trump is bracing for his arrest in New York City for the First Amendment.
[00:00:15.313 --> 00:00:16.054]  InfoWars.
[00:00:16.234 --> 00:00:18.234]  Tomorrow's News Today.
[00:00:18.234 --> 00:00:39.593]   There are real air raid sirens going off over Ukraine as Russian missiles come in and impact today.
[00:00:39.739 --> 00:00:50.367]  Air raid sirens over southern Gaza in Rafah as bombs drop and tanks roll in to the two million people trapped there plus.
[00:00:52.868 --> 00:01:00.954]  And there are cultural, economic, political air raid sirens going on across the world with the incredible global inflation.
[00:01:02.981 --> 00:01:06.505]  With 181 days, 12 hours, 59 minutes, 4 seconds.
[00:01:09.468 --> 00:01:11.670]  Until the most important election in world history.
[00:01:14.213 --> 00:01:20.759]  The treads of censorship are in high gear, trying to take down every populist talk show host and political leader in the world.
[00:01:22.119 --> 00:01:33.508]  Hundreds of populist anti-globalists have been indicted or arrested just in the last few months in Africa, in the U.S., in Latin America, in Europe, all over.
[00:01:35.609 --> 00:01:40.653]  And Trudeau has brought forward a law that will retroactively put anybody in prison for, quote, any hate speech.
[00:01:41.414 --> 00:01:44.396]  It's also defined as reading passages out of the New Testament.
[00:01:45.540 --> 00:01:47.740]  That's Revolver News' breakdown of it.
[00:01:47.780 --> 00:01:48.901]  I've read the legislation.
[00:01:48.921 --> 00:01:49.801]  That's what it does.
[00:01:50.721 --> 00:01:52.261]  What incredible tyranny.
[00:01:52.822 --> 00:01:53.822]  Well, that's just Canada.
[00:01:53.962 --> 00:01:55.162]  Wow, sleepy old Canada.
[00:01:56.642 --> 00:01:58.143]  Well, he's a WF frontman.
[00:01:58.183 --> 00:01:59.263]  That's their model for all of us.
[00:01:59.723 --> 00:02:04.304]  Canada imprisoned anyone who ever posted hate speech retroactively.
[00:02:07.365 --> 00:02:09.225]  That's the type of headlines we have.
[00:02:09.265 --> 00:02:10.305]  Here's another one out of the New York Times.
[00:02:10.926 --> 00:02:12.706]  Government surveillance keeps us safe.
[00:02:14.551 --> 00:02:23.995]  Well, you've got the prosecutors and the Attorney General in New York doing press conferences almost every day calling Trump a criminal and saying he's guilty.
[00:02:25.136 --> 00:02:33.180]  But when he speaks out and says it's election meddling, which it is on its face, they fine him $9,000 last week.
[00:02:33.220 --> 00:02:38.042]  And I predicted with Roger Stone that he would say that it's his duty to challenge this.
[00:02:38.102 --> 00:02:42.699]   And he said that last night after The latest show trial day.
[00:02:43.159 --> 00:02:50.484]  Now they want three more weeks to pin him down with just one of the many criminal charges and Trump says he's going to keep speaking out and is ready to go to jail.
[00:02:52.486 --> 00:02:55.028]  Wonder how long we'll try to put him in jail for contempt of court.
[00:02:56.429 --> 00:03:00.091]  Anybody could play through that and say that's going to backfire big time, but you see.
[00:03:01.773 --> 00:03:05.736]  The globalists are planning false flags soon to totally demonize their political opposition.
[00:03:05.776 --> 00:03:07.897]  They believe that will legitimize everything they've done.
[00:03:07.937 --> 00:03:09.659]  That's the missing ingredient.
[00:03:10.515 --> 00:03:17.179]  In the witch's brew, Roger Stone joins us after this quick break, where we join a lot of stations that don't carry the first five minutes.
[00:03:17.879 --> 00:03:27.425]  We have a big whistleblower on, several whistleblowers, information, one from Pfizer, one a nurse who's a main coder in a hospital, which she witnessed for the death shots.
[00:03:28.145 --> 00:03:31.227]  That's all coming up today in the third hour as well.
