[00:00:59.-200 --> 00:00:03.799]  [MUSIC PLAYING]
[00:00:03.799 --> 00:00:07.299]  [EXPLOSION]
[00:00:07.299 --> 00:00:09.800]  Murderer!
[00:00:09.800 --> 00:00:13.339]  We know who you are, you son of a bitch!
[00:00:13.063 --> 00:00:14.143]  They're super unpopular.
[00:00:14.223 --> 00:00:15.144]  Bill Gates is hated.
[00:00:16.465 --> 00:00:17.786]  You know the data better than I do.
[00:00:18.387 --> 00:00:22.831]  But the data showed that everybody with a high dose had a side effect.
[00:00:23.311 --> 00:00:29.136]  Yeah, but some of that is not dramatic where, you know, it's just super painful, but yes.
[00:00:29.436 --> 00:00:32.199]  Epstein had a way of sexually compromising people.
[00:00:32.259 --> 00:00:34.160]  Is that what Melinda was warning you about?
[00:00:35.201 --> 00:00:35.381]  No.
[00:00:36.442 --> 00:00:37.103]  I mean, it's...
[00:00:39.150 --> 00:00:42.213]  No, I had dinner with him, and that's all.
[00:00:42.393 --> 00:00:43.154]  Biden's hated.
[00:00:43.394 --> 00:00:45.476]  You're a dictator, do genocide, Joe!
[00:00:45.736 --> 00:00:46.576]  Klaus Schwab's hated.
[00:00:46.597 --> 00:00:51.140]  Nobody will be safe if not everybody is vaccinated.
[00:00:51.901 --> 00:00:53.362]  To Klaus Schwab, I say this.
[00:00:53.903 --> 00:00:55.084]  How dare you!
[00:00:56.805 --> 00:00:59.608]  How dare you steal my childhood and my future!
[00:01:00.148 --> 00:01:01.569]  And the future of all children!
[00:01:01.650 --> 00:01:03.071]  So, what should you do?
[00:01:03.291 --> 00:01:06.574]  As long as Klaus Schwab is free, no one is safe.
[00:01:07.025 --> 00:01:16.329]  Klaus Schwab is the head of the World Economic Forum and he bragged how his subversive WEF, World Economic Forum, has quoted infiltrated governments around the world.
[00:01:16.889 --> 00:01:21.551]  He said that his organization had penetrated more than half of Canada's cabinet.
[00:01:22.071 --> 00:01:27.934]  Could the member please name which cabinet ministers are on board with the WEF's agenda?
[00:01:28.674 --> 00:01:35.478]  The member was in a really good question there, but the audio is really, really bad, and the video is really, really bad as well.
[00:01:35.558 --> 00:01:37.318]  Which media are you with?
[00:01:37.338 --> 00:01:40.100]  I am an independent journalist from Japan.
[00:01:40.180 --> 00:01:41.200]  No, thank you very much.
[00:01:41.360 --> 00:01:45.722]  All these front people are hated, so they think they can put new front people up and try to get their agenda through.
[00:01:46.323 --> 00:01:48.844]  Are you part of the WEF, Christina?
[00:01:49.444 --> 00:01:51.405]  Are you part of the World Economic Forum?
[00:01:52.105 --> 00:01:52.906]  Part of the Deep State?
[00:01:54.247 --> 00:01:55.568]  I hope you have a nice day.
[00:01:55.588 --> 00:01:57.230]  Well, you won't have a nice day.
[00:01:57.250 --> 00:01:58.071]  See you again, Mo.
[00:01:58.391 --> 00:01:58.892]  Bye-bye.
[00:01:59.232 --> 00:02:02.535]  Their World Government-UN pandemic treaty stalling.
[00:02:02.976 --> 00:02:14.487]  We cannot allow this historic agreement, this milestone in global health, to be sabotaged by those who spread lies, either deliberately or unknowingly.
[00:02:14.967 --> 00:02:18.711]  I got headlines, central bank digital currency is at risk of failure already.
[00:02:19.191 --> 00:02:26.713]  Article 1, Section 8 of the Constitution states that only Congress has the authority to coin money and regulate the value of such money.
[00:02:27.413 --> 00:02:37.895]  Today, Congress is exercising its Article 1 authority to state clearly that the Federal Reserve does not have the authority to create a central bank digital currency.
[00:02:38.376 --> 00:02:39.956]  This shouldn't be controversial!
[00:02:40.496 --> 00:02:42.558]  Everything they're doing is turning to crap.
[00:02:42.838 --> 00:02:50.964]  They were supposed to destabilize things and bring their old bubble down and bring in a new bubble, but if the world's aware of them and aware of how they're the evil and how they're the bad guys...
[00:02:52.025 --> 00:02:54.148]  Well, we have a great reset, but they all go to prison.
[00:02:54.808 --> 00:02:57.031]  And people are dying.
[00:02:57.672 --> 00:02:58.993]  People are resigning.
[00:02:59.374 --> 00:03:03.359]  May 7th, there was an assassination attempt against Saudi Crown Prince.
[00:03:03.679 --> 00:03:10.467]  May 13th, Turkish President Erdogan holds an emergency meeting following a warning of a possible military coup.
[00:03:10.528 --> 00:03:19.795]   May 15th, An assassination attempt on the Slovak Prime Minister Robert B. Robert Fico and his bodyguards walking to greet supporters there.
[00:03:20.275 --> 00:03:22.517]  The man reached out firing five times.
[00:03:22.697 --> 00:03:27.741]  The May 16th, citizen arrested for threatening to assassinate Serbian President Vuček.
[00:03:28.281 --> 00:03:33.625]  May 19th, Saudi Arabia King Salman hospitalized for the second time in four weeks.
[00:03:34.426 --> 00:03:35.527]  So then you come to the 19th.
[00:03:35.447 --> 00:03:46.326]   to the 19th. These may be the final images of Raisi flying in the helicopter before it crashed yesterday. Raisi, the foreign minister, and several others killed after the helicopter
[00:03:46.326 --> 00:04:01.046]   was forced to make a hard landing in the steep mountains of Iran. On the 20th, Jamie Dimon announced that he's retiring as the CEO of Chase. May 20th, also speculation that Jerome Powell
[00:04:01.046 --> 00:04:09.974]   is resigning as bed chair And then May 21st, Klaus Schwab stepping down as the president of the World Economic Forum.
[00:04:10.615 --> 00:04:14.197]  HSBC, their CEO, stepping down.
[00:04:14.858 --> 00:04:19.741]  Right before 2008, in that big crisis, there were a bunch of stepping down like this.
[00:04:19.761 --> 00:04:20.701]  This is even bigger.
[00:04:21.142 --> 00:04:32.910]   And right before COVID, In November and December of 2019, record, in fact bigger than this so far, I'm sure more is coming, CEOs stepping down or resigning.
[00:04:33.390 --> 00:04:39.754]  We are so close to their dream for decades coming to fruition.
[00:04:40.355 --> 00:04:47.740]  If you were that close and you put all this stuff together and that was your baby, why wouldn't you stay to see that dream fulfilled?
[00:04:51.374 --> 00:04:51.935]  It's Sunday.
[00:04:51.995 --> 00:04:52.535]  We're live.
[00:04:52.575 --> 00:04:53.476]  Back in 60 seconds.
[00:04:53.295 --> 00:05:08.647]   get ready it's Sunday May 26 I'm your host, Alex Jones.
[00:05:08.987 --> 00:05:10.889]  We got one hell of a live broadcast lined up for you.
[00:05:14.378 --> 00:05:15.139]  InfoWars.
[00:05:15.480 --> 00:05:16.381]  Tomorrow's news.
[00:05:16.682 --> 00:05:17.122]  Today.
[00:05:17.142 --> 00:05:17.843]  162 days.
[00:05:17.663 --> 00:05:24.663]  [music]
[00:05:24.663 --> 00:05:29.663]  162 days, 7 hours and 3 minutes.
[00:05:29.663 --> 00:05:35.663]  From the front lines of the information war, it's Alex Jones.
[00:05:36.500 --> 00:05:40.444]  162 days, the most important election in world history.
[00:05:40.664 --> 00:05:41.165]  Wow!
[00:05:41.805 --> 00:05:43.047]  The quickening is here.
[00:05:43.748 --> 00:05:45.329]  Let me tell you what's coming up tonight.
[00:05:46.190 --> 00:05:51.216]  All over Europe, all over the UK, Australia, all the Western nations.
[00:05:53.109 --> 00:05:57.972]  Governments are saying they're bringing national conscription back for the draft.
[00:05:58.693 --> 00:06:09.139]  And now the federal agency over the draft has said they're preparing for the re-institution of it and that you don't get to opt in or out of Selective Service.
[00:06:09.159 --> 00:06:13.082]  They're going to automatically enroll you for the national draft.
[00:06:16.414 --> 00:06:17.154]  And that ties in.
