[00:00:00.229 --> 00:00:01.449]  The headlines everywhere.
[00:00:02.049 --> 00:00:05.430]  My phone is melting down with calls and texts saying, you were right!
[00:00:05.850 --> 00:00:06.550]  Oh my gosh!
[00:00:07.211 --> 00:00:21.014]  Quaker Oats and all these other big companies, Cheerios, have a chemical in it that literally causes infertility and 80% of people have the chemical in them and we wonder why sperm counts are down 90 plus percent.
[00:00:21.234 --> 00:00:22.834]  We wonder why women are so infertile.
[00:00:23.314 --> 00:00:27.995]  Ladies and gentlemen, they have clean herbicides and pesticides that don't do this.
[00:00:27.995 --> 00:00:34.399]  Yes, but it's been chosen by design to create mass sterilization and depopulation.
[00:00:34.558 --> 00:00:39.058]   The globalists don't want you to know this information, but we're about to break it down right now.
[00:00:39.058 --> 00:00:47.058]   While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:00:47.058 --> 00:00:52.058]  Visit InfoWars.com/show and share the link today.
[00:00:52.058 --> 00:00:55.058]  I want to talk to you today about Cormaquant.
[00:00:55.309 --> 00:01:03.034]  Chlormaquat is not a herbicide like glyphosate that's known to bend the genders, not just of mammals, but every other animal species.
[00:01:03.575 --> 00:01:16.084]  Chlormaquat causes mutations in plants and accelerates their aging process so that you get larger yields faster, but the plants live out their life cycle faster.
[00:01:16.764 --> 00:01:25.952]  Now, Clormaquat's been used for more than 40 years, being sprayed on wheat, oats, and many other things that are grown by farmers across the United States and the world.
[00:01:26.893 --> 00:01:39.824]  And now the Environmental Working Group, a consortium of federal agencies and top research universities, have conclusively found that over 80% of Americans have Clormaquat in their blood.
[00:01:40.643 --> 00:01:44.004]  Ladies and gentlemen, it literally can delay puberty.
[00:01:44.684 --> 00:01:47.445]  It can bend the gender of male to female.
[00:01:48.025 --> 00:01:49.686]  Now, why do we see this over and over again?
[00:01:50.246 --> 00:01:54.988]  Because these are chemicals that manipulate plants' life cycle.
[00:01:55.848 --> 00:02:08.821]  Glyphosate goes in and kills all the weeds around the plants that have had genes inserted into them so that they can still reproduce but nothing else around them can.
[00:02:09.402 --> 00:02:28.616]   So then we ingest that and it causes major infertility, major cancer, gender bending, and by the way, When they got Roundup or Glyphosate, Roundup's the corporate name for it, approved more than 40 years ago, they knew all of this and that's the key point here.
[00:02:29.117 --> 00:02:37.842]  There are a lot of safer herbicides and pesticides and other things out there, but the industries have been given the green light by the federal government.
[00:02:38.843 --> 00:02:41.265]  And many other nations around the world to roll this out.
[00:02:41.425 --> 00:02:51.454]  And once they roll out the chloroquine and the other herbicides and chemicals out there like Roundup or glyphosate, we see the devastating effects.
[00:02:52.635 --> 00:02:54.937]  We see life expectancy plunging.
[00:02:55.457 --> 00:02:57.639]  We see fertility plunging.
[00:02:58.200 --> 00:03:08.744]   We see all sorts of serious neurological disorders because these chemicals are made to kill plants And also manipulate and mutate the life cycle of plants.
[00:03:11.149 --> 00:03:12.392]  What do you think it's going to do to a human?
[00:03:13.233 --> 00:03:13.754]  Or a fish?
[00:03:14.416 --> 00:03:15.097]  Or an amphibian?
[00:03:15.898 --> 00:03:17.061]  Or to a bird?
[00:03:18.070 --> 00:03:23.811]  And the ornithologists that study birds, all the other scientists have conclusively seen this.
[00:03:23.871 --> 00:03:38.255]  So industry has chosen in America and America alone, because in Europe this stuff's banned, to allow this to be produced here and used against the American people and then exported to places in Latin America, Asia, and Africa.
[00:03:38.835 --> 00:03:50.162]  It's so cold-blooded and Bill Gates has financed other big working groups to come out and say organic farming without chemicals is bad because the plants produce more CO2.
[00:03:51.829 --> 00:04:02.861]  So by listing CO2 as the only dangerous thing out there, which it's a life-giving gas, part of the four pillars of life on earth, sunlight, water, carbon dioxide, and oxygen.
[00:04:03.181 --> 00:04:04.182]  Have to have those four things.
[00:04:04.683 --> 00:04:09.948]  By listing that, they can restrict and manipulate and control every industry.
[00:04:10.709 --> 00:04:15.658]  While then saying all these dangerous herbicides and other chemicals are okay.
