[00:00:07.543 --> 00:00:08.624]  ...government cover-ups.
[00:00:09.304 --> 00:00:10.105]  You want answers?
[00:00:10.305 --> 00:00:11.846]  Well, so does he.
[00:00:12.446 --> 00:00:16.388]  He's Alex Jones on the GCN Radio Network.
[00:00:16.648 --> 00:00:20.751]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.306 --> 00:00:25.526]  Welcome, my friends.
[00:00:25.646 --> 00:00:28.827]  Thank you so much for joining us today.
[00:00:28.987 --> 00:00:32.228]  It is Tuesday, the 17th day of October 2008.
[00:00:54.176 --> 00:01:00.579]  We're going to be live here for the next three hours and we're going to have wide open phones for the full three hours.
[00:01:01.179 --> 00:01:05.662]  Whenever the news gets really hot and heavy and a lot is happening, I tend to cancel guests.
[00:01:05.702 --> 00:01:09.964]  I've not had guests on in the last few broadcasts.
[00:01:10.024 --> 00:01:13.666]  I guess I've had a few little mini guests who popped in with some information.
[00:01:14.206 --> 00:01:19.729]  We have one of those, an expert on torture, joining us for about ten minutes at the bottom of the hour.
[00:01:21.330 --> 00:01:28.133]  I have reported a few weeks ago that Bush had signed the Military Commissions Act, H.R.
[00:01:28.693 --> 00:01:28.133]  6166.
[00:01:31.334 --> 00:01:32.814]  But he hadn't signed it.
[00:01:32.854 --> 00:01:39.456]  The news had reported that he was scheduled to sign it about a week and a half ago, but then I learned last week that he hadn't.
[00:01:39.537 --> 00:01:44.698]  Well, now he did sign it just a few hours ago from the White House.
[00:01:45.899 --> 00:01:49.140]  And so we'll recap and go over what this bill does that is now
[00:01:49.918 --> 00:01:50.939]  That is now law.
[00:01:50.959 --> 00:01:56.765]  Of course, it's totally unconstitutional, completely criminal, and is treason against this country.
[00:01:58.066 --> 00:02:03.171]  But in the meantime, let me run through some of the news that is coming up today.
[00:02:03.812 --> 00:02:07.456]  North Korea sanctions our war declaration.
[00:02:08.036 --> 00:02:11.600]  That's what the North Korean Stalinist state is saying.
[00:02:12.808 --> 00:02:17.472]  With the soft United Nations resolution against the rogue state.
[00:02:17.492 --> 00:02:21.536]  And it truly is a rogue state, armed by our criminal government as usual.
[00:02:22.797 --> 00:02:26.661]  But that is blasphemy and a no-no to talk about what is publicly admitted.
[00:02:28.002 --> 00:02:33.747]  Kim Jong-il could suffer the same fate as Romania's Ceausescu, the press is reporting.
[00:02:34.508 --> 00:02:35.369]  We could only dream.
[00:02:38.032 --> 00:02:40.493]  International leaders propose Asian Union.
[00:02:40.533 --> 00:02:41.734]  This happened over the weekend.
[00:02:41.814 --> 00:02:43.374]  I barely mentioned this yesterday.
[00:02:43.394 --> 00:02:46.936]  I want to spend a lot of time on this Korea Times story.
[00:02:46.956 --> 00:02:50.597]  It was also in the major Japanese and Chinese publications.
[00:02:51.878 --> 00:02:52.418]  Big news.
[00:02:52.978 --> 00:02:54.719]  They voted and officially set it up.
[00:02:56.279 --> 00:02:58.660]  International leaders propose Asian Union.
[00:03:00.001 --> 00:03:04.683]  And really frightening news that broke yesterday and today.
[00:03:06.648 --> 00:03:15.955]  Web could be terror training camp, Homeland Security Chairman Michael Chertoff says, needs to be regulated and controlled.
[00:03:17.877 --> 00:03:26.643]  And that dovetails with the European Union declaring control over the web and saying they're going to ban hate speech on the web here in the US and in Europe under treaties.
[00:03:27.524 --> 00:03:33.909]  They're going to arrest anyone who posts video blogs that are unlicensed of any type under EU control.
[00:03:34.995 --> 00:03:39.180]  And they are going to arrest anyone deemed to be involved in xenophobia or hate.
[00:03:39.921 --> 00:03:41.924]  If you criticize open borders, arrest it.
[00:03:42.685 --> 00:03:44.767]  If you criticize anything, arrest it.
[00:03:45.648 --> 00:03:46.609]  The tyranny is here.
[00:03:46.689 --> 00:03:47.711]  The unions are here.
[00:03:47.771 --> 00:03:50.254]  The North American, European, Asian.
[00:03:50.914 --> 00:03:51.815]  They're all here.
[00:03:51.896 --> 00:03:52.817]  The tyranny is here.
[00:03:54.597 --> 00:03:58.700]  The article starts with amateur video bloggers under threat from EU broadcast rules.
[00:03:58.720 --> 00:04:05.605]  That's Times Online, but that's really not as important as the fact that hate will be punished by long prison sentences.
[00:04:07.507 --> 00:04:10.589]  I have another report that I noticed isn't in my stack, didn't print.
[00:04:10.629 --> 00:04:11.650]  I'll grab it during the break.
[00:04:12.651 --> 00:04:14.252]  And that's in Europe.
[00:04:14.292 --> 00:04:15.633]  They're banning trans fats.
[00:04:15.653 --> 00:04:21.157]  They're moving to ban them here in Chicago and of course in New York.
[00:04:22.123 --> 00:04:23.684]  Austin's now discussing banning it.
[00:04:24.225 --> 00:04:25.565]  And it's not going to stop there.
[00:04:25.625 --> 00:04:28.167]  It's just total regulation over what you eat and what you do.
[00:04:29.188 --> 00:04:32.410]  A hell pit of micromanagement and control freak wonderland.
[00:04:33.691 --> 00:04:37.613]  Marijuana consumption drops in UK despite liberalization laws.
[00:04:38.214 --> 00:04:42.737]  They're all shocked that as soon as they legalized it, basically, no one wanted to smoke it anymore.
[00:04:43.297 --> 00:04:45.459]  But trendies don't do things if they're legal.
[00:04:46.039 --> 00:04:46.759]  You didn't know that?
[00:04:48.421 --> 00:04:48.881]  And, uh...
[00:04:50.530 --> 00:04:52.595]  TSA screener faces theft charges.
[00:04:53.357 --> 00:04:56.062]  Poll shows support for Iraq war at all time low.
[00:04:56.684 --> 00:04:57.486]  It's all coming up.
[00:04:57.506 --> 00:04:57.987]  Stay with us.
[00:05:02.083 --> 00:05:07.405]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:05:07.625 --> 00:05:09.705]  Your source for free solar electricity.
[00:05:09.945 --> 00:05:17.108]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:05:17.228 --> 00:05:28.791]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is not available.
[00:05:29.191 --> 00:05:36.619]  It's multi-voltage capabilities, multiple adapters, and rechargeable batteries provide for flexible sorts of auxiliary backup power.
[00:05:36.879 --> 00:05:41.904]  Simply place the Berkey Solar Charger in the sun, plug in your application, and you have power.
[00:05:42.044 --> 00:05:47.070]  Disconnect your application and the system automatically begins charging its own rechargeable batteries.
[00:05:47.370 --> 00:05:52.095]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium.
[00:05:52.535 --> 00:05:53.435]  At 888-803-4438.
[00:05:53.455 --> 00:05:57.537]  And tell them Alex Jones sent you.
[00:05:57.817 --> 00:06:01.919]  That's toll free, 888-803-4438.
[00:06:03.499 --> 00:06:07.141]  Yes, there is a choice, a real alternative when it comes to news and information.
[00:06:07.581 --> 00:06:11.582]  The GCN Radio Network has become a world leader for those who want to know the truth.
[00:06:12.042 --> 00:06:18.845]  Visit GCNlive.com today and discover the amazing benefit of becoming a subscriber to the GCNlive.com Radio Club.
[00:06:19.285 --> 00:06:25.370]  By becoming a monthly subscriber, you gain access to higher quality audio streams of all of the compelling GCN broadcasts.
[00:06:25.770 --> 00:06:31.894]  A full archive of the shows are posted on a daily basis within three hours, so you can listen to what you want, when you want.
[00:06:32.194 --> 00:06:37.198]  Fast forward, rewind, pause, and at the same time, you are supporting a beacon of free speech.
[00:06:37.638 --> 00:06:39.839]  Visit GCNLive.com and become a member.
[00:06:40.279 --> 00:06:41.059]  It's so easy.
[00:06:41.380 --> 00:06:42.040]  There's a choice.
[00:06:42.440 --> 00:06:43.380]  There is an alternative.
[00:06:43.621 --> 00:06:45.241]  And it's called GCNLive.com.
[00:06:45.461 --> 00:06:46.922]  Visit GCNLive.com today.
[00:06:47.302 --> 00:06:53.585]  You can also get the entire month of your favorite show on MP3 CD that plays on computers and most CD and DVD players for only $19.95.
[00:06:53.785 --> 00:06:57.106]  Go to GCNLive.com or call toll free 877-376-45.
[00:07:02.205 --> 00:07:06.568]  If you're tired of spending a small fortune every time you fill up, now you can do something about it!
[00:07:06.769 --> 00:07:13.293]  Ethos FR, a product used all over the world, has reported savings of up to 19% on gas, and even reduced emissions of up to 30%!
