[00:00:03.814 --> 00:00:04.015]  I'm
[00:00:43.222 --> 00:00:43.942]  Okay, back.
[00:00:43.942 --> 00:00:45.723]  Jeff and Alex with you.
[00:00:45.723 --> 00:00:56.145]  The way we chatted just a moment ago, I think it's something that we really need to underscore here, and I think I can speak for Alex and certainly for most all of you.
[00:00:56.145 --> 00:01:01.206]  This alleged government in Washington DC is not legitimate.
[00:01:01.206 --> 00:01:02.306]  It's not our government.
[00:01:03.608 --> 00:01:07.991]  None of those scumbags in the Senate are our Senators, in my opinion.
[00:01:07.991 --> 00:01:09.172]  None of them.
[00:01:09.172 --> 00:01:11.754]  A handful in the House have held out.
[00:01:11.754 --> 00:01:13.435]  This is not our government.
[00:01:13.435 --> 00:01:21.461]  The Supreme Court naming the President, literally completing the theft of the election.
[00:01:21.461 --> 00:01:22.802]  Unprecedented.
[00:01:22.802 --> 00:01:24.863]  This is not our government.
[00:01:24.863 --> 00:01:26.564]  And now with the little monkey boy
[00:01:27.850 --> 00:01:37.694]  The new law saying that the courts, and I assume he means the Supreme Court as well, hold no sway over the President's unlimited powers.
[00:01:37.694 --> 00:01:49.758]  This is all... Europe, intelligent Europe, the intelligentsia in Europe, such as it is, anymore, must be just shell-shocked at this crap.
[00:01:49.758 --> 00:01:51.879]  Well, you know, that's the word.
[00:01:51.879 --> 00:01:54.260]  Before you got back during that break, I was just thinking
[00:01:54.958 --> 00:01:57.520]  I'm not afraid.
[00:01:57.520 --> 00:02:17.016]  There's a layer of grief, but it's more like a melancholy, and it's because, folks, when your environment, your country where you live is going bad, and not just going bad, but run by the worst people in the world, and they're going to nuke countries and take all the freedom.
[00:02:17.016 --> 00:02:17.837]  This is unprecedented.
[00:02:17.837 --> 00:02:21.660]  And don't forget the plan that Rumsfeld wants is to be able to hit
[00:02:22.811 --> 00:02:23.372]  I think so.
[00:02:40.902 --> 00:02:41.542]  That's what they're after.
[00:02:41.542 --> 00:02:43.383]  That's really what the space planes are all about.
[00:02:43.383 --> 00:02:47.746]  I was talking to Dr. Bob Bowman, former head of the Star Wars program, and he wouldn't say much.
[00:02:47.746 --> 00:02:53.570]  He said, you know, it's all classified, but he said, I can tell you what they've slipped up and said in a few speeches.
[00:02:53.570 --> 00:02:55.251]  He goes, let me be very careful about this.
[00:02:55.251 --> 00:03:00.934]  This is in the green room with Charlie Sheen and myself and Bob Bowman.
[00:03:00.934 --> 00:03:03.976]  And we're, you know, in there having a cup of coffee.
[00:03:03.976 --> 00:03:09.459]  And he said, Alex, number one, the space planes aren't man, they're unmanned.
