[00:00:05.450 --> 00:00:06.091]  Big Brother.
[00:00:06.752 --> 00:00:07.813]  Mainstream media.
[00:00:08.533 --> 00:00:09.634]  Government cover-ups.
[00:00:10.295 --> 00:00:11.096]  You want answers?
[00:00:11.857 --> 00:00:12.778]  Well, so does he.
[00:00:12.798 --> 00:00:17.222]  He's Alex Jones on the GCN Radio Network.
[00:00:17.622 --> 00:00:21.686]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.733 --> 00:00:31.898]  21st day of April 2006 on this live Friday edition.
[00:00:32.358 --> 00:00:41.926]  Al Garza of the Minutemen Project, one of the leaders of it, will be joining us coming up later to talk about the ongoing reconquista, the destruction of the U.S.
[00:00:41.966 --> 00:00:50.434]  border, and what it means to the American people and what the Minutemen are doing, and his particular brigade, to deal with this ongoing crisis.
[00:00:52.851 --> 00:01:09.851]  I tell you, yesterday, during a Rose Garden ceremony and during a Rose Garden press conference, during a Rose Garden staged event with a bloody, murdering piece of trash, the communist Chinese president, who openly orders troops to mow down peaceful protesters on a monthly basis.
[00:01:09.911 --> 00:01:11.012]  I mean, this guy's a Hitler!
[00:01:11.897 --> 00:01:21.886]  He's up there with Bush, and Bush is talking about the great freedom of China and the freedom in America, and this lady starts speaking up and saying the days of the Communist Party's abuses are numbered.
[00:01:22.226 --> 00:01:23.828]  The media spends that as a threat.
[00:01:23.888 --> 00:01:28.412]  No, it's saying, I say Bush's days politically in the White House are numbered.
[00:01:28.432 --> 00:01:29.392]  He may be impeached.
[00:01:29.613 --> 00:01:33.336]  Oh, Alex said the days of this particular administration could be numbered.
[00:01:33.736 --> 00:01:34.737]  Ron Paul said that.
[00:01:34.797 --> 00:01:35.498]  Oh my gosh.
[00:01:36.018 --> 00:01:37.960]  Let's conjure that into a threat.
[00:01:39.378 --> 00:01:49.322]  And last time I checked, she was still in custody, and they're talking about charging her with a subdivision of terrorism, threatening a foreign leader, intimidating a foreign leader.
[00:01:50.162 --> 00:01:54.823]  Of course, if she did this in China, they'd grab her up, take her to a slave camp, and take her organs.
[00:01:54.863 --> 00:01:57.845]  They love the Falun Gong because they don't take any drugs.
[00:01:58.585 --> 00:02:00.445]  They are into totally organic food.
[00:02:01.566 --> 00:02:05.467]  It's kind of a Zen Buddhist slash health kick.
[00:02:06.268 --> 00:02:07.508]  A very peaceful group.
[00:02:08.573 --> 00:02:15.214]  And they have a special facility for taking their organs because the doctors say they are in great tip-top shape.
[00:02:16.454 --> 00:02:19.955]  Very healthy organs of premium for you.
[00:02:20.515 --> 00:02:28.957]  It's kind of like you go to the store, and at least my family, we buy the cage-free, organically fed hens, the chicken.
[00:02:28.997 --> 00:02:30.317]  It costs about three times as much.
[00:02:30.757 --> 00:02:36.978]  Well, the elite, they go get the organically fed humans for their organs.
[00:02:38.303 --> 00:02:46.406]  And the big news is, I was stuck in traffic about 35 minutes yesterday, so I listened to local talk radio, I listened to San Antonio talk radio, and they were attacking her.
[00:02:47.386 --> 00:02:49.147]  They were saying she was bad.
[00:02:49.187 --> 00:02:52.348]  And I literally got nauseated.
[00:02:52.368 --> 00:02:53.208]  I was upset.
[00:02:53.388 --> 00:02:55.109]  Certain things hit me more than others.
[00:02:55.129 --> 00:02:58.270]  I've gotten pretty conditioned to accept a lot of things, be able to deal with them.
[00:02:58.750 --> 00:03:00.371]  But I literally was upset.
[00:03:00.391 --> 00:03:03.572]  I was just totally freaked out.
[00:03:04.815 --> 00:03:08.457]  I mean, you think that as much as I do this, stuff won't freak me out.
[00:03:08.497 --> 00:03:09.898]  It was freaking me out.
[00:03:09.918 --> 00:03:15.682]  And then I switched channels and they were attacking her and saying how good China is.
[00:03:15.762 --> 00:03:18.263]  See, turning in your guns is conservative.
[00:03:18.804 --> 00:03:20.825]  Having open borders is conservative.
[00:03:20.865 --> 00:03:23.306]  The communist Chinese murderers are conservative.
[00:03:23.747 --> 00:03:25.448]  Total tyranny is conservative.
[00:03:25.488 --> 00:03:27.129]  No free speech is conservative.
[00:03:27.769 --> 00:03:29.810]  Giant government is conservative.
[00:03:30.331 --> 00:03:33.773]  And freedom and the founding fathers and mom and apple pie are evil.
[00:03:34.813 --> 00:03:35.673]  They are communists.
[00:03:35.813 --> 00:03:37.233]  Communism isn't communism.
[00:03:37.313 --> 00:03:38.014]  It's conservative.
[00:03:38.914 --> 00:03:41.114]  And then conservatism is communism.
[00:03:41.794 --> 00:03:42.694]  So I'm bad.
[00:03:42.894 --> 00:03:43.375]  I'm evil.
[00:03:43.535 --> 00:03:44.015]  I admit it.
[00:03:44.375 --> 00:03:45.095]  Yes, you're right.
[00:03:45.115 --> 00:03:46.415]  We should all go to FEMA camps.
[00:03:46.915 --> 00:03:47.635]  Oh, it's wonderful.
[00:03:47.695 --> 00:03:48.635]  She's been arrested.
[00:03:48.695 --> 00:03:53.236]  She should be charged as inciting and threatening and as an evil terrorist.
[00:03:53.956 --> 00:03:55.697]  And just hail world government.
[00:03:55.797 --> 00:03:56.577]  Hail Bush.
[00:03:56.637 --> 00:03:58.037]  And hail everything.
[00:03:59.417 --> 00:03:59.937]  I'm wrong.
[00:04:00.098 --> 00:04:00.638]  I'm bad.
[00:04:00.918 --> 00:04:01.658]  Freedom's bad.
[00:04:01.818 --> 00:04:02.578]  I apologize.
[00:04:03.982 --> 00:04:11.344]  The sickening worship of George Bush just makes me want to throw up.
[00:04:13.104 --> 00:04:13.824]  So we get back.
[00:04:13.844 --> 00:04:15.845]  I don't think I can say it better than Paul Watson has.
[00:04:15.925 --> 00:04:18.085]  It's an article by Alex Jones and Paul Watson here.
[00:04:18.325 --> 00:04:22.686]  Pro-torture, pro-tyranny media rebukes brave Falun Gong protesters.
[00:04:22.706 --> 00:04:24.046]  I'm going to read the whole six-page article.
[00:04:24.066 --> 00:04:31.948]  Because it covers most of the important points, and I'll read a few other blurbs from other news articles and blogs about it.
[00:04:33.061 --> 00:04:34.282]  And then we'll talk about America.
[00:04:35.403 --> 00:04:36.985]  This is out of the mainstream news.
[00:04:37.225 --> 00:04:39.427]  Tribune in Albuquerque.
[00:04:40.628 --> 00:04:48.756]  A Veterans Affairs nurse with a sterling record wrote a letter to the editor saying that she was angry about the criminal negligence in Katrina.
[00:04:49.636 --> 00:04:53.019]  And they called her in and they said, we're going to charge you with sedition.
[00:04:55.362 --> 00:04:58.865]  You're going to go to prison for your letter to the editor.
[00:05:02.242 --> 00:05:05.084]  There is a secret that holds the world's destiny in its grasp.
[00:05:05.344 --> 00:05:06.044]  Hello, my friends.
[00:05:06.144 --> 00:05:06.925]  Alex Jones here.
[00:05:07.265 --> 00:05:11.928]  Learn that secret with my new film, Martial Law, 9-11 Rise of the Police State.
[00:05:12.288 --> 00:05:19.012]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy, out of the ashes of the September 11th tragedy.
[00:05:19.352 --> 00:05:21.313]  A dark empire of war and tyranny has risen.
[00:05:21.533 --> 00:05:24.374]  The Constitution has been shredded, and America is now a police state.
[00:05:24.474 --> 00:05:29.136]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
