[00:00:26.592 --> 00:00:29.534]  It is Friday.
[00:00:31.906 --> 00:00:37.590]  I've already said this in the last few weeks, but I can't believe it is already December 22, 2006.
[00:00:39.931 --> 00:00:43.774]  2006 will be gone in what?
[00:00:43.834 --> 00:00:45.195]  Just about eight days.
[00:00:46.396 --> 00:00:49.398]  And I will be live for part of the week next week.
[00:00:49.438 --> 00:00:56.362]  I'm definitely taking off Monday and Tuesday, but we have some great rebroadcast for you if you're going to be in your town, your city.
[00:00:56.842 --> 00:00:57.643]  Would you like to tune in?
[00:00:57.663 --> 00:00:59.024]  Or let's say you're on vacation.
[00:00:59.949 --> 00:01:07.693]  You can always tune in via shortwave from 11 to 2 Central, and of course from 9 to midnight we retransmit on WWCR.
[00:01:08.174 --> 00:01:11.655]  You can always listen on the internet at Infowars.com.
[00:01:12.236 --> 00:01:22.361]  We re-air the show every day after it ends at 2 Central over and over again, continual loop, and you can subscribe for free to our podcast.
[00:01:22.441 --> 00:01:25.443]  People have emailed me saying, your podcasting link is dead.
[00:01:26.255 --> 00:01:27.936]  No, that's how podcasting works.
[00:01:27.976 --> 00:01:36.642]  You link to it, and then that link that you think is dead, a dead page, is what you put into your podcasting program, and then it works.
[00:01:36.662 --> 00:01:44.006]  We put some instructions up there for people that are semi-novices like myself.
[00:01:44.026 --> 00:01:54.573]  I mean, I know how to use the Internet, send an email, download things, download programs, do different things, but when it comes to just basic procedures...
[00:01:55.482 --> 00:01:59.785]  I am a babe in the woods.
[00:02:00.105 --> 00:02:15.335]  The podcast is really getting popular, and tens of thousands of people a day are downloading it, so I hope that those of you that don't start using it for your MP3 players or for your iPods.
[00:02:18.467 --> 00:02:20.068]  We've got an important broadcast today.
[00:02:20.088 --> 00:02:22.508]  The North American Union is absolutely central.
[00:02:22.548 --> 00:02:28.170]  We're, just in the last year, in 2006, seen it forced into public consciousness.
[00:02:29.610 --> 00:02:35.672]  Around this time last year, Bush had concluded meetings in March and had another meeting in December.
[00:02:37.613 --> 00:02:44.555]  On Christmas Day, the Dallas Morning News reported that Bush and Vicente Fox had hired
[00:02:45.538 --> 00:02:48.619]  The big PR company, Rob Allen & Co.
[00:02:48.739 --> 00:02:58.401]  in Dallas to foment in the next four months the illegal alien pro-open border demonstrations that you saw across the country.
[00:02:59.301 --> 00:03:02.722]  And we pointed that out and then you saw the aftermath of it.
[00:03:04.642 --> 00:03:13.324]  So we've got Dr. Jerome Corsi joining us coming up in the second hour today to talk about some of the big new developments concerning the North American Union.
[00:03:14.793 --> 00:03:22.079]  We set him up about a week ago and we appreciate the fact that he's coming on in the middle of the holidays with us.
