[00:00:05.561 --> 00:00:06.201]  Big Brother.
[00:00:06.881 --> 00:00:07.942]  Mainstream media.
[00:00:08.642 --> 00:00:09.762]  Government cover-ups.
[00:00:10.402 --> 00:00:11.223]  You want answers?
[00:00:11.983 --> 00:00:12.943]  Well, so does he.
[00:00:13.543 --> 00:00:17.245]  He's Alex Jones on the GCN Radio Network.
[00:00:17.725 --> 00:00:21.826]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.021 --> 00:00:41.562]  Welcome, my friends, welcome.
[00:00:41.602 --> 00:00:47.166]  Thank you so much for joining us on this October 26, 2006 live edition.
[00:00:47.186 --> 00:00:58.433]  We're going to be here for the next three hours and we have several extremely important guests that are going to be joining us later during the show.
[00:00:58.453 --> 00:01:01.435]  We're going to, of course, have Robert David Steele,
[00:01:02.122 --> 00:01:07.387]  Formerly high-level Marine Corps Intelligence and CIA as well.
[00:01:08.167 --> 00:01:09.909]  And then that's in an hour.
[00:01:09.929 --> 00:01:14.292]  Then we have Webster Tarpley, who we always like to have join us at least once a month.
[00:01:15.153 --> 00:01:18.256]  He is an author, lecturer, researcher, and now radio talk show host.
[00:01:18.636 --> 00:01:23.300]  He's going to be joining us coming up in the third hour today.
[00:01:23.440 --> 00:01:26.543]  In the first hour, I'm going to take your calls.
[00:01:27.617 --> 00:01:41.908]  The toll-free number to join us on any news issue, any item you wish to discuss, the huge war games going on in the Persian Gulf with two carrier task force groups and another task force group of warships and troop-carrying ships, amphibious assault cruisers.
[00:01:42.889 --> 00:01:50.274]  We also, of course, have Israel opening fire on a German patrol boat, and the Germans would not be making that up.
[00:01:50.314 --> 00:01:55.158]  They'd completely lick Israel's boots, basically give them free submarines, weapons, and aid
[00:01:56.240 --> 00:01:58.802]  Uh, I guess trying to make good from World War II.
[00:01:59.623 --> 00:02:03.507]  And it just, I mean, they're lucky they didn't get attacked like the USS Liberty for three hours.
[00:02:03.527 --> 00:02:05.750]  Uh, we've got that going on.
[00:02:06.591 --> 00:02:09.153]  We have discussion of a 9-11 truth political party.
[00:02:09.714 --> 00:02:15.400]  We have neo-con-academics continually calling the Constitution bad, saying it's a suicide pact.
[00:02:15.861 --> 00:02:17.803]  Existing home sales drop as
[00:02:18.815 --> 00:02:21.876]  Due prices and this is from U.S.
[00:02:21.916 --> 00:02:26.277]  News and World Report, part of a larger move as real estate goes down.
[00:02:27.497 --> 00:02:32.538]  Another article here from World Net Daily, Achtung, Germany drags homeschooler kids to class.
[00:02:32.918 --> 00:02:37.279]  Authorities haul crying children away to avoid danger from parental teachings.
[00:02:37.339 --> 00:02:40.880]  That's the actual German government saying that.
[00:02:40.920 --> 00:02:42.940]  We're going to cover it all today.
[00:02:43.641 --> 00:02:48.265]  But we will be taking your calls in the next segment, and the segment after that, right through the end of this hour.
[00:02:48.846 --> 00:02:53.470]  And then Mr. Steele will be joining us, talking about Inside Job on 9-11.
[00:02:55.772 --> 00:02:59.075]  Very important broadcast for you today.
[00:02:59.536 --> 00:03:01.117]  Again, that toll-free number to join us, 800-259-9231.
[00:03:01.157 --> 00:03:01.638]  Also, ExxonMobil Post.
[00:03:06.339 --> 00:03:08.300]  10.49 billion profit in third quarter.
[00:03:08.721 --> 00:03:10.922]  Bush signs U.S.-Mexico border fence bill.
[00:03:11.282 --> 00:03:12.883]  Total smoke and mirrors.
[00:03:12.983 --> 00:03:15.104]  Again, that is all coming up after the break.
[00:03:15.404 --> 00:03:16.545]  A few program notes.
[00:03:16.665 --> 00:03:22.228]  Next Tuesday night here in Austin, Texas, they're at the corner of Lamar and 6th Street.
[00:03:22.268 --> 00:03:26.850]  I'll be at the Waterloo Records, that is Waterloo Music and Video.
[00:03:28.371 --> 00:03:31.413]  Very nice, sprawling music and video store.
[00:03:32.230 --> 00:03:35.831]  In the heart of Austin, a lot of parking there in their parking lot or in the surrounding area.
[00:03:36.131 --> 00:03:55.956]  I'll be there from 5 to 6.30 and I'll give a speech, take questions and sign TerrorStorm and this will be the official in-stores version, a little bit different than the one I sell at InfoWars.com and I certainly hope to see you out there and then coming up on what
[00:03:56.917 --> 00:04:04.241]  Coming up the Friday after that, where they're going to be showing Terror Storm for free at the Unitarian Church here in Austin, Texas.
[00:04:04.261 --> 00:04:08.124]  So I'll tell you more about that a little bit later as well.
[00:04:08.164 --> 00:04:09.365]  Hope to see all the locals there.
[00:04:09.645 --> 00:04:13.367]  And of course, next Tuesday, nationwide!
[00:04:13.967 --> 00:04:16.869]  And I finally have a list of the stores it's going to be in.
[00:04:18.750 --> 00:04:23.353]  If I tried to even cover all of this, actually, it's so many stores I can't.
[00:04:25.350 --> 00:04:27.251]  I can't even read all of these where it's going to be.
[00:04:27.291 --> 00:04:28.452]  I mean it's hundreds of stores.
[00:04:29.633 --> 00:04:31.994]  Barnes and Nobles, Borders.
[00:04:33.735 --> 00:04:34.756]  I mean this is insane.
[00:04:35.856 --> 00:04:38.458]  Basically everywhere but Walmart and Best Buy and stuff like that.
[00:04:39.379 --> 00:04:47.323]  Basically 90 plus percent of the national stores and many local and regional stores are going to have Terror Storm.
[00:04:47.664 --> 00:04:53.187]  That's exciting because a lot of people that never would have been exposed to the truth will see these.
[00:04:53.900 --> 00:04:57.103]  So please rush out next week and buy them off the shelves so more get put in.
[00:04:57.123 --> 00:04:58.284]  I want to make it a big hit.
[00:04:58.485 --> 00:04:58.985]  We'll be right back.
[00:05:01.267 --> 00:05:04.871]  It's here.
[00:05:05.071 --> 00:05:09.836]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:05:10.216 --> 00:05:17.824]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:18.536 --> 00:05:25.581]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:05:25.981 --> 00:05:37.408]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:05:37.728 --> 00:05:41.231]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:05:41.691 --> 00:05:43.632]  It's an anthology of government crimes.
[00:05:43.952 --> 00:05:47.795]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:05:48.388 --> 00:05:55.713]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:01.195 --> 00:06:05.799]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:06:05.999 --> 00:06:10.463]  It provides you with purified water, light, power, and communications ability.
[00:06:10.643 --> 00:06:24.655]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
