[00:00:00.249 --> 00:00:01.691]  The Alex Jones Show.
[00:00:02.052 --> 00:00:04.334]  Because there's a war on for your mind.
[00:00:08.163 --> 00:00:13.346]  We are one hour, eight minutes into this Wednesday edition, the 10th day of March 2010.
[00:00:13.506 --> 00:00:23.032]  For the next 50 minutes or so in this hour, we're joined by the co-author of several of Jesse Ventura's books, Dick Russell.
[00:00:23.052 --> 00:00:26.313]  He also wrote the bestseller, Don't Start the Revolution Without Me.
[00:00:27.194 --> 00:00:31.396]  When I got an advance copy of this book a month ago, I was very impressed with it.
[00:00:31.416 --> 00:00:33.778]  I think it's Ventura's best book, and I've read
[00:00:34.378 --> 00:00:34.958]  Don't have time
[00:00:50.843 --> 00:00:51.403]  I think so.
[00:01:06.551 --> 00:01:11.333]  The true reality that the establishment media calls conspiracy theory.
[00:01:11.473 --> 00:01:25.460]  I mean, I remember 2002, I was saying Saddam didn't have WMDs, I was having former weapons inspectors on, former top CIA analysts on, Iraq on, and the media was calling me and other guests conspiracy theorists.
[00:01:27.049 --> 00:01:29.571]  And, I mean, here's an ABC News article.
[00:01:29.591 --> 00:01:30.971]  I was on Geraldo Rivera Saturday.
[00:01:31.472 --> 00:01:31.692]  U.S.
[00:01:31.732 --> 00:01:33.473]  military wanted to provoke war with Cuba.
[00:01:33.793 --> 00:01:35.574]  Military drafted plans to terrorize U.S.
[00:01:35.614 --> 00:01:37.075]  cities to provoke war with Cuba.
[00:01:37.435 --> 00:01:42.118]  Staged terror attacks, staged shootings, bombings, hijacked jets by remote control.
[00:01:42.878 --> 00:01:46.040]  And I held up the actual Operation Northwoods document.
[00:01:46.060 --> 00:01:49.903]  In fact, give me a document cam shot on that, guys, for the PrisonPlanet.tv viewers.
[00:01:51.445 --> 00:01:56.549]  And I held up Northwoods, I held up ABC News, and Geraldo's co-host just said I was a conspiracy theorist.
[00:01:56.609 --> 00:01:58.551]  She said, how dare you make these allegations.
[00:01:58.931 --> 00:02:00.232]  These are not allegations.
[00:02:01.133 --> 00:02:03.795]  Right here, I've got an Army Field Manual.
[00:02:04.836 --> 00:02:08.299]  Army Field Manual, FM-31-20-3, How to Stage Terror Attacks.
[00:02:08.319 --> 00:02:09.780]  This was in use from 1994 to 2004.
[00:02:15.177 --> 00:02:16.138]  Army Field Manual.
[00:02:16.458 --> 00:02:19.340]  I mean, here's ABC News, staged terror attack plans.
[00:02:20.520 --> 00:02:21.101]  But they don't care.
[00:02:21.121 --> 00:02:22.382]  They just call it a conspiracy theory.
[00:02:22.802 --> 00:02:27.165]  And I've been watching Ventura on the Today Show and on other programs.
[00:02:27.925 --> 00:02:33.369]  We've got them posted up on InfoWars.com and PrisonPlanet.com, all those different videos.
[00:02:33.429 --> 00:02:37.091]  And they always say, well, this is your opinion, or this is your conspiracy theory.
[00:02:37.111 --> 00:02:37.952]  And Ventura says, no.
[00:02:38.982 --> 00:02:44.527]  I may speculate at the starting or the end of a chapter, but everything in here is government documents and provable information.
[00:02:45.148 --> 00:02:51.154]  And it is an encyclopedia of, really, Ventura's research and Dick Russell's research as well.
[00:02:51.194 --> 00:02:53.856]  Dick's been researching true reality for a long time.
[00:02:55.058 --> 00:03:01.864]  So, I want to walk through some of the chapters and for the rest of the hour, Dick Russell and the censorship by the Huffington Post.
[00:03:03.083 --> 00:03:04.684]  I want to just add, this book is available.
[00:03:04.904 --> 00:03:06.045]  We bought 3,000 of these.
[00:03:06.065 --> 00:03:06.666]  We've already sold 1,000.
[00:03:07.166 --> 00:03:11.269]  And we just now started shipping it earlier in the week.
