[00:00:01.561 --> 00:00:06.522]  Hello PrisonPlanet.TV subscribers and welcome to this special video report.
[00:00:07.062 --> 00:00:22.685]  My name's Paul Joseph Watson, editor of PrisonPlanet.com on this Sunday, June the 20th and this is the first of a series of these video reports which will be exclusively available to PrisonPlanet.TV subscribers.
[00:00:23.305 --> 00:00:30.126]  And the special bulletin today, obviously as you will see from the website, we have a big article up there at the moment,
[00:00:30.986 --> 00:00:44.313]  Um, and we're calling for a criminal investigation to be launched into BP, into the federal government and into Halliburton by the local authorities, by the state governments of Florida, Louisiana and Mississippi.
[00:00:46.900 --> 00:01:07.471]  And in this presentation we're going to run through the plethora of mammoth, gigantic evidence that points directly at the BP oil spill being, in the very least, criminal negligence that was deliberately allowed to happen which led to the explosion and the oil spill.
[00:01:08.331 --> 00:01:26.716]  Or even purposeful sabotage of the oil well to engender the crisis that has followed and the political capital that the Obama administration has gained from it in pursuit of its carbon tax climate change agenda.
[00:01:26.936 --> 00:01:28.717]  And we're going to go into that shortly.
[00:01:32.492 --> 00:01:40.681]  People are outraged today with the CEO of BP, Tony Hayward, who is busy watching a yacht race today.
[00:01:40.701 --> 00:01:44.766]  He seems to be quite unconcerned about the worsening oil spill crisis.
[00:01:45.346 --> 00:01:52.615]  And of course, Barack Obama is playing golf after he took two vacations in the immediate aftermath of the oil spill.
[00:01:53.675 --> 00:01:56.097]  Busied himself playing basketball and what not.
[00:01:56.137 --> 00:02:08.344]  Today he's seemingly more concerned about playing golf than trying to solve this crisis even though he himself characterized it as being on a par with 9-11.
[00:02:08.664 --> 00:02:17.449]  Such a mega disaster that it needed addressing immediately and yet Obama spends most of his time on vacation playing golf or basketball.
[00:02:18.280 --> 00:02:27.391]  And that just strikes at the root of how every effort to find a solution to this crisis has been lacklustre and half-hearted.
[00:02:28.092 --> 00:02:34.300]  We keep hearing this rhetoric about how bad the crisis is, how devastating it will be, and how it may drag on for years.
[00:02:35.299 --> 00:02:40.603]  But this is not being matched by the appropriate action from either BP or the federal government.
[00:02:40.643 --> 00:02:42.164]  There's a contradiction there.
[00:02:42.745 --> 00:02:49.971]  The doomsday scenarios that they're outlaying are not being met with the same kind of action from them personally.
[00:02:52.813 --> 00:02:58.377]  And in hindsight, we've collated the evidence and I'm afraid the verdict is in.
[00:02:58.918 --> 00:03:00.039]  It's become clear that
[00:03:01.368 --> 00:03:09.795]  Not only was there foreknowledge of the original oil spill, the explosion, the leak, and we'll go through that shortly.
[00:03:11.274 --> 00:03:28.529]  But the response to the oil spill, as you saw with Hurricane Katrina back in 2005, has been deliberately botched once again with federal authorities preventing local authorities, state bodies, from cleaning up the mess.
[00:03:29.990 --> 00:03:35.235]  Many of you will remember the Jefferson Parish President, Aaron Broussard,
[00:03:35.935 --> 00:03:52.544]  Who famously, after the Hurricane Katrina disaster, appeared on MSNBC's Meet the Press and started crying his eyes out talking about how FEMA, the federal government, had deliberately severed the communication lines to the local sheriff.
[00:03:54.705 --> 00:04:06.615]  Down there where Hurricane Katrina was going on, so the local police couldn't coordinate with each other, couldn't speak to each other, because FEMA was in there deliberately sabotaging the communication lines.
[00:04:07.176 --> 00:04:08.477]  Now why would they do that?
[00:04:08.537 --> 00:04:22.189]  Well, in the case of Hurricane Katrina, more power for the federal government, they were able to enact their gun confiscation, which was a mass training program for the wider gun confiscation that they have in store for all Americans.
[00:04:23.103 --> 00:04:26.064]  And it's the same with the BP oil spill.
[00:04:26.344 --> 00:04:35.765]  The worse the crisis gets, the more political capital Obama gathers in pursuit of his carbon tax agenda.
[00:04:37.385 --> 00:04:52.528]  Now, not only is there a lockdown on preventing state and local authorities from helping clean up the oil spill, and there's actually a new story out today, or recently,
[00:04:53.709 --> 00:05:05.395]  From Fort Liberty which talks about how the Louisiana Governor Bobby Jindal had ordered the state's fleet of 16 vacuum barges to clean up oil in the Louisiana marshes.
[00:05:05.575 --> 00:05:07.336]  What happened was basically the U.S.
[00:05:07.376 --> 00:05:12.259]  Coast Guard interrupted them and said, turn back and go home.
[00:05:13.846 --> 00:05:37.812]  So, this, allied with numerous other examples which are linked to in the article on the website, which is thoroughly documented with mainstream sources illustrating every point we make, federal authorities are once again preventing state and local officials from getting the job done and cleaning up this crisis, because they want to control everything surrounding the disaster.
[00:05:38.292 --> 00:05:39.152]  Case in point,
[00:05:40.905 --> 00:05:49.311]  They've erected an information blockade around the disaster, both BP and the federal government.
[00:05:50.632 --> 00:05:58.758]  Reporters have been harassed, threatened with arrest and prevented from accessing the beaches and the affected areas.
[00:05:59.298 --> 00:06:08.585]  We have a YouTube video where a CBS reporter attempts to get an interview with some of the cleanup crew and he's basically told that
[00:06:10.285 --> 00:06:20.248]  They're not allowed to talk to him, even though one of the spokesmen for BP in a letter two days previously said that the media would be allowed to talk to the cleanup workers.
[00:06:20.649 --> 00:06:36.334]  The media goes on the beaches down there, tries to talk to them, and they're threatened by these thug private security guards hired by BP, who have basically gagged the cleanup workers from uttering a word, because there's a blockade of information
[00:06:36.894 --> 00:06:50.201]  There's an information lockdown and a strictly enforced cover-up which is solely focused around protecting the official story and the official proclamations of exactly what's going on.
[00:06:50.701 --> 00:06:53.642]  They don't want the truth to get out, whatever that truth may be.
[00:06:54.103 --> 00:06:59.685]  And as we'll go on to see, it's the fact that this was deliberately sabotaged.
[00:07:01.666 --> 00:07:03.427]  So there's an information blockade.
[00:07:03.927 --> 00:07:04.248]  There's a
[00:07:05.484 --> 00:07:06.464]  Psyops going on!
[00:07:06.664 --> 00:07:09.745]  The Pentagon calls this psychological information warfare.
[00:07:10.266 --> 00:07:13.667]  It's intended to deceive and confuse the enemy, which is us.
[00:07:14.707 --> 00:07:30.312]  The public, the general public, the media, have all been blocked from accessing and accurately reporting information because the federal government, in alliance with British Petroleum, is engaged in a massive cover-up of information of what's truly taking place.
[00:07:33.251 --> 00:07:57.407]  and there's this insistence on refusing any help not only from local state officials and you know local authorities but even from foreign companies that have gone on the record to say they can fix this within two to four months we can fix it if you let us in to fix it but no
[00:07:58.405 --> 00:08:12.742]  Obama, under the Jones Act, which forbids foreign ships from operating between US ports, but can be waived in a national emergency, or in cases of strategic interest, which is exactly what this represents.
[00:08:14.183 --> 00:08:15.485]  But Obama's saying no!
[00:08:16.923 --> 00:08:28.971]  there are no less than thirteen countries who offered Obama help in cleaning up the oil spill one of which was Belgium through a company called D.E.M.E.
[00:08:30.012 --> 00:08:46.543]  which said that it has the five or six specialist vessels with the equipment required which the US does not have that technology they have the specialist equipment and the trained personnel to fix this oil leak to cap the well
