[00:00:00.069 --> 00:00:00.689]  Cover-ups.
[00:00:01.330 --> 00:00:02.130]  You want answers?
[00:00:02.911 --> 00:00:03.811]  Well, so does he.
[00:00:04.452 --> 00:00:08.154]  He's Alex Jones on the GCN Radio Network.
[00:00:08.654 --> 00:00:12.697]  And now, live from Austin, Texas, Alex Jones.
[00:00:13.976 --> 00:00:24.042]  Coming up in the next hour, Lord Christopher Monckton, one of the key Tea Party speakers in Washington, will be joining us on government-run healthcare in England, on all the latest on Climategate.
[00:00:24.302 --> 00:00:27.584]  Devastating news has broken this week of the systematic fraud.
[00:00:27.644 --> 00:00:28.384]  That's coming up.
[00:00:28.965 --> 00:00:35.448]  We're going to premiere my newest documentary that I've produced, Jason Burma's directed, Invisible Empire, New Order Defined, at 3 p.m.
[00:00:36.989 --> 00:00:37.229]  Central
[00:00:54.830 --> 00:00:58.912]  is how the economy was lost, the war of the worlds, Paul Craig Roberts.
[00:00:59.032 --> 00:01:06.595]  Dr. Paul Craig Roberts is with us and before he sails off into the sunset, at least for a while, taking a break, he's agreed to do a couple interviews with us.
[00:01:06.615 --> 00:01:19.280]  He did one last week and now he's back on tax day this week to talk about the economy, the value-added taxes, all the things, the carbon taxes they're calling for, and what he talked about last week, the systematic destruction by design
[00:01:20.100 --> 00:01:28.543]  of our economy, the total conversion to basically Mexico or another third world nation where you have a tiny elite and a giant underclass.
[00:01:29.143 --> 00:01:31.203]  Dr. Roberts, great to have you here with us today, sir.
[00:01:32.024 --> 00:01:33.144]  Pleased to be with you, Alex.
[00:01:33.944 --> 00:01:36.405]  You look good there with your Skype connection.
[00:01:36.425 --> 00:01:38.986]  I see you've got Napoleon Bonaparte on the wall behind you.
[00:01:40.566 --> 00:01:48.033]  Yes, somebody gave me that some years ago when the President of France gave me the French Legion of Honour.
[00:01:49.234 --> 00:01:56.259]  And I can't remember who it was, somebody gave me this very romantic picture of a copy.
[00:01:56.420 --> 00:02:03.325]  This is a copy of the romantic portrayal of Napoleon that's in the Louvre in Paris.
[00:02:04.406 --> 00:02:04.686]  Wow.
[00:02:04.886 --> 00:02:09.568]  Yeah, you never brag about all the laurels you've got in one of the top ten economists living on the planet.
[00:02:10.148 --> 00:02:10.748]  You know the drill.
[00:02:10.768 --> 00:02:14.329]  We're going to break in about three minutes, but you wanted to come on on Tax Day.
[00:02:14.349 --> 00:02:15.349]  We're honored to have you here.
[00:02:15.389 --> 00:02:16.330]  We won't be censored.
[00:02:16.610 --> 00:02:17.510]  Break it down for us.
[00:02:18.570 --> 00:02:23.452]  Well, you know, Alex, one of the great myths is that Americans are free people.
[00:02:24.642 --> 00:02:27.364]  And once upon a time they were, but they've not been free since 1913.
[00:02:29.446 --> 00:02:34.889]  Because once you have an income tax, you no longer own your own labor.
[00:02:35.770 --> 00:02:43.696]  And the historic definition of a free person is a person who owns his own labor.
[00:02:44.376 --> 00:02:49.700]  If you don't own your own labor, you are a serf or a slave.
[00:02:50.901 --> 00:02:52.062]  So all Americans,
[00:02:53.138 --> 00:02:56.501]  Or either serfs or slaves, depending on the bracket.
[00:02:57.542 --> 00:02:59.384]  There are no free Americans.
[00:03:00.184 --> 00:03:03.647]  And have not been any free Americans since 1913.
[00:03:05.329 --> 00:03:13.676]  So when you hear our leaders, such as George W. Bush, talk about, we have freedom and democracy.
[00:03:14.256 --> 00:03:16.098]  You certainly don't have freedom.
[00:03:16.158 --> 00:03:16.719]  You're a serf.
[00:03:18.032 --> 00:03:27.179]  All serfs were required to turn over twenty, thirty percent of their labor time to the government of their day.
[00:03:28.040 --> 00:03:33.364]  A slave has to turn over about half of his labor time to his owner.
[00:03:35.026 --> 00:03:39.950]  And Americans fall in between those two ranges.
[00:03:40.951 --> 00:03:47.136]  So every American who works and earns an income is either
[00:03:48.197 --> 00:03:52.418]  Surf or slave or in between that margin.
[00:03:52.598 --> 00:04:05.922]  And that is simply the historic definition of a free person agreed to by the liberals, by Karl Marx, by the conservatives, by all historians.
[00:04:06.102 --> 00:04:08.882]  That is the definition of a free person.
[00:04:09.863 --> 00:04:12.263]  We don't meet that definition.
[00:04:12.783 --> 00:04:14.284]  And people should be aware of this.
[00:04:15.526 --> 00:04:17.989]  And that's the real message of April 15.
[00:04:18.149 --> 00:04:24.256]  It reminds you every year that you're not a free man or woman.
[00:04:25.177 --> 00:04:28.700]  You are a serf of the government.
[00:04:29.704 --> 00:04:34.228]  Who has a claim to, what, one third of your income?
[00:04:34.908 --> 00:04:35.329]  Or more.
[00:04:35.409 --> 00:04:37.090]  Stay there, Dr. Paul Craig Roberts.
[00:04:37.470 --> 00:04:44.856]  We'll look at the history of the income tax, how it's been accelerating and expanding, and a lot more, and how we try to shake off this bondage.
[00:04:45.196 --> 00:04:45.997]  And your phone calls.
[00:04:46.037 --> 00:04:48.319]  Dr. Paul Craig Roberts with us in the next hour.
[00:04:48.359 --> 00:04:49.360]  We're very honored to have him.
[00:04:52.402 --> 00:04:54.484]  Max, what did you do with the remote?
[00:04:55.296 --> 00:04:56.317]  Now what am I gonna do?
[00:04:56.717 --> 00:04:58.458]  I guess I can go online to find a new one.
[00:04:58.878 --> 00:04:59.219]  Okay.
[00:04:59.759 --> 00:05:00.399]  Here's a site.
[00:05:00.820 --> 00:05:02.441]  Replacementremotes.com.
[00:05:02.541 --> 00:05:04.762]  Let us repair or replace any remote control.
[00:05:05.242 --> 00:05:07.484]  Well, I guess they can't repair this one.
[00:05:08.064 --> 00:05:08.805]  Thanks, Max.
[00:05:09.785 --> 00:05:10.186]  Wow!
[00:05:10.626 --> 00:05:12.027]  They have my original remote!
[00:05:12.700 --> 00:05:15.101]  And an exact replacement that doesn't need programming.
[00:05:15.302 --> 00:05:16.622]  Hey Max, here's a deal.
[00:05:17.082 --> 00:05:20.544]  I can use the coupon code ALEX for a 5% discount.
[00:05:21.025 --> 00:05:25.407]  ReplacementRemotes.com has all my remotes for my TVs and accessories.
[00:05:25.987 --> 00:05:29.289]  I can order online at ReplacementRemotes.com or call them at 336-377-2220.
[00:05:33.234 --> 00:05:34.775]  I wonder if they sell dog toys?
[00:05:35.316 --> 00:05:38.278]  For all your remote control needs visit ReplacementRemotes.com at 336-377-2220.
[00:05:38.298 --> 00:05:42.982]  ReplacementRemotes.com ReplacementRemotes.com If you need a remote control, ReplacementRemotes.com
[00:05:51.770 --> 00:05:57.017]  One major world crisis away from having a totalitarian type of system.
[00:05:57.077 --> 00:05:59.801]  The main event is the wholesale destruction of the world economy.
[00:05:59.821 --> 00:06:04.327]  The push for every nation on the globe to identify and number all of its citizens.
[00:06:06.530 --> 00:06:09.612]  Order Shadow Government from InfoWars.com.
[00:06:09.632 --> 00:06:14.155]  We also have some specials where you can get some of our other films half price when you order Shadow Government.
[00:06:14.655 --> 00:06:17.717]  A new level in production quality and in information.
[00:06:17.737 --> 00:06:25.622]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:06:25.802 --> 00:06:27.363]  This film needs to be seen.
[00:06:27.644 --> 00:06:28.544]  Everybody needs to get it.
[00:06:28.804 --> 00:06:29.885]  So order yours today.
[00:06:29.985 --> 00:06:33.908]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:06:35.365 --> 00:06:36.927]  Shadow Government, ladies and gentlemen.
[00:06:36.967 --> 00:06:39.089]  Get your copy at InfoWars.com today.
[00:06:39.589 --> 00:06:40.310]  Shadow Government.
[00:06:40.990 --> 00:06:42.412]  It gives Big Brother a black eye.
[00:06:43.232 --> 00:06:46.476]  Available at InfoWars.com or by calling toll-free 888-253-3139.
