[00:00:00.009 --> 00:00:00.489]  We're live, my friends.
[00:00:00.810 --> 00:00:02.691]  Thank you so much for joining us.
[00:00:02.711 --> 00:00:04.653]  It is Sunday, the 12th day of September 2010.
[00:00:04.693 --> 00:00:09.897]  We're going to be live here for the next two hours.
[00:00:22.253 --> 00:00:27.114]  InfoWars.com has been down since this morning with an internet routing issue, not on our end.
[00:00:27.435 --> 00:00:36.197]  PrisonPlanet.com, InfoWars.net, PrisonPlanet.tv, JonesReport.com, and other auxiliary sites are up.
[00:00:36.377 --> 00:00:38.618]  InfoWars should be back up by this evening.
[00:00:38.978 --> 00:00:41.319]  If not, we're going to have to move it to new servers.
[00:00:42.483 --> 00:00:46.146]  So that is going on on that information warfare front.
[00:00:46.186 --> 00:00:49.989]  An update for all of you emailing and writing us and calling us.
[00:00:50.049 --> 00:00:54.153]  We are aware of that fact from your Twitters and the rest of it.
[00:00:54.173 --> 00:00:56.515]  We've been aware of it since about 6.30 a.m.
[00:00:56.555 --> 00:01:01.679]  this morning when I got up to check the site and start doing research for today's transmission.
[00:01:02.580 --> 00:01:06.623]  Okay, here are the different stacks of news that I have in front of me.
[00:01:07.424 --> 00:01:10.747]  China rethinks its controversial one-child policy.
[00:01:12.250 --> 00:01:17.212]  Because their population is actually dropping, and it's making their society unravel.
[00:01:17.252 --> 00:01:21.995]  For all of you out there that support one-child policies in the West, don't worry.
[00:01:22.055 --> 00:01:23.015]  The West is dead.
[00:01:24.016 --> 00:01:25.096]  1.3 replacement rate.
[00:01:25.476 --> 00:01:29.218]  China's about to get rid of their one-child policy because it's gone below 1.7.
[00:01:30.902 --> 00:01:33.143]  So we're going to be breaking that down today.
[00:01:33.543 --> 00:01:36.765]  There's also another fact check here from the Associated Press.
[00:01:37.145 --> 00:01:38.986]  Obama's tone shifts on health care.
[00:01:39.286 --> 00:01:42.128]  He admits it doesn't cover pre-existing conditions.
[00:01:42.628 --> 00:01:46.130]  It does increase overall health care prices by at least 25 percent.
[00:01:47.110 --> 00:01:50.312]  And it was written by the insurance companies to gang rape you financially.
[00:01:50.612 --> 00:01:51.433]  Hope you enjoy it.
[00:01:51.613 --> 00:01:52.753]  Who owns the insurance companies?
[00:01:52.773 --> 00:01:55.455]  The big mega banks, the same folks that run everything else.
[00:01:56.336 --> 00:02:00.626]  Also, nine years after 9-11, few see terrorism as top U.S.
[00:02:00.766 --> 00:02:01.227]  problem.
