[00:00:01.781 --> 00:00:08.410]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:08.410 --> 00:00:11.393]  It's Alex Jones and the GCN Radio Network.
[00:00:13.396 --> 00:00:14.337]  Welcome, my friends.
[00:00:14.337 --> 00:00:17.139]  It is a little bit past 4 p.m.
[00:00:17.139 --> 00:00:20.221]  Central Standard Time on this Sunday, June 13, 2010.
[00:00:20.221 --> 00:00:22.162]  I'm Alex Jones.
[00:00:22.162 --> 00:00:26.205]  We're going to be here with you for the next two hours.
[00:00:26.205 --> 00:00:35.893]  Coming up in the next segment, Congressman Ron Paul will join us on a host of key issues, then Jeffrey Smith.
[00:00:36.833 --> 00:00:56.950]  Who has authored two amazing books that we carry at Infowars.com, Seeds of Deceptions and one other, Genetic Roulette, that go over the incredible fact that every major study out there on GMO, even the company's own studies show that it is reducing fertility in every mammal species and attacking their organs.
[00:00:56.950 --> 00:00:58.371]  I mean, this is so important.
[00:00:58.371 --> 00:01:01.574]  So, Ron Paul, Jeffrey Smith coming up in this hour.
[00:01:01.574 --> 00:01:03.496]  And then we're going to look at Bilderberg,
[00:01:04.522 --> 00:01:07.005]  Two thousand and ten.
[00:01:25.444 --> 00:01:30.388]  Coming up in the second hour of this radio broadcast today.
[00:01:30.388 --> 00:01:34.071]  So I will assure you this is information that everyone needs to hear.
[00:01:34.071 --> 00:01:36.833]  We are on the cusp of a massive awakening.
[00:01:36.833 --> 00:01:45.781]  All of the people we've seen waking up so far and the what appears to be a just explosive awakening is actually just the primary ignition
[00:01:46.321 --> 00:01:51.825]  Or the firing pin hitting the blasting cap in the .30-06 shell casing.
[00:01:51.825 --> 00:02:07.758]  We're about to see the true explosion as the powder inside the cartridge, this is my analogy, ignites and fires the projectile of liberty out of the barrel towards the enemy, which is spiritual, financial, and physical tyranny.
[00:02:07.758 --> 00:02:14.102]  So we're non-violent, ladies and gentlemen, but make no mistake, we are warring in the information war against the forces
[00:02:15.123 --> 00:02:19.865]  Of the New World Order, and having a ultra-massive effect.
[00:02:19.865 --> 00:02:21.685]  That's why the system is scared.
[00:02:21.685 --> 00:02:23.866]  A microcosm example of that is all over the country.
[00:02:23.866 --> 00:02:30.368]  Police are arresting people for videotaping them in public, when there's no reasonable perception of privacy.
[00:02:31.320 --> 00:02:34.462]  And court after court is throwing it out, pointing out that this is fraud.
[00:02:34.462 --> 00:02:38.705]  But why would the police, in many cases, be so arrogant and out of control?
[00:02:38.705 --> 00:02:40.026]  Because they're scared.
[00:02:40.026 --> 00:02:46.230]  Their unconstitutional police tactics are backfiring on them and are really exposing what they're doing.
[00:02:46.230 --> 00:02:50.433]  And their attempt to shut down free speech with cameras is only going to backfire as well.
[00:02:50.433 --> 00:02:53.135]  And the same thing is going to happen with the mainstream media.
[00:02:53.135 --> 00:02:58.639]  Chris Matthews, Carlos Watson, The New York Times, Cass Sunstein, Elena Kagan, and all these thugs
[00:02:59.339 --> 00:03:10.414]  Openly coming out and saying, shut down free speech in America, tax the internet, shut down alternative news, make alternative blogs, carry government propaganda.
[00:03:10.414 --> 00:03:15.200]  That is only illustrating to everyone just how corrupt this system is.
[00:03:16.141 --> 00:03:21.122]  And just how much trouble this corrupt mockery is in.
