[00:00:02.085 --> 00:00:12.069]  This is our land.
[00:00:12.129 --> 00:00:15.090]  These are our people.
[00:00:15.190 --> 00:00:16.611]  The workers.
[00:00:16.631 --> 00:00:18.452]  The strivers.
[00:00:18.492 --> 00:00:19.232]  The builders.
[00:00:19.252 --> 00:00:21.013]  These are our people.
[00:00:21.053 --> 00:00:22.453]  Who are they?
[00:00:31.824 --> 00:00:33.966]  They are the dark armies.
[00:00:34.647 --> 00:00:38.992]  The dark, murdering armies whose only honor is atrocity.
[00:00:39.012 --> 00:00:39.672]  The answer to 1984 is 1776.
[00:00:39.713 --> 00:00:41.414]  You're listening to the Alex Jones Show.
[00:01:02.148 --> 00:01:03.629]  Welcome, my friends, welcome.
[00:01:03.729 --> 00:01:10.895]  It is August 3rd, 2010 on this live Tuesday edition.
[00:01:11.836 --> 00:01:13.977]  We're going to be live here for the next three hours.
[00:01:14.038 --> 00:01:21.584]  Dr. Russell Blaylock, top brain surgeon, neurologist, will be joining us coming up in 30 minutes.
[00:01:21.784 --> 00:01:25.146]  And it's a perfect day to have him on because
[00:01:26.147 --> 00:01:43.360]  I have had a very serious epiphany or awakening in the last 48 hours, just a further understanding of how right we've been all along in our analysis and reverse engineering of the scientific dictatorship.
[00:01:45.077 --> 00:01:51.240]  There is now a complete coming out by the bioethicist, by the eugenicist.
[00:01:51.360 --> 00:01:53.941]  They're openly announcing global one-child policies.
[00:01:54.341 --> 00:01:57.383]  They're openly admitting they plan to sterilize the population.
[00:01:58.063 --> 00:02:00.564]  They're openly announcing forced inoculations.
[00:02:01.825 --> 00:02:03.946]  And they shouldn't even be called inoculations.
[00:02:05.595 --> 00:02:14.037]  They are genetic re-engineering compounds, live viruses, that attack the brain.
[00:02:14.057 --> 00:02:15.777]  And that's just one family of these.
[00:02:16.257 --> 00:02:24.319]  And the Pentagon is announcing they are going to inject the troops with these, as if they're unwitting guinea pigs.
[00:02:25.239 --> 00:02:26.399]  This is so incredible.
[00:02:27.720 --> 00:02:34.341]  The New York Times, Time Magazine, the British Journal of Psychiatry, the Huffington Post,
[00:02:36.007 --> 00:02:52.278]  Wired Magazine and countless other publications in the last week have simultaneously come out with straight faces and said, we're going to inject you with live viruses to where you won't be depressed anymore.
[00:02:53.139 --> 00:02:56.161]  And they say it cognitively enhances you.
[00:02:57.435 --> 00:03:00.055]  They say lithium in the water will cognitively enhance you.
[00:03:00.095 --> 00:03:06.257]  It lowers IQ, is toxic, makes you servile, it's an anti-psychotic, very toxic metal.
[00:03:07.297 --> 00:03:14.718]  But they call that cognitive enhancement, just like the national CBS news pieces about how mercury cognitively enhances children.
[00:03:15.158 --> 00:03:24.900]  So with a straight face, they're coming out and saying, we're going to forcibly drug your water and forcibly inject you with live, genetically altered viruses
[00:03:25.740 --> 00:03:46.164]  In this one particular article out of the Mail newspaper, it reports, and Stanford Research Institute's behind it and others, and the Pentagon's funding it, a virus that goes in and goes into the receptor sites for anger and for determination, basically self-preservation.
[00:03:46.484 --> 00:03:49.285]  It admits this and wipes them out.
[00:03:49.345 --> 00:03:54.166]  The viruses literally replicate and destroy or eat
[00:03:56.687 --> 00:03:58.709]  These nerve endings in your neurons.
[00:03:59.910 --> 00:04:02.271]  And they're just reporting it totally calmly.
[00:04:03.572 --> 00:04:06.175]  And they're reporting, we are going to drug your water supply.
[00:04:06.495 --> 00:04:07.636]  Now here's the newsflash.
[00:04:07.656 --> 00:04:09.457]  They're already drugging the water supply.
[00:04:09.897 --> 00:04:16.583]  They're already genetically engineering crops in every major study to reduce fertility and cause organ failure and cancer.
[00:04:18.410 --> 00:04:35.440]  They picked up thousands of plastic formulas in the last 50 years, bisphenol A to wrap all of your foods, to contain all of your liquids, juice, milk, baby formula, that annihilates the normal genetic operations.
[00:04:35.480 --> 00:04:36.361]  This is all admitted.
[00:04:38.322 --> 00:04:39.303]  What's incredible is,
[00:04:40.441 --> 00:04:42.722]  We've got evidence they're already adding this to vaccines.
[00:04:42.822 --> 00:04:49.885]  Much of the public can't get upset and can't motivate themselves for self-preservation because they've already been lobotomized.
[00:04:51.086 --> 00:04:52.446]  Yes, this is really going on.
[00:04:53.487 --> 00:04:53.607]  It's 100%.
[00:04:53.647 --> 00:04:58.829]  And they're coming to try to forcibly inject you, but it gets worse.
[00:04:59.249 --> 00:04:59.830]  It gets worse.
[00:04:59.850 --> 00:05:00.310]  Stay with us.
[00:05:01.505 --> 00:05:05.348]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:05:05.588 --> 00:05:11.293]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:05:11.573 --> 00:05:15.377]  Go to HomeGain.com and see what I'm talking about.
[00:05:15.757 --> 00:05:22.082]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:05:22.483 --> 00:05:25.385]  This is a great way to be able to monitor the value of your home.
[00:05:25.805 --> 00:05:27.307]  And again, it's absolutely free.
[00:05:27.887 --> 00:05:29.509]  There are tons of tools to help you.
[00:05:29.929 --> 00:05:33.393]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:05:33.714 --> 00:05:40.281]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:05:40.521 --> 00:05:43.625]  For 10 years, these folks have been helping home sellers and buyers.
[00:05:44.065 --> 00:05:45.986]  Visit their link at Infowars.com.
[00:05:46.407 --> 00:05:51.471]  Look for Max, the Orange Home Gain Gorilla, to help you with any real estate needs you might have.
[00:05:51.811 --> 00:05:52.852]  You'll love this site.
[00:05:53.052 --> 00:05:54.433]  It's HomeGain.com.
[00:05:54.933 --> 00:05:57.495]  H-O-M-E-G-A-I-N.com.
[00:05:57.815 --> 00:05:58.576]  Check them out today.
[00:06:01.049 --> 00:06:02.650]  Hello friends, this is Alex Jones.
[00:06:02.690 --> 00:06:05.513]  You've heard me talk about Calden 5 Star Soaps for years.
[00:06:06.073 --> 00:06:10.997]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:06:11.297 --> 00:06:14.460]  You can buy factory direct, shipped via UPS right to your door.
[00:06:14.720 --> 00:06:17.062]  Check them out on the web at 5starsoap.com.
[00:06:17.702 --> 00:06:18.563]  Or call 800-340-7091.
[00:06:21.226 --> 00:06:22.167]  Take my word for it.
[00:06:22.367 --> 00:06:24.689]  Once you've used pure soap, you won't buy anything else.
[00:06:25.030 --> 00:06:31.236]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:06:31.536 --> 00:06:32.938]  Buy American and stay clean.
